.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
1002R_0_M_NS6_week10_S69_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1002R_0_M_NS6_week10_S69_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1002R_L_M_NS6_week10_S70_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1002R_L_M_NS6_week10_S70_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1030R_0_M_NS1_week10_S77_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1030R_0_M_NS1_week10_S77_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1030R_R_M_NS1_week10_S78_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1030R_R_M_NS1_week10_S78_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
1075R_0_M_NS6_week9_S72_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1075R_0_M_NS6_week9_S72_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1136R_RL_F_S5_week10_S58_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1136R_RL_F_S5_week10_S58_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1136R_R_F_S5_week10_S57_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1136R_R_F_S5_week10_S57_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1174R_0_M_S2_week9_S56_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1174R_0_M_S2_week9_S56_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
160R_0_F_S2_week10_S49_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
160R_0_F_S2_week10_S49_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
160R_L_F_S2_week10_S50_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
160R_L_F_S2_week10_S50_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
184R_0_F_NS6_week10_S65_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
184R_0_F_NS6_week10_S65_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
184R_L_F_NS6_week10_S66_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
184R_L_F_NS6_week10_S66_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
2403R_L_F_NS6_week10_S67_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2403R_L_F_NS6_week10_S67_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_0_F_S2_week9_S55_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_0_F_S2_week9_S55_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2472R_0_F_NS1_week10_S73_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2472R_0_F_NS1_week10_S73_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2472R_R_F_NS1_week10_S74_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2472R_R_F_NS1_week10_S74_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2506R_0_F_NS6_week10_S68_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2506R_0_F_NS6_week10_S68_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2518R_L_M_S5_week10_S61_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2518R_L_M_S5_week10_S61_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2518R_R_M_S5_week10_S62_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2518R_R_M_S5_week10_S62_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3752R_0_F_S5_week10_S59_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3752R_0_F_S5_week10_S59_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3752R_L_F_S5_week10_S60_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3752R_L_F_S5_week10_S60_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3795R_R_F_S2_week10_S51_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3795R_R_F_S2_week10_S51_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
3874R_0_F_NS1_week10_S75_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3874R_0_F_NS1_week10_S75_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3874R_L_F_NS1_week10_S76_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3874R_L_F_NS1_week10_S76_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3893R_RL_M_S5_week10_S64_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3893R_RL_M_S5_week10_S64_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3893R_R_M_S5_week10_S63_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3893R_R_M_S5_week10_S63_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3894R_0_M_NS6_week10_S71_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3894R_0_M_NS6_week10_S71_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
3896R_0_M_S2_week10_S52_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3896R_0_M_S2_week10_S52_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3896R_L_M_S2_week10_S53_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3896R_L_M_S2_week10_S53_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_R_M_S2_week10_S54_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
