Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1002R_0_M_NS6_week10_S69_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.5)	(30.0, 0.5)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 1.3333333333333333)	(36.0, 3.0)	(37.0, 2.833333333333333)	(38.0, 2.833333333333333)	(39.0, 8.666666666666666)	(40.0, 15.666666666666668)	(41.0, 35.166666666666664)	(42.0, 107.08333333333331)	(43.0, 149.25)	(44.0, 205.50000000000026)	(45.0, 847.1666666666872)	(46.0, 10160.08333333393)	(47.0, 8720.083333331328)	(48.0, 13709.500000006987)	(49.0, 2413.8333333333185)	(50.0, 959.4166666667023)	(51.0, 6921.4999999981965)	(52.0, 11345.000000002718)	(53.0, 5299.749999999657)	(54.0, 1776.4999999998806)	(55.0, 409.249999999995)	(56.0, 78.33333333333333)	(57.0, 29.583333333333304)	(58.0, 38.833333333333336)	(59.0, 38.08333333333333)	(60.0, 11.833333333333334)	(61.0, 16.83333333333334)	(62.0, 94.99999999999972)	(63.0, 12.500000000000004)	(64.0, 3.5)	(65.0, 4.25)	(66.0, 2.0)	(67.0, 1.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
1002R_0_M_NS6_week10_S69_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.5)	(31.0, 0.5)	(32.0, 0.5)	(33.0, 1.5)	(34.0, 1.8333333333333333)	(35.0, 1.1666666666666665)	(36.0, 2.3333333333333335)	(37.0, 4.5)	(38.0, 5.833333333333333)	(39.0, 6.833333333333333)	(40.0, 13.916666666666666)	(41.0, 19.916666666666668)	(42.0, 20.833333333333332)	(43.0, 32.66666666666665)	(44.0, 95.99999999999987)	(45.0, 2080.9999999998363)	(46.0, 15389.083333343371)	(47.0, 12121.666666670804)	(48.0, 6630.083333331855)	(49.0, 5269.749999999666)	(50.0, 624.5833333333351)	(51.0, 3422.833333333756)	(52.0, 3204.1666666669903)	(53.0, 3059.0000000002515)	(54.0, 3871.000000000587)	(55.0, 895.8333333333545)	(56.0, 7046.166666664896)	(57.0, 6523.83333333199)	(58.0, 435.4999999999958)	(59.0, 172.4166666666668)	(60.0, 175.66666666666706)	(61.0, 141.83333333333323)	(62.0, 78.0)	(63.0, 59.00000000000002)	(64.0, 44.250000000000014)	(65.0, 24.083333333333332)	(66.0, 17.999999999999996)	(67.0, 27.499999999999996)	(68.0, 25.666666666666657)	(69.0, 12.500000000000002)	(70.0, 14.666666666666668)	(71.0, 24.66666666666665)	(72.0, 75.66666666666669)	(73.0, 5.166666666666666)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.3333333333333333)	(84.0, 0.5)	(85.0, 0.5)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
1002R_L_M_NS6_week10_S70_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 1.3333333333333333)	(37.0, 1.3333333333333333)	(38.0, 2.0)	(39.0, 5.25)	(40.0, 7.75)	(41.0, 22.083333333333336)	(42.0, 67.16666666666666)	(43.0, 97.66666666666664)	(44.0, 168.16666666666669)	(45.0, 576.9166666666626)	(46.0, 6318.916666665402)	(47.0, 6780.083333331655)	(48.0, 15052.166666676096)	(49.0, 2624.7500000000714)	(50.0, 920.3333333333635)	(51.0, 6165.416666665547)	(52.0, 10464.416666667803)	(53.0, 4750.5000000001455)	(54.0, 1567.8333333332591)	(55.0, 338.9166666666652)	(56.0, 63.583333333333464)	(57.0, 25.833333333333314)	(58.0, 33.666666666666636)	(59.0, 31.16666666666663)	(60.0, 9.75)	(61.0, 17.500000000000004)	(62.0, 79.16666666666663)	(63.0, 7.166666666666664)	(64.0, 0.8333333333333333)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
1002R_L_M_NS6_week10_S70_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.5)	(29.0, 1.0)	(30.0, 0.5)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 1.0)	(36.0, 1.5)	(37.0, 2.0)	(38.0, 4.5)	(39.0, 5.5)	(40.0, 5.0)	(41.0, 11.250000000000002)	(42.0, 21.0)	(43.0, 32.16666666666666)	(44.0, 80.33333333333333)	(45.0, 1081.8333333333644)	(46.0, 9665.999999999738)	(47.0, 12623.666666671645)	(48.0, 9767.749999999942)	(49.0, 4342.750000000469)	(50.0, 547.1666666666623)	(51.0, 3433.1666666670967)	(52.0, 3165.0833333336454)	(53.0, 2888.9166666668507)	(54.0, 3521.583333333772)	(55.0, 725.5833333333416)	(56.0, 6018.83333333241)	(57.0, 5809.166666665906)	(58.0, 413.99999999999636)	(59.0, 133.49999999999991)	(60.0, 139.4999999999999)	(61.0, 119.8333333333331)	(62.0, 44.16666666666667)	(63.0, 32.83333333333333)	(64.0, 38.0)	(65.0, 21.499999999999993)	(66.0, 16.333333333333332)	(67.0, 30.249999999999996)	(68.0, 29.99999999999999)	(69.0, 10.833333333333336)	(70.0, 7.166666666666666)	(71.0, 17.500000000000007)	(72.0, 58.33333333333347)	(73.0, 6.833333333333331)	(74.0, 1.6666666666666665)	(75.0, 0.3333333333333333)	(76.0, 0.5)	(77.0, 0.5)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.3333333333333333)	(86.0, 0.0)	(87.0, 0.3333333333333333)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.5)	(95.0, 1.0)	(96.0, 0.5)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
1030R_0_M_NS1_week10_S77_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 1.0)	(39.0, 1.5)	(40.0, 2.3333333333333335)	(41.0, 6.5)	(42.0, 18.416666666666668)	(43.0, 49.91666666666667)	(44.0, 160.41666666666663)	(45.0, 258.3333333333338)	(46.0, 512.2499999999908)	(47.0, 9288.666666665691)	(48.0, 14792.250000008953)	(49.0, 2713.7500000001096)	(50.0, 1700.8333333332332)	(51.0, 11040.41666666883)	(52.0, 12359.083333337856)	(53.0, 3875.666666667276)	(54.0, 2226.999999999899)	(55.0, 562.5833333333276)	(56.0, 78.33333333333339)	(57.0, 29.58333333333331)	(58.0, 19.416666666666664)	(59.0, 32.3333333333333)	(60.0, 8.916666666666668)	(61.0, 15.500000000000009)	(62.0, 101.33333333333297)	(63.0, 10.666666666666668)	(64.0, 2.666666666666667)	(65.0, 1.8333333333333333)	(66.0, 1.0)	(67.0, 1.0)	(68.0, 0.5)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
1030R_0_M_NS1_week10_S77_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.5)	(32.0, 0.5)	(33.0, 0.5)	(34.0, 1.0)	(35.0, 1.5)	(36.0, 3.5)	(37.0, 4.0)	(38.0, 3.333333333333333)	(39.0, 5.166666666666666)	(40.0, 6.833333333333334)	(41.0, 9.666666666666666)	(42.0, 19.999999999999996)	(43.0, 30.499999999999996)	(44.0, 52.166666666666714)	(45.0, 577.5833333333293)	(46.0, 5770.499999999232)	(47.0, 5341.333333332955)	(48.0, 6007.83333333237)	(49.0, 7151.999999998088)	(50.0, 1321.9166666666465)	(51.0, 2369.6666666666392)	(52.0, 2498.0000000000246)	(53.0, 3067.666666666928)	(54.0, 3666.2500000004948)	(55.0, 1098.250000000013)	(56.0, 10257.500000000806)	(57.0, 10253.666666667505)	(58.0, 899.3333333333536)	(59.0, 267.0833333333339)	(60.0, 259.3333333333344)	(61.0, 222.50000000000108)	(62.0, 85.16666666666666)	(63.0, 58.91666666666667)	(64.0, 46.83333333333336)	(65.0, 24.99999999999999)	(66.0, 25.333333333333325)	(67.0, 38.833333333333336)	(68.0, 34.66666666666667)	(69.0, 15.333333333333337)	(70.0, 11.166666666666668)	(71.0, 23.499999999999982)	(72.0, 82.49999999999991)	(73.0, 9.833333333333334)	(74.0, 1.3333333333333333)	(75.0, 1.0)	(76.0, 1.0)	(77.0, 0.5)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.3333333333333333)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.3333333333333333)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.25)	(100.0, 0.0)
1030R_R_M_NS1_week10_S78_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.5)	(36.0, 0.5)	(37.0, 0.5)	(38.0, 0.5)	(39.0, 1.25)	(40.0, 2.083333333333333)	(41.0, 3.0)	(42.0, 13.41666666666667)	(43.0, 36.50000000000001)	(44.0, 146.75)	(45.0, 217.6666666666672)	(46.0, 426.2499999999942)	(47.0, 8313.916666663928)	(48.0, 14356.083333341514)	(49.0, 2351.5833333332866)	(50.0, 1172.0833333333453)	(51.0, 8685.249999997948)	(52.0, 10224.083333334038)	(53.0, 3620.8333333338405)	(54.0, 1706.999999999896)	(55.0, 435.16666666666015)	(56.0, 61.83333333333343)	(57.0, 28.583333333333314)	(58.0, 22.74999999999999)	(59.0, 33.66666666666664)	(60.0, 11.000000000000004)	(61.0, 12.333333333333337)	(62.0, 63.16666666666684)	(63.0, 9.333333333333332)	(64.0, 4.5)	(65.0, 2.833333333333333)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
1030R_R_M_NS1_week10_S78_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.5)	(29.0, 0.5)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.5)	(33.0, 1.0)	(34.0, 2.0)	(35.0, 2.5)	(36.0, 1.0)	(37.0, 1.75)	(38.0, 5.0)	(39.0, 7.5)	(40.0, 7.0)	(41.0, 5.5)	(42.0, 9.333333333333332)	(43.0, 21.83333333333333)	(44.0, 46.6666666666667)	(45.0, 527.8333333333243)	(46.0, 5251.66666666636)	(47.0, 4744.000000000136)	(48.0, 5701.999999999311)	(49.0, 7371.583333331224)	(50.0, 1277.7499999999923)	(51.0, 1991.9999999998454)	(52.0, 2145.833333333207)	(53.0, 2631.3333333334112)	(54.0, 2951.750000000206)	(55.0, 903.3333333333503)	(56.0, 8103.833333330867)	(57.0, 8131.166666664159)	(58.0, 729.5000000000085)	(59.0, 226.0000000000005)	(60.0, 220.3333333333338)	(61.0, 178.16666666666697)	(62.0, 76.74999999999999)	(63.0, 54.750000000000014)	(64.0, 47.16666666666669)	(65.0, 25.999999999999996)	(66.0, 15.916666666666668)	(67.0, 28.666666666666664)	(68.0, 28.166666666666668)	(69.0, 10.666666666666668)	(70.0, 5.499999999999999)	(71.0, 15.000000000000009)	(72.0, 43.4166666666667)	(73.0, 5.999999999999998)	(74.0, 1.1666666666666665)	(75.0, 1.0)	(76.0, 0.5)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.3333333333333333)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.3333333333333333)	(86.0, 0.3333333333333333)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.8333333333333333)	(96.0, 0.8333333333333333)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
1075R_0_M_NS6_week9_S72_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.3333333333333333)	(33.0, 0.3333333333333333)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 1.1666666666666665)	(40.0, 10.333333333333332)	(41.0, 21.25)	(42.0, 64.83333333333334)	(43.0, 94.16666666666666)	(44.0, 148.83333333333331)	(45.0, 699.1666666666744)	(46.0, 8068.583333330489)	(47.0, 8014.499999997201)	(48.0, 14540.250000008504)	(49.0, 2974.41666666689)	(50.0, 971.7500000000372)	(51.0, 3224.50000000034)	(52.0, 8770.999999998094)	(53.0, 6271.333333332108)	(54.0, 1837.1666666665312)	(55.0, 477.99999999999073)	(56.0, 54.41666666666677)	(57.0, 25.166666666666647)	(58.0, 22.58333333333333)	(59.0, 22.99999999999999)	(60.0, 8.166666666666664)	(61.0, 13.500000000000005)	(62.0, 73.83333333333337)	(63.0, 11.66666666666667)	(64.0, 1.1666666666666665)	(65.0, 0.5)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
1075R_0_M_NS6_week9_S72_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.5)	(31.0, 0.5)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.5)	(35.0, 1.5)	(36.0, 3.0)	(37.0, 3.3333333333333335)	(38.0, 2.5)	(39.0, 3.0)	(40.0, 4.166666666666666)	(41.0, 12.000000000000002)	(42.0, 23.083333333333332)	(43.0, 36.833333333333336)	(44.0, 97.8333333333332)	(45.0, 1586.7499999999225)	(46.0, 11915.750000003733)	(47.0, 14086.000000007552)	(48.0, 8164.583333330522)	(49.0, 2443.666666666672)	(50.0, 531.0833333333283)	(51.0, 3720.1666666672204)	(52.0, 3718.1666666672136)	(53.0, 2877.333333333511)	(54.0, 5542.9999999994425)	(55.0, 990.0000000000297)	(56.0, 3276.666666667001)	(57.0, 3005.6666666668934)	(58.0, 238.16666666666774)	(59.0, 92.16666666666661)	(60.0, 95.74999999999986)	(61.0, 82.58333333333326)	(62.0, 37.99999999999999)	(63.0, 32.49999999999999)	(64.0, 32.833333333333314)	(65.0, 17.333333333333332)	(66.0, 15.833333333333334)	(67.0, 29.5)	(68.0, 24.166666666666668)	(69.0, 7.333333333333333)	(70.0, 4.5)	(71.0, 17.33333333333334)	(72.0, 54.33333333333344)	(73.0, 4.666666666666666)	(74.0, 0.5)	(75.0, 1.3333333333333333)	(76.0, 0.8333333333333333)	(77.0, 0.5)	(78.0, 1.0)	(79.0, 0.5)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.3333333333333333)	(83.0, 0.6666666666666666)	(84.0, 0.3333333333333333)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.3333333333333333)	(93.0, 0.3333333333333333)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
