Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1002R_0_M_NS6_week10_S69_L001_R1_001	(1.0, 2.883199046982783)	(2.0, 1.035118362484606)	(3.0, 0.6254175487173709)	(4.0, 0.4539710392234197)	(5.0, 0.33001440794610304)	(6.0, 0.2945982275811554)	(7.0, 0.19720373157754936)	(8.0, 0.1996184711478867)	(9.0, 0.21732656133036052)	('>10', 4.755427127184333)	('>50', 4.247526904223379)	('>100', 18.3600698664649)	('>500', 13.307629772129076)	('>1k', 49.064288416494286)	('>5k', 4.028590516512795)	('>10k+', 0.0)
1002R_0_M_NS6_week10_S69_L001_R2_001	(1.0, 4.867310060609963)	(2.0, 1.3764015550922832)	(3.0, 0.5602195803182627)	(4.0, 0.3380635398472275)	(5.0, 0.23342482513260945)	(6.0, 0.1545433325015897)	(7.0, 0.10705345428495537)	(8.0, 0.06439305520899571)	(9.0, 0.05070953097708412)	('>10', 2.1797049188245046)	('>50', 3.0626946883778583)	('>100', 10.56126596746541)	('>500', 37.12018158841569)	('>1k', 39.32403390294357)	('>5k', 0.0)	('>10k+', 0.0)
1002R_L_M_NS6_week10_S70_L001_R1_001	(1.0, 3.0029354031226925)	(2.0, 1.0895207909380684)	(3.0, 0.6348034360424283)	(4.0, 0.3817824920311909)	(5.0, 0.2971420338922005)	(6.0, 0.31875236362981507)	(7.0, 0.2269084622449531)	(8.0, 0.16567919465504513)	(9.0, 0.19449296763853122)	('>10', 5.066721893064885)	('>50', 5.082029209962362)	('>100', 19.731131480847846)	('>500', 12.679860973545354)	('>1k', 51.12823929838463)	('>5k', 0.0)	('>10k+', 0.0)
1002R_L_M_NS6_week10_S70_L001_R2_001	(1.0, 4.729060490914657)	(2.0, 1.3092258099371499)	(3.0, 0.5510634083091718)	(4.0, 0.27373084334311804)	(5.0, 0.18458823317545786)	(6.0, 0.15127230816330206)	(7.0, 0.1323632696428893)	(8.0, 0.06483098921284375)	(9.0, 0.10535035747087108)	('>10', 2.8489618037421884)	('>50', 0.6438077400997677)	('>100', 19.62938284499991)	('>500', 25.89907976012534)	('>1k', 43.47728214086333)	('>5k', 0.0)	('>10k+', 0.0)
1030R_0_M_NS1_week10_S77_L001_R1_001	(1.0, 3.062622572065658)	(2.0, 1.0853504553636193)	(3.0, 0.5587942938505763)	(4.0, 0.45133385272546545)	(5.0, 0.2820836579534159)	(6.0, 0.3170083013190769)	(7.0, 0.288352183685714)	(8.0, 0.22208491165856237)	(9.0, 0.30626225720656586)	('>10', 5.275412155566898)	('>50', 4.889450071192543)	('>100', 22.554155584808676)	('>500', 11.608414152540096)	('>1k', 49.098675550063135)	('>5k', 0.0)	('>10k+', 0.0)
1030R_0_M_NS1_week10_S77_L001_R2_001	(1.0, 5.6461506774485315)	(2.0, 1.3486285361201409)	(3.0, 0.6743142680600704)	(4.0, 0.36894751452954716)	(5.0, 0.26865110281277704)	(6.0, 0.17730972785643284)	(7.0, 0.0814908345198757)	(8.0, 0.12178849994179226)	(9.0, 0.08865486392821642)	('>10', 2.189506487924133)	('>50', 2.622034763452704)	('>100', 22.594453250230593)	('>500', 17.547394532054554)	('>1k', 46.27067494112063)	('>5k', 0.0)	('>10k+', 0.0)
1030R_R_M_NS1_week10_S78_L001_R1_001	(1.0, 3.219523139366497)	(2.0, 1.2441616186338698)	(3.0, 0.5904668665483693)	(4.0, 0.49358542903179753)	(5.0, 0.26005017438658756)	(6.0, 0.3181790368965306)	(7.0, 0.2212975993799588)	(8.0, 0.25291154214852435)	(9.0, 0.2110995533255828)	('>10', 6.301372656998919)	('>50', 5.223439189051378)	('>100', 21.098737481898468)	('>500', 11.860327561239266)	('>1k', 48.70484815109425)	('>5k', 0.0)	('>10k+', 0.0)
1030R_R_M_NS1_week10_S78_L001_R2_001	(1.0, 5.697648330579861)	(2.0, 1.3869342633951336)	(3.0, 0.6271798323441229)	(4.0, 0.44871402639254315)	(5.0, 0.25495115135939955)	(6.0, 0.19580248424401883)	(7.0, 0.11421811580901099)	(8.0, 0.11421811580901099)	(9.0, 0.06424769014256868)	('>10', 2.5923433070223747)	('>50', 3.7131085683982947)	('>100', 20.466458626527157)	('>500', 23.81141773236248)	('>1k', 40.512757755614025)	('>5k', 0.0)	('>10k+', 0.0)
1075R_0_M_NS6_week9_S72_L001_R1_001	(1.0, 2.786439089450823)	(2.0, 1.1192617558531441)	(3.0, 0.5542238163040931)	(4.0, 0.472216715029829)	(5.0, 0.342447236090334)	(6.0, 0.2649460195014689)	(7.0, 0.3027954508588216)	(8.0, 0.2234918803957969)	(9.0, 0.1784330335418056)	('>10', 5.216012111818034)	('>50', 4.486959969720455)	('>100', 19.843916154497773)	('>500', 22.86646360146351)	('>1k', 41.342393165474114)	('>5k', 0.0)	('>10k+', 0.0)
1075R_0_M_NS6_week9_S72_L001_R2_001	(1.0, 4.595101202170034)	(2.0, 1.1607158949588163)	(3.0, 0.5596308779265721)	(4.0, 0.3929131445668042)	(5.0, 0.18023538741596526)	(6.0, 0.11895535569453705)	(7.0, 0.10724005551249934)	(8.0, 0.05767532397310888)	(9.0, 0.05677414703602905)	('>10', 2.7873402663879028)	('>50', 0.2739577888722672)	('>100', 25.695258006957083)	('>500', 19.843916154497773)	('>1k', 44.170286394030605)	('>5k', 0.0)	('>10k+', 0.0)
1136R_RL_F_S5_week10_S58_L001_R1_001	(1.0, 2.9070400237470935)	(2.0, 1.0983030722802156)	(3.0, 0.5610250828674616)	(4.0, 0.4630683223667937)	(5.0, 0.30178597932023943)	(6.0, 0.2434077079107505)	(7.0, 0.2701231880472963)	(8.0, 0.22163953891060206)	(9.0, 0.16919804086478998)	('>10', 5.091772621580171)	('>50', 5.209518626626428)	('>100', 15.190224113194478)	('>500', 14.092910503141542)	('>1k', 54.179983179142134)	('>5k', 0.0)	('>10k+', 0.0)
1136R_RL_F_S5_week10_S58_L001_R2_001	(1.0, 5.43313708999159)	(2.0, 1.4782565675555335)	(3.0, 0.7688121505961509)	(4.0, 0.46702617127591156)	(5.0, 0.3314698461386237)	(6.0, 0.18997674763765893)	(7.0, 0.14545094741008263)	(8.0, 0.10290407163706526)	(9.0, 0.06233612031860684)	('>10', 0.9894622272794735)	('>50', 1.4485727007371494)	('>100', 19.652698758224904)	('>500', 22.992133775293127)	('>1k', 45.93776282590412)	('>5k', 0.0)	('>10k+', 0.0)
1136R_R_F_S5_week10_S57_L001_R1_001	(1.0, 2.9188839017167183)	(2.0, 1.0883346443940587)	(3.0, 0.6135764194160381)	(4.0, 0.4034982184998381)	(5.0, 0.3192818472074406)	(6.0, 0.2443200222109111)	(7.0, 0.25264911387719213)	(8.0, 0.20730183702743973)	(9.0, 0.15825274165934014)	('>10', 4.421822220165656)	('>50', 5.383369580306326)	('>100', 15.188561380778307)	('>500', 11.678311970755633)	('>1k', 57.1218361019851)	('>5k', 0.0)	('>10k+', 0.0)
1136R_R_F_S5_week10_S57_L001_R2_001	(1.0, 5.650825968256906)	(2.0, 1.6306510573319142)	(3.0, 0.8467909860719078)	(4.0, 0.5515709592337236)	(5.0, 0.3331636666512424)	(6.0, 0.26097820554347323)	(7.0, 0.2202582018416547)	(8.0, 0.11845819258710841)	(9.0, 0.0832909166628106)	('>10', 0.9856091805099255)	('>50', 1.9267965387996855)	('>100', 15.136735921521446)	('>500', 18.832076257461477)	('>1k', 53.42279394752673)	('>5k', 0.0)	('>10k+', 0.0)
