.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
016R_0_F_NS6_week5_S1_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
016R_0_F_NS6_week5_S1_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
073R_R_M_S2_diabetes_S7_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
073R_R_M_S2_diabetes_S7_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
073R_R_M_S2_week5_S33_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
073R_R_M_S2_week5_S33_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
073R_S2_week21_S27_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
073R_S2_week21_S27_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
096R_0_M_S5_week5_S4_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
096R_0_M_S5_week5_S4_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_0_M_S2_week5_S34_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_0_M_S2_week5_S34_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_0_M_S2_week9_S62_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_0_M_S2_week9_S62_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_L_M_S2_week5_S35_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_L_M_S2_week5_S35_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_L_M_S2_week9_S63_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_L_M_S2_week9_S63_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_R_M_S2_diabetes_S8_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_R_M_S2_diabetes_S8_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_S2_week27_S30_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1067R_S2_week27_S30_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_0_M_S2_week5_S36_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_0_M_S2_week5_S36_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_L_M_S2_diabetes_S9_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_L_M_S2_diabetes_S9_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_L_M_S2_week5_S37_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_L_M_S2_week5_S37_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_L_M_S2_week9_S64_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_L_M_S2_week9_S64_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_R_M_S2_week5_S38_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_R_M_S2_week5_S38_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_R_M_S2_week9_S65_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_R_M_S2_week9_S65_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1152R_S2_week28_S31_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
