Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
016R_0_F_NS6_week5_S1_L001_R1_001	(1.0, 1.7596502132584606)	(2.0, 0.6772831515099557)	(3.0, 0.4308035235870288)	(4.0, 0.35150138242921747)	(5.0, 0.3107786612941252)	(6.0, 0.28934565017039243)	(7.0, 0.2925606018389524)	(8.0, 0.1971837023383415)	(9.0, 0.2025419551192747)	('>10', 2.4272885097627364)	('>50', 1.2613327046316738)	('>100', 3.333904880296633)	('>500', 3.5857427610004935)	('>1k', 23.039415307456544)	('>5k', 0.0)	('>10k+', 61.84066699530617)
016R_0_F_NS6_week5_S1_L001_R2_001	(1.0, 6.123411278050454)	(2.0, 1.1638125040186897)	(3.0, 0.6429903337119832)	(4.0, 0.5015324602953469)	(5.0, 0.42330196969372225)	(6.0, 0.44366333026126836)	(7.0, 0.3525730329854041)	(8.0, 0.35150138242921747)	(9.0, 0.2989905051760722)	('>10', 3.5000107165055616)	('>50', 1.3652828085817776)	('>100', 4.365904365904366)	('>500', 2.505519000364361)	('>1k', 15.135992455580086)	('>5k', 15.419979852969542)	('>10k+', 47.40553400347215)
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	(1.0, 1.6239527877512279)	(2.0, 0.530312409723082)	(3.0, 0.3745202426643556)	(4.0, 0.33428253064256536)	(5.0, 0.2785687755354711)	(6.0, 0.25999752383310637)	(7.0, 0.2238867566340638)	(8.0, 0.10730056539144071)	(9.0, 0.15785563947010028)	('>10', 2.609260864182246)	('>50', 0.9368164747637323)	('>100', 3.165366679047501)	('>500', 3.118938549791589)	('>1k', 16.83690314060501)	('>5k', 16.898807312946225)	('>10k+', 52.54322974701828)
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	(1.0, 5.672485658866741)	(2.0, 0.9863398126367051)	(3.0, 0.6345177664974619)	(4.0, 0.5365028269572035)	(5.0, 0.49523337872972634)	(6.0, 0.4209483719202674)	(7.0, 0.41888489950889357)	(8.0, 0.31364780652882673)	(9.0, 0.2414262721307416)	('>10', 3.109652923940407)	('>50', 1.073005653914407)	('>100', 5.472328834963477)	('>500', 3.4552845528455287)	('>1k', 5.736453303619331)	('>5k', 22.387643927200692)	('>10k+', 49.04564400973959)
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	(1.0, 1.5282626326739306)	(2.0, 0.5247011530730985)	(3.0, 0.42526182164392257)	(4.0, 0.2962022638315878)	(5.0, 0.22920413272682394)	(6.0, 0.24965619380090975)	(7.0, 0.18265806269614585)	(8.0, 0.22003596741775097)	(9.0, 0.23484608060933038)	('>10', 2.390775415212102)	('>50', 1.0226030537042914)	('>100', 3.076977326421947)	('>500', 3.289255615501252)	('>1k', 7.845128530625198)	('>5k', 22.78571176698755)	('>10k+', 55.69871998307415)
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	(1.0, 5.448005924045277)	(2.0, 0.8745019217884975)	(3.0, 0.5289326139849784)	(4.0, 0.34415882083289256)	(5.0, 0.2891498289784548)	(6.0, 0.32582249021474663)	(7.0, 0.29126555943439475)	(8.0, 0.21439401953524456)	(9.0, 0.20311012377023166)	('>10', 3.8597975951197148)	('>50', 1.404139779258789)	('>100', 2.198949187206883)	('>500', 0.7313374942698967)	('>1k', 10.017983708875489)	('>5k', 0.0)	('>10k+', 73.26845093268452)
073R_R_M_S2_diabetes_S7_L001_R1_001	(1.0, 1.7494536061990862)	(2.0, 0.6636201072918737)	(3.0, 0.48579376117623685)	(4.0, 0.3536658056824955)	(5.0, 0.33280349692032585)	(6.0, 0.25034770514603616)	(7.0, 0.24339360222531292)	(8.0, 0.23842638585336778)	(9.0, 0.19670176832902844)	('>10', 2.3902245181800117)	('>50', 1.0878203854559905)	('>100', 2.5591098748261474)	('>500', 4.308563481025233)	('>1k', 13.72640572223326)	('>5k', 21.699781442479633)	('>10k+', 49.713888336975955)
073R_R_M_S2_diabetes_S7_L001_R2_001	(1.0, 5.505662626664018)	(2.0, 0.9874826147426982)	(3.0, 0.5841446453407511)	(4.0, 0.36956089807272)	(5.0, 0.3129346314325452)	(6.0, 0.22650506656069938)	(7.0, 0.27816411682892905)	(8.0, 0.28611166302404134)	(9.0, 0.25928869461553744)	('>10', 4.001589509239023)	('>50', 0.8970792767732962)	('>100', 3.01808066759388)	('>500', 1.6550764951321282)	('>1k', 9.851976952116035)	('>5k', 18.998609179415855)	('>10k+', 52.767732962447845)
073R_R_M_S2_week5_S33_L001_R1_001	(1.0, 1.4963774265881702)	(2.0, 0.6253517603652055)	(3.0, 0.38057121416511075)	(4.0, 0.26443445866871546)	(5.0, 0.21887311612782187)	(6.0, 0.214406317839499)	(7.0, 0.25014070414608214)	(8.0, 0.15723129974896594)	(9.0, 0.13668402762268062)	('>10', 2.5148074363257904)	('>50', 1.2087156168201756)	('>100', 2.474606251730884)	('>500', 2.8060426847244435)	('>1k', 18.6006414322342)	('>5k', 11.214343782663462)	('>10k+', 57.43677247022879)
073R_R_M_S2_week5_S33_L001_R2_001	(1.0, 5.159152023012944)	(2.0, 0.8201041657360837)	(3.0, 0.5199353207607851)	(4.0, 0.32875635402056513)	(5.0, 0.38861145108409195)	(6.0, 0.2787282131913487)	(7.0, 0.20636608092051778)	(8.0, 0.24299382688476556)	(9.0, 0.10452307994675575)	('>10', 4.102307547995747)	('>50', 1.0461241591252222)	('>100', 2.9221794402208383)	('>500', 2.27092024978336)	('>1k', 7.8830056192322475)	('>5k', 14.576949534112938)	('>10k+', 59.14934293397178)
073R_S2_week21_S27_L001_R1_001	(1.0, 1.5314911797133406)	(2.0, 0.5202590959206175)	(3.0, 0.410866868798236)	(4.0, 0.3169790518191841)	(5.0, 0.284247519294377)	(6.0, 0.24807056229327454)	(7.0, 0.18691427783902975)	(8.0, 0.19983461962513782)	(9.0, 0.10077866593164277)	('>10', 2.5504754685777287)	('>50', 1.0672202315325248)	('>100', 3.3472298787210586)	('>500', 1.5676681367144432)	('>1k', 16.189188257993383)	('>5k', 11.350950937155456)	('>10k+', 60.127825248070565)
073R_S2_week21_S27_L001_R2_001	(1.0, 5.0794170341786105)	(2.0, 0.847574421168688)	(3.0, 0.47030044101433294)	(4.0, 0.3789966923925028)	(5.0, 0.3488492282249173)	(6.0, 0.2532386990077178)	(7.0, 0.24720920617420064)	(8.0, 0.22739801543550167)	(9.0, 0.17830071664829106)	('>10', 4.019087651598677)	('>50', 0.9061466372657111)	('>100', 2.7675372105843437)	('>500', 2.886404355016538)	('>1k', 7.5919928335170885)	('>5k', 6.144053197353914)	('>10k+', 67.65349366041896)
096R_0_M_S5_week5_S4_L001_R1_001	(1.0, 1.6400415918328766)	(2.0, 0.6144248038566972)	(3.0, 0.3934681917005388)	(4.0, 0.36865488231401833)	(5.0, 0.283580678703091)	(6.0, 0.24104357689762734)	(7.0, 0.15715095944796295)	(8.0, 0.2646753001228849)	(9.0, 0.17014840722185462)	('>10', 2.6396634842612725)	('>50', 0.9121845164949427)	('>100', 2.91379147367426)	('>500', 3.9181397107477074)	('>1k', 13.067161357406182)	('>5k', 7.109603932318745)	('>10k+', 65.30626713299934)
