Sample	Unique Reads	Duplicate Reads
016R_0_F_NS6_week5_S1_L001_R1_001	6645.0	108250.0
016R_0_F_NS6_week5_S1_L001_R2_001	15321.0	99574.0
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	6405.0	113080.0
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	15264.0	104221.0
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	9138.0	166298.0
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	21319.0	154117.0
073R_R_M_S2_diabetes_S7_L001_R1_001	7249.0	116898.0
073R_R_M_S2_diabetes_S7_L001_R2_001	15128.0	109019.0
073R_R_M_S2_week5_S33_L001_R1_001	7118.0	130844.0
073R_R_M_S2_week5_S33_L001_R2_001	16426.0	121536.0
073R_S2_week21_S27_L001_R1_001	7612.0	136437.0
073R_S2_week21_S27_L001_R2_001	17633.0	126416.0
096R_0_M_S5_week5_S4_L001_R1_001	6067.0	98624.0
096R_0_M_S5_week5_S4_L001_R2_001	13317.0	91374.0
1067R_0_M_S2_week5_S34_L001_R1_001	7934.0	152638.0
1067R_0_M_S2_week5_S34_L001_R2_001	18210.0	142362.0
1067R_0_M_S2_week9_S62_L001_R1_001	8869.0	157734.0
1067R_0_M_S2_week9_S62_L001_R2_001	20659.0	145944.0
1067R_L_M_S2_week5_S35_L001_R1_001	7049.0	121852.0
1067R_L_M_S2_week5_S35_L001_R2_001	14984.0	113917.0
1067R_L_M_S2_week9_S63_L001_R1_001	8650.0	151829.0
1067R_L_M_S2_week9_S63_L001_R2_001	19827.0	140652.0
1067R_R_M_S2_diabetes_S8_L001_R1_001	6260.0	92285.0
1067R_R_M_S2_diabetes_S8_L001_R2_001	12414.0	86131.0
1067R_S2_week27_S30_L001_R1_001	7769.0	130398.0
1067R_S2_week27_S30_L001_R2_001	17463.0	120704.0
1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001	6529.0	112285.0
1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001	14428.0	104386.0
1152R_0_M_S2_week5_S36_L001_R1_001	8475.0	156144.0
1152R_0_M_S2_week5_S36_L001_R2_001	18313.0	146306.0
1152R_L_M_S2_diabetes_S9_L001_R1_001	8321.0	151229.0
1152R_L_M_S2_diabetes_S9_L001_R2_001	19418.0	140132.0
1152R_L_M_S2_week5_S37_L001_R1_001	8595.0	158239.0
1152R_L_M_S2_week5_S37_L001_R2_001	18659.0	148175.0
1152R_L_M_S2_week9_S64_L001_R1_001	7996.0	142011.0
1152R_L_M_S2_week9_S64_L001_R2_001	18711.0	131296.0
1152R_R_M_S2_week5_S38_L001_R1_001	6849.0	111562.0
1152R_R_M_S2_week5_S38_L001_R2_001	14625.0	103786.0
1152R_R_M_S2_week9_S65_L001_R1_001	6428.0	109951.0
1152R_R_M_S2_week9_S65_L001_R2_001	14017.0	102362.0
1152R_S2_week28_S31_L001_R1_001	7946.0	140725.0
1152R_S2_week28_S31_L001_R2_001	18731.0	129940.0
1174R_0_M_S2_diabetes_S10_L001_R1_001	7776.0	139709.0
1174R_0_M_S2_diabetes_S10_L001_R2_001	18686.0	128799.0
1174R_0_M_S2_week5_S39_L001_R1_001	7379.0	122249.0
1174R_0_M_S2_week5_S39_L001_R2_001	15407.0	114221.0
1174R_S2_week14_S21_L001_R1_001	7916.0	145465.0
1174R_S2_week14_S21_L001_R2_001	17159.0	136222.0
2402R_R_F_S5_Pellet_week9_S5_L001_R1_001	6451.0	102757.0
2402R_R_F_S5_Pellet_week9_S5_L001_R2_001	14342.0	94866.0
2404R_0_F_S2_week5_S40_L001_R1_001	7739.0	138625.0
2404R_0_F_S2_week5_S40_L001_R2_001	16956.0	129408.0
2404R_0_F_S2_week9_S66_L001_R1_001	6993.0	123682.0
2404R_0_F_S2_week9_S66_L001_R2_001	15657.0	115018.0
2404R_L_F_S2_diabetes_S11_L001_R1_001	8168.0	136496.0
2404R_L_F_S2_diabetes_S11_L001_R2_001	18001.0	126663.0
2404R_L_F_S2_week5_S41_L001_R1_001	8768.0	146329.0
2404R_L_F_S2_week5_S41_L001_R2_001	20173.0	134924.0
2404R_L_F_S2_week9_S67_L001_R1_001	7297.0	129963.0
2404R_L_F_S2_week9_S67_L001_R2_001	16398.0	120862.0
2404R_S2_week14_S22_L001_R1_001	9019.0	166339.0
2404R_S2_week14_S22_L001_R2_001	18887.0	156471.0
2446R_0_F_S2_week5_S42_L001_R1_001	7597.0	136971.0
2446R_0_F_S2_week5_S42_L001_R2_001	18300.0	126268.0
2446R_L_F_S2_diabetes_S12_L001_R1_001	8810.0	152313.0
2446R_L_F_S2_diabetes_S12_L001_R2_001	19576.0	141547.0
2446R_RL_F_S2_Pellet_week9_S69_L001_R1_001	8465.0	155550.0
2446R_RL_F_S2_Pellet_week9_S69_L001_R2_001	18721.0	145294.0
2446R_RL_F_S2_week5_S44_L001_R1_001	7834.0	132132.0
2446R_RL_F_S2_week5_S44_L001_R2_001	17535.0	122431.0
2446R_R_F_S2_Pellet_week9_S68_L001_R1_001	6775.0	118887.0
2446R_R_F_S2_Pellet_week9_S68_L001_R2_001	14444.0	111218.0
2446R_R_F_S2_week5_S43_L001_R1_001	7816.0	146982.0
2446R_R_F_S2_week5_S43_L001_R2_001	18926.0	135872.0
2446R_S2_week15_S24_L001_R1_001	7018.0	121448.0
2446R_S2_week15_S24_L001_R2_001	14395.0	114071.0
2453R_0_F_S2_Pellet_week9_S70_L001_R1_001	7504.0	128118.0
2453R_0_F_S2_Pellet_week9_S70_L001_R2_001	16114.0	119508.0
2453R_0_F_S2_week5_S45_L001_R1_001	6704.0	114689.0
2453R_0_F_S2_week5_S45_L001_R2_001	15867.0	105526.0
2453R_L_F_S2_Pellet_week9_S71_L001_R1_001	7816.0	128840.0
2453R_L_F_S2_Pellet_week9_S71_L001_R2_001	16372.0	120284.0
2453R_L_F_S2_diabetes_S13_L001_R1_001	9413.0	176653.0
2453R_L_F_S2_diabetes_S13_L001_R2_001	21591.0	164475.0
2453R_L_F_S2_week5_S46_L001_R1_001	8361.0	150180.0
2453R_L_F_S2_week5_S46_L001_R2_001	19477.0	139064.0
2453R_R_F_S2_Pellet_week9_S72_L001_R1_001	6793.0	110676.0
2453R_R_F_S2_Pellet_week9_S72_L001_R2_001	14286.0	103183.0
2453R_R_F_S2_diabetes_S14_L001_R1_001	8231.0	136708.0
2453R_R_F_S2_diabetes_S14_L001_R2_001	17706.0	127233.0
2453R_R_F_S2_week5_S47_L001_R1_001	6673.0	106133.0
2453R_R_F_S2_week5_S47_L001_R2_001	15139.0	97667.0
2453R_S2_week21_S28_L001_R1_001	7246.0	115995.0
2453R_S2_week21_S28_L001_R2_001	15669.0	107572.0
2475R_RL_M_S5_Pellet_week9_S6_L001_R1_001	7028.0	121614.0
2475R_RL_M_S5_Pellet_week9_S6_L001_R2_001	16278.0	112364.0
3795R_L_F_S2_week5_S48_L001_R1_001	8514.0	150990.0
3795R_L_F_S2_week5_S48_L001_R2_001	19908.0	139596.0
3795R_L_F_S2_week9_S73_L001_R1_001	6954.0	128842.0
3795R_L_F_S2_week9_S73_L001_R2_001	18257.0	117539.0
3880R_0_F_S2_week5_S49_L001_R1_001	8156.0	146947.0
3880R_0_F_S2_week5_S49_L001_R2_001	20363.0	134740.0
3880R_0_F_S2_week9_S74_L001_R1_001	7078.0	150566.0
3880R_0_F_S2_week9_S74_L001_R2_001	19573.0	138071.0
3880R_L_F_S2_week5_S50_L001_R1_001	7046.0	118163.0
3880R_L_F_S2_week5_S50_L001_R2_001	17157.0	108052.0
3880R_L_F_S2_week9_S75_L001_R1_001	8688.0	175682.0
3880R_L_F_S2_week9_S75_L001_R2_001	22084.0	162286.0
3880R_R_F_S2_week5_S51_L001_R1_001	8155.0	143786.0
3880R_R_F_S2_week5_S51_L001_R2_001	19761.0	132180.0
3880R_R_F_S2_week9_S76_L001_R1_001	7958.0	126585.0
3880R_R_F_S2_week9_S76_L001_R2_001	17756.0	116787.0
3880R_S2_week15_S25_L001_R1_001	6672.0	115233.0
3880R_S2_week15_S25_L001_R2_001	16108.0	105797.0
3909R_0_M_S2_diabetes_S15_L001_R1_001	7671.0	127879.0
3909R_0_M_S2_diabetes_S15_L001_R2_001	16851.0	118699.0
3909R_L_M_S2_diabetes_S16_L001_R1_001	9491.0	163830.0
3909R_L_M_S2_diabetes_S16_L001_R2_001	20843.0	152478.0
3909R_L_M_S2_week5_S52_L001_R1_001	7132.0	116217.0
3909R_L_M_S2_week5_S52_L001_R2_001	16466.0	106883.0
3909R_L_M_S2_week9_S77_L001_R1_001	8199.0	138986.0
3909R_L_M_S2_week9_S77_L001_R2_001	19485.0	127700.0
3909R_S2_week21_S29_L001_R1_001	7666.0	129303.0
3909R_S2_week21_S29_L001_R2_001	17557.0	119412.0
3918R_0_M_S2_diabetes_S17_L001_R1_001	8542.0	166182.0
3918R_0_M_S2_diabetes_S17_L001_R2_001	18864.0	155860.0
3918R_0_M_S2_week5_S53_L001_R1_001	7803.0	136869.0
3918R_0_M_S2_week5_S53_L001_R2_001	18982.0	125690.0
3918R_0_M_S2_week9_S78_L001_R1_001	7171.0	120714.0
3918R_0_M_S2_week9_S78_L001_R2_001	17141.0	110744.0
3918R_L_M_S2_week5_S54_L001_R1_001	7718.0	128727.0
3918R_L_M_S2_week5_S54_L001_R2_001	18370.0	118075.0
3918R_L_M_S2_week9_S79_L001_R1_001	8523.0	151581.0
3918R_L_M_S2_week9_S79_L001_R2_001	20348.0	139756.0
3918R_RL_M_S2_week5_S55_L001_R1_001	7721.0	129802.0
3918R_RL_M_S2_week5_S55_L001_R2_001	18523.0	119000.0
3918R_RL_M_S2_week9_S80_L001_R1_001	7874.0	138436.0
3918R_RL_M_S2_week9_S80_L001_R2_001	19350.0	126960.0
3918R_RR_M_S2_week5_S56_L001_R1_001	8222.0	141309.0
3918R_RR_M_S2_week5_S56_L001_R2_001	19942.0	129589.0
3918R_RR_M_S2_week9_S81_L001_R1_001	7130.0	120475.0
3918R_RR_M_S2_week9_S81_L001_R2_001	16774.0	110831.0
3918R_S2_week29_S32_L001_R1_001	8373.0	131077.0
3918R_S2_week29_S32_L001_R2_001	17684.0	121766.0
