.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
016R_R_F_NS6_week5_S1_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
016R_R_F_NS6_week5_S1_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_0_M_NS1_S62_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_0_M_NS1_S62_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_0_M_NS1_week5_S41_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_0_M_NS1_week5_S41_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_L_M_NS1_S63_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_L_M_NS1_S63_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_L_M_NS1_week5_S42_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_L_M_NS1_week5_S42_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_NS1_week18_S34_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_NS1_week18_S34_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_RL_M_NS1_S64_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_RL_M_NS1_S64_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_RL_M_NS1_week5_S43_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_RL_M_NS1_week5_S43_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_RR_M_NS1_S65_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_RR_M_NS1_S65_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_RR_M_NS1_week5_S44_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
036R_RR_M_NS1_week5_S44_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1030R_RR_M_NS1_week5_S45_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1030R_RR_M_NS1_week5_S45_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1030R_RR_M_NS1_week9_S66_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1030R_RR_M_NS1_week9_S66_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1060R_L_M_S5_week5_S12_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1060R_L_M_S5_week5_S12_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1075R_0_M_NS6_week5_S2_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1075R_0_M_NS6_week5_S2_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1075R_RL_M_NS6_week5_S3_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1075R_RL_M_NS6_week5_S3_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1076R_0_M_S5_week5_S13_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1076R_0_M_S5_week5_S13_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_L_M_NS1_week5_S46_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_L_M_NS1_week5_S46_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_L_M_NS1_week9_S67_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_L_M_NS1_week9_S67_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_NS1_week19_S35_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_NS1_week19_S35_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_RL_M_NS1_diabetes_S23_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_RL_M_NS1_diabetes_S23_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_RL_M_NS1_week5_S48_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1121R_RL_M_NS1_week5_S48_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
