Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
016R_R_F_NS6_week5_S1_L001_R1_001	47.13150660100903	47.45173861816864
016R_R_F_NS6_week5_S1_L001_R2_001	17.56442403552763	70.85737591009337
036R_0_M_NS1_S62_L001_R1_001	31.490761260816168	62.668153522578095
036R_0_M_NS1_S62_L001_R2_001	19.76342052143472	67.98131078582216
036R_0_M_NS1_week5_S41_L001_R1_001	39.28014604959823	55.2136774915715
036R_0_M_NS1_week5_S41_L001_R2_001	27.05782018309503	62.26829950828191
036R_L_M_NS1_S63_L001_R1_001	31.904718389229036	62.26354747327059
036R_L_M_NS1_S63_L001_R2_001	20.405738828474824	68.0678668250632
036R_L_M_NS1_week5_S42_L001_R1_001	37.93672732857253	56.6920064501267
036R_L_M_NS1_week5_S42_L001_R2_001	26.135811001049426	63.49023522485859
036R_NS1_week18_S34_L001_R1_001	34.80304542605789	60.20055244771477
036R_NS1_week18_S34_L001_R2_001	23.333952322369488	67.78162066804391
036R_RL_M_NS1_S64_L001_R1_001	24.90361552811584	69.36483965532558
036R_RL_M_NS1_S64_L001_R2_001	19.6375588522697	68.24731278315716
036R_RL_M_NS1_week5_S43_L001_R1_001	34.53793039849685	59.73187628961049
036R_RL_M_NS1_week5_S43_L001_R2_001	23.018754827033693	64.91106730758148
036R_RR_M_NS1_S65_L001_R1_001	27.27706645346825	67.03936613247735
036R_RR_M_NS1_S65_L001_R2_001	18.0840781356276	71.33038196723268
036R_RR_M_NS1_week5_S44_L001_R1_001	39.35368146414457	54.8334804128458
036R_RR_M_NS1_week5_S44_L001_R2_001	27.513141234700534	62.27794190998734
1030R_RR_M_NS1_week5_S45_L001_R1_001	44.799818063409035	49.87026680587573
1030R_RR_M_NS1_week5_S45_L001_R2_001	31.617685063626123	58.09772889380484
1030R_RR_M_NS1_week9_S66_L001_R1_001	20.48681262799104	73.78056322929122
1030R_RR_M_NS1_week9_S66_L001_R2_001	19.13577701727621	70.58233345702938
1060R_L_M_S5_week5_S12_L001_R1_001	35.36729532083356	58.33287513058778
1060R_L_M_S5_week5_S12_L001_R2_001	33.03458514323418	56.17061637433332
1075R_0_M_NS6_week5_S2_L001_R1_001	26.22967618527121	67.89520426287746
1075R_0_M_NS6_week5_S2_L001_R2_001	16.363232682060392	72.12221614974723
1075R_RL_M_NS6_week5_S3_L001_R1_001	36.89584844710295	57.319627140451985
1075R_RL_M_NS6_week5_S3_L001_R2_001	15.954665535130102	72.91429979331207
1076R_0_M_S5_week5_S13_L001_R1_001	27.38444583979394	66.52869792534311
1076R_0_M_S5_week5_S13_L001_R2_001	25.680126094032317	63.05983059318015
1121R_L_M_NS1_week5_S46_L001_R1_001	35.441995101313736	58.72077488309954
1121R_L_M_NS1_week5_S46_L001_R2_001	24.555778223112892	64.1182364729459
1121R_L_M_NS1_week9_S67_L001_R1_001	31.62253649268808	62.60686905446809
1121R_L_M_NS1_week9_S67_L001_R2_001	29.587508863943484	60.24270480726777
1121R_NS1_week19_S35_L001_R1_001	27.35651325045221	67.44523242125814
1121R_NS1_week19_S35_L001_R2_001	20.63653851675328	70.11542105716501
1121R_RL_M_NS1_diabetes_S23_L001_R1_001	28.91852086154576	65.06172961538842
1121R_RL_M_NS1_diabetes_S23_L001_R2_001	19.39367580337462	70.20174562851523
1121R_RL_M_NS1_week5_S48_L001_R1_001	31.9911868121832	62.19804557285721
1121R_RL_M_NS1_week5_S48_L001_R2_001	25.901867665190192	63.43554500205488
1121R_RL_M_NS1_week9_S69_L001_R1_001	26.97781885397412	66.97165742452248
1121R_RL_M_NS1_week9_S69_L001_R2_001	25.259806941877184	64.63544875744506
1121R_RR_M_NS1_week5_S49_L001_R1_001	35.06665162236657	59.15633714276503
1121R_RR_M_NS1_week5_S49_L001_R2_001	24.86178049291575	63.64222505198344
1121R_RR_M_NS1_week9_S70_L001_R1_001	27.364997171576523	66.88786388755929
1121R_RR_M_NS1_week9_S70_L001_R2_001	25.195813933249205	63.86797789478265
1121R_R_M_NS1_week5_S47_L001_R1_001	33.94437420986093	60.07068153085853
1121R_R_M_NS1_week5_S47_L001_R2_001	23.94983335248822	65.79128835766005
1121R_R_M_NS1_week9_S68_L001_R1_001	27.41527062257537	66.7269574762683
1121R_R_M_NS1_week9_S68_L001_R2_001	20.474758940711265	69.30532513378323
1136R_0_F_S5_week5_S14_L001_R1_001	32.82000095061552	60.99466070947605
1136R_0_F_S5_week5_S14_L001_R2_001	30.936197854777635	57.3442970990383
1151R_0_M_NS1_week5_S50_L001_R1_001	50.33129071971006	44.54511501805154
1151R_0_M_NS1_week5_S50_L001_R2_001	35.697785401076175	53.90978379649482
1151R_0_M_NS1_week9_S71_L001_R1_001	30.095859484888244	64.22585487512262
1151R_0_M_NS1_week9_S71_L001_R2_001	28.163303901752894	61.63493020342068
1151R_NS1_week21_S36_L001_R1_001	28.343541262084127	66.17512110800486
1151R_NS1_week21_S36_L001_R2_001	19.251371134680635	71.26912652852172
1151R_R_M_NS1_diabetes_S24_L001_R1_001	24.89302104907802	69.28130217789985
1151R_R_M_NS1_diabetes_S24_L001_R2_001	21.80910758113521	67.32146604501784
1184R_0_M_NS6_week5_S4_L001_R1_001	28.302553234433343	64.99983180273824
1184R_0_M_NS6_week5_S4_L001_R2_001	14.739126047027954	73.68217445419988
1186R_0_M_NS6_week5_S5_L001_R1_001	39.272615089294895	54.48188393377438
1186R_0_M_NS6_week5_S5_L001_R2_001	16.2444726288006	72.09920131628562
1186R_RR_M_NS6_week5_S6_L001_R1_001	40.68646645983313	53.406729118346945
1186R_RR_M_NS6_week5_S6_L001_R2_001	21.100033133528118	66.9703906744179
1193R_0_F_NS1_week5_S51_L001_R1_001	38.482626713420466	56.06885559451705
1193R_0_F_NS1_week5_S51_L001_R2_001	27.004144086707043	62.36149187121454
1193R_0_F_NS1_week9_S72_L001_R1_001	29.924435274257082	64.55022910581742
1193R_0_F_NS1_week9_S72_L001_R2_001	20.131836330019564	69.67898389560277
1193R_L_F_NS1_diabetes_S25_L001_R1_001	30.948239466351428	63.510934729376004
1193R_L_F_NS1_diabetes_S25_L001_R2_001	19.976357341889724	67.8054546989783
1193R_L_F_NS1_week5_S52_L001_R1_001	44.412483453823434	49.803991446899495
1193R_L_F_NS1_week5_S52_L001_R2_001	31.361368496079827	57.79579472558803
1193R_L_F_NS1_week9_S73_L001_R1_001	25.061862514334	68.90277023356872
1193R_L_F_NS1_week9_S73_L001_R2_001	15.909228076528455	72.74126380590259
1193R_NS1_week24_S38_L001_R1_001	27.779266404668334	66.78873407169228
1193R_NS1_week24_S38_L001_R2_001	22.466357032273432	67.85012504465881
184R_0_M_NS6_week5_S7_L001_R1_001	33.13576916934325	60.43156531151847
184R_0_M_NS6_week5_S7_L001_R2_001	18.11970968715064	70.78061505155006
2402R_0_F_S5_week5_S15_L001_R1_001	51.149328150088735	43.19980844530832
2402R_0_F_S5_week5_S15_L001_R2_001	48.06473421786529	41.57300205639595
2402R_R_F_S5_week5_S16_L001_R1_001	33.6632183220714	60.60664952460682
2402R_R_F_S5_week5_S16_L001_R2_001	31.468636010285234	58.293966393589656
2403R_0_F_NS6_week5_S8_L001_R1_001	36.98432182979319	56.851624531907945
2403R_0_F_NS6_week5_S8_L001_R2_001	22.992059915782274	65.35108845968581
2433R_0_F_S5_week5_S17_L001_R1_001	29.499673809404324	64.62287348823205
2433R_0_F_S5_week5_S17_L001_R2_001	27.294625382646657	60.81397099412857
2475R_0_M_S5_week5_S18_L001_R1_001	28.61590143607151	65.63629488273108
2475R_0_M_S5_week5_S18_L001_R2_001	26.635477034288073	62.202210829016906
2475R_RL_M_S5_week5_S19_L001_R1_001	27.432432432432428	66.64934164934166
2475R_RL_M_S5_week5_S19_L001_R2_001	25.575190575190575	63.35585585585585
2476R_R_F_NS6_week5_S9_L001_R1_001	36.8795346309969	57.3145395851312
2476R_R_F_NS6_week5_S9_L001_R2_001	20.10100041550804	68.86406494710263
2518R_0_M_S5_week5_S20_L001_R1_001	32.46869524065334	61.285701495209956
2518R_0_M_S5_week5_S20_L001_R2_001	30.24826368903726	58.20318995177979
2529R_0_F_NS1_week5_S53_L001_R1_001	44.556529927608736	49.678064857865934
2529R_0_F_NS1_week5_S53_L001_R2_001	31.321287740568536	57.62462480136543
2529R_0_F_NS1_week9_S74_L001_R1_001	29.913952872650253	64.42017474185862
