Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
2402R_R_F_S5_week5_S16_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.018932305998899286)	(40, 0.06582278481012657)	(45, 0.07925151348376444)	(50, 0.08365437534397359)	(55, 0.0856356631810677)	(60, 0.08651623555310953)	(65, 0.11887727022564668)	(70, 0.11887727022564668)	(75, 0.11887727022564668)	(80, 0.11887727022564668)	(85, 0.11887727022564668)	(90, 0.11887727022564668)	(95, 0.11887727022564668)	(100, 0.11887727022564668)	(105, 0.11887727022564668)	(110, 0.11887727022564668)	(115, 0.11887727022564668)	(120, 0.11887727022564668)	(125, 0.11887727022564668)	(130, 0.11887727022564668)	(135, 0.11887727022564668)	(140, 0.11887727022564668)	(145, 0.11887727022564668)	(150, 0.11887727022564668)	(155, 0.11909741331865713)	(160, 0.11997798569069895)	(165, 0.11997798569069895)	(170, 0.11997798569069895)	(175, 0.11997798569069895)	(180, 0.11997798569069895)	(185, 0.11997798569069895)	(190, 0.11997798569069895)	(195, 0.11997798569069895)	(200, 0.11997798569069895)	(205, 0.11997798569069895)	(210, 0.11997798569069895)	(215, 0.11997798569069895)	(220, 0.11997798569069895)	(225, 0.11997798569069895)	(230, 0.11997798569069895)	(235, 0.11997798569069895)	(240, 0.11997798569069895)	(245, 0.11997798569069895)	(250, 0.12217941662080352)	(255, 0.12548156301596036)	(260, 0.12548156301596036)	(265, 0.12548156301596036)	(270, 0.12548156301596036)	(275, 0.12548156301596036)	(280, 0.12548156301596036)	(285, 0.12548156301596036)	(290, 0.12658227848101267)
2402R_R_F_S5_week5_S16_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.01849201981287837)	(40, 0.062080352228948824)	(45, 0.07374793615850303)	(50, 0.07815079801871216)	(55, 0.08013208585580626)	(60, 0.08123280132085856)	(65, 0.1089708310401761)	(70, 0.1089708310401761)	(75, 0.1089708310401761)	(80, 0.1089708310401761)	(85, 0.1089708310401761)	(90, 0.1089708310401761)	(95, 0.1089708310401761)	(100, 0.1089708310401761)	(105, 0.1089708310401761)	(110, 0.1089708310401761)	(115, 0.1089708310401761)	(120, 0.1089708310401761)	(125, 0.1089708310401761)	(130, 0.1089708310401761)	(135, 0.1089708310401761)	(140, 0.1089708310401761)	(145, 0.1089708310401761)	(150, 0.1089708310401761)	(155, 0.10919097413318657)	(160, 0.1100715465052284)	(165, 0.1100715465052284)	(170, 0.1100715465052284)	(175, 0.1100715465052284)	(180, 0.1100715465052284)	(185, 0.1100715465052284)	(190, 0.1100715465052284)	(195, 0.1100715465052284)	(200, 0.1100715465052284)	(205, 0.1100715465052284)	(210, 0.1100715465052284)	(215, 0.1100715465052284)	(220, 0.1100715465052284)	(225, 0.1100715465052284)	(230, 0.1100715465052284)	(235, 0.1100715465052284)	(240, 0.1100715465052284)	(245, 0.1100715465052284)	(250, 0.11227297743533297)	(255, 0.11557512383048982)	(260, 0.11557512383048982)	(265, 0.11557512383048982)	(270, 0.11557512383048982)	(275, 0.11557512383048982)	(280, 0.11557512383048982)	(285, 0.11557512383048982)	(290, 0.11667583929554211)
NS6_defined_inocula_S86_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.007251138655366976)	(40, 0.026285377625705285)	(45, 0.0403344587704788)	(50, 0.04622600892796447)	(55, 0.05982189390677754)	(60, 0.06118148240465886)	(65, 0.06254107090254016)	(70, 0.06661983639618409)	(75, 0.07341777888559062)	(80, 0.07553269432673933)	(85, 0.2939732463196695)	(90, 0.3531908786718331)	(95, 0.35575899027894226)	(100, 0.35575899027894226)	(105, 0.3565143172222096)	(110, 0.357269644165477)	(115, 0.35893136344066534)	(120, 0.35998882116123965)	(125, 0.36134840965912096)	(130, 0.36301012893430923)	(135, 0.36542717515276485)	(140, 0.36754209059391363)	(145, 0.36950594064640885)	(150, 0.37207405225351786)	(155, 0.37600175235850836)	(160, 0.389446571948668)	(165, 0.3918636181671237)	(170, 0.41119998791476886)	(175, 0.4260043960028098)	(180, 0.4260043960028098)	(185, 0.4260043960028098)	(190, 0.4260043960028098)	(195, 0.42645759216877027)	(200, 0.43008316149645376)	(205, 0.4338597962127907)	(210, 0.4358236462652859)	(215, 0.4358236462652859)	(220, 0.4358236462652859)	(225, 0.4358236462652859)	(230, 0.4374853655404742)	(235, 0.43944921559296946)	(240, 0.44035560792489037)	(245, 0.44111093486815767)	(250, 0.44111093486815767)	(255, 0.44111093486815767)	(260, 0.44111093486815767)	(265, 0.44111093486815767)	(270, 0.4415641310341181)	(275, 0.44231945797738553)	(280, 0.44292371953199944)	(285, 0.4988179133337865)	(290, 0.5770697846562884)
NS6_defined_inocula_S86_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.007251138655366976)	(40, 0.025832181459744852)	(45, 0.039579131827211414)	(50, 0.04592387815065751)	(55, 0.059972959295431026)	(60, 0.06118148240465886)	(65, 0.06254107090254016)	(70, 0.06646877100753061)	(75, 0.07281351733097671)	(80, 0.07477736738347193)	(85, 0.3226756701638305)	(90, 0.38944657194866805)	(95, 0.3920146835557771)	(100, 0.3920146835557771)	(105, 0.39277001049904453)	(110, 0.3935253374423119)	(115, 0.39458279516288625)	(120, 0.3954891874948071)	(125, 0.3969998413813419)	(130, 0.3992658222111441)	(135, 0.40168286842959977)	(140, 0.40379778387074844)	(145, 0.4057616339232437)	(150, 0.4121063802466898)	(155, 0.4152787534084128)	(160, 0.42645759216877027)	(165, 0.4288746383872259)	(170, 0.44911740046679205)	(175, 0.4645260701094468)	(180, 0.4645260701094468)	(185, 0.4645260701094468)	(190, 0.4645260701094468)	(195, 0.4645260701094468)	(200, 0.467396312493863)	(205, 0.47087081643289297)	(210, 0.47283466648538824)	(215, 0.47283466648538824)	(220, 0.47283466648538824)	(225, 0.47283466648538824)	(230, 0.4749495819265369)	(235, 0.47721556275633903)	(240, 0.47812195508825994)	(245, 0.47812195508825994)	(250, 0.47812195508825994)	(255, 0.47812195508825994)	(260, 0.47812195508825994)	(265, 0.47812195508825994)	(270, 0.47812195508825994)	(275, 0.47857515125422034)	(280, 0.4790283474201808)	(285, 0.5252543563481453)	(290, 0.5899103426918342)
Negative_extraction_S85_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.23367553233386723)	(40, 0.7318770184052301)	(45, 0.9932522908078871)	(50, 1.014256833040145)	(55, 1.0217397012103868)	(60, 1.0235775986557092)	(65, 1.0248903825452254)	(70, 1.026728279990548)	(75, 1.0288287342137736)	(80, 1.0389371701630477)	(85, 9.706461522304199)	(90, 11.832383752986583)	(95, 11.856932811720535)	(100, 11.857851760443197)	(105, 11.874786672617955)	(110, 11.875574342951662)	(115, 11.887651954735212)	(120, 11.891459028014808)	(125, 11.894609709349648)	(130, 11.909706724079083)	(135, 11.921784335862629)	(140, 11.95027174626513)	(145, 11.966418988106179)	(150, 11.966944101661984)	(155, 12.128153963294562)	(160, 12.743193215532859)	(165, 12.746081340089795)	(170, 12.760915798041326)	(175, 12.885236432378502)	(180, 12.886680494656968)	(185, 12.890225011158662)	(190, 12.892194186992935)	(195, 12.892325465381887)	(200, 12.89403208443826)	(205, 12.89481975477197)	(210, 12.89481975477197)	(215, 12.895869981883584)	(220, 12.897445322551002)	(225, 12.897445322551002)	(230, 12.897970436106807)	(235, 12.91858114317221)	(240, 12.987371018982856)	(245, 12.987371018982856)	(250, 12.987371018982856)	(255, 12.987633575760759)	(260, 12.988552524483419)	(265, 12.98868380287237)	(270, 12.989077638039225)	(275, 12.989340194817128)	(280, 12.989340194817128)	(285, 13.013495418384228)	(290, 13.04972825373487)
Negative_extraction_S85_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.22448604510725442)	(40, 0.7195368498437787)	(45, 0.9943025179195001)	(50, 1.0160947304854673)	(55, 1.0244965473783705)	(60, 1.0268595583794995)	(65, 1.0281723422690157)	(70, 1.0294851261585316)	(75, 1.0304040748811931)	(80, 1.039462283718854)	(85, 10.695775461443537)	(90, 13.066663165909628)	(95, 13.090949667865676)	(100, 13.091868616588338)	(105, 13.109066085540997)	(110, 13.110247591041562)	(115, 13.121274975713499)	(120, 13.124819492215192)	(125, 13.128232730327932)	(130, 13.144773807335838)	(135, 13.15566991361882)	(140, 13.181531756242288)	(145, 13.195841100638011)	(150, 13.197022606138578)	(155, 13.347730196655027)	(160, 13.926667891931633)	(165, 13.929556016488567)	(170, 13.944784309606954)	(175, 14.062803581274448)	(180, 14.064247643552918)	(185, 14.067792160054612)	(190, 14.069761335888888)	(195, 14.069892614277839)	(200, 14.071599233334208)	(205, 14.072386903667919)	(210, 14.072912017223725)	(215, 14.073962244335338)	(220, 14.07501247144695)	(225, 14.07501247144695)	(230, 14.07501247144695)	(235, 14.09194738362171)	(240, 14.145246409536062)	(245, 14.145246409536062)	(250, 14.145246409536062)	(255, 14.145508966313965)	(260, 14.146427915036625)	(265, 14.146559193425578)	(270, 14.146953028592431)	(275, 14.147215585370336)	(280, 14.147215585370336)	(285, 14.16454433271195)	(290, 14.190537453724367)
Negtive_Control_S90_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00466278101582015)	(35, 12.498251457119068)	(40, 38.11157368859284)	(45, 43.18001665278935)	(50, 48.44363030807661)	(55, 49.78451290591174)	(60, 50.26278101582015)	(65, 63.89808492922565)	(70, 64.18184845961699)	(75, 64.2098251457119)	(80, 64.2098251457119)	(85, 64.2098251457119)	(90, 64.2098251457119)	(95, 64.2098251457119)	(100, 64.2098251457119)	(105, 64.2098251457119)	(110, 64.2098251457119)	(115, 64.2098251457119)	(120, 64.21115736885929)	(125, 64.2158201498751)	(130, 64.21981681931723)	(135, 64.21981681931723)	(140, 64.21981681931723)	(145, 64.21981681931723)	(150, 64.22447960033305)	(155, 64.24579517069108)	(160, 64.29308909242297)	(165, 64.29308909242297)	(170, 64.29308909242297)	(175, 64.29308909242297)	(180, 64.29308909242297)	(185, 64.29308909242297)	(190, 64.29308909242297)	(195, 64.29308909242297)	(200, 64.29308909242297)	(205, 64.29308909242297)	(210, 64.29308909242297)	(215, 64.29308909242297)	(220, 64.29308909242297)	(225, 64.29375520399667)	(230, 64.29641965029143)	(235, 64.29908409658617)	(240, 64.30641132389675)	(245, 64.30641132389675)	(250, 66.06894254787677)	(255, 68.6194837635304)	(260, 68.6194837635304)	(265, 68.6194837635304)	(270, 68.6194837635304)	(275, 68.6194837635304)	(280, 68.6194837635304)	(285, 68.62081598667777)	(290, 68.62614487926727)
Negtive_Control_S90_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.003330557868442964)	(35, 11.614321398834303)	(40, 35.43247293921731)	(45, 40.14321398834305)	(50, 45.47610324729392)	(55, 46.82964196502915)	(60, 47.29059117402165)	(65, 59.08409658617818)	(70, 59.34920899250625)	(75, 59.37785179017485)	(80, 59.38850957535387)	(85, 59.39383846794338)	(90, 59.39383846794338)	(95, 59.39716902581182)	(100, 59.39716902581182)	(105, 59.39716902581182)	(110, 59.39716902581182)	(115, 59.39716902581182)	(120, 59.39716902581182)	(125, 59.39716902581182)	(130, 59.39716902581182)	(135, 59.39716902581182)	(140, 59.39716902581182)	(145, 59.39716902581182)	(150, 59.39716902581182)	(155, 59.41115736885929)	(160, 59.4504579517069)	(165, 59.4504579517069)	(170, 59.4504579517069)	(175, 59.4504579517069)	(180, 59.4504579517069)	(185, 59.4504579517069)	(190, 59.4504579517069)	(195, 59.4504579517069)	(200, 59.4504579517069)	(205, 59.4504579517069)	(210, 59.4504579517069)	(215, 59.4504579517069)	(220, 59.4504579517069)	(225, 59.4504579517069)	(230, 59.4504579517069)	(235, 59.45245628642798)	(240, 59.4571190674438)	(245, 59.4571190674438)	(250, 60.93122398001665)	(255, 63.06078268109909)	(260, 63.06078268109909)	(265, 63.06078268109909)	(270, 63.06078268109909)	(275, 63.06078268109909)	(280, 63.06078268109909)	(285, 63.06211490424646)	(290, 63.06744379683597)
Pooled_GF_pellet_S84_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0001182228737616154)	(30, 0.000591114368808077)	(35, 0.11349395881115076)	(40, 0.4024306622845389)	(45, 1.0260563213770602)	(50, 1.410044215354787)	(55, 2.2945877568391935)	(60, 2.373087745016906)	(65, 2.4455583666327763)	(70, 2.670063603906084)	(75, 2.9710590405031563)	(80, 3.066228453881257)	(85, 6.800061475894355)	(90, 7.875653181377532)	(95, 8.006998794126687)	(100, 8.037736741304709)	(105, 8.09058236587615)	(110, 8.164708107724682)	(115, 8.26484288180077)	(120, 8.302910647152009)	(125, 8.359302957936302)	(130, 8.536400822831201)	(135, 8.668337549949163)	(140, 8.729813444305204)	(145, 8.804884969143831)	(150, 8.988012200600572)	(155, 9.049724540704135)	(160, 9.18568084552999)	(165, 9.400846475776131)	(170, 10.468280802969758)	(175, 11.133048022131323)	(180, 11.166386872532097)	(185, 11.222660960442626)	(190, 11.295368027806019)	(195, 11.318776156810818)	(200, 11.382498285768332)	(205, 11.469392097983118)	(210, 11.548837869150923)	(215, 11.562551722507271)	(220, 11.589624760598682)	(225, 11.60499373418769)	(230, 11.68774974582082)	(235, 11.74768874281796)	(240, 11.790367200245903)	(245, 11.804199276476012)	(250, 11.820986924550162)	(255, 11.853971106329652)	(260, 11.898304683990258)	(265, 11.922658595985151)	(270, 11.931761757264796)	(275, 11.93720000945783)	(280, 11.97893268389568)	(285, 15.70697278509446)	(290, 20.96623554725368)
Pooled_GF_pellet_S84_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0003546686212848462)	(30, 0.001182228737616154)	(35, 0.10841037523940131)	(40, 0.3875345801905753)	(45, 1.0021753008772136)	(50, 1.4027143971815668)	(55, 2.3667037098337786)	(60, 2.4514695103208566)	(65, 2.5255952521693894)	(70, 2.743243562764524)	(75, 3.0246140023171684)	(80, 3.11328115763838)	(85, 7.1750644314661995)	(90, 8.323599650060293)	(95, 8.446906107393659)	(100, 8.475634265717732)	(105, 8.525642541318895)	(110, 8.596458042702102)	(115, 8.68347007779065)	(120, 8.718345825550328)	(125, 8.769890998510393)	(130, 8.932329227058851)	(135, 9.056817913129832)	(140, 9.11510178989431)	(145, 9.184025725297332)	(150, 9.50594661055021)	(155, 9.562457144208262)	(160, 9.689546733501999)	(165, 9.89596387108978)	(170, 10.935379377201901)	(175, 11.585014068521977)	(180, 11.618707587544039)	(185, 11.667297188660061)	(190, 11.732201546355189)	(195, 11.756673681223845)	(200, 11.814839335114558)	(205, 11.891565980185847)	(210, 11.958834795356205)	(215, 11.967819733762088)	(220, 11.987562953680278)	(225, 12.001631475657911)	(230, 12.06960962807084)	(235, 12.121509469652187)	(240, 12.156148771664343)	(245, 12.16537015581775)	(250, 12.177428888941431)	(255, 12.203437921168987)	(260, 12.23133851937673)	(265, 12.242215023762798)	(270, 12.250135956304826)	(275, 12.255337762750337)	(280, 12.287730830161019)	(285, 15.280661102310074)	(290, 19.484902939020643)
