Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
016R_R_F_NS6_week5_S1_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0008273419983618629)	(29.0, 0.0008273419983618629)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0008273419983618629)	(35.0, 0.0016546839967237258)	(36.0, 0.0008273419983618629)	(37.0, 0.0008273419983618629)	(38.0, 0.0008273419983618629)	(39.0, 0.0008273419983618629)	(40.0, 0.0049640519901711765)	(41.0, 0.0049640519901711765)	(42.0, 0.013237471973789806)	(43.0, 0.019856207960684706)	(44.0, 0.024820259950855884)	(45.0, 0.1894613176248666)	(46.0, 11.18731850184911)	(47.0, 17.709255474935674)	(48.0, 15.995830196328257)	(49.0, 18.386021229595677)	(50.0, 4.539625545011542)	(51.0, 1.568640428894092)	(52.0, 0.6205064987713971)	(53.0, 4.953296544192473)	(54.0, 15.542446781225955)	(55.0, 7.5635605490241495)	(56.0, 0.7230969065682681)	(57.0, 0.2796415954463096)	(58.0, 0.13402940373462177)	(59.0, 0.18532460763305728)	(60.0, 0.0868709098279956)	(61.0, 0.04798583590498804)	(62.0, 0.014064813972151669)	(63.0, 0.009100761981980492)	(64.0, 0.0049640519901711765)	(65.0, 0.0033093679934474516)	(66.0, 0.04136709991809314)	(67.0, 0.10093572380014727)	(68.0, 0.022338233955770295)	(69.0, 0.00579139398853304)	(70.0, 0.0049640519901711765)	(71.0, 0.0024820259950855883)	(72.0, 0.0008273419983618629)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0016546839967237258)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
016R_R_F_NS6_week5_S1_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0008265145879824779)	(33.0, 0.0)	(34.0, 0.0008265145879824779)	(35.0, 0.0008265145879824779)	(36.0, 0.0)	(37.0, 0.004132572939912389)	(38.0, 0.004132572939912389)	(39.0, 0.004132572939912389)	(40.0, 0.008265145879824779)	(41.0, 0.017356806347632037)	(42.0, 0.027274981403421772)	(43.0, 0.043805273163071326)	(44.0, 0.07686585668237045)	(45.0, 0.20332258864368957)	(46.0, 0.9967765931068684)	(47.0, 2.996941896024465)	(48.0, 8.737085709562773)	(49.0, 22.820067774196215)	(50.0, 19.245392181171997)	(51.0, 9.144557401438135)	(52.0, 3.6598065955864123)	(53.0, 5.774030911645591)	(54.0, 6.236052566327796)	(55.0, 4.471443920985205)	(56.0, 7.454335069013967)	(57.0, 5.308703198611456)	(58.0, 1.215802958922225)	(59.0, 0.47276634432597736)	(60.0, 0.2545664930986032)	(61.0, 0.16530291759649557)	(62.0, 0.131415819489214)	(63.0, 0.09422266303000248)	(64.0, 0.07355979833044053)	(65.0, 0.04711133151500124)	(66.0, 0.04793784610298372)	(67.0, 0.07273328374245805)	(68.0, 0.06860071080254566)	(69.0, 0.045458302339036284)	(70.0, 0.022315893875526904)	(71.0, 0.01570377717166708)	(72.0, 0.010744689643772213)	(73.0, 0.0033060583519299116)	(74.0, 0.0033060583519299116)	(75.0, 0.0008265145879824779)	(76.0, 0.0016530291759649558)	(77.0, 0.004132572939912389)	(78.0, 0.0016530291759649558)	(79.0, 0.0016530291759649558)	(80.0, 0.0)	(81.0, 0.0008265145879824779)	(82.0, 0.0016530291759649558)	(83.0, 0.0008265145879824779)	(84.0, 0.0008265145879824779)	(85.0, 0.0)	(86.0, 0.0008265145879824779)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0016530291759649558)	(92.0, 0.0)	(93.0, 0.0008265145879824779)	(94.0, 0.0008265145879824779)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
036R_0_M_NS1_S62_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0007642163343599307)	(34.0, 0.0007642163343599307)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0007642163343599307)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0015284326687198613)	(41.0, 0.0038210816717996533)	(42.0, 0.0015284326687198613)	(43.0, 0.005349514340519514)	(44.0, 0.01299167768411882)	(45.0, 0.03821081671799653)	(46.0, 1.2770054947154441)	(47.0, 17.29115878122779)	(48.0, 18.94568714511704)	(49.0, 23.540919963623303)	(50.0, 5.303661360457919)	(51.0, 2.167317524244763)	(52.0, 0.6549333985464605)	(53.0, 5.51229241973818)	(54.0, 17.035146309217215)	(55.0, 6.436229967979336)	(56.0, 0.6954368642675368)	(57.0, 0.2988085867347329)	(58.0, 0.15819278121250563)	(59.0, 0.1750055405684241)	(60.0, 0.08864909478575196)	(61.0, 0.06648682108931396)	(62.0, 0.028276004371317432)	(63.0, 0.011463245015398959)	(64.0, 0.0076421633435993066)	(65.0, 0.004585298006159584)	(66.0, 0.056552008742634864)	(67.0, 0.1276241278381084)	(68.0, 0.031332869708757156)	(69.0, 0.010699028681039028)	(70.0, 0.004585298006159584)	(71.0, 0.0030568653374397226)	(72.0, 0.0015284326687198613)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
036R_0_M_NS1_S62_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0007577824255099875)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.001515564851019975)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0007577824255099875)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0007577824255099875)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0007577824255099875)	(35.0, 0.0007577824255099875)	(36.0, 0.0022733472765299628)	(37.0, 0.001515564851019975)	(38.0, 0.0060622594040799)	(39.0, 0.003788912127549938)	(40.0, 0.014397866084689764)	(41.0, 0.026522384892849568)	(42.0, 0.040920250977539326)	(43.0, 0.058349246764269044)	(44.0, 0.10154284501833832)	(45.0, 0.23870146403564607)	(46.0, 0.8631141826558759)	(47.0, 2.274862841380983)	(48.0, 7.889272831984481)	(49.0, 16.250644115061682)	(50.0, 18.519444697038587)	(51.0, 15.24734018368646)	(52.0, 4.964990451941439)	(53.0, 7.738474129307993)	(54.0, 8.65463308174957)	(55.0, 3.956382043587645)	(56.0, 6.247158315904337)	(57.0, 3.9919978175866144)	(58.0, 1.1283380315843714)	(59.0, 0.487254099602922)	(60.0, 0.2917462338213452)	(61.0, 0.21066351429177657)	(62.0, 0.14928313782546754)	(63.0, 0.11366736382649814)	(64.0, 0.07653602497650874)	(65.0, 0.06820041829589889)	(66.0, 0.060622594040799005)	(67.0, 0.08184050195507865)	(68.0, 0.09396502076323845)	(69.0, 0.050013640083659175)	(70.0, 0.029553514594889516)	(71.0, 0.015913430935709738)	(72.0, 0.006820041829589889)	(73.0, 0.005304476978569912)	(74.0, 0.008335606680609864)	(75.0, 0.00303112970203995)	(76.0, 0.001515564851019975)	(77.0, 0.003788912127549938)	(78.0, 0.00303112970203995)	(79.0, 0.0022733472765299628)	(80.0, 0.0022733472765299628)	(81.0, 0.0)	(82.0, 0.0022733472765299628)	(83.0, 0.0)	(84.0, 0.0007577824255099875)	(85.0, 0.0)	(86.0, 0.0007577824255099875)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.001515564851019975)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0007577824255099875)	(96.0, 0.0007577824255099875)	(97.0, 0.0007577824255099875)	(98.0, 0.0007577824255099875)	(99.0, 0.0)	(100.0, 0.0)
036R_0_M_NS1_week5_S41_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0014831404014861067)	(37.0, 0.0014831404014861067)	(38.0, 0.0)	(39.0, 0.0022247106022291597)	(40.0, 0.0022247106022291597)	(41.0, 0.0022247106022291597)	(42.0, 0.005190991405201373)	(43.0, 0.009640412609659694)	(44.0, 0.014089833814118012)	(45.0, 0.043752641843840145)	(46.0, 1.2310065332334685)	(47.0, 13.070174788096315)	(48.0, 18.25597520189249)	(49.0, 29.21934904967779)	(50.0, 5.532855267743921)	(51.0, 2.1134750721177022)	(52.0, 0.7949632551965532)	(53.0, 5.684877158896247)	(54.0, 16.33085896076352)	(55.0, 5.902157227713962)	(56.0, 0.6288515302301093)	(57.0, 0.3084932035091102)	(58.0, 0.15498817195529815)	(59.0, 0.24397659604446456)	(60.0, 0.11346024071368717)	(61.0, 0.07415702007430533)	(62.0, 0.028179667628236024)	(63.0, 0.008157272208173588)	(64.0, 0.007415702007430534)	(65.0, 0.0022247106022291597)	(66.0, 0.042269501442354036)	(67.0, 0.11939280231963159)	(68.0, 0.028179667628236024)	(69.0, 0.01557297421560412)	(70.0, 0.0029662808029722134)	(71.0, 0.0014831404014861067)	(72.0, 0.0014831404014861067)	(73.0, 0.0007415702007430534)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
036R_0_M_NS1_week5_S41_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0007294992473999431)	(25.0, 0.0007294992473999431)	(26.0, 0.0007294992473999431)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0007294992473999431)	(30.0, 0.0)	(31.0, 0.0007294992473999431)	(32.0, 0.0007294992473999431)	(33.0, 0.0)	(34.0, 0.0007294992473999431)	(35.0, 0.0014589984947998862)	(36.0, 0.0014589984947998862)	(37.0, 0.0007294992473999431)	(38.0, 0.0014589984947998862)	(39.0, 0.0014589984947998862)	(40.0, 0.004376995484399658)	(41.0, 0.006565493226599488)	(42.0, 0.01167198795839909)	(43.0, 0.02917996989599772)	(44.0, 0.05106494731799601)	(45.0, 0.12766236829499003)	(46.0, 0.679893298576747)	(47.0, 1.8886735515184525)	(48.0, 6.847079936095865)	(49.0, 14.347791197862081)	(50.0, 19.236165654689096)	(51.0, 19.505350876979676)	(52.0, 4.649098703679837)	(53.0, 6.981307797617455)	(54.0, 6.467010828200495)	(55.0, 3.745978635398708)	(56.0, 7.609406649628806)	(57.0, 5.094822743841202)	(58.0, 1.2014852604677062)	(59.0, 0.4902234942527618)	(60.0, 0.22103827196218273)	(61.0, 0.1641373306649872)	(62.0, 0.12255587356319045)	(63.0, 0.07878591871919385)	(64.0, 0.056900941297195556)	(65.0, 0.05471244355499573)	(66.0, 0.03939295935959693)	(67.0, 0.05908943903939538)	(68.0, 0.09045790667759293)	(69.0, 0.05325344506019584)	(70.0, 0.021155478174598348)	(71.0, 0.013860485700598916)	(72.0, 0.00729499247399943)	(73.0, 0.005835993979199545)	(74.0, 0.00729499247399943)	(75.0, 0.002188497742199829)	(76.0, 0.0007294992473999431)	(77.0, 0.0014589984947998862)	(78.0, 0.0014589984947998862)	(79.0, 0.0014589984947998862)	(80.0, 0.002188497742199829)	(81.0, 0.0014589984947998862)	(82.0, 0.0007294992473999431)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0007294992473999431)	(87.0, 0.0014589984947998862)	(88.0, 0.0007294992473999431)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0014589984947998862)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0007294992473999431)	(100.0, 0.000972665663199924)
036R_L_M_NS1_S63_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.002507375863999933)	(40.0, 0.002507375863999933)	(41.0, 0.0033431678186665774)	(42.0, 0.005014751727999866)	(43.0, 0.012536879319999665)	(44.0, 0.017551631047999533)	(45.0, 0.03677484600533235)	(46.0, 1.1450349778933027)	(47.0, 14.428276513410282)	(48.0, 17.890962581594188)	(49.0, 23.764908438991366)	(50.0, 5.232057636213193)	(51.0, 2.0343176176586124)	(52.0, 0.6009344154053173)	(53.0, 4.9921853452238665)	(54.0, 20.813727047063445)	(55.0, 7.5045759609518)	(56.0, 0.686185194781315)	(57.0, 0.2958703519519921)	(58.0, 0.14626359206666276)	(59.0, 0.1186824575626635)	(60.0, 0.04847593337066537)	(61.0, 0.046804349461332086)	(62.0, 0.018387423002666176)	(63.0, 0.008357919546666445)	(64.0, 0.002507375863999933)	(65.0, 0.0008357919546666444)	(66.0, 0.02674534254933262)	(67.0, 0.07271390005599805)	(68.0, 0.027581134503999266)	(69.0, 0.004178959773333222)	(70.0, 0.0033431678186665774)	(71.0, 0.002507375863999933)	(72.0, 0.0016715839093332887)	(73.0, 0.0016715839093332887)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
036R_L_M_NS1_S63_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0008269041535395632)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0016538083070791263)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.00248071246061869)	(34.0, 0.0008269041535395632)	(35.0, 0.0008269041535395632)	(36.0, 0.0016538083070791263)	(37.0, 0.0)	(38.0, 0.004134520767697816)	(39.0, 0.007442137381856068)	(40.0, 0.0157111789172517)	(41.0, 0.022326412145568207)	(42.0, 0.04299901598405729)	(43.0, 0.05871019490130899)	(44.0, 0.08847874442873327)	(45.0, 0.1910148594676391)	(46.0, 0.7070030512763266)	(47.0, 2.0474146841639587)	(48.0, 6.77647953825672)	(49.0, 14.688298479323262)	(50.0, 18.427559061629168)	(51.0, 15.082731760561632)	(52.0, 4.136174576004895)	(53.0, 6.414295519006393)	(54.0, 7.466117602308716)	(55.0, 4.396649384369858)	(56.0, 9.477975407870472)	(57.0, 6.20922328892858)	(58.0, 1.651327594618508)	(59.0, 0.6168704985405141)	(60.0, 0.3530880735613935)	(61.0, 0.25468647929018545)	(62.0, 0.21334127161320732)	(63.0, 0.14057370610172573)	(64.0, 0.09426707350351021)	(65.0, 0.07607518212563982)	(66.0, 0.07276756551148157)	(67.0, 0.07359446966502113)	(68.0, 0.06367161982254636)	(69.0, 0.036383782755740786)	(70.0, 0.027287837066805588)	(71.0, 0.02067260383848908)	(72.0, 0.0057883290747769425)	(73.0, 0.00496142492123738)	(74.0, 0.0033076166141582527)	(75.0, 0.004134520767697816)	(76.0, 0.0033076166141582527)	(77.0, 0.0016538083070791263)	(78.0, 0.0008269041535395632)	(79.0, 0.0016538083070791263)	(80.0, 0.0008269041535395632)	(81.0, 0.0008269041535395632)	(82.0, 0.0008269041535395632)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0008269041535395632)	(88.0, 0.0016538083070791263)	(89.0, 0.0016538083070791263)	(90.0, 0.0008269041535395632)	(91.0, 0.0008269041535395632)	(92.0, 0.0008269041535395632)	(93.0, 0.0)	(94.0, 0.0008269041535395632)	(95.0, 0.0008269041535395632)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
036R_L_M_NS1_week5_S42_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.00071370964864074)	(38.0, 0.00071370964864074)	(39.0, 0.00071370964864074)	(40.0, 0.0)	(41.0, 0.00142741929728148)	(42.0, 0.00285483859456296)	(43.0, 0.0035685482432037)	(44.0, 0.00927822543232962)	(45.0, 0.02069757981058146)	(46.0, 0.7422580345863696)	(47.0, 12.559148687131103)	(48.0, 17.222527531349698)	(49.0, 29.02799882951618)	(50.0, 5.212935273671965)	(51.0, 2.1018749152469796)	(52.0, 0.6444798127225881)	(53.0, 5.125862696537794)	(54.0, 18.23813636136547)	(55.0, 7.394745669566707)	(56.0, 0.6623225539386067)	(57.0, 0.27620563402396636)	(58.0, 0.15558870340368133)	(59.0, 0.22196370072727012)	(60.0, 0.09492338326921841)	(61.0, 0.05281451399941476)	(62.0, 0.02212499910786294)	(63.0, 0.00927822543232962)	(64.0, 0.00428225789184444)	(65.0, 0.00428225789184444)	(66.0, 0.040681449972522175)	(67.0, 0.10777015694475173)	(68.0, 0.02069757981058146)	(69.0, 0.01141935437825184)	(70.0, 0.00428225789184444)	(71.0, 0.00142741929728148)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
036R_L_M_NS1_week5_S42_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0006998978149190218)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0006998978149190218)	(29.0, 0.0)	(30.0, 0.0006998978149190218)	(31.0, 0.0006998978149190218)	(32.0, 0.0006998978149190218)	(33.0, 0.0013997956298380436)	(34.0, 0.0013997956298380436)	(35.0, 0.0020996934447570655)	(36.0, 0.0)	(37.0, 0.0013997956298380436)	(38.0, 0.002799591259676087)	(39.0, 0.002799591259676087)	(40.0, 0.004899284704433153)	(41.0, 0.010498467223785326)	(42.0, 0.01889724100281359)	(43.0, 0.025196321337084784)	(44.0, 0.054592029563683704)	(45.0, 0.12598160668542394)	(46.0, 0.6208093618331724)	(47.0, 1.8036366690463193)	(48.0, 6.76871176808186)	(49.0, 14.02455241534736)	(50.0, 18.686571760522963)	(51.0, 18.66627472389031)	(52.0, 4.669018323324795)	(53.0, 7.117960777726452)	(54.0, 7.344027771945296)	(55.0, 3.973319895295287)	(56.0, 8.09221853609373)	(57.0, 5.280729013564019)	(58.0, 1.2052240372905556)	(59.0, 0.4682316381808256)	(60.0, 0.2176682204398158)	(61.0, 0.17217486247007938)	(62.0, 0.1252817088705049)	(63.0, 0.09168661375439185)	(64.0, 0.06439059897255)	(65.0, 0.05949131426811685)	(66.0, 0.051792438304007614)	(67.0, 0.06928988367698316)	(68.0, 0.07348927056649729)	(69.0, 0.03569478856087011)	(70.0, 0.022396730077408698)	(71.0, 0.013298058483461416)	(72.0, 0.006998978149190218)	(73.0, 0.004899284704433153)	(74.0, 0.0020996934447570655)	(75.0, 0.0013997956298380436)	(76.0, 0.0013997956298380436)	(77.0, 0.0013997956298380436)	(78.0, 0.002799591259676087)	(79.0, 0.0)	(80.0, 0.0006998978149190218)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0013997956298380436)	(85.0, 0.0020996934447570655)	(86.0, 0.0006998978149190218)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0006998978149190218)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
