"features"	"coefs"	"category"
"1"	"ko.K22226"	-1.76939430381954	"left"
"2"	"ko.K18123"	-1.76939430381954	"left"
"3"	"ko.K16843"	-1.76939430381954	"left"
"4"	"ko.K16708"	-1.76939430381954	"left"
"5"	"ko.K12070"	-1.76939430381954	"left"
"6"	"ko.K09967"	-1.76939430381954	"left"
"7"	"ko.K07505"	-1.76939430381954	"left"
"8"	"ko.K01857"	-1.76939430381954	"left"
"9"	"ko.K01455"	-1.76939430381954	"left"
"10"	"ko.K19092"	-1.76939430381954	"left"
"11"	"ko.K00054"	3.24103488345253	"right"
"12"	"ko.K00105"	3.24103488345253	"right"
"13"	"ko.K00166"	3.24103488345253	"right"
"14"	"ko.K00167"	3.24103488345253	"right"
"15"	"ko.K00433"	3.24103488345253	"right"
"16"	"ko.K00687"	3.24103488345253	"right"
"17"	"ko.K00869"	3.24103488345253	"right"
"18"	"ko.K00938"	3.24103488345253	"right"
"19"	"ko.K01261"	3.24103488345253	"right"
"20"	"ko.K01269"	3.24103488345253	"right"
