feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko.K07067	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K07739	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K12138	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K14091	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K16210	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K20421	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K20449	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K09123	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K09128	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K11890	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K13017	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K15511	Week_and_consortia	S5_w5	-1.96780269971067	0.291026579634662	32	17	1.69643054588431e-07	6.6584898925959e-05
ko.K00853	Week_and_consortia	S5_w5	-0.572939594091931	0.0879407316546828	32	32	3.91768210578385e-07	0.000141940636294169
ko.K21449	Week_and_consortia	S5_w5	-0.672150156704068	0.103976082137723	32	32	4.49183387482303e-07	0.000151118125360118
ko.K03208	Week_and_consortia	S5_w5	-0.530718357048547	0.0825923198928834	32	32	4.98809272656759e-07	0.000156626111614222
ko.K01750	Week_and_consortia	S5_w5	-0.757668234121447	0.126025744217743	32	32	1.54116532838285e-06	0.0004536805435427
ko.K00045	Week_and_consortia	S5_w5	-1.05284554185982	0.192161190759468	32	32	6.02545140229189e-06	0.000462389515539527
ko.K00556	Week_and_consortia	S5_w5	-0.61029789585836	0.110007816783597	32	32	5.54273546470643e-06	0.000462389515539527
ko.K00683	Week_and_consortia	S5_w5	-1.05284554185982	0.192161190759468	32	32	6.02545140229189e-06	0.000462389515539527
ko.K00720	Week_and_consortia	S5_w5	-1.05284554185982	0.192161190759468	32	32	6.02545140229189e-06	0.000462389515539527
ko.K01126	Week_and_consortia	S5_w5	-0.412773085931993	0.0711176193636683	32	32	2.41366788363576e-06	0.000462389515539527
ko.K01227	Week_and_consortia	S5_w5	-0.796298965896722	0.141265595634021	32	32	4.33127413213044e-06	0.000462389515539527
ko.K01322	Week_and_consortia	S5_w5	-1.02503179877195	0.186519145430384	32	32	5.74969813407681e-06	0.000462389515539527
ko.K01771	Week_and_consortia	S5_w5	-1.05284554185982	0.192161190759468	32	32	6.02545140229189e-06	0.000462389515539527
ko.K02852	Week_and_consortia	S5_w5	-0.638591612888321	0.113232820931816	32	32	4.2985693644413e-06	0.000462389515539527
ko.K03189	Week_and_consortia	S5_w5	-0.588249968626246	0.104444228943238	32	32	3.9130405008411e-06	0.000462389515539527
ko.K03379	Week_and_consortia	S5_w5	-1.05284554185982	0.192161190759468	32	32	6.02545140229189e-06	0.000462389515539527
ko.K03388	Week_and_consortia	S5_w5	-1.05284554185982	0.192161190759468	32	32	6.02545140229189e-06	0.000462389515539527
