"features"	"coefs"	"category"
"1"	"EC.4.2.2.1"	-6.49198690682459	"left"
"2"	"EC.3.2.1.82"	-5.96887409676397	"left"
"3"	"EC.3.2.1.136"	-5.9581277227789	"left"
"4"	"EC.2.4.1.230"	-5.87577391350824	"left"
"5"	"EC.3.2.2.24"	-5.86847290732047	"left"
"6"	"EC.1.1.1.396"	-5.86847290732047	"left"
"7"	"EC.3.2.1.139"	-5.75663478200151	"left"
"8"	"EC.1.8.99.2"	-5.30406000079131	"left"
"9"	"EC.3.4.19.11"	-5.22725355656631	"left"
"10"	"EC.2.7.1.176"	-5.2245116348226	"left"
"11"	"EC.1.3.99.26"	5.32417978515827	"right"
"12"	"EC.1.3.99.28"	5.32417978515827	"right"
"13"	"EC.1.3.99.29"	5.32417978515827	"right"
"14"	"EC.4.1.1.68"	5.40225453985856	"right"
"15"	"EC.4.1.1.52"	6.05239886024055	"right"
"16"	"EC.1.1.1.291"	6.12580153910711	"right"
"17"	"EC.4.2.1.18"	6.20071091589402	"right"
"18"	"EC.4.1.1.82"	9.66196129321822	"right"
"19"	"EC.4.2.2.20"	10.82195922682	"right"
"20"	"EC.4.2.2.21"	10.82195922682	"right"
