feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.4.1.1.7	Week_and_consortia	S2_w5	-7.65295561380859	0.0547962808288789	62	13	4.08822861743631e-77	6.81098887664889e-74
EC.2.3.1.30	Week_and_consortia	S2_w5	0.795976016376339	0.0162440528277861	62	62	4.23518182784335e-50	3.52790646259351e-47
EC.3.4.11.5	Week_and_consortia	S2_w5	5.28639590305136	0.114726388117828	62	62	1.54378633592374e-48	8.57316011882983e-46
EC.1.1.1.281	Week_and_consortia	S2_w5	6.49791967732136	0.148436815843638	62	61	3.06496945696356e-47	1.27655977882532e-44
EC.1.1.1.405	Week_and_consortia	S2_w5	4.29453035360963	0.103831914632927	62	62	8.29097581014646e-46	2.7625531399408e-43
EC.1.1.1.47	Week_and_consortia	S2_w5	-4.96504965797962	0.124940898972455	62	62	8.4031573746647e-45	2.33327669769856e-42
EC.2.1.1.148	Week_and_consortia	S2_w5	4.70203788214323	0.134525155227545	62	51	3.53357979014306e-41	8.40991990054049e-39
EC.2.4.1.52	Week_and_consortia	S2_w5	-6.7874855695806	0.196130737155603	62	62	6.65151610783518e-41	1.38517822945668e-38
EC.1.1.1.2	Week_and_consortia	S2_w5	4.85593158820202	0.142992903766402	62	62	1.81998117318213e-40	3.36898737169047e-38
EC.2.1.1.37	Week_and_consortia	S2_w5	0.928953719390171	0.0275659516744435	62	62	2.78045839397732e-40	4.63224368436622e-38
EC.1.17.1.1	Week_and_consortia	S2_w5	2.23740166833832	0.0690644513174172	62	62	2.72384304678135e-39	4.12538410539793e-37
EC.1.1.1.102	Week_and_consortia	S2_w5	-2.02929839655621	0.0641337350501551	62	12	3.92603023657483e-39	4.67197598152404e-37
EC.2.4.99.18	Week_and_consortia	S2_w5	-2.02929839655621	0.0641337350501551	62	12	3.92603023657483e-39	4.67197598152404e-37
EC.3.4.24.89	Week_and_consortia	S2_w5	-2.02929839655621	0.0641337350501551	62	12	3.92603023657483e-39	4.67197598152404e-37
EC.5.3.2.6	Week_and_consortia	S2_w5	3.9869367625842	0.127253204185037	62	62	6.8679957159592e-39	7.62805390852535e-37
EC.5.1.3.6	Week_and_consortia	S2_w5	2.71127990306446	0.0876746831141471	62	62	1.43726397572122e-38	1.49655111471972e-36
EC.4.1.1.82	Week_and_consortia	S2_w5	6.08169885865842	0.201903212853948	62	53	1.51191549508177e-37	1.48167718518014e-35
EC.1.8.5.5	Week_and_consortia	S2_w5	3.37936371871864	0.116111838612885	62	62	4.37323174195105e-37	4.04766893449469e-35
EC.2.3.1.178	Week_and_consortia	S2_w5	-1.58177246216149	0.0566324527949661	62	12	4.37543152801881e-36	3.83656259246281e-34
EC.1.8.1.4	Week_and_consortia	S2_w5	0.290185245574114	0.0104021193939847	62	62	4.6807241606556e-36	3.89904322582611e-34
EC.1.8.4.10	Week_and_consortia	S2_w5	-4.29069727568235	0.152724957696407	62	62	7.02295671843863e-36	5.31829358769035e-34
EC.1.8.4.8	Week_and_consortia	S2_w5	-4.29069727568235	0.152724957696407	62	62	7.02295671843863e-36	5.31829358769035e-34
EC.4.1.3.32	Week_and_consortia	S2_w5	4.23458684668162	0.15147727389782	62	51	9.44752854120484e-36	6.8432967607162e-34
EC.5.1.3.7	Week_and_consortia	S2_w5	-2.07957501777944	0.0752813553618771	62	62	1.80570671712501e-35	1.25346141280428e-33
EC.3.5.3.1	Week_and_consortia	S2_w5	2.11990090484066	0.0786984331622241	62	62	3.28228652175702e-35	2.18731573809888e-33
EC.3.1.3.87	Week_and_consortia	S2_w5	-3.02157146521474	0.111830706914021	62	12	5.95444107756479e-35	3.8154226289319e-33
EC.2.1.1.266	Week_and_consortia	S2_w5	3.74311540661821	0.138719921514569	62	62	6.71729339130566e-35	4.14481881107971e-33
EC.4.2.1.109	Week_and_consortia	S2_w5	-3.06157498465414	0.114243529005516	62	12	9.37633380888559e-35	5.57891861628693e-33
EC.1.1.1.67	Week_and_consortia	S2_w5	-2.03182729079656	0.0783706452360988	62	12	2.72596092798879e-34	1.41920340813416e-32
EC.1.14.13.22	Week_and_consortia	S2_w5	-2.03182729079656	0.0783706452360988	62	12	2.72596092798879e-34	1.41920340813416e-32
EC.3.4.21.62	Week_and_consortia	S2_w5	-2.03182729079656	0.0783706452360988	62	12	2.72596092798879e-34	1.41920340813416e-32
EC.3.4.21.66	Week_and_consortia	S2_w5	-2.03182729079656	0.0783706452360988	62	12	2.72596092798879e-34	1.41920340813416e-32
EC.4.1.1.81	Week_and_consortia	S2_w5	-0.509219155926022	0.0199464409620697	62	62	6.37257634994896e-34	3.21718551485302e-32
EC.1.1.1.30	Week_and_consortia	S2_w5	-2.50249790830378	0.0989021816275267	62	12	1.04034658866515e-33	4.96237323352733e-32
EC.1.1.1.91	Week_and_consortia	S2_w5	-2.37121755680175	0.0937928038536599	62	12	1.08964113326612e-33	4.96237323352733e-32
EC.2.4.2.30	Week_and_consortia	S2_w5	-2.46776068150947	0.0976317225942182	62	12	1.10208769292023e-33	4.96237323352733e-32
EC.3.4.23.52	Week_and_consortia	S2_w5	-2.46776068150947	0.0976317225942182	62	12	1.10208769292023e-33	4.96237323352733e-32
EC.2.8.3.24	Week_and_consortia	S2_w5	-1.68510246531332	0.0671051450177573	62	12	1.57842351613701e-33	6.92014099443227e-32
EC.1.5.1.24	Week_and_consortia	S2_w5	-4.14694024391595	0.167259129074	62	62	3.17297507595642e-33	1.35542986578036e-31
