feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko.K10242	Week_and_consortia	NS1_w5	-7.36622658476066	0.062572458181455	53	13	8.61388811677473e-64	4.34656794372453e-60
ko.K19429	Week_and_consortia	NS1_w5	8.78343702590679	0.0873763874348743	53	53	2.62165058674807e-60	6.61442443036538e-57
ko.K11062	Week_and_consortia	NS1_w5	5.75765258695458	0.0765382438853945	53	53	2.94849012157072e-53	4.95936038448195e-50
ko.K09459	Week_and_consortia	NS1_w5	9.7097021105847	0.148546211259133	53	44	2.8865058584807e-50	3.6413271404734e-47
ko.K13020	Week_and_consortia	NS1_w5	-6.81537750038362	0.116737383600279	53	13	2.22542528945471e-48	1.87158266843141e-45
ko.K13924	Week_and_consortia	NS1_w5	-6.81537750038362	0.116737383600279	53	13	2.22542528945471e-48	1.87158266843141e-45
ko.K08222	Week_and_consortia	NS1_w5	-5.98828862872386	0.10573486642404	53	13	1.02411854526385e-47	7.38243168485909e-45
ko.K01727	Week_and_consortia	NS1_w5	-6.43889149988775	0.114899579279634	53	13	1.74140578116058e-47	1.09839169646703e-44
ko.K17239	Week_and_consortia	NS1_w5	-6.40764100729251	0.116929128205099	53	13	5.35221824402683e-47	3.00081036215104e-44
ko.K17810	Week_and_consortia	NS1_w5	5.08917357447422	0.0923387531307428	53	53	1.62770662681519e-46	8.21340763890946e-44
ko.K15924	Week_and_consortia	NS1_w5	-5.90503231584208	0.110747461765069	53	13	2.11136758374053e-46	9.68541893414063e-44
ko.K21681	Week_and_consortia	NS1_w5	7.42403567855297	0.137985094653433	53	53	4.40019841688726e-46	1.85028343430109e-43
ko.K17241	Week_and_consortia	NS1_w5	-5.87415415556479	0.112780602453587	53	13	6.8302308377695e-46	2.65118036979884e-43
ko.K18650	Week_and_consortia	NS1_w5	-5.91577868982708	0.11391649928429	53	13	7.9215932011294e-46	2.85516852092135e-43
ko.K05521	Week_and_consortia	NS1_w5	-5.8153775003836	0.116737383600279	53	13	6.34253993033343e-45	1.49112192031649e-42
ko.K10228	Week_and_consortia	NS1_w5	-5.8153775003836	0.116737383600279	53	13	6.34253993033343e-45	1.49112192031649e-42
ko.K10231	Week_and_consortia	NS1_w5	-5.82267850657137	0.116929128205099	53	13	6.46628276826744e-45	1.49112192031649e-42
ko.K10237	Week_and_consortia	NS1_w5	-5.8153775003836	0.116737383600279	53	13	6.34253993033343e-45	1.49112192031649e-42
ko.K11337	Week_and_consortia	NS1_w5	-5.8153775003836	0.116737383600279	53	13	6.34253993033343e-45	1.49112192031649e-42
