"features"	"coefs"	"category"
"1"	"ko.K10242"	-7.36622658476066	"left"
"2"	"ko.K13924"	-6.81537750038362	"left"
"3"	"ko.K13020"	-6.81537750038362	"left"
"4"	"ko.K08280"	-6.63964642831677	"left"
"5"	"ko.K01727"	-6.43889149988775	"left"
"6"	"ko.K17239"	-6.40764100729251	"left"
"7"	"ko.K09138"	-6.39911913387659	"left"
"8"	"ko.K08222"	-5.98828862872386	"left"
"9"	"ko.K18650"	-5.91577868982708	"left"
"10"	"ko.K15924"	-5.90503231584208	"left"
"11"	"ko.K05303"	6.17358034707439	"right"
"12"	"ko.K19647"	6.1735803470744	"right"
"13"	"ko.K13766"	6.20892917513592	"right"
"14"	"ko.K11004"	6.27571330499275	"right"
"15"	"ko.K14680"	6.58136353380663	"right"
"16"	"ko.K03519"	7.12843741670256	"right"
"17"	"ko.K21681"	7.42403567855297	"right"
"18"	"ko.K19429"	8.78343702590679	"right"
"19"	"ko.K09459"	9.7097021105847	"right"
"20"	"ko.K08961"	10.8653214001476	"right"
