"features"	"coefs"	"category"
"1"	"EC.3.4.11.14"	-6.651768381692	"left"
"2"	"EC.3.2.1.139"	-4.73468655955264	"left"
"3"	"EC.2.7.8.47"	-4.49263296928492	"left"
"4"	"EC.2.7.8.14"	-4.49263296928492	"left"
"5"	"EC.1.5.1.28"	-4.31977222441147	"left"
"6"	"EC.3.4.19.11"	-4.16574906569515	"left"
"7"	"EC.1.12.99.6"	-4.00790891741106	"left"
"8"	"EC.1.1.1.47"	-3.91844368106455	"left"
"9"	"EC.2.5.1.101"	-3.86934675651993	"left"
"10"	"EC.2.7.1.176"	-3.70463860452344	"left"
"11"	"EC.6.3.1.12"	4.69360826246461	"right"
"12"	"EC.3.2.1.97"	4.98407703310089	"right"
"13"	"EC.1.1.1.2"	5.03937389566449	"right"
"14"	"EC.1.1.1.83"	5.43920815768836	"right"
"15"	"EC.1.1.1.93"	5.43920815768836	"right"
"16"	"EC.4.1.1.73"	5.43920815768836	"right"
"17"	"EC.4.1.1.82"	7.0687105516816	"right"
"18"	"EC.4.1.1.52"	7.80529858380306	"right"
"19"	"EC.4.2.2.20"	11.472467432938	"right"
"20"	"EC.4.2.2.21"	11.472467432938	"right"
