feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.1.1.1.30	Week_and_consortia	NS6_w9w10	-10.5932563659283	0.0854528297890618	40	21	3.62823217811427e-51	6.26958520378146e-48
EC.1.1.1.287	Week_and_consortia	NS6_w9w10	-8.75334058542982	0.0745153462320638	40	21	2.7905339867124e-50	2.41102136451951e-47
EC.1.1.1.91	Week_and_consortia	NS6_w9w10	-9.37877239308413	0.0982277278458621	40	21	7.16080596590246e-47	4.12462423635982e-44
EC.2.7.1.63	Week_and_consortia	NS6_w9w10	7.82964387538821	0.120466903123014	40	40	9.59441320183283e-40	4.14478650319178e-37
EC.5.3.3.6	Week_and_consortia	NS6_w9w10	6.51184952108972	0.119002549912356	40	21	5.23619087342192e-37	1.80962756585461e-34
EC.4.2.2.20	Week_and_consortia	NS6_w9w10	12.154564637996	0.241210858082988	40	30	2.07276310107407e-36	5.11676376950855e-34
EC.4.2.2.21	Week_and_consortia	NS6_w9w10	12.154564637996	0.241210858082988	40	30	2.07276310107407e-36	5.11676376950855e-34
EC.4.2.1.46	Week_and_consortia	NS6_w9w10	-0.675295221137898	0.014405398420173	40	40	3.09277456070558e-35	6.68039305112405e-33
EC.3.5.1.5	Week_and_consortia	NS6_w9w10	-4.54496108978667	0.0973468525933673	40	40	1.71460924000269e-34	3.29204974080517e-32
EC.2.1.1.148	Week_and_consortia	NS6_w9w10	5.29183146019304	0.126561909054366	40	21	2.20072337390259e-33	3.80284999010367e-31
EC.3.1.3.15	Week_and_consortia	NS6_w9w10	0.794358492065255	0.0192648648237895	40	40	1.56252703521465e-32	2.45458792440993e-30
EC.1.5.1.20	Week_and_consortia	NS6_w9w10	-0.704760545978911	0.0175676286297206	40	40	4.22222791920954e-32	6.08000820366174e-30
EC.4.2.1.22	Week_and_consortia	NS6_w9w10	-7.39816309997778	0.19627559653701	40	40	1.03497696440566e-31	1.37572322653307e-29
EC.4.1.3.32	Week_and_consortia	NS6_w9w10	5.38934038846173	0.148753680149878	40	21	1.67303550103026e-30	2.06500381841449e-28
EC.3.2.1.97	Week_and_consortia	NS6_w9w10	5.75133885739661	0.166126746008765	40	40	2.39575997960037e-30	2.75991549649962e-28
EC.2.7.7.82	Week_and_consortia	NS6_w9w10	-7.97940275460276	0.222887644761851	40	34	2.57105606408064e-30	2.77674054920709e-28
EC.1.1.1.2	Week_and_consortia	NS6_w9w10	5.52270046905118	0.154708153772821	40	40	2.85071213259292e-30	2.89766503830621e-28
EC.3.2.1.4	Week_and_consortia	NS6_w9w10	2.85878013807558	0.0866467051625481	40	40	1.40840559374526e-29	1.35206936999545e-27
EC.4.1.1.52	Week_and_consortia	NS6_w9w10	8.2953658392985	0.254137388945497	40	30	2.08923017847826e-29	1.90009986758444e-27
EC.3.2.1.31	Week_and_consortia	NS6_w9w10	2.50268720174726	0.0747202745358201	40	40	2.81052407991236e-29	2.42829280504428e-27
EC.3.4.11.5	Week_and_consortia	NS6_w9w10	4.51811111263753	0.140813025023069	40	40	3.92218142012921e-29	3.22739499713489e-27
EC.3.5.1.28	Week_and_consortia	NS6_w9w10	0.425338494524621	0.0128833767373031	40	40	4.71207420663012e-29	3.70112010411675e-27
EC.2.7.8.33	Week_and_consortia	NS6_w9w10	3.49259318649055	0.110578216928122	40	40	6.98439473693165e-29	5.02876421059079e-27
EC.2.7.8.35	Week_and_consortia	NS6_w9w10	3.49259318649055	0.110578216928122	40	40	6.98439473693165e-29	5.02876421059079e-27
EC.1.8.7.1	Week_and_consortia	NS6_w9w10	6.13895398241182	0.2002386193714	40	40	2.07704036662254e-28	1.4356503014095e-26
EC.2.7.7.24	Week_and_consortia	NS6_w9w10	-0.544829021350969	0.0184335531557837	40	40	7.90241253876657e-28	5.25206494884178e-26
EC.2.3.1.180	Week_and_consortia	NS6_w9w10	0.705846069327788	0.0243015461143614	40	40	4.53720313946814e-27	2.90381000925961e-25
EC.3.6.4.12	Week_and_consortia	NS6_w9w10	0.251976637640978	0.00894565434321559	40	40	1.34635565522258e-26	8.30893775794506e-25
EC.3.4.24.40	Week_and_consortia	NS6_w9w10	-6.03437953717926	0.215989152044094	40	34	1.79738531743772e-26	1.07099373397669e-24
EC.2.4.1.339	Week_and_consortia	NS6_w9w10	2.80097630825832	0.101369689701994	40	40	2.65644756491348e-26	1.48075528779693e-24
