feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko.K17818	Week_and_consortia	NS1_w9w10	9.6078517928491	0.066847841034721	72	53	3.00497757492547e-88	1.50429177400769e-84
ko.K00019	Week_and_consortia	NS1_w9w10	11.6462128475835	0.0936436683823178	72	53	6.23368859828517e-83	1.56029225615078e-79
ko.K00329	Week_and_consortia	NS1_w9w10	-10.2430545394601	0.0846527973949533	72	21	4.31470946335591e-82	5.39985889338993e-79
ko.K00356	Week_and_consortia	NS1_w9w10	-10.2430545394601	0.0846527973949533	72	21	4.31470946335591e-82	5.39985889338993e-79
ko.K21379	Week_and_consortia	NS1_w9w10	9.33671124770341	0.131634969326595	72	66	3.13865118727381e-66	3.14241756869854e-63
ko.K00260	Week_and_consortia	NS1_w9w10	-6.58862910377815	0.0994466509382668	72	21	3.34017410500244e-64	2.78681859494037e-61
ko.K00886	Week_and_consortia	NS1_w9w10	-7.23400608653801	0.118487497858436	72	72	8.48296197930949e-62	6.06652966691761e-59
ko.K17640	Week_and_consortia	NS1_w9w10	6.46229770644352	0.116206819244965	72	53	4.65549774781679e-59	2.91317771569635e-56
ko.K03503	Week_and_consortia	NS1_w9w10	3.38629207059368	0.0632943000104714	72	72	6.37397409492085e-58	3.54534603546375e-55
ko.K14949	Week_and_consortia	NS1_w9w10	5.12811553778323	0.100512543886175	72	72	4.1388277882387e-57	2.07189719079229e-54
ko.K13525	Week_and_consortia	NS1_w9w10	-6.17716718292513	0.119118197668313	72	72	5.11894052441598e-57	2.32958329683876e-54
ko.K19789	Week_and_consortia	NS1_w9w10	7.10654157347138	0.13737103146015	72	72	6.02640164899663e-57	2.51401388790643e-54
ko.K00558	Week_and_consortia	NS1_w9w10	1.15291184233661	0.0229280445429723	72	72	1.11404437062403e-56	4.28992778411068e-54
ko.K07452	Week_and_consortia	NS1_w9w10	-3.88401040061777	0.0784602916760687	72	72	3.23570434877969e-56	1.15699542642794e-53
ko.K16922	Week_and_consortia	NS1_w9w10	8.78943796862642	0.177046947220551	72	70	9.58569316438211e-56	3.19906533205979e-53
ko.K07457	Week_and_consortia	NS1_w9w10	-7.86407434433756	0.162278581224968	72	21	4.80664692511623e-55	1.50387965669574e-52
ko.K08222	Week_and_consortia	NS1_w9w10	-1.39787371631958	0.0294666266428872	72	20	2.08326575340917e-54	6.13460491856842e-52
ko.K09145	Week_and_consortia	NS1_w9w10	-7.81228061421716	0.168205732940307	72	21	8.25882600544747e-54	2.29687127684834e-51
ko.K02013	Week_and_consortia	NS1_w9w10	0.64003238572366	0.013922511711391	72	72	1.69912693395696e-53	4.47675233230977e-51
ko.K07726	Week_and_consortia	NS1_w9w10	6.3306150755852	0.138595462719866	72	72	2.52230841801608e-53	6.31333797029425e-51
ko.K03830	Week_and_consortia	NS1_w9w10	-2.88625959398599	0.067693107268529	72	72	8.02746674932888e-52	1.91359516891145e-49
ko.K02015	Week_and_consortia	NS1_w9w10	0.626727834488294	0.0149915597624017	72	72	3.02947100986944e-51	6.89342357973018e-49
ko.K18431	Week_and_consortia	NS1_w9w10	6.94259539565398	0.166250789913182	72	66	1.01461265783668e-50	2.20832650657844e-48
ko.K01958	Week_and_consortia	NS1_w9w10	7.02658799312349	0.169495580284517	72	70	1.6563732519229e-50	3.45491854130252e-48
ko.K21405	Week_and_consortia	NS1_w9w10	5.87913675948704	0.144396843388273	72	66	1.79230574422883e-50	3.5889130222438e-48
ko.K07454	Week_and_consortia	NS1_w9w10	-6.87905852996956	0.166670835136703	72	21	2.18116044956819e-50	4.19957277328398e-48
ko.K17243	Week_and_consortia	NS1_w9w10	-5.88281290977288	0.146144064028339	72	72	3.85523114698055e-50	7.14788411917949e-48
ko.K09469	Week_and_consortia	NS1_w9w10	2.10620901325084	0.0526156520762323	72	52	5.60166933893734e-50	1.0014984539543e-47
ko.K01697	Week_and_consortia	NS1_w9w10	4.93591620027601	0.124022972124665	72	72	8.26902006087627e-50	1.42740394568092e-47
ko.K07481	Week_and_consortia	NS1_w9w10	-1.49563214007356	0.0370116557955924	72	20	8.88752879949179e-50	1.4830323056752e-47
ko.K01174	Week_and_consortia	NS1_w9w10	-5.09765114867088	0.126344267470547	72	21	9.88790142432024e-50	1.5468385790671e-47
ko.K03497	Week_and_consortia	NS1_w9w10	0.850336022558698	0.0214210993775713	72	72	9.82563544216333e-50	1.5468385790671e-47
ko.K09384	Week_and_consortia	NS1_w9w10	-2.80869052827587	0.0714613232442833	72	72	1.91287504479061e-49	2.90177347703691e-47
ko.K00045	Week_and_consortia	NS1_w9w10	-5.02352069114063	0.126925896854946	72	72	3.50331461601561e-49	5.1581155787571e-47
ko.K19147	Week_and_consortia	NS1_w9w10	-2.7181705352765	0.0706125282700936	72	72	7.70458516076957e-49	1.10197580899464e-46
ko.K00066	Week_and_consortia	NS1_w9w10	-1.96318856125481	0.051274535288227	72	20	1.1037433428885e-48	1.48841352210213e-46
ko.K01729	Week_and_consortia	NS1_w9w10	-1.49628551391685	0.0385715567873954	72	20	1.33796660995997e-48	1.48841352210213e-46
ko.K06974	Week_and_consortia	NS1_w9w10	-1.49628551391685	0.0385715567873954	72	20	1.33796660995997e-48	1.48841352210213e-46
ko.K07110	Week_and_consortia	NS1_w9w10	-1.49628551391685	0.0385715567873954	72	20	1.33796660995997e-48	1.48841352210213e-46
ko.K09964	Week_and_consortia	NS1_w9w10	-1.49628551391685	0.0385715567873954	72	20	1.33796660995997e-48	1.48841352210213e-46
ko.K11045	Week_and_consortia	NS1_w9w10	-1.49628551391685	0.0385715567873954	72	20	1.33796660995997e-48	1.48841352210213e-46
ko.K13925	Week_and_consortia	NS1_w9w10	-1.49628551391685	0.0385715567873954	72	20	1.33796660995997e-48	1.48841352210213e-46
ko.K14972	Week_and_consortia	NS1_w9w10	-1.49628551391685	0.0385715567873954	72	20	1.33796660995997e-48	1.48841352210213e-46
ko.K18983	Week_and_consortia	NS1_w9w10	-1.49628551391685	0.0385715567873954	72	20	1.33796660995997e-48	1.48841352210213e-46
ko.K20525	Week_and_consortia	NS1_w9w10	-1.49628551391685	0.0385715567873954	72	20	1.33796660995997e-48	1.48841352210213e-46
ko.K06714	Week_and_consortia	NS1_w9w10	3.69136781304132	0.095411741301084	72	72	1.57076745435068e-48	1.70940475575641e-46
ko.K00054	Week_and_consortia	NS1_w9w10	6.64179060394509	0.173056304366676	72	70	2.71182572674268e-48	2.88838289107954e-46
ko.K01607	Week_and_consortia	NS1_w9w10	0.801517078572125	0.0214362053921369	72	72	5.37544711772124e-48	5.60614338985677e-46
ko.K15773	Week_and_consortia	NS1_w9w10	5.81087328901551	0.158305641572323	72	71	1.8405115345581e-47	1.88032668204037e-45
ko.K07217	Week_and_consortia	NS1_w9w10	2.61021152263112	0.0715347855095503	72	72	2.73609835442131e-47	2.73938167244662e-45
ko.K02203	Week_and_consortia	NS1_w9w10	5.1767090194267	0.14005395178307	72	66	3.21855878712735e-47	3.15923633105088e-45
ko.K09144	Week_and_consortia	NS1_w9w10	-2.01972547836649	0.0555796301186906	72	20	3.59488982027517e-47	3.46077277698029e-45
ko.K19166	Week_and_consortia	NS1_w9w10	-5.80713682159688	0.161005327042651	72	72	5.91746596242258e-47	5.58921407695989e-45
ko.K01406	Week_and_consortia	NS1_w9w10	5.11251835569888	0.141773015056962	72	66	1.62548358778598e-46	1.50688348897345e-44
ko.K20541	Week_and_consortia	NS1_w9w10	5.01441378271628	0.14202372908207	72	72	2.43891953380765e-46	2.2198602156802e-44
ko.K13664	Week_and_consortia	NS1_w9w10	-1.44564556407412	0.0404719476615953	72	20	3.05626229047482e-46	2.68414895195035e-44
ko.K21005	Week_and_consortia	NS1_w9w10	-1.44564556407412	0.0404719476615953	72	20	3.05626229047482e-46	2.68414895195035e-44
ko.K13020	Week_and_consortia	NS1_w9w10	-2.44429779699971	0.0685058069254526	72	20	3.32536023306105e-46	2.87012988391441e-44
ko.K06859	Week_and_consortia	NS1_w9w10	3.80791229064891	0.108548325488309	72	70	3.73728614864629e-46	3.17099228137683e-44
ko.K14194	Week_and_consortia	NS1_w9w10	-4.92175701002981	0.14175384727368	72	21	7.40029961564824e-46	6.17431664598919e-44
ko.K07270	Week_and_consortia	NS1_w9w10	3.46188413701268	0.100274673910624	72	52	1.07732692010748e-45	8.81292185490588e-44
ko.K22441	Week_and_consortia	NS1_w9w10	7.00939556289191	0.200174535696639	72	70	1.10140323184591e-45	8.81292185490588e-44
ko.K01364	Week_and_consortia	NS1_w9w10	-1.52598604773179	0.0435665106695803	72	20	1.1090972370337e-45	8.81292185490588e-44
ko.K00688	Week_and_consortia	NS1_w9w10	0.335609637065897	0.0096170355800544	72	72	1.40093107836623e-45	1.09579077785959e-43
ko.K02489	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K05521	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K10237	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K11337	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K13924	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K15924	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K18816	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K18987	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K21355	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K22319	Week_and_consortia	NS1_w9w10	-3.81305094116956	0.110200117039057	72	20	2.47262662881542e-45	1.67269850052027e-43
ko.K07341	Week_and_consortia	NS1_w9w10	-2.26986337982347	0.065840375588748	72	72	3.14192063691592e-45	2.08819518884708e-43
ko.K07504	Week_and_consortia	NS1_w9w10	2.28124537916304	0.0671646879552299	72	72	3.17025238418653e-45	2.08819518884708e-43
ko.K07116	Week_and_consortia	NS1_w9w10	3.66729950778037	0.10907433600658	72	52	6.19478493444609e-45	3.82853004714039e-43
ko.K08073	Week_and_consortia	NS1_w9w10	3.66729950778037	0.10907433600658	72	52	6.19478493444609e-45	3.82853004714039e-43
ko.K08075	Week_and_consortia	NS1_w9w10	3.66729950778037	0.10907433600658	72	52	6.19478493444609e-45	3.82853004714039e-43
ko.K17838	Week_and_consortia	NS1_w9w10	3.66729950778037	0.10907433600658	72	52	6.19478493444609e-45	3.82853004714039e-43
