feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko.K08139	Week_and_consortia	NS1_w9w10	12.3657597874179	0.0342583408689564	108	54	1.32054531279326e-165	6.67007437491874e-162
ko.K07454	Week_and_consortia	NS1_w9w10	-7.22275324499957	0.0459992635085981	108	57	1.960464234658e-126	4.95115242462878e-123
ko.K11630	Week_and_consortia	NS1_w9w10	-9.65189501474335	0.0638764876283759	108	57	8.52700774181398e-125	1.43566387013008e-121
ko.K00231	Week_and_consortia	NS1_w9w10	8.86640779157457	0.0610939429326409	108	54	9.32266134324669e-124	1.17721906111848e-120
ko.K01576	Week_and_consortia	NS1_w9w10	7.79793521536115	0.0592024783091798	108	54	2.56303763789635e-119	2.58918062180289e-116
ko.K16960	Week_and_consortia	NS1_w9w10	8.98525231288063	0.0704294008082207	108	54	7.39865950259514e-118	6.228438191268e-115
ko.K21379	Week_and_consortia	NS1_w9w10	7.32055876361985	0.0654552317120689	108	108	7.6815514528093e-112	5.54278805544854e-109
ko.K01179	Week_and_consortia	NS1_w9w10	4.02948517540378	0.0400736916640469	108	108	5.47361818601617e-107	3.45590568219596e-104
ko.K01174	Week_and_consortia	NS1_w9w10	-6.36421378279521	0.0637815827355815	108	57	6.63488639333359e-106	3.72364568585866e-103
ko.K01932	Week_and_consortia	NS1_w9w10	-6.06110003054968	0.0632944014147786	108	57	9.15478048630736e-105	4.20370874875804e-102
ko.K22116	Week_and_consortia	NS1_w9w10	-6.06110003054968	0.0632944014147786	108	57	9.15478048630736e-105	4.20370874875804e-102
ko.K00661	Week_and_consortia	NS1_w9w10	0.746307528804813	0.00773260151834916	108	108	1.22820946272206e-104	5.16973833017426e-102
ko.K05823	Week_and_consortia	NS1_w9w10	-5.62582991275686	0.0658170147752007	108	57	1.3337349688705e-99	5.18207332904993e-97
ko.K09818	Week_and_consortia	NS1_w9w10	-5.36288239115088	0.0637265618599429	108	57	3.14502092333648e-98	1.13467862026947e-95
ko.K09973	Week_and_consortia	NS1_w9w10	3.72210236515719	0.0446084789527838	108	108	7.58428393699707e-98	2.55388121105148e-95
ko.K03799	Week_and_consortia	NS1_w9w10	4.84865726636363	0.0584517398852032	108	108	1.34431257539894e-97	4.24382676146252e-95
ko.K17716	Week_and_consortia	NS1_w9w10	4.33646647097517	0.0532558292616076	108	108	7.0589345697975e-97	2.09733403012042e-94
ko.K01095	Week_and_consortia	NS1_w9w10	5.28127728307338	0.0651068882216418	108	108	1.36813242206411e-96	3.83913159102546e-94
ko.K00823	Week_and_consortia	NS1_w9w10	7.49738547620385	0.0976739620902561	108	54	9.97620923762336e-95	2.65209646627556e-92
ko.K03111	Week_and_consortia	NS1_w9w10	0.849166703877955	0.0111934668761182	108	108	3.39055603716723e-94	8.56284927186584e-92
ko.K17243	Week_and_consortia	NS1_w9w10	-6.66325954271966	0.0892296285731995	108	108	1.75077144604121e-93	4.21102217807341e-91
ko.K00712	Week_and_consortia	NS1_w9w10	7.08973961583364	0.0952467525219059	108	108	2.44693183704792e-93	5.6179330495132e-91
ko.K13004	Week_and_consortia	NS1_w9w10	1.60793090541739	0.0216515820587365	108	52	3.11093923594691e-93	6.83189307859471e-91
ko.K08961	Week_and_consortia	NS1_w9w10	1.52148163391533	0.0209778534280266	108	52	3.63839614594107e-92	7.6573078888118e-90
ko.K07457	Week_and_consortia	NS1_w9w10	-6.44816618622945	0.0912848325760934	108	57	5.65079234234041e-91	1.14168608484646e-88
ko.K19068	Week_and_consortia	NS1_w9w10	4.1982145179061	0.0611615727297407	108	108	1.10662705343381e-89	2.14983586419007e-87
ko.K09469	Week_and_consortia	NS1_w9w10	2.10620900112953	0.0312951947322177	108	52	8.53927803628386e-89	1.59747753189888e-86
ko.K07119	Week_and_consortia	NS1_w9w10	6.49824510479803	0.0975601632852084	108	54	2.49763414291617e-88	4.50555359138198e-86
ko.K04940	Week_and_consortia	NS1_w9w10	-4.48943200868242	0.0691731784080949	108	108	3.66276316305237e-87	6.37952301261293e-85
ko.K07482	Week_and_consortia	NS1_w9w10	6.48209509432675	0.101885313363042	108	54	2.87048923185846e-86	4.8329470367057e-84
ko.K21739	Week_and_consortia	NS1_w9w10	3.16783159341587	0.0498120787130053	108	108	2.99350914482452e-86	4.87748860984151e-84
ko.K00390	Week_and_consortia	NS1_w9w10	4.30024098589067	0.0670328747306446	108	108	4.13096271288377e-86	6.52046645711748e-84
ko.K06915	Week_and_consortia	NS1_w9w10	4.33452212231856	0.0681537198556871	108	108	1.01946758174698e-85	1.56040325921333e-83
ko.K11062	Week_and_consortia	NS1_w9w10	1.77002773935025	0.0283539810405036	108	52	2.03549748458557e-85	3.02391111607109e-83
ko.K03620	Week_and_consortia	NS1_w9w10	-4.15114853131932	0.066810632669995	108	108	3.30792830876888e-85	4.77381311074046e-83
ko.K20543	Week_and_consortia	NS1_w9w10	5.07571697914086	0.0820317821056143	108	108	1.67542562464173e-84	2.35071523057371e-82
ko.K00381	Week_and_consortia	NS1_w9w10	5.07506819299683	0.0820509148926985	108	108	1.73808756295198e-84	2.37272440012715e-82
ko.K15915	Week_and_consortia	NS1_w9w10	2.56679915178395	0.0421808554011921	108	52	2.83492787067128e-84	3.76821596704228e-82
ko.K07504	Week_and_consortia	NS1_w9w10	1.76097031786652	0.029283480888827	108	52	9.61444670488174e-84	1.24519411041943e-81
ko.K16044	Week_and_consortia	NS1_w9w10	4.44053834266715	0.0736803624438781	108	108	2.54167296924183e-83	3.20949754191013e-81
ko.K07776	Week_and_consortia	NS1_w9w10	-5.23795520573053	0.0880129164860133	108	108	2.80393525123541e-83	3.4543114521927e-81
ko.K13483	Week_and_consortia	NS1_w9w10	4.25778406978262	0.0712542826178495	108	108	5.80735944394499e-83	6.9840410836586e-81
ko.K17108	Week_and_consortia	NS1_w9w10	2.96831601956631	0.050424875655564	108	52	8.64220479320872e-83	1.0151575909418e-80
ko.K03605	Week_and_consortia	NS1_w9w10	-3.86211785994359	0.0653547643479974	108	108	1.39153118119874e-82	1.52796173831192e-80
ko.K06281	Week_and_consortia	NS1_w9w10	-3.86211785994359	0.0653547643479974	108	108	1.39153118119874e-82	1.52796173831192e-80
ko.K06282	Week_and_consortia	NS1_w9w10	-3.86211785994359	0.0653547643479974	108	108	1.39153118119874e-82	1.52796173831192e-80
ko.K07270	Week_and_consortia	NS1_w9w10	3.46188412489138	0.0596422420605161	108	52	3.66978569611418e-82	3.94384841512186e-80
ko.K01297	Week_and_consortia	NS1_w9w10	2.42870419186494	0.04189564299014	108	108	4.18277892928532e-82	4.40150341079586e-80
ko.K03408	Week_and_consortia	NS1_w9w10	-3.36003467574874	0.0584216047114281	108	108	1.81303202434949e-81	1.8689030112223e-79
ko.K07116	Week_and_consortia	NS1_w9w10	3.66729949565917	0.0648761815192075	108	52	5.56648163090011e-81	5.02076762815651e-79
ko.K08073	Week_and_consortia	NS1_w9w10	3.66729949565917	0.0648761815192075	108	52	5.56648163090011e-81	5.02076762815651e-79
ko.K08075	Week_and_consortia	NS1_w9w10	3.66729949565917	0.0648761815192075	108	52	5.56648163090011e-81	5.02076762815651e-79
ko.K08838	Week_and_consortia	NS1_w9w10	3.66729949565917	0.0648761815192075	108	52	5.56648163090011e-81	5.02076762815651e-79
ko.K09704	Week_and_consortia	NS1_w9w10	2.41077162083574	0.0423426630463757	108	108	5.46841525349442e-81	5.02076762815651e-79
ko.K17838	Week_and_consortia	NS1_w9w10	3.66729949565917	0.0648761815192075	108	52	5.56648163090011e-81	5.02076762815651e-79
ko.K22320	Week_and_consortia	NS1_w9w10	3.66729949565917	0.0648761815192075	108	52	5.56648163090011e-81	5.02076762815651e-79
ko.K01305	Week_and_consortia	NS1_w9w10	2.48754711294458	0.043655353503737	108	108	7.51614380949844e-81	6.60557804188792e-79
ko.K03893	Week_and_consortia	NS1_w9w10	5.49824510479803	0.0975601632852084	108	54	7.58510248326072e-81	6.60557804188792e-79
