"features"	"coefs"	"category"
"1"	"ko.K00019"	-10.5553595661554	"left"
"2"	"ko.K05882"	-9.34087559331128	"left"
"3"	"ko.K07493"	-8.87431195735931	"left"
"4"	"ko.K17818"	-8.71544378565696	"left"
"5"	"ko.K16236"	-8.41140710071767	"left"
"6"	"ko.K02205"	-8.41140710071767	"left"
"7"	"ko.K18431"	-7.94294159519409	"left"
"8"	"ko.K22441"	-7.77483659252796	"left"
"9"	"ko.K01697"	-7.36641027930396	"left"
"10"	"ko.K00034"	-7.28574351185761	"left"
"11"	"ko.K13525"	6.8026048742591	"right"
"12"	"ko.K21681"	6.85792851253303	"right"
"13"	"ko.K06608"	7.20841294643897	"right"
"14"	"ko.K15973"	7.23723720384161	"right"
"15"	"ko.K14680"	7.80212627792955	"right"
"16"	"ko.K00886"	7.86139669606204	"right"
"17"	"ko.K11616"	8.14438413140436	"right"
"18"	"ko.K19429"	8.14481273454742	"right"
"19"	"ko.K22213"	8.32456526179256	"right"
"20"	"ko.K08961"	12.1837640604901	"right"
