"features"	"coefs"	"category"
"1"	"ko.K19147"	-11.0685658572578	"left"
"2"	"ko.K07452"	-10.9620179090491	"left"
"3"	"ko.K19167"	-8.68898551569112	"left"
"4"	"ko.K16960"	-8.68898551569112	"left"
"5"	"ko.K07482"	-8.63658406869158	"left"
"6"	"ko.K00712"	-7.41511469195477	"left"
"7"	"ko.K01576"	-6.89379241097577	"left"
"8"	"ko.K00034"	-5.55397803378331	"left"
"9"	"ko.K00395"	-5.55243982577171	"left"
"10"	"ko.K00381"	-5.43587231395286	"left"
"11"	"ko.K04112"	6.06715472976118	"right"
"12"	"ko.K14680"	6.3606707919739	"right"
"13"	"ko.K20485"	6.3606707919739	"right"
"14"	"ko.K04113"	6.65211723048226	"right"
"15"	"ko.K20345"	6.73337155541103	"right"
"16"	"ko.K21681"	6.8214288720972	"right"
"17"	"ko.K15856"	7.21297451490992	"right"
"18"	"ko.K19429"	7.74286065584233	"right"
"19"	"ko.K07317"	8.23975764849535	"right"
"20"	"ko.K11616"	9.55172598828645	"right"
