"features"	"coefs"	"category"
"1"	"PWY.5419"	-6.2366647428056	"left"
"2"	"PWY.6676"	-5.64671211297483	"left"
"3"	"PWY.5420"	-5.44954285751648	"left"
"4"	"PWY.922"	-4.88946569937705	"left"
"5"	"PWY.5910"	-4.8810072375023	"left"
"6"	"PWY.5415"	-4.22710160617719	"left"
"7"	"PWY.6588"	-2.97580533959587	"left"
"8"	"PWY.7013"	-2.92584900574739	"left"
"9"	"LACTOSECAT.PWY"	-2.81865136500805	"left"
"10"	"PWY.7237"	-2.62362146726656	"left"
"11"	"PWY.181"	2.68179405885584	"right"
"12"	"ARGDEG.PWY"	2.76423766283822	"right"
"13"	"ORNARGDEG.PWY"	2.76423766283822	"right"
"14"	"HCAMHPDEG.PWY"	2.80042871221491	"right"
"15"	"PWY.6690"	2.80042871221491	"right"
"16"	"PWY.3781"	3.04488215199988	"right"
"17"	"PWY.7090"	3.45041611417577	"right"
"18"	"PWY.1622"	5.33192323943362	"right"
"19"	"PWY0.1415"	5.46513225867961	"right"
"20"	"PWY.5920"	5.4742389272648	"right"
