feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.6572	Week_and_consortia	NS6_w9w10	12.3956535859937	0.242422306804324	40	30	1.19814186715196e-36	3.63036985747043e-34
PWY.7090	Week_and_consortia	NS6_w9w10	8.13967975233276	0.248065252353578	40	37	1.72363930154891e-29	2.6113135418466e-27
GALACT.GLUCUROCAT.PWY	Week_and_consortia	NS6_w9w10	0.779457482629535	0.0275302773526994	40	40	1.1221523388689e-26	1.13337386225759e-24
PWY.6344	Week_and_consortia	NS6_w9w10	-1.46167726483143	0.0555802308139605	40	20	1.51768689374437e-25	1.14964782201136e-23
GLUCUROCAT.PWY	Week_and_consortia	NS6_w9w10	0.861527733740511	0.0336288460344214	40	40	3.80771769606347e-25	2.30747692381446e-23
PWY.3781	Week_and_consortia	NS6_w9w10	6.70867103942832	0.271194770190333	40	21	1.29689014709452e-24	6.54929524282733e-23
P163.PWY	Week_and_consortia	NS6_w9w10	-1.57640557357966	0.065373960202673	40	20	3.16190639403109e-24	1.36865376770203e-22
PWY.7315	Week_and_consortia	NS6_w9w10	-0.728938134828553	0.0306275602865495	40	40	4.98742318255308e-24	1.88898653039198e-22
PWY.1622	Week_and_consortia	NS6_w9w10	1.44285424359058	0.0627247093412007	40	20	1.62741725286249e-23	5.47897141797038e-22
PWY.7242	Week_and_consortia	NS6_w9w10	0.834591051567054	0.0389889966525859	40	40	8.39191544872311e-23	2.5427503809631e-21
REDCITCYC	Week_and_consortia	NS6_w9w10	-4.45862890364564	0.204411327683457	40	40	1.01986767711389e-22	2.80927187423189e-21
UBISYN.PWY	Week_and_consortia	NS6_w9w10	-1.10602284127173	0.0527590323835788	40	40	1.74616484607527e-22	4.40906623634004e-21
PWY.7373	Week_and_consortia	NS6_w9w10	-1.63013960921657	0.0764599339801419	40	20	2.2321523980462e-22	5.20263212775384e-21
PWY.5419	Week_and_consortia	NS6_w9w10	-5.5902671872783	0.280113208415373	40	38	9.73044695337885e-22	2.10594673348128e-20
PWY.5304	Week_and_consortia	NS6_w9w10	1.9189606410254	0.0969885501288728	40	40	2.8496867102576e-21	4.97840068273952e-20
PWY.5855	Week_and_consortia	NS6_w9w10	-1.17831718845971	0.0610611517660964	40	40	3.12176940501818e-21	4.97840068273952e-20
PWY.5856	Week_and_consortia	NS6_w9w10	-1.17831718845971	0.0610611517660964	40	40	3.12176940501818e-21	4.97840068273952e-20
PWY.5857	Week_and_consortia	NS6_w9w10	-1.17831718845971	0.0610611517660964	40	40	3.12176940501818e-21	4.97840068273952e-20
PWY.6708	Week_and_consortia	NS6_w9w10	-1.17831718845971	0.0610611517660964	40	40	3.12176940501818e-21	4.97840068273952e-20
PWY.5420	Week_and_consortia	NS6_w9w10	-5.26443025747968	0.274037650119481	40	38	3.6474795911845e-21	5.52593158064452e-20
PWY.7234	Week_and_consortia	NS6_w9w10	-1.6995954763746	0.0919121527193275	40	40	1.35599439905911e-20	1.95650620435672e-19
P164.PWY	Week_and_consortia	NS6_w9w10	1.34851410436243	0.0722565103645574	40	40	2.0419411622699e-20	2.8123098734899e-19
ASPASN.PWY	Week_and_consortia	NS6_w9w10	0.772435994762236	0.044723700787125	40	40	1.38674296342161e-19	1.82688312137717e-18
PWY.5415	Week_and_consortia	NS6_w9w10	-4.73823101257629	0.276071621696632	40	38	1.71495035642746e-19	2.16512482498967e-18
PWY0.845	Week_and_consortia	NS6_w9w10	0.409833679781417	0.0240429487962883	40	40	2.16079440380425e-19	2.61888281741075e-18
PWY.6353	Week_and_consortia	NS6_w9w10	1.02081196860476	0.0594437963500868	40	40	3.2525347543084e-19	3.79045396367479e-18
PWY.5910	Week_and_consortia	NS6_w9w10	-4.86559006371412	0.284727007199867	40	38	3.82393760909335e-19	4.1380467698403e-18
PWY.922	Week_and_consortia	NS6_w9w10	-4.87326945430872	0.285128819363475	40	38	3.80297659546695e-19	4.1380467698403e-18
PWY.6609	Week_and_consortia	NS6_w9w10	0.423024198685169	0.025257425739154	40	40	7.40471164803935e-19	7.73664699777905e-18
P4.PWY	Week_and_consortia	NS6_w9w10	-1.2593267776953	0.0767828406875526	40	40	7.88288493425456e-19	7.92695706885727e-18
PWY.6269	Week_and_consortia	NS6_w9w10	0.396679770595676	0.0242066758725316	40	40	8.11008809025001e-19	7.92695706885727e-18
PWY.6263	Week_and_consortia	NS6_w9w10	-1.84412052116621	0.112992645195837	40	40	9.28933658144688e-19	8.79584057555752e-18
PWY.5509	Week_and_consortia	NS6_w9w10	0.386650805820776	0.023727264162772	40	40	9.77844384815015e-19	8.97838935148332e-18
PWY.181	Week_and_consortia	NS6_w9w10	2.65840959350532	0.163467553355981	40	20	1.93838839691909e-18	1.67838300495453e-17
PWY.7371	Week_and_consortia	NS6_w9w10	-2.1076304262943	0.132024878871615	40	40	1.93872624334681e-18	1.67838300495453e-17
PWY.7374	Week_and_consortia	NS6_w9w10	-2.00294151127306	0.12646201449949	40	40	2.51922199873365e-18	2.06303855571972e-17
PYRIDNUCSAL.PWY	Week_and_consortia	NS6_w9w10	0.331185358192451	0.0209076261210492	40	40	2.50805755011931e-18	2.06303855571972e-17
COBALSYN.PWY	Week_and_consortia	NS6_w9w10	0.188896179866043	0.0117612167009059	40	40	2.90878663855939e-18	2.3193746091671e-17
PWY0.1415	Week_and_consortia	NS6_w9w10	2.52751004491137	0.160019259366937	40	20	4.9968374940366e-18	3.88215836075152e-17
GALACTUROCAT.PWY	Week_and_consortia	NS6_w9w10	0.54151910578999	0.035204737685173	40	40	6.61014021891091e-18	5.00718121582501e-17
PWY.5022	Week_and_consortia	NS6_w9w10	-2.38875861146071	0.155728489493222	40	40	7.24304024613648e-18	5.35278340141305e-17
PWY.5920	Week_and_consortia	NS6_w9w10	2.54478252634673	0.163232972452969	40	20	7.6213341078159e-18	5.49824817778147e-17
PWY.6387	Week_and_consortia	NS6_w9w10	0.335321978473601	0.0223832855908678	40	40	1.57052064987269e-17	1.10666920211959e-16
PWY.6507	Week_and_consortia	NS6_w9w10	0.942631324410962	0.0631200786479376	40	40	1.73993013682599e-17	1.19817916240517e-16
PWY.6385	Week_and_consortia	NS6_w9w10	0.289061887480472	0.0195820641565961	40	40	2.53895274152208e-17	1.67239713191563e-16
SALVADEHYPOX.PWY	Week_and_consortia	NS6_w9w10	1.41251771187179	0.0940557930250347	40	40	2.52817517972622e-17	1.67239713191563e-16
P42.PWY	Week_and_consortia	NS6_w9w10	0.295546695491575	0.0201711727660029	40	40	3.23405768549773e-17	2.0849350610762e-16
PWY.6749	Week_and_consortia	NS6_w9w10	-1.25975835578534	0.0852451532090555	40	40	4.22129327135203e-17	2.66469137754097e-16
PWY.6478	Week_and_consortia	NS6_w9w10	-0.939315136874173	0.0640164620731173	40	40	5.29401511736983e-17	3.27364608278175e-16
PENTOSE.P.PWY	Week_and_consortia	NS6_w9w10	0.842343270347334	0.0583533416602091	40	40	8.87756919802435e-17	5.37980693400276e-16
ARGDEG.PWY	Week_and_consortia	NS6_w9w10	2.76364109632345	0.191959472708585	40	20	9.65200411846434e-17	5.51803254319754e-16
ORNARGDEG.PWY	Week_and_consortia	NS6_w9w10	2.76364109632345	0.191959472708585	40	20	9.65200411846434e-17	5.51803254319754e-16
PEPTIDOGLYCANSYN.PWY	Week_and_consortia	NS6_w9w10	0.262657121294387	0.0185324252633618	40	40	9.45411081172972e-17	5.51803254319754e-16
PWY.5695	Week_and_consortia	NS6_w9w10	0.396361348129414	0.0277127165458549	40	40	1.18775192703799e-16	6.66460803504649e-16
P281.PWY	Week_and_consortia	NS6_w9w10	2.66445411557954	0.187486198808274	40	20	1.45189743200168e-16	7.99863494357291e-16
PWY.6386	Week_and_consortia	NS6_w9w10	0.429318969549701	0.0307984997847213	40	40	1.60835775248074e-16	8.70236426788687e-16
PWY.7399	Week_and_consortia	NS6_w9w10	-3.14728454918801	0.228607883958432	40	40	2.39159937327167e-16	1.27132387737073e-15
ORNDEG.PWY	Week_and_consortia	NS6_w9w10	2.67116409888253	0.192519385096939	40	20	3.07526353950643e-16	1.60656009046629e-15
PWY.7332	Week_and_consortia	NS6_w9w10	1.95657903561389	0.141581535596661	40	20	3.48311260620503e-16	1.78878494861038e-15
PWY.6588	Week_and_consortia	NS6_w9w10	-2.93216994800603	0.213359570781721	40	40	4.14080463448489e-16	2.09110634041487e-15
THRESYN.PWY	Week_and_consortia	NS6_w9w10	0.440656052370613	0.0325028224907092	40	40	6.3107800038099e-16	3.13469891992525e-15
PWY.7294	Week_and_consortia	NS6_w9w10	-2.03035774718591	0.155231723949106	40	38	1.20379842618888e-15	5.88307940540696e-15
GLUCARDEG.PWY	Week_and_consortia	NS6_w9w10	1.70929338933967	0.131060598871083	40	40	1.31686112775301e-15	6.33347494776449e-15
PWY.7220	Week_and_consortia	NS6_w9w10	-0.670354883879703	0.0508792728084498	40	40	1.52266587392638e-15	7.0979655353799e-15
PWY.7222	Week_and_consortia	NS6_w9w10	-0.670354883879703	0.0508792728084498	40	40	1.52266587392638e-15	7.0979655353799e-15
PWY.7003	Week_and_consortia	NS6_w9w10	-2.28748454206957	0.174453558263512	40	40	1.76402194611912e-15	8.09846438900142e-15
PWY.5505	Week_and_consortia	NS6_w9w10	0.570207779719294	0.0442277045727156	40	40	1.88608285985313e-15	8.52959860500746e-15
FASYN.INITIAL.PWY	Week_and_consortia	NS6_w9w10	0.669676471960309	0.0520169081796709	40	40	1.97144812317251e-15	8.78454090178341e-15
PWY.5667	Week_and_consortia	NS6_w9w10	-0.216228952250043	0.0168239492074242	40	40	2.07785857556984e-15	8.99415926282374e-15
PWY0.1319	Week_and_consortia	NS6_w9w10	-0.216228952250043	0.0168239492074242	40	40	2.07785857556984e-15	8.99415926282374e-15
PWY.6147	Week_and_consortia	NS6_w9w10	0.488697833267795	0.0382823877759654	40	40	2.56440044431388e-15	1.09438497834803e-14
PWY.7197	Week_and_consortia	NS6_w9w10	-0.650305607171623	0.0504466048102538	40	40	2.96592287854051e-15	1.2481592113858e-14
ARGSYNBSUB.PWY	Week_and_consortia	NS6_w9w10	-0.467943471417337	0.0369304848555762	40	40	3.22884319751033e-15	1.34019108061045e-14
PWY.7229	Week_and_consortia	NS6_w9w10	-0.278078822915076	0.0217116100303914	40	40	3.61051086860949e-15	1.47835782863335e-14
GLUTORN.PWY	Week_and_consortia	NS6_w9w10	-0.243550034495584	0.0193426829392595	40	40	3.92227245855781e-15	1.58459807325735e-14
PWY.7237	Week_and_consortia	NS6_w9w10	-3.3808315029229	0.266271518204923	40	40	4.69974377718526e-15	1.87371363748307e-14
