"features"	"coefs"	"category"
"1"	"PWY.6690"	-2.15288087980462	"left"
"2"	"HCAMHPDEG.PWY"	-2.15288087980462	"left"
"3"	"PWY0.1277"	-2.01364996734386	"left"
"4"	"REDCITCYC"	-1.94995148824409	"left"
"5"	"TEICHOICACID.PWY"	-1.86374423252711	"left"
"6"	"P562.PWY"	-1.72037836822165	"left"
"7"	"P125.PWY"	-1.57725052679769	"left"
"8"	"GALLATE.DEGRADATION.II.PWY"	-1.54835121467748	"left"
"9"	"NAD.BIOSYNTHESIS.II"	-1.48515241959722	"left"
"10"	"POLYAMINSYN3.PWY"	-1.32462407698706	"left"
"11"	"CRNFORCAT.PWY"	2.03887697009718	"right"
"12"	"PWY.5177"	2.09469824633227	"right"
"13"	"PWY490.3"	2.28153779155656	"right"
"14"	"P221.PWY"	2.30964229824968	"right"
"15"	"PWY.6148"	2.45821638509185	"right"
"16"	"PWY.2201"	2.52019730115656	"right"
"17"	"KETOGLUCONMET.PWY"	2.52709666721208	"right"
"18"	"PWY.181"	2.6162043034722	"right"
"19"	"PWY.1622"	2.72257468989081	"right"
"20"	"PWY.7090"	4.68980790658527	"right"
