	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	X3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	Sex_and_consortia	Female_NS1	0.0559643730903138	0.180027862177571	85	85	0.756682562889952	0.942443979521104									
1	AEROBACTINSYN-PWY	Sex_and_consortia	Female_NS1	0.0886029109743068	0.221444775420439	85	85	0.690101281787222	0.942443979521104	AEROBACTINSYN-PWY	aerobactin biosynthesis	Biosynthesis						
2	ALL-CHORISMATE-PWY	Sex_and_consortia	Female_NS1	0.0355084572025028	0.0750085710435934	85	85	0.637176271505499	0.942443979521104	ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	Superpathways						
3	ANAEROFRUCAT-PWY	Sex_and_consortia	Female_NS1	-0.0259157083987712	0.046781060548233	85	85	0.581082939064387	0.942443979521104	ANAEROFRUCAT-PWY	homolactic fermentation // anaerobic fructose catabolism // anaerobic fructose degradation // fructose fermentation to lactate // fructose fermentation to lactic acid	Superpathways	Generation of precursor metabolites and energy					
4	ANAGLYCOLYSIS-PWY	Sex_and_consortia	Female_NS1	-0.0145377051417804	0.0119017561344845	85	85	0.225364106827693	0.942443979521104	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)	Generation of precursor metabolites and energy						
5	ARG-POLYAMINE-SYN	Sex_and_consortia	Female_NS1	0.033906930489829	0.072316142927591	85	85	0.64039116682076	0.942443979521104									
6	ARGDEG-PWY	Sex_and_consortia	Female_NS1	0.0663363355773507	0.207240266461004	85	85	0.749701590349134	0.942443979521104	ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // L-arginine utilization // ADC pathway	Degradation/utilization/assimilation	Superpathways					
7	ARGSYN-PWY	Sex_and_consortia	Female_NS1	0.0029294425873849	0.0088614897858739	85	85	0.741793840392836	0.942443979521104	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	Superpathways	Biosynthesis	Amino acid biosynthesis				
8	ARGSYNBSUB-PWY	Sex_and_consortia	Female_NS1	0.0455688585334493	0.0320348772222774	85	85	0.158635428076579	0.942443979521104	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	Biosynthesis						
9	ARO-PWY	Sex_and_consortia	Female_NS1	0.0168124075199572	0.0132735128179384	85	85	0.208836585494385	0.942443979521104	ARO-PWY	chorismate biosynthesis I // aromatic amino acid biosynthesis // shikimate pathway	Superpathways	Biosynthesis	Carboxylic acid biosynthesis				
10	ASPASN-PWY	Sex_and_consortia	Female_NS1	-0.0437615387413406	0.0327176123490173	85	85	0.184695923101277	0.942443979521104	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis // Interconversion of L-aspartate and L-asparagine	Superpathways	Biosynthesis	Amino acid biosynthesis				
11	AST-PWY	Sex_and_consortia	Female_NS1	0.0813426324978959	0.217621375484067	85	85	0.709520698666331	0.942443979521104	AST-PWY	L-arginine degradation II (AST pathway) // L-arginine succinyltransferase pathway // AST pathway // ammonia-producing L-arginine catabolic pathway // L-arginine catabolism	Degradation/utilization/assimilation						
12	BRANCHED-CHAIN-AA-SYN-PWY	Sex_and_consortia	Female_NS1	0.003575709964571	0.0078158090673287	85	85	0.648509116031563	0.942443979521104	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis // superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis	Superpathways	Metabolic clusters		Biosynthesis	Amino acid biosynthesis		
13	CALVIN-PWY	Sex_and_consortia	Female_NS1	-0.0135483821470972	0.0175512393863564	85	85	0.442346427774361	0.942443979521104	CALVIN-PWY	Calvin-Benson-Bassham cycle // photosynthetic dark reactions // photosynthetic CO<SUB>2</SUB> fixation // reductive pentose phosphate pathway // Calvin cycle // photosynthesis - dark reaction // carbon fixation // Calvin-Benson cycle	Degradation/utilization/assimilation						
14	CENTFERM-PWY	Sex_and_consortia	Female_NS1	0.0527029722535423	0.186366683056004	85	85	0.778040491794168	0.942443979521104	CENTFERM-PWY	pyruvate fermentation to butanoate // central fermentation pathway // acetobutylicum fermentation // pyruvate fermentation to butyrate // pyruvic acid fermentation to butanoic acid	Generation of precursor metabolites and energy						
15	COA-PWY	Sex_and_consortia	Female_NS1	-0.0063951236520372	0.0100216887843199	85	85	0.525146879230573	0.942443979521104	COA-PWY	coenzyme A biosynthesis I (bacteria) // CoA biosynthesis	Biosynthesis						
16	COLANSYN-PWY	Sex_and_consortia	Female_NS1	0.0159056159602596	0.03597289906387	85	85	0.659526662887018	0.942443979521104	COLANSYN-PWY	colanic acid building blocks biosynthesis	Superpathways	Biosynthesis	Carbohydrate biosynthesis				
17	COMPLETE-ARO-PWY	Sex_and_consortia	Female_NS1	0.0163476979666418	0.0132014217302552	85	85	0.219085309677151	0.942443979521104	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis (from phospho<i>enol</i>pyruvate and D-erythrose 4-phosphate) // superpathway of L-phenylalanine, L-tyrosine, and L-tryptophan biosynthesis	Superpathways	Biosynthesis	Amino acid biosynthesis				
18	DAPLYSINESYN-PWY	Sex_and_consortia	Female_NS1	0.0101793081932478	0.0341166258693365	85	85	0.766168013177662	0.942443979521104	DAPLYSINESYN-PWY	L-lysine biosynthesis I // L-lysine and L-diaminopimelate biosynthesis	Biosynthesis						
19	DTDPRHAMSYN-PWY	Sex_and_consortia	Female_NS1	-0.0079010538768829	0.0109354784678079	85	85	0.472008449532823	0.942443979521104	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis	Biosynthesis						
20	ECASYN-PWY	Sex_and_consortia	Female_NS1	0.104406490656393	0.17761240035998	85	85	0.558240155992868	0.942443979521104	ECASYN-PWY	enterobacterial common antigen biosynthesis // ECA biosynthesis	Glycan pathways	Biosynthesis	Carboxylic acid biosynthesis				
