feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.5.3.3.6	Week_and_consortia	NS6_w5w6	6.19095698986844	0.140159840963883	24	13	5.59959927537889e-23	9.66490834930397e-20
EC.1.8.7.1	Week_and_consortia	NS6_w5w6	5.94861612321158	0.168615380967491	24	24	7.35889288216193e-21	6.35072455730575e-18
EC.2.7.1.63	Week_and_consortia	NS6_w5w6	7.42571611027759	0.21327775734715	24	24	4.63873412363271e-20	2.66881836579669e-17
EC.2.1.1.148	Week_and_consortia	NS6_w5w6	4.83856280540475	0.157429003985469	24	13	1.44259361089683e-19	6.22479143101981e-17
EC.4.2.1.46	Week_and_consortia	NS6_w5w6	-0.598168718177161	0.0215117890662564	24	24	1.23810300474148e-18	4.27393157236758e-16
EC.4.1.3.32	Week_and_consortia	NS6_w5w6	5.82898157142356	0.213727188943731	24	13	1.87442669136385e-18	5.39210078215667e-16
EC.1.1.1.2	Week_and_consortia	NS6_w5w6	5.48868594209066	0.20321737878092	24	24	2.30803762299695e-18	5.69096133898963e-16
EC.3.5.1.5	Week_and_consortia	NS6_w5w6	-4.75477854619458	0.18040159365966	24	24	3.89151124643618e-18	8.39593551418606e-16
EC.1.1.1.367	Week_and_consortia	NS6_w5w6	2.19865642685459	0.0794461162942342	24	24	5.21430510859277e-18	9.99987846381236e-16
EC.1.5.1.20	Week_and_consortia	NS6_w5w6	-0.705837559894716	0.0272863766886511	24	24	5.80284986687361e-18	1.00157188702239e-15
EC.1.9.3.1	Week_and_consortia	NS6_w5w6	7.27308120069755	0.287361772845987	24	13	9.23586404027758e-18	1.44919103031992e-15
EC.3.1.3.15	Week_and_consortia	NS6_w5w6	0.715192469610874	0.0273256352655765	24	24	1.6305923520005e-17	2.34533533296072e-15
EC.3.4.11.5	Week_and_consortia	NS6_w5w6	4.34709608858355	0.177117792182725	24	24	1.77663712817025e-17	2.35882744863219e-15
EC.2.7.7.82	Week_and_consortia	NS6_w5w6	-8.96958006562067	0.354268843881444	24	18	3.20725016874383e-17	3.95408127946561e-15
EC.4.1.1.7	Week_and_consortia	NS6_w5w6	-1.72112120667448	0.0760506583791707	24	12	9.91514461458516e-17	1.14090264031827e-14
EC.2.6.1.59	Week_and_consortia	NS6_w5w6	-0.779053284275721	0.0327422531480577	24	24	1.13358902034489e-16	1.22285915569705e-14
EC.4.1.1.82	Week_and_consortia	NS6_w5w6	6.8284827730189	0.306618360293667	24	15	1.39236788459652e-16	1.41366292283153e-14
EC.2.4.1.304	Week_and_consortia	NS6_w5w6	1.35810253447213	0.0585086080408079	24	12	1.87158322769722e-16	1.79464036166967e-14
EC.4.3.1.19	Week_and_consortia	NS6_w5w6	-1.04497575896531	0.0480199490906809	24	24	2.26710980274734e-16	1.863348342639e-14
EC.4.2.2.21	Week_and_consortia	NS6_w5w6	11.0534175612906	0.480672632037288	24	21	2.26201378479277e-16	1.863348342639e-14
EC.4.2.2.20	Week_and_consortia	NS6_w5w6	11.0534175612906	0.480672632037288	24	21	2.26201378479277e-16	1.863348342639e-14
EC.1.1.1.287	Week_and_consortia	NS6_w5w6	-1.48448182614388	0.0686202118902676	24	12	2.56695409394685e-16	2.01389216643285e-14
EC.2.3.1.180	Week_and_consortia	NS6_w5w6	0.696492820426227	0.032297771845108	24	24	2.74436131310006e-16	2.05946418539596e-14
EC.2.3.1.247	Week_and_consortia	NS6_w5w6	-2.95996226378232	0.138307336540898	24	24	3.2206302165742e-16	2.31616989741961e-14
EC.3.6.3.34	Week_and_consortia	NS6_w5w6	-0.494023959719118	0.0222718035463675	24	24	4.68600464764011e-16	3.22301067174106e-14
EC.1.1.1.47	Week_and_consortia	NS6_w5w6	-5.20221394730145	0.247873052816269	24	24	4.85505663182316e-16	3.22301067174106e-14
EC.2.7.7.24	Week_and_consortia	NS6_w5w6	-0.457897529257143	0.0220956655478917	24	24	6.33230061705163e-16	4.04798180186338e-14
EC.4.1.1.44	Week_and_consortia	NS6_w5w6	-0.891357051396923	0.0430919378366207	24	24	6.58345751373391e-16	4.05823131025169e-14
EC.1.1.1.108	Week_and_consortia	NS6_w5w6	-1.60824796359929	0.0802622505812374	24	12	1.28137903488394e-15	7.62641453175749e-14
EC.1.16.3.2	Week_and_consortia	NS6_w5w6	-0.744802107720373	0.0373799667548704	24	24	1.44100007751128e-15	8.29055377928158e-14
EC.1.1.1.67	Week_and_consortia	NS6_w5w6	3.65093409222245	0.187450472920477	24	24	2.31707809983815e-15	1.29008929042601e-13
EC.3.2.1.97	Week_and_consortia	NS6_w5w6	5.37341565235616	0.279625730416985	24	24	3.06669087240136e-15	1.65409638930148e-13
EC.3.5.99.6	Week_and_consortia	NS6_w5w6	0.412328111099098	0.0215589833596185	24	24	3.38460660683544e-15	1.75825594184539e-13
EC.1.1.1.93	Week_and_consortia	NS6_w5w6	4.35782077670391	0.217645732079599	24	24	3.66727774660684e-15	1.75825594184539e-13
EC.4.1.1.73	Week_and_consortia	NS6_w5w6	4.35782077670391	0.217645732079599	24	24	3.66727774660684e-15	1.75825594184539e-13
EC.1.1.1.83	Week_and_consortia	NS6_w5w6	4.35782077670391	0.217645732079599	24	24	3.66727774660684e-15	1.75825594184539e-13
EC.3.2.1.21	Week_and_consortia	NS6_w5w6	1.44024685745743	0.0764657561078422	24	24	4.65186324190843e-15	2.1700313393335e-13
EC.2.4.1.1	Week_and_consortia	NS6_w5w6	-0.338434876477047	0.0180869049909317	24	24	5.33315974933795e-15	2.42237729667298e-13
EC.1.5.5.2	Week_and_consortia	NS6_w5w6	-1.14586933851734	0.0622199443029178	24	24	7.41590020581046e-15	3.12191311103143e-13
EC.1.2.1.88	Week_and_consortia	NS6_w5w6	-1.14586933851734	0.0622199443029178	24	24	7.41590020581046e-15	3.12191311103143e-13
EC.3.2.1.80	Week_and_consortia	NS6_w5w6	1.66774563962889	0.0904742134111978	24	24	7.2759088258791e-15	3.12191311103143e-13
EC.3.2.1.20	Week_and_consortia	NS6_w5w6	0.800571231904775	0.042111387481827	24	24	1.03174987757706e-14	4.17597443883729e-13
EC.3.1.4.46	Week_and_consortia	NS6_w5w6	0.876843792811048	0.046404751717937	24	24	1.16438841383733e-14	4.17597443883729e-13
EC.4.1.1.77	Week_and_consortia	NS6_w5w6	-1.66828576766615	0.0886343272734821	24	12	1.25811512289245e-14	4.17597443883729e-13
EC.3.7.1.18	Week_and_consortia	NS6_w5w6	-1.66828576766614	0.0886343272653056	24	12	1.25811511378813e-14	4.17597443883729e-13
EC.6.6.1.1	Week_and_consortia	NS6_w5w6	-1.66828576766614	0.0886343272762788	24	12	1.2581151264168e-14	4.17597443883729e-13
EC.1.4.1.11	Week_and_consortia	NS6_w5w6	-1.66828576766614	0.0886343272762788	24	12	1.2581151264168e-14	4.17597443883729e-13
EC.5.4.3.3	Week_and_consortia	NS6_w5w6	-1.66828576766614	0.0886343272762788	24	12	1.2581151264168e-14	4.17597443883729e-13
EC.5.1.1.12	Week_and_consortia	NS6_w5w6	-1.66828576766614	0.0886343272762788	24	12	1.2581151264168e-14	4.17597443883729e-13
EC.4.3.1.14	Week_and_consortia	NS6_w5w6	-1.66828576766614	0.0886343272762788	24	12	1.2581151264168e-14	4.17597443883729e-13
EC.5.1.1.18	Week_and_consortia	NS6_w5w6	-1.66828576766615	0.0886343272734821	24	12	1.25811512289245e-14	4.17597443883729e-13
EC.6.3.2.35	Week_and_consortia	NS6_w5w6	-1.66828576766615	0.0886343272734821	24	12	1.25811512289245e-14	4.17597443883729e-13
EC.1.1.1.58	Week_and_consortia	NS6_w5w6	0.994850566059109	0.0535861608215536	24	24	1.65256018959955e-14	5.3817337495261e-13
EC.1.17.99.6	Week_and_consortia	NS6_w5w6	-0.671001403805169	0.0382204845892377	24	24	1.99232946986079e-14	6.36807530551801e-13
EC.5.1.3.2	Week_and_consortia	NS6_w5w6	0.38203379610624	0.0221061443609602	24	24	2.75458997934901e-14	8.64440418973889e-13
EC.2.5.1.132	Week_and_consortia	NS6_w5w6	1.88008720034801	0.104231495665684	24	12	2.92654197998515e-14	8.70898527147305e-13
