	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	PWY-6572	Week_and_consortia	NS6_w5w6	1.40705778248255	0.0336180820469674	54	12	1.00766887866158e-41	3.09354345749106e-39	PWY-6572	chondroitin sulfate degradation I (bacterial)	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
1	PWY-7332	Week_and_consortia	NS6_w5w6	1.77480144547035	0.0631535203268035	54	12	1.00225088066248e-32	1.5384551018169e-30	PWY-7332	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis	Superpathways	Biosynthesis	Carbohydrate biosynthesis				
2	PWY-4984	Week_and_consortia	NS6_w5w6	-0.900585173756646	0.035265652392781	54	54	9.48851674192133e-31	9.709915465899489e-29	PWY-4984	urea cycle // Krebs ornithine cycle // Krebs-Henseleit cycle	Degradation/utilization/assimilation						
3	P163-PWY	Week_and_consortia	NS6_w5w6	-1.77747089975144	0.0741927950437472	54	42	9.243476396526809e-30	7.09436813433433e-28	P163-PWY	L-lysine fermentation to acetate and butanoate // 3-keto-5-aminohexanoate pathway // L-lysine fermentation to acetate and butyrate // L-lysine fermentation to acetic acid and butanoic acid	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
4	PWY-5304	Week_and_consortia	NS6_w5w6	2.27990260768379	0.0971741815297447	54	54	2.50338988223119e-29	1.53708138768995e-27	PWY-5304	superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>)	Degradation/utilization/assimilation	Superpathways					
5	PWY0-1415	Week_and_consortia	NS6_w5w6	2.7158381805854	0.117360823632824	54	12	4.81983064083243e-29	2.4661466778926e-27	PWY0-1415	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis		
6	PWY-5920	Week_and_consortia	NS6_w5w6	2.72450686929168	0.118933287117419	54	12	7.79098414275263e-29	3.41690304546437e-27	PWY-5920	superpathway of heme <i>b</i> biosynthesis from glycine	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis		
7	PWY-5177	Week_and_consortia	NS6_w5w6	-1.47752690545633	0.0642753326321123	54	42	1.27490621383613e-28	4.89245259559616e-27	PWY-5177	glutaryl-CoA degradation	Degradation/utilization/assimilation						
8	PWY0-1277	Week_and_consortia	NS6_w5w6	2.70366802931966	0.122331090124071	54	12	4.23745533471453e-28	1.44544309750818e-26	PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation // 3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation	Degradation/utilization/assimilation	Superpathways					
9	PWY-6344	Week_and_consortia	NS6_w5w6	-1.61127628501526	0.0739007440606224	54	42	1.53971718094592e-27	4.72693174550398e-26	PWY-6344	L-arginine degradation XIV (oxidative Stickland reaction) // L-arginine fermentation	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
10	PWY-5419	Week_and_consortia	NS6_w5w6	-3.55581847758952	0.164220767780424	54	54	2.24834611930808e-27	6.27492962388708e-26	PWY-5419	catechol degradation to 2-hydroxypentadienoate II // catechol degradation, <I>meta</I>-cleavage	Degradation/utilization/assimilation						
11	ARGDEG-PWY	Week_and_consortia	NS6_w5w6	3.08298369235209	0.146623506516195	54	12	4.38140907697001e-27	9.755536009940619e-26	ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // L-arginine utilization // ADC pathway	Degradation/utilization/assimilation	Superpathways					
12	ORNARGDEG-PWY	Week_and_consortia	NS6_w5w6	3.08298369235209	0.146623506516195	54	12	4.38140907697001e-27	9.755536009940619e-26	ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	Degradation/utilization/assimilation	Superpathways					
13	PWY-7111	Week_and_consortia	NS6_w5w6	-0.278194134659904	0.0132349550673436	54	54	4.44877863645501e-27	9.755536009940619e-26	PWY-7111	pyruvate fermentation to isobutanol (engineered) // isobutanol biosynthesis // pyruvic acid fermentation to isobutanol (engineered)	Generation of precursor metabolites and energy						
14	ORNDEG-PWY	Week_and_consortia	NS6_w5w6	2.89431224384008	0.138405566135046	54	12	5.65367966967626e-27	1.15711977239374e-25	ORNDEG-PWY	superpathway of ornithine degradation	Degradation/utilization/assimilation	Superpathways					
15	P281-PWY	Week_and_consortia	NS6_w5w6	3.008150208301	0.144767217125859	54	12	7.60173349994448e-27	1.45858261530185e-25	P281-PWY	3-phenylpropanoate degradation // 3-phenylpropionate degradation // 3-phenylpropionic acid degradation	Degradation/utilization/assimilation	Superpathways					
16	HCAMHPDEG-PWY	Week_and_consortia	NS6_w5w6	3.15327537457759	0.153777901858972	54	12	1.40772017096704e-26	2.4009449582604503e-25	HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate // 3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation to 2-oxopent-4-enoate	Degradation/utilization/assimilation						
