feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.1.3.3.15	Week_and_consortia	NS1_w9w10	8.78371538145977	0.0612716445959479	108	54	3.40227880798736e-123	2.95658028414102e-120
EC.1.3.3.4	Week_and_consortia	NS1_w9w10	8.78371538145977	0.0612716445959479	108	54	3.40227880798736e-123	2.95658028414102e-120
EC.4.1.1.7	Week_and_consortia	NS1_w9w10	7.71516850770731	0.0595396705313782	108	54	1.43493180925806e-118	8.31303828163506e-116
EC.2.3.1.209	Week_and_consortia	NS1_w9w10	7.26514351386981	0.0653263565272325	108	108	1.38789040857826e-111	6.03038382527254e-109
EC.3.1.31.1	Week_and_consortia	NS1_w9w10	-6.41469037331872	0.0638358630188747	108	57	3.16902964610919e-106	1.10155470498755e-103
EC.3.2.1.4	Week_and_consortia	NS1_w9w10	3.82901862795031	0.0390805171174485	108	108	8.30928230890195e-106	2.40692210881193e-103
EC.3.5.1.47	Week_and_consortia	NS1_w9w10	-5.67602416499314	0.0679803752190457	108	57	1.54635936248984e-98	3.83938938858191e-96
EC.2.7.11.1	Week_and_consortia	NS1_w9w10	0.742846168015419	0.00908301261419058	108	108	1.34275329277015e-97	2.91713152854314e-95
EC.2.4.1.52	Week_and_consortia	NS1_w9w10	7.03415475550917	0.0933506036402879	108	108	6.84886328898863e-94	1.32259159958469e-91
EC.2.3.1.79	Week_and_consortia	NS1_w9w10	0.690640934880561	0.00946636109833844	108	108	6.07258833635685e-92	1.05541585285882e-89
EC.3.1.3.15	Week_and_consortia	NS1_w9w10	0.591356614899557	0.00823463431581758	108	108	1.01802278185163e-91	1.60847599532558e-89
EC.4.2.2.21	Week_and_consortia	NS1_w9w10	1.47757931458907	0.0206486373239205	108	52	1.47341350035979e-91	1.96984051048102e-89
EC.4.2.2.20	Week_and_consortia	NS1_w9w10	1.47757931458907	0.0206486373239205	108	52	1.47341350035979e-91	1.96984051048102e-89
EC.3.1.1.61	Week_and_consortia	NS1_w9w10	-3.70576917658642	0.0531194634015517	108	108	4.44694274818276e-90	5.52056178310117e-88
EC.1.1.1.367	Week_and_consortia	NS1_w9w10	4.14284249248924	0.0624007807162271	108	108	3.49991802937824e-88	4.05523835670625e-86
EC.1.18.1.3	Week_and_consortia	NS1_w9w10	6.41554915163283	0.0969933487800108	108	54	5.14526014639275e-88	5.58903883401913e-86
EC.1.5.1.28	Week_and_consortia	NS1_w9w10	-4.54483247777073	0.068772450503346	108	108	5.64446260454428e-88	5.77063294511645e-86
EC.1.8.4.8	Week_and_consortia	NS1_w9w10	4.24453422951369	0.0667650643435001	108	108	1.03462396241059e-85	9.46408656141895e-84
EC.1.8.4.10	Week_and_consortia	NS1_w9w10	4.24453422951369	0.0667650643435001	108	108	1.03462396241059e-85	9.46408656141895e-84
EC.1.12.99.6	Week_and_consortia	NS1_w9w10	-3.91775615174871	0.0632872754753583	108	108	1.16980211427056e-84	1.01655803730111e-82
EC.2.7.8.36	Week_and_consortia	NS1_w9w10	2.52289143285273	0.0413819132800432	108	52	2.33825171860957e-84	1.93518166044926e-82
EC.1.1.1.371	Week_and_consortia	NS1_w9w10	4.38488668971408	0.0732404086362824	108	108	4.97873395566992e-83	3.93319982497924e-81
