feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7371	Week_and_consortia	S2_w5w6	-1.13245160220053	0.0811477131780316	98	98	7.83988060399754e-25	1.14854250848564e-22
PWY.7374	Week_and_consortia	S2_w5w6	-1.11850945741064	0.0796082402927009	98	98	5.05837396557944e-25	1.14854250848564e-22
PWY.6263	Week_and_consortia	S2_w5w6	-0.890253289432596	0.0743094575426551	98	98	1.06565797455954e-20	1.04079262181982e-18
PWY.6396	Week_and_consortia	S2_w5w6	0.893871133046966	0.0831114455577486	98	98	4.05515808628495e-18	2.97040329820373e-16
HEMESYN2.PWY	Week_and_consortia	S2_w5w6	0.92691939273219	0.0878008455201688	98	98	1.07003016124199e-17	6.27037674487807e-16
PWY.6891	Week_and_consortia	S2_w5w6	0.894935370953006	0.0878884034357575	98	98	6.71971882352134e-17	3.28145034483119e-15
PWY0.1533	Week_and_consortia	S2_w5w6	0.946476399836923	0.0932372655836085	98	98	7.83964246205403e-17	3.28145034483119e-15
PWY.6895	Week_and_consortia	S2_w5w6	0.673348632610373	0.0672175739822203	98	98	1.51464685645485e-16	5.54739411176591e-15
P23.PWY	Week_and_consortia	S2_w5w6	0.755545737496608	0.0758586290066458	98	98	2.00797677808248e-16	6.27429968247302e-15
PWY.7446	Week_and_consortia	S2_w5w6	1.00310969844888	0.100845888824698	98	98	2.14139920903516e-16	6.27429968247302e-15
PWY0.1338	Week_and_consortia	S2_w5w6	0.954534051419344	0.0962184712218294	98	98	2.43912964460394e-16	6.49695441699049e-15
PWY0.1479	Week_and_consortia	S2_w5w6	0.918082334171406	0.0931511002118376	98	98	3.35257115747627e-16	8.1858612428379e-15
PWY.6148	Week_and_consortia	S2_w5w6	0.903782918919743	0.0920010894069225	98	98	3.92887675309087e-16	8.85508375888942e-15
GLYCOCAT.PWY	Week_and_consortia	S2_w5w6	-0.0677901553172693	0.00693036887658941	98	98	4.83569597446089e-16	1.0120420860836e-14
METHGLYUT.PWY	Week_and_consortia	S2_w5w6	0.9744839412024	0.0998456103146081	98	98	5.37633347459523e-16	1.05017713870427e-14
GLYCOL.GLYOXDEG.PWY	Week_and_consortia	S2_w5w6	0.941306999304958	0.0968968436941966	98	98	6.72131361319422e-16	1.11075423628544e-14
