feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko.K07347	Sex_and_consortia	Female_S5	-0.347774448741087	0.333140369144155	32	32	0.304858292544527	0.761916743762857
ko.K14062	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K09476	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K07306	Sex_and_consortia	Female_S5	-0.345700641269921	0.332711318754886	32	32	0.307088055864149	0.761916743762857
ko.K02029	Sex_and_consortia	Female_S5	-0.0719655334207714	0.0686834877205059	32	32	0.303106230788679	0.761916743762857
ko.K07497	Sex_and_consortia	Female_S5	-0.139560455228115	0.0753243714329992	32	32	0.0737727593513214	0.761916743762857
ko.K08351	Sex_and_consortia	Female_S5	-0.347774448741087	0.333140369144155	32	32	0.304858292544527	0.761916743762857
ko.K07812	Sex_and_consortia	Female_S5	-0.347774448741087	0.333140369144155	32	32	0.304858292544527	0.761916743762857
ko.K07811	Sex_and_consortia	Female_S5	-0.347774448741087	0.333140369144155	32	32	0.304858292544527	0.761916743762857
ko.K02056	Sex_and_consortia	Female_S5	-0.107593781372367	0.103951030061608	32	32	0.308920613895205	0.761916743762857
ko.K07310	Sex_and_consortia	Female_S5	-0.347774448741087	0.333140369144155	32	32	0.304858292544527	0.761916743762857
ko.K07309	Sex_and_consortia	Female_S5	-0.347774448741087	0.333140369144155	32	32	0.304858292544527	0.761916743762857
ko.K11929	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K10542	Sex_and_consortia	Female_S5	-0.150066617579699	0.128713464619818	32	32	0.252842005453307	0.761916743762857
ko.K10441	Sex_and_consortia	Female_S5	-0.168088087881467	0.120291062806912	32	32	0.172559697177882	0.761916743762857
ko.K07345	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K19230	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K02768	Sex_and_consortia	Female_S5	-0.101157541879484	0.0964356521486697	32	32	0.30257209327242	0.761916743762857
ko.K09475	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K07483	Sex_and_consortia	Female_S5	-0.278364205849684	0.158259311845962	32	32	0.088790062321013	0.761916743762857
ko.K16076	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K19353	Sex_and_consortia	Female_S5	-0.279309351371547	0.141363748107934	32	32	0.0574357165799082	0.761916743762857
ko.K11202	Sex_and_consortia	Female_S5	-0.256902851338795	0.202065253221389	32	32	0.213360675869342	0.761916743762857
ko.K03757	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K08348	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K00558	Sex_and_consortia	Female_S5	-0.0558409523812445	0.0528715246422921	32	32	0.299325143087804	0.761916743762857
ko.K06901	Sex_and_consortia	Female_S5	-0.177936226255898	0.120137548810991	32	32	0.149006352189664	0.761916743762857
ko.K04069	Sex_and_consortia	Female_S5	0.0148374162348477	0.0134273309768933	32	32	0.277936456479178	0.761916743762857
ko.K10545	Sex_and_consortia	Female_S5	-0.338365781249648	0.326721386317351	32	32	0.308646393741257	0.761916743762857
ko.K03482	Sex_and_consortia	Female_S5	-0.347774448741089	0.333140369144155	32	32	0.304858292544525	0.761916743762857
ko.K11201	Sex_and_consortia	Female_S5	-0.346928670984264	0.332800424837517	32	32	0.305530137905598	0.761916743762857
ko.K05877	Sex_and_consortia	Female_S5	-0.347774448741087	0.333140369144155	32	32	0.304858292544527	0.761916743762857
ko.K10440	Sex_and_consortia	Female_S5	-0.142824703395273	0.0942041737782947	32	32	0.13995664346406	0.761916743762857
ko.K09996	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K10014	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K00040	Sex_and_consortia	Female_S5	-0.116688421308358	0.082103323623762	32	32	0.165559689879023	0.761916743762857
ko.K10004	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K10010	Sex_and_consortia	Female_S5	-0.336231872396587	0.298385154872677	32	32	0.268743710273215	0.761916743762857
ko.K10038	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K00799	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K16291	Sex_and_consortia	Female_S5	-0.349321508838724	0.330202347298849	32	32	0.298544801766598	0.761916743762857
ko.K13896	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K05350	Sex_and_consortia	Female_S5	-0.137834989988827	0.126961442521852	32	32	0.286283364630281	0.761916743762857
ko.K05874	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K19229	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K05875	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
ko.K11189	Sex_and_consortia	Female_S5	-0.0570015446203052	0.0548482683159069	32	32	0.306988362298921	0.761916743762857
ko.K13892	Sex_and_consortia	Female_S5	-0.347774448741088	0.333140369144155	32	32	0.304858292544526	0.761916743762857
