feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko.K13925	Week_and_consortia	NS6_w5w6	11.6994078053378	0.0688913189254614	54	13	6.34298676321601e-72	3.17910496572386e-68
ko.K01179	Week_and_consortia	NS6_w5w6	4.58507064970694	0.0672710659442265	54	54	1.55471759939171e-52	3.89612230407562e-49
ko.K01821	Week_and_consortia	NS6_w5w6	-6.76276454905199	0.132327871318004	54	54	3.97067441398942e-46	6.63367338763833e-43
ko.K16922	Week_and_consortia	NS6_w5w6	-6.64438355748774	0.140171894117801	54	54	1.83274487234309e-44	2.29642932504589e-41
ko.K00558	Week_and_consortia	NS6_w5w6	-1.04005380841051	0.0226464573368809	54	54	9.14384800042716e-44	9.16579323562818e-41
ko.K05338	Week_and_consortia	NS6_w5w6	5.5484485681755	0.122311755258061	54	13	1.70918674539043e-43	1.42774066131614e-40
ko.K07493	Week_and_consortia	NS6_w5w6	-5.6313767951547	0.131164310349212	54	54	2.78022242960592e-42	1.99063925959784e-39
ko.K09704	Week_and_consortia	NS6_w5w6	2.60915656204537	0.0619957221576188	54	54	7.6218374557471e-42	4.77508116602556e-39
ko.K13004	Week_and_consortia	NS6_w5w6	1.54506419717651	0.0361468623695943	54	12	1.23235253982139e-41	6.86283436620536e-39
ko.K09384	Week_and_consortia	NS6_w5w6	6.12834074908714	0.143954647869664	54	54	1.51404841266907e-41	7.58841064429736e-39
ko.K13664	Week_and_consortia	NS6_w5w6	1.34865047543798	0.0324676194387374	54	12	5.18651732173134e-41	2.16623540137645e-38
ko.K21005	Week_and_consortia	NS6_w5w6	1.34865047543798	0.0324676194387374	54	12	5.18651732173134e-41	2.16623540137645e-38
ko.K01297	Week_and_consortia	NS6_w5w6	2.79623909736189	0.0692201568891112	54	54	6.0328665766749e-41	2.32590209863805e-38
ko.K21739	Week_and_consortia	NS6_w5w6	3.16432869229778	0.0799543449156113	54	54	1.69482558642009e-40	6.06747559938394e-38
ko.K17716	Week_and_consortia	NS6_w5w6	6.04448226522727	0.155119856149759	54	54	3.70490153670148e-40	1.23793110012985e-37
ko.K08961	Week_and_consortia	NS6_w5w6	1.54170954648518	0.0398120792011591	54	12	5.06743114221773e-40	1.5873728052997e-37
ko.K22103	Week_and_consortia	NS6_w5w6	-5.65097798859435	0.143736452412988	54	54	7.60227633120223e-40	2.11681160955476e-37
ko.K21064	Week_and_consortia	NS6_w5w6	-5.41604217428843	0.140838584783276	54	54	7.19440914647203e-40	2.11681160955476e-37
ko.K18013	Week_and_consortia	NS6_w5w6	-2.92113944016755	0.0765636422589357	54	54	1.07003325046954e-39	2.82263507965965e-37
ko.K00648	Week_and_consortia	NS6_w5w6	0.72214318228272	0.0191672947491707	54	54	2.01349291279379e-39	5.04581323946125e-37
ko.K07504	Week_and_consortia	NS6_w5w6	1.38060654689902	0.037030421305813	54	12	3.40660051534835e-39	7.76085535587543e-37
ko.K08280	Week_and_consortia	NS6_w5w6	1.38060654689902	0.037030421305813	54	12	3.40660051534835e-39	7.76085535587543e-37
ko.K02773	Week_and_consortia	NS6_w5w6	-5.91951041520906	0.156018411674009	54	54	4.57844621927931e-39	9.97703150044691e-37
ko.K02851	Week_and_consortia	NS6_w5w6	3.35394223360625	0.0889784713295658	54	54	5.58817700816763e-39	1.16699763187234e-36
ko.K00638	Week_and_consortia	NS6_w5w6	1.82150221715115	0.0496796112934066	54	12	7.87498775329903e-39	1.57877754478139e-36
ko.K19050	Week_and_consortia	NS6_w5w6	1.36546092350448	0.0375926741390481	54	12	1.2599610692633e-38	2.42881726121064e-36
ko.K06188	Week_and_consortia	NS6_w5w6	2.61197553699206	0.0706283163928503	54	54	1.4789173377821e-38	2.7453087766533e-36
ko.K15482	Week_and_consortia	NS6_w5w6	1.35105211602858	0.0373678077807575	54	12	1.58689435186734e-38	2.84054088984254e-36
ko.K18431	Week_and_consortia	NS6_w5w6	-7.5590392397288	0.204825103923015	54	48	1.69155459484534e-38	2.92347297564304e-36
ko.K15773	Week_and_consortia	NS6_w5w6	-5.51648622576449	0.153517959457647	54	53	2.15873997000327e-38	3.49019507408271e-36
ko.K12986	Week_and_consortia	NS6_w5w6	2.04167805428088	0.0567888311165188	54	12	2.10448422855057e-38	3.49019507408271e-36
ko.K06714	Week_and_consortia	NS6_w5w6	-3.38669539547262	0.0952532413553887	54	54	3.66916332812456e-38	5.7468270626751e-36
ko.K07452	Week_and_consortia	NS6_w5w6	12.1934194331966	0.336535037520809	54	28	3.88235875786356e-38	5.89647942254913e-36
ko.K00661	Week_and_consortia	NS6_w5w6	0.504373847015632	0.0142311069041304	54	54	4.30190161958613e-38	6.34150909334286e-36
ko.K19052	Week_and_consortia	NS6_w5w6	1.60962219277899	0.0455245477526484	54	12	4.84623090386766e-38	6.9398026543385e-36
ko.K02236	Week_and_consortia	NS6_w5w6	-5.13961002268248	0.145814395374278	54	54	5.65941637445015e-38	7.87916524131783e-36
ko.K01476	Week_and_consortia	NS6_w5w6	-1.59279082676341	0.0447404432335259	54	54	9.9365914094233e-38	1.34600530118999e-35
ko.K08139	Week_and_consortia	NS6_w5w6	1.92509114367431	0.0543255567794722	54	12	1.18807326009541e-37	1.56700609989426e-35
ko.K01754	Week_and_consortia	NS6_w5w6	-1.02918245981769	0.0297094909683803	54	54	1.34512400917744e-37	1.72865680358906e-35
ko.K01448	Week_and_consortia	NS6_w5w6	0.617432129839545	0.0177773734081605	54	54	3.53608913874991e-37	4.43071969085364e-35
ko.K09924	Week_and_consortia	NS6_w5w6	1.83416156046818	0.0530134766172566	54	12	3.7858619091503e-37	4.62798533869788e-35
ko.K00297	Week_and_consortia	NS6_w5w6	-0.434159017329071	0.0128929235912401	54	54	5.5151422343191e-37	6.58140306628746e-35
ko.K19068	Week_and_consortia	NS6_w5w6	5.45319472404979	0.15897124704319	54	54	5.89811818349933e-37	6.77078860811734e-35
ko.K00886	Week_and_consortia	NS6_w5w6	6.30645837903376	0.187560659827377	54	54	5.94402830720596e-37	6.77078860811734e-35
ko.K00656	Week_and_consortia	NS6_w5w6	-0.386193516528602	0.0115893012554732	54	54	9.28659199438313e-37	1.03431997946329e-34
ko.K02203	Week_and_consortia	NS6_w5w6	-6.15399290981729	0.182654197876341	54	48	1.42224989987674e-36	1.46634373165711e-34
ko.K21279	Week_and_consortia	NS6_w5w6	1.90162886104556	0.0564995283631525	54	12	1.46283293261882e-36	1.46634373165711e-34
ko.K21055	Week_and_consortia	NS6_w5w6	1.90162886104556	0.0564995283631525	54	12	1.46283293261882e-36	1.46634373165711e-34
ko.K21749	Week_and_consortia	NS6_w5w6	1.90162886104556	0.0564995283631525	54	12	1.46283293261882e-36	1.46634373165711e-34
ko.K00066	Week_and_consortia	NS6_w5w6	1.90162886104556	0.0564995283631525	54	12	1.46283293261882e-36	1.46634373165711e-34
ko.K01971	Week_and_consortia	NS6_w5w6	3.97160050453741	0.12044223812899	54	54	1.56498137833022e-36	1.53797777807668e-34
ko.K19147	Week_and_consortia	NS6_w5w6	11.1447771203546	0.337380227965433	54	28	3.72480792682676e-36	3.59014179408764e-34
ko.K07726	Week_and_consortia	NS6_w5w6	-5.21128372596658	0.161275172178977	54	54	4.28234855578707e-36	4.04964735124619e-34
ko.K20333	Week_and_consortia	NS6_w5w6	-1.39539457915226	0.0433817702580195	54	42	5.37274102619864e-36	4.98669963394585e-34
ko.K03328	Week_and_consortia	NS6_w5w6	1.57729014502717	0.0480418491162705	54	54	5.50642413811453e-36	5.01785414186001e-34
ko.K03190	Week_and_consortia	NS6_w5w6	-3.54852167124516	0.1111133791386	54	54	7.65951443638626e-36	6.39824772586132e-34
ko.K03188	Week_and_consortia	NS6_w5w6	-3.54852167124516	0.1111133791386	54	54	7.65951443638626e-36	6.39824772586132e-34
ko.K01428	Week_and_consortia	NS6_w5w6	-3.54852167124516	0.1111133791386	54	54	7.65951443638626e-36	6.39824772586132e-34
ko.K01429	Week_and_consortia	NS6_w5w6	-3.54852167124516	0.1111133791386	54	54	7.65951443638626e-36	6.39824772586132e-34
ko.K01430	Week_and_consortia	NS6_w5w6	-3.54852167124516	0.1111133791386	54	54	7.65951443638626e-36	6.39824772586132e-34
ko.K16926	Week_and_consortia	NS6_w5w6	-2.84962155092698	0.089291803837106	54	54	7.93105817350621e-36	6.51646943698576e-34
ko.K02651	Week_and_consortia	NS6_w5w6	2.90955719273564	0.0914424982914935	54	54	9.19473436606157e-36	7.43290461979042e-34
ko.K03187	Week_and_consortia	NS6_w5w6	-3.35468441043119	0.105943680688179	54	54	1.1683900496876e-35	9.29519195084802e-34
ko.K21065	Week_and_consortia	NS6_w5w6	1.61892686414372	0.0503255962795975	54	12	1.47766077677129e-35	1.15719309580902e-33
ko.K07707	Week_and_consortia	NS6_w5w6	-3.38153729869335	0.107438775991306	54	54	1.57532080707823e-35	1.21469352078093e-33
ko.K08217	Week_and_consortia	NS6_w5w6	-2.19114178040395	0.0700947890593376	54	54	2.2086126388345e-35	1.67720705239977e-33
ko.K00045	Week_and_consortia	NS6_w5w6	1.51083442701285	0.0477964558017168	54	12	3.25019135015999e-35	2.43133717119431e-33
ko.K00612	Week_and_consortia	NS6_w5w6	1.62674313257157	0.0525558711718511	54	12	3.59653439701677e-35	2.65085741144824e-33
ko.K01791	Week_and_consortia	NS6_w5w6	1.61152683869706	0.0522818318908183	54	54	4.41853835196053e-35	3.2095238000038e-33
ko.K13015	Week_and_consortia	NS6_w5w6	2.36764673911272	0.076928951529533	54	54	4.76245763815679e-35	3.36189263132983e-33
ko.K13018	Week_and_consortia	NS6_w5w6	2.30256825728085	0.0747951426155329	54	54	4.70222254527421e-35	3.36189263132983e-33
ko.K12452	Week_and_consortia	NS6_w5w6	-2.44792562450192	0.0795911518217595	54	54	4.92403449211337e-35	3.42767512145448e-33
ko.K13522	Week_and_consortia	NS6_w5w6	1.68435233147098	0.0538830598499369	54	12	5.96805418236527e-35	3.64779116609936e-33
ko.K05783	Week_and_consortia	NS6_w5w6	1.68435233147098	0.0538830598499369	54	12	5.96805418236527e-35	3.64779116609936e-33
ko.K21132	Week_and_consortia	NS6_w5w6	1.68435233147098	0.0538830598499369	54	12	5.96805418236527e-35	3.64779116609936e-33
ko.K07110	Week_and_consortia	NS6_w5w6	1.68435233147098	0.0538830598499369	54	12	5.96805418236527e-35	3.64779116609936e-33
ko.K09964	Week_and_consortia	NS6_w5w6	1.68435233147098	0.0538830598499369	54	12	5.96805418236527e-35	3.64779116609936e-33
ko.K20525	Week_and_consortia	NS6_w5w6	1.68435233147098	0.0538830598499369	54	12	5.96805418236527e-35	3.64779116609936e-33
ko.K14972	Week_and_consortia	NS6_w5w6	1.68435233147098	0.0538830598499369	54	12	5.96805418236527e-35	3.64779116609936e-33
ko.K06974	Week_and_consortia	NS6_w5w6	1.68435233147098	0.0538830598499369	54	12	5.96805418236527e-35	3.64779116609936e-33
