feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.1.6.5.3	Sex_and_Consortium	Female_NS1	0.0205576003315102	0.018898446695255	127	127	0.278779432276153	0.971992021521783
EC.3.6.4.12	Sex_and_Consortium	Female_NS1	-0.00246467943474781	0.00419261088365875	127	127	0.557685008975405	0.971992021521783
EC.3.2.1.23	Sex_and_Consortium	Female_NS1	-0.00343819464370166	0.00832888402107047	127	127	0.680457597979037	0.971992021521783
EC.3.2.1.52	Sex_and_Consortium	Female_NS1	0.0113849396552142	0.02766702831363	127	127	0.68141176465994	0.971992021521783
EC.2.1.1.72	Sex_and_Consortium	Female_NS1	0.009459510356556	0.0160930772264405	127	127	0.557726965523599	0.971992021521783
EC.3.6.3.12	Sex_and_Consortium	Female_NS1	0.0256084418351559	0.0322724824900273	127	127	0.428986167587103	0.971992021521783
EC.5.2.1.8	Sex_and_Consortium	Female_NS1	-0.00137407967952764	0.00653042932067651	127	127	0.833688849181259	0.971992021521783
EC.2.7.13.3	Sex_and_Consortium	Female_NS1	-0.00743683161287376	0.0283870102656326	127	127	0.79376801225899	0.971992021521783
EC.3.1.3.18	Sex_and_Consortium	Female_NS1	0.0173045606173952	0.0242011937711614	127	127	0.475924335236826	0.971992021521783
EC.3.6.1.1	Sex_and_Consortium	Female_NS1	0.0308757844940804	0.0395773500818897	127	127	0.436784542690788	0.971992021521783
EC.4.1.3.27	Sex_and_Consortium	Female_NS1	0.00897352301193221	0.0173795960909332	127	127	0.606539517153605	0.971992021521783
EC.3.2.1.18	Sex_and_Consortium	Female_NS1	0.0321576075935251	0.0449530043816982	127	127	0.475720324276748	0.971992021521783
EC.2.7.11.1	Sex_and_Consortium	Female_NS1	-0.00446952977239825	0.0169003534706556	127	127	0.791858201765636	0.971992021521783
EC.3.6.4.13	Sex_and_Consortium	Female_NS1	0.00969057621132231	0.0108643016177224	127	127	0.374125539257102	0.971992021521783
EC.6.3.5.5	Sex_and_Consortium	Female_NS1	0.00275666032882736	0.0100631440876045	127	127	0.784585738009711	0.971992021521783
EC.3.4.24.70	Sex_and_Consortium	Female_NS1	0.0346936375548947	0.043732152631336	127	127	0.429094083482822	0.971992021521783
EC.1.8.1.2	Sex_and_Consortium	Female_NS1	0.0878415317965621	0.0915885601723126	127	127	0.339365610197645	0.971992021521783
EC.3.1.3.48	Sex_and_Consortium	Female_NS1	0.0086647772048013	0.0190210470494966	127	127	0.649513786026687	0.971992021521783
EC.2.7.7.6	Sex_and_Consortium	Female_NS1	0.00423472637550548	0.0087991225931918	127	127	0.631168228813861	0.971992021521783
EC.2.3.3.13	Sex_and_Consortium	Female_NS1	0.0311551321681136	0.0379746949738556	127	127	0.413539491046843	0.971992021521783
EC.2.1.1.191	Sex_and_Consortium	Female_NS1	0.0275422499328803	0.0365903634758542	127	127	0.453034208790706	0.971992021521783
EC.4.2.1.20	Sex_and_Consortium	Female_NS1	0.00427769004929126	0.00993187165761404	127	127	0.667425860632832	0.971992021521783
EC.6.3.5.6	Sex_and_Consortium	Female_NS1	0.0435626140869781	0.0643555527143191	127	127	0.49971680292233	0.971992021521783
EC.6.3.5.7	Sex_and_Consortium	Female_NS1	0.0435626140869781	0.0643555527143191	127	127	0.49971680292233	0.971992021521783
EC.2.7.1.11	Sex_and_Consortium	Female_NS1	0.00387285374676021	0.00899469259761489	127	127	0.667521830323989	0.971992021521783
EC.4.2.1.129	Sex_and_Consortium	Female_NS1	0.073040110617391	0.0879511364353347	127	127	0.407860751671624	0.971992021521783
EC.3.2.2.27	Sex_and_Consortium	Female_NS1	0.00478845919641765	0.0152323540853783	127	127	0.753770892640444	0.971992021521783
EC.2.1.1.176	Sex_and_Consortium	Female_NS1	0.0596669282684336	0.0737076601755804	127	127	0.419761362146207	0.971992021521783
EC.5.4.99.17	Sex_and_Consortium	Female_NS1	0.073040110617391	0.0879511364353347	127	127	0.407860751671624	0.971992021521783
EC.3.6.3.14	Sex_and_Consortium	Female_NS1	0.000891621117409467	0.0027165527746111	127	127	0.743296106427506	0.971992021521783
EC.3.6.1.66	Sex_and_Consortium	Female_NS1	0.00687530007738307	0.0107442653352325	127	127	0.523406039315747	0.971992021521783
EC.1.17.99.6	Sex_and_Consortium	Female_NS1	0.0179815721885222	0.0284554578365907	127	127	0.528593213880182	0.971992021521783
EC.1.5.1.20	Sex_and_Consortium	Female_NS1	0.020545190732879	0.0235686420687086	127	127	0.385033906830686	0.971992021521783
EC.6.3.5.3	Sex_and_Consortium	Female_NS1	0.0163345824289678	0.0287711402391749	127	127	0.571228557003056	0.971992021521783
EC.3.1.26.4	Sex_and_Consortium	Female_NS1	0.00305026993255733	0.00998159227778751	127	127	0.760425519659224	0.971992021521783
EC.3.1.3.16	Sex_and_Consortium	Female_NS1	0.0130785240500931	0.0289257192378672	127	127	0.65195053819561	0.971992021521783
EC.2.7.8.12	Sex_and_Consortium	Female_NS1	0.0643401569357694	0.0861530316544048	127	127	0.456579168604237	0.971992021521783
EC.2.3.1.15	Sex_and_Consortium	Female_NS1	0.055535148104567	0.0611493486229397	127	127	0.365526146359641	0.971992021521783
EC.2.3.1.79	Sex_and_Consortium	Female_NS1	-0.0065533536390528	0.00839937087198036	127	127	0.436736553901129	0.971992021521783
EC.3.2.1.35	Sex_and_Consortium	Female_NS1	0.0169768767511648	0.0335547716570724	127	127	0.613786198138168	0.971992021521783
EC.3.2.1.169	Sex_and_Consortium	Female_NS1	0.0848159321203579	0.0949762564038527	127	127	0.373561164153906	0.971992021521783
EC.2.3.1.48	Sex_and_Consortium	Female_NS1	0.0846999812887739	0.0947988565543994	127	127	0.373322233078812	0.971992021521783
EC.6.1.1.20	Sex_and_Consortium	Female_NS1	0.0050156516573865	0.00992782407178077	127	127	0.614299853454511	0.971992021521783
EC.5.4.99.2	Sex_and_Consortium	Female_NS1	0.0112145878591853	0.0149415076657236	127	127	0.45432442774115	0.971992021521783
EC.5.3.1.12	Sex_and_Consortium	Female_NS1	0.019794464713526	0.0285152959443018	127	127	0.488863672498554	0.971992021521783
EC.4.1.3.38	Sex_and_Consortium	Female_NS1	0.0226045342429765	0.0295050409442257	127	127	0.445046574628078	0.971992021521783
EC.1.3.5.1	Sex_and_Consortium	Female_NS1	0.00842155603042386	0.0137734239242818	127	127	0.542021906296695	0.971992021521783
EC.3.6.3.34	Sex_and_Consortium	Female_NS1	0.00513746806162751	0.00593036306143983	127	127	0.387985941505127	0.971992021521783
