feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko.K07347	Sex_and_Consortium	Female_S5	-0.379982682152633	0.352540507190116	30	30	0.290303279908023	0.718855609076592
ko.K14062	Sex_and_Consortium	Female_S5	-0.379982682152632	0.352540507190116	30	30	0.290303279908023	0.718855609076592
ko.K09476	Sex_and_Consortium	Female_S5	-0.379982682152632	0.352540507190116	30	30	0.290303279908023	0.718855609076592
ko.K07306	Sex_and_Consortium	Female_S5	-0.372301532122226	0.345533521260824	30	30	0.290466713894411	0.718855609076592
ko.K02029	Sex_and_Consortium	Female_S5	-0.0786822091868123	0.0731104677625435	30	30	0.291019377374441	0.718855609076592
ko.K07497	Sex_and_Consortium	Female_S5	-0.158170085002553	0.0794278050984627	30	30	0.0562775046058573	0.718855609076592
ko.K08351	Sex_and_Consortium	Female_S5	-0.379982682152633	0.352540507190116	30	30	0.290303279908023	0.718855609076592
ko.K07812	Sex_and_Consortium	Female_S5	-0.379982682152633	0.352540507190116	30	30	0.290303279908023	0.718855609076592
ko.K07811	Sex_and_Consortium	Female_S5	-0.379982682152633	0.352540507190116	30	30	0.290303279908023	0.718855609076592
ko.K07310	Sex_and_Consortium	Female_S5	-0.374265166626042	0.345915767177707	30	30	0.288503140767632	0.718855609076592
ko.K07309	Sex_and_Consortium	Female_S5	-0.371560362967586	0.342949115864333	30	30	0.287860688980306	0.718855609076592
ko.K11929	Sex_and_Consortium	Female_S5	-0.379982682152632	0.352540507190116	30	30	0.290303279908023	0.718855609076592
ko.K10542	Sex_and_Consortium	Female_S5	-0.163345399145267	0.136296003634805	30	30	0.240783412681568	0.718855609076592
ko.K03406	Sex_and_Consortium	Female_S5	-0.161655241031032	0.151144438864069	30	30	0.293959678118833	0.718855609076592
ko.K10441	Sex_and_Consortium	Female_S5	-0.175045166222509	0.12622717790949	30	30	0.176461321377566	0.718855609076592
ko.K07345	Sex_and_Consortium	Female_S5	-0.379982682152636	0.352540507190116	30	30	0.290303279908019	0.718855609076592
ko.K19230	Sex_and_Consortium	Female_S5	-0.379982682152632	0.352540507190116	30	30	0.290303279908023	0.718855609076592
