feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.4.2.2.21	Week_and_Consortium	NS1_w9w10	11.489585135609	0.14875789477394	72	62	1.7128044774453e-69	1.48243227522891e-66
EC.4.2.2.20	Week_and_Consortium	NS1_w9w10	11.489585135609	0.14875789477394	72	62	1.7128044774453e-69	1.48243227522891e-66
EC.2.3.1.209	Week_and_Consortium	NS1_w9w10	7.20970931643042	0.118587352259026	72	69	2.53220879226078e-62	1.46108447313447e-59
EC.3.1.1.61	Week_and_Consortium	NS1_w9w10	-3.34655830677923	0.0557615567902118	72	72	2.60708597612865e-61	1.12821645616967e-58
EC.3.4.21.96	Week_and_Consortium	NS1_w9w10	6.53445646595159	0.118880186672551	72	69	2.54656808292922e-59	8.81621870310097e-57
EC.6.3.1.12	Week_and_Consortium	NS1_w9w10	4.49212801320749	0.0840106640562819	72	72	1.68062958118261e-58	4.84861634171183e-56
EC.3.2.1.97	Week_and_Consortium	NS1_w9w10	4.9446833652135	0.0939296262122457	72	72	1.91200728771522e-57	4.72812087862149e-55
EC.4.1.1.52	Week_and_Consortium	NS1_w9w10	7.76001057414406	0.171994515408442	72	62	1.75852816147598e-53	3.80501530939365e-51
EC.3.1.3.15	Week_and_Consortium	NS1_w9w10	0.593261660251654	0.013563137001992	72	72	1.43094926440008e-52	2.75219241852949e-50
EC.2.7.11.1	Week_and_Consortium	NS1_w9w10	0.628731353242489	0.0144899089991478	72	72	2.46110612971931e-52	4.26017471054412e-50
EC.4.2.1.46	Week_and_Consortium	NS1_w9w10	-0.545280423527313	0.012673160583879	72	72	4.35013856791006e-52	6.84553623732029e-50
EC.3.5.1.28	Week_and_Consortium	NS1_w9w10	0.317324175292282	0.00725776973009686	72	72	4.80013308955755e-52	6.92419198168676e-50
EC.1.12.99.6	Week_and_Consortium	NS1_w9w10	-3.46334648259615	0.0818424454122605	72	72	1.33441425480715e-51	1.7768239039009e-49
EC.4.1.1.82	Week_and_Consortium	NS1_w9w10	7.19234638894124	0.175511001184973	72	66	1.16010231361898e-50	1.43438364633889e-48
EC.4.2.2.5	Week_and_Consortium	NS1_w9w10	1.99123982895119	0.0487354983691058	72	52	1.41610225197303e-50	1.63418199877688e-48
EC.2.4.2.7	Week_and_Consortium	NS1_w9w10	1.4113446150631	0.0346573199147159	72	72	1.76964358610427e-50	1.91453315471655e-48
EC.2.1.1.37	Week_and_Consortium	NS1_w9w10	0.944444775883027	0.0233723534190072	72	72	2.9777537082637e-50	3.0320539229438e-48
EC.4.1.1.81	Week_and_Consortium	NS1_w9w10	-0.688808274514576	0.0170719537358294	72	72	3.29720265501678e-50	3.17080988657447e-48
EC.1.5.1.28	Week_and_Consortium	NS1_w9w10	-4.28110307744315	0.107274570060549	72	72	6.87706230820655e-50	6.26536571342397e-48
EC.1.1.1.93	Week_and_Consortium	NS1_w9w10	5.41023805293169	0.137034313320376	72	72	1.41486329311891e-49	1.1132401638131e-47
EC.4.1.1.73	Week_and_Consortium	NS1_w9w10	5.41023805293169	0.137034313320376	72	72	1.41486329311891e-49	1.1132401638131e-47
EC.1.1.1.83	Week_and_Consortium	NS1_w9w10	5.41023805293169	0.137034313320376	72	72	1.41486329311891e-49	1.1132401638131e-47
EC.2.4.99.18	Week_and_Consortium	NS1_w9w10	-2.35782132088269	0.059046493702785	72	20	1.9454104152715e-49	1.34700217153398e-47
EC.1.1.1.102	Week_and_Consortium	NS1_w9w10	-2.35782132088269	0.059046493702785	72	20	1.9454104152715e-49	1.34700217153398e-47
EC.3.4.24.89	Week_and_Consortium	NS1_w9w10	-2.35782132088269	0.059046493702785	72	20	1.9454104152715e-49	1.34700217153398e-47
EC.2.3.1.79	Week_and_Consortium	NS1_w9w10	0.483346667126265	0.0128968954385952	72	72	4.6038349824724e-48	3.06509167486913e-46
EC.3.1.3.71	Week_and_Consortium	NS1_w9w10	3.76861823106079	0.0990898629803541	72	72	4.94087504645802e-48	3.16764989089586e-46
EC.2.3.1.30	Week_and_Consortium	NS1_w9w10	0.481640331819805	0.013080978231403	72	72	1.4991757763433e-47	9.26811881732233e-46
EC.6.3.5.2	Week_and_Consortium	NS1_w9w10	-0.294179300953186	0.00804906840291218	72	72	2.45473375541732e-47	1.4608331001238e-45
EC.4.2.2.1	Week_and_Consortium	NS1_w9w10	-1.91019274471858	0.0524505906821024	72	20	3.10793693728267e-47	1.4608331001238e-45
EC.3.2.1.136	Week_and_Consortium	NS1_w9w10	-1.79740606933877	0.0492333992555916	72	20	2.64216662979349e-47	1.4608331001238e-45
EC.1.1.1.396	Week_and_Consortium	NS1_w9w10	-1.97847605144697	0.0543293543879731	72	20	3.12252020245989e-47	1.4608331001238e-45
EC.3.2.2.24	Week_and_Consortium	NS1_w9w10	-1.97847605144697	0.0543293543879731	72	20	3.12252020245989e-47	1.4608331001238e-45
EC.4.2.2.3	Week_and_Consortium	NS1_w9w10	-1.97847605144697	0.0543293543879731	72	20	3.12252020245989e-47	1.4608331001238e-45
