feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
EC.2.3.1.30	Week_and_Consortium	S2_w9w10	0.834432659695297	0.0117616221260122	76	76	4.14063997186832e-69	6.94799387279504e-66
EC.1.8.4.8	Week_and_Consortium	S2_w9w10	-4.89733146367948	0.0750101607956512	76	76	1.66802340148945e-66	9.32981089233097e-64
EC.1.8.4.10	Week_and_Consortium	S2_w9w10	-4.89733146367948	0.0750101607956512	76	76	1.66802340148945e-66	9.32981089233097e-64
EC.2.4.1.52	Week_and_Consortium	S2_w9w10	-6.10656359709843	0.117511889618741	76	76	1.79325897528239e-59	6.01817712104771e-57
EC.1.1.1.47	Week_and_Consortium	S2_w9w10	-5.55360236317153	0.108430365434433	76	76	1.54502872222091e-59	6.01817712104771e-57
EC.1.1.1.281	Week_and_Consortium	S2_w9w10	7.21075506235545	0.142014315496825	76	76	1.04950108411142e-58	2.93510469856495e-56
EC.3.4.11.5	Week_and_Consortium	S2_w9w10	5.12812293848211	0.103921324382867	76	76	2.24867444034862e-58	5.3903938727214e-56
EC.2.1.1.37	Week_and_Consortium	S2_w9w10	0.903687946898628	0.019943240614974	76	76	1.01273486422638e-55	2.12421137771484e-53
EC.1.1.1.102	Week_and_Consortium	S2_w9w10	-2.35849991524025	0.0568640878197911	76	20	1.50197768938498e-52	2.520318562788e-50
EC.3.4.24.89	Week_and_Consortium	S2_w9w10	-2.35849991524025	0.0568640878197911	76	20	1.50197768938498e-52	2.520318562788e-50
EC.1.8.1.4	Week_and_Consortium	S2_w9w10	0.251576976744025	0.00620761648288535	76	76	2.85361052338436e-52	4.35305314385359e-50
EC.3.4.21.96	Week_and_Consortium	S2_w9w10	5.97786490874794	0.148447617973676	76	73	1.26085726354294e-51	1.76309874018755e-49
EC.1.5.1.24	Week_and_Consortium	S2_w9w10	-4.66881850010328	0.116930539879923	76	76	2.22708210611019e-51	2.87464905696377e-49
EC.4.1.1.7	Week_and_Consortium	S2_w9w10	-1.56180188170804	0.0392283041284579	76	20	2.85115450450516e-51	3.41731232754261e-49
EC.1.3.7.8	Week_and_Consortium	S2_w9w10	6.34581602437874	0.166158602610073	76	66	1.89349817467464e-50	2.11819329140269e-48
EC.3.4.24.40	Week_and_Consortium	S2_w9w10	-1.97847605144701	0.0523137569832534	76	20	3.77243292017496e-50	3.51674580002977e-48
EC.2.4.2.30	Week_and_Consortium	S2_w9w10	-1.97847605144701	0.0523137569832534	76	20	3.77243292017496e-50	3.51674580002977e-48
EC.3.4.23.52	Week_and_Consortium	S2_w9w10	-1.97847605144701	0.0523137569832534	76	20	3.77243292017496e-50	3.51674580002977e-48
EC.1.1.1.91	Week_and_Consortium	S2_w9w10	-1.83969966580586	0.0494170642526354	76	20	1.14335897163913e-49	1.00976650232129e-47
EC.1.1.1.30	Week_and_Consortium	S2_w9w10	-1.60136772280698	0.043086214223557	76	20	1.28410412503137e-49	1.07736336090132e-47
EC.1.1.1.405	Week_and_Consortium	S2_w9w10	3.48351146328208	0.10077374137102	76	76	5.21339259614768e-47	4.16574894111229e-45
EC.2.4.99.18	Week_and_Consortium	S2_w9w10	-4.59255068778649	0.134040894961513	76	73	9.41298911362396e-47	7.17954351484591e-45
EC.3.5.3.1	Week_and_Consortium	S2_w9w10	1.91392404913944	0.0558768451681991	76	76	9.910116038646e-47	7.23007596210782e-45
EC.5.3.2.6	Week_and_Consortium	S2_w9w10	3.73167523724342	0.109805023467401	76	76	1.67031032718547e-46	1.11916486930584e-44
EC.1.14.13.22	Week_and_Consortium	S2_w9w10	-2.13142327385049	0.0636451397091292	76	20	1.86749799407411e-46	1.11916486930584e-44
EC.1.1.1.67	Week_and_Consortium	S2_w9w10	-2.13142327385049	0.0636451397091292	76	20	1.86749799407411e-46	1.11916486930584e-44
EC.3.4.21.66	Week_and_Consortium	S2_w9w10	-2.13142327385049	0.0636451397091292	76	20	1.86749799407411e-46	1.11916486930584e-44
EC.3.4.21.62	Week_and_Consortium	S2_w9w10	-2.13142327385049	0.0636451397091292	76	20	1.86749799407411e-46	1.11916486930584e-44
EC.1.17.1.1	Week_and_Consortium	S2_w9w10	2.21430181819369	0.0656006476723633	76	76	2.70379707016046e-46	1.56447292542388e-44
EC.1.1.1.367	Week_and_Consortium	S2_w9w10	-3.30917098550216	0.10111652749977	76	76	2.07456074543975e-45	1.1603709769493e-43
EC.2.7.8.14	Week_and_Consortium	S2_w9w10	-4.54559093377793	0.140950924923164	76	20	2.55153311357458e-45	1.33796017643067e-43
EC.2.7.8.47	Week_and_Consortium	S2_w9w10	-4.54559093377793	0.140950924923164	76	20	2.55153311357458e-45	1.33796017643067e-43
EC.5.1.3.10	Week_and_Consortium	S2_w9w10	2.82675420898044	0.086816797502259	76	56	3.10588358751137e-45	1.5792947454073e-43
EC.4.2.1.167	Week_and_Consortium	S2_w9w10	5.3194692267498	0.16728787309762	76	66	6.75307569561362e-45	3.33284147565872e-43
EC.2.4.1.304	Week_and_Consortium	S2_w9w10	2.76670430955972	0.0864181151212784	76	56	1.00027503386222e-44	4.79560430520229e-43
EC.5.1.3.6	Week_and_Consortium	S2_w9w10	2.4499211358599	0.0777717256161097	76	76	1.28965613462587e-44	6.01123053861723e-43
EC.3.3.2.9	Week_and_Consortium	S2_w9w10	5.41783955610991	0.17428516914241	76	66	3.21721920459717e-44	1.45905238522001e-42
EC.2.8.3.5	Week_and_Consortium	S2_w9w10	-2.17789309944306	0.0712697702400005	76	76	2.42272525127162e-43	1.06982446621941e-41
EC.1.1.1.159	Week_and_Consortium	S2_w9w10	-2.78353461105955	0.0917507493495495	76	76	3.92177910567879e-43	1.68737059982795e-41
EC.1.17.1.11	Week_and_Consortium	S2_w9w10	2.94962807700768	0.0990541282091139	76	76	1.34276931228836e-42	5.63291726504966e-41
