feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko.K10975	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K01821	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K07493	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K17947	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K11144	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K13531	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K19505	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K17467	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K22103	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K02243	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K16509	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K15780	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K02248	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K19976	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.7842628475828e-09	6.81532210521623e-08
ko.K06198	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K16788	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K03339	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K07104	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K08987	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K00869	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K00938	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K22212	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K03048	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K12296	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K21466	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K12553	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K21465	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
ko.K00687	Week_and_Consortium	NS6_w5	3.23270521221982	0.380722057466429	32	30	1.78426284756824e-09	6.81532210521623e-08
