feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko.K19429	Week_and_Consortium	S2_w9w10	7.73623938893647	0.0944511734086783	76	76	1.34314467566895e-73	6.58140891077786e-70
ko.K07317	Week_and_Consortium	S2_w9w10	8.4103533067673	0.11951248989731	76	76	7.39543430666489e-69	1.8118814051329e-65
ko.K21681	Week_and_Consortium	S2_w9w10	6.81797195200476	0.0993246953343481	76	76	4.51862830012804e-68	7.38042622354246e-65
ko.K00390	Week_and_Consortium	S2_w9w10	-4.90737320186102	0.0736238103938297	76	76	3.77879622382621e-67	4.62902537418711e-64
ko.K11616	Week_and_Consortium	S2_w9w10	9.54060397510673	0.166037869956358	76	66	1.48991447322274e-62	1.46011618375828e-59
ko.K07506	Week_and_Consortium	S2_w9w10	5.99601729606156	0.110052383254318	76	76	6.90903955640394e-61	5.64238230439655e-58
ko.K08153	Week_and_Consortium	S2_w9w10	5.89030420701694	0.109610249890099	76	76	1.84183178026835e-60	1.28928224618785e-57
ko.K00034	Week_and_Consortium	S2_w9w10	-5.56330237332118	0.107265741821171	76	76	6.26014463691517e-60	3.43824399820758e-57
ko.K00612	Week_and_Consortium	S2_w9w10	-6.89219324802719	0.13068324100533	76	73	6.31514203752412e-60	3.43824399820758e-57
ko.K00712	Week_and_Consortium	S2_w9w10	-6.11681428846438	0.116452232359544	76	76	8.51301670280376e-60	4.17137818437384e-57
ko.K15856	Week_and_Consortium	S2_w9w10	7.20082642989591	0.137583275040068	76	76	1.21627774706284e-59	5.41796450964355e-57
ko.K00381	Week_and_Consortium	S2_w9w10	-5.43382235455035	0.106441826984363	76	76	7.14247109679995e-59	2.91650903119331e-56
ko.K00640	Week_and_Consortium	S2_w9w10	0.824523270435022	0.0166856152794817	76	76	7.07656650650526e-58	2.66732122168275e-55
ko.K01259	Week_and_Consortium	S2_w9w10	5.11842292833242	0.106496392396238	76	76	1.49314529170476e-57	5.22600852096666e-55
ko.K19158	Week_and_Consortium	S2_w9w10	-2.86855674463485	0.0601128771655936	76	76	7.66516370873667e-57	2.50395347818731e-54
ko.K00172	Week_and_Consortium	S2_w9w10	6.64765864738689	0.140023434514086	76	73	1.18423766571255e-56	3.22375808999529e-54
ko.K00169	Week_and_Consortium	S2_w9w10	6.64765864738689	0.140023434514086	76	73	1.18423766571255e-56	3.22375808999529e-54
ko.K00170	Week_and_Consortium	S2_w9w10	6.64765864738689	0.140023434514086	76	73	1.18423766571255e-56	3.22375808999529e-54
ko.K07316	Week_and_Consortium	S2_w9w10	4.57126554948367	0.100182794115056	76	76	6.16023179497826e-56	1.58869135765229e-53
ko.K11624	Week_and_Consortium	S2_w9w10	4.6479876914803	0.103476387219988	76	76	5.69482666849077e-55	1.39523253378024e-52
ko.K19147	Week_and_Consortium	S2_w9w10	-11.0671577737946	0.252621043891112	76	59	3.52027785131402e-54	8.21398165306604e-52
ko.K15045	Week_and_Consortium	S2_w9w10	5.08118079347227	0.116372270220772	76	76	4.4006475478785e-54	9.80144226572938e-52
ko.K07452	Week_and_Consortium	S2_w9w10	-10.960399233048	0.252430330939212	76	59	6.60893112051585e-54	1.4079896735012e-51
ko.K01028	Week_and_Consortium	S2_w9w10	-2.31378167110593	0.0543750862346557	76	20	2.4896503539562e-53	5.08303613932724e-51
ko.K19091	Week_and_Consortium	S2_w9w10	-2.33311487782004	0.055068801226406	76	20	3.40012158661563e-53	5.37438573368276e-51
ko.K12452	Week_and_Consortium	S2_w9w10	2.45788416862949	0.0577566788669826	76	76	2.76001616308765e-53	5.37438573368276e-51
ko.K00663	Week_and_Consortium	S2_w9w10	-2.33311487782004	0.055068801226406	76	20	3.40012158661563e-53	5.37438573368276e-51
ko.K04708	Week_and_Consortium	S2_w9w10	-2.33311487782004	0.055068801226406	76	20	3.40012158661563e-53	5.37438573368276e-51
ko.K19116	Week_and_Consortium	S2_w9w10	-2.33311487782004	0.055068801226406	76	20	3.40012158661563e-53	5.37438573368276e-51
ko.K19114	Week_and_Consortium	S2_w9w10	-2.33311487782004	0.055068801226406	76	20	3.40012158661563e-53	5.37438573368276e-51
ko.K20109	Week_and_Consortium	S2_w9w10	-2.33311487782004	0.055068801226406	76	20	3.40012158661563e-53	5.37438573368276e-51
ko.K18122	Week_and_Consortium	S2_w9w10	3.96724762241118	0.0954361963099783	76	76	4.71040389636382e-53	7.2128059663071e-51
ko.K19159	Week_and_Consortium	S2_w9w10	-3.26405694737803	0.0790975913043813	76	76	7.92312406865169e-53	1.1764638768604e-50
ko.K04113	Week_and_Consortium	S2_w9w10	6.65504103804434	0.163742187732106	76	66	2.32935205114366e-52	3.35700736782469e-50
ko.K07505	Week_and_Consortium	S2_w9w10	4.64136052817151	0.114526376511876	76	76	2.8565132574428e-52	3.99911856041991e-50
ko.K11062	Week_and_Consortium	S2_w9w10	-1.58463111742807	0.0386089312137907	76	20	3.39774998118745e-52	4.49972294805905e-50
ko.K01576	Week_and_Consortium	S2_w9w10	-1.58463111742807	0.0386089312137907	76	20	3.39774998118745e-52	4.49972294805905e-50
ko.K14194	Week_and_Consortium	S2_w9w10	-1.56433468943327	0.0382277488135645	76	20	4.17689101441324e-52	5.38599104490128e-50
ko.K01361	Week_and_Consortium	S2_w9w10	5.96427031634564	0.14671962407928	76	73	6.49291515035443e-52	8.15776518890684e-50
ko.K00298	Week_and_Consortium	S2_w9w10	-4.67888128020156	0.118810050051147	76	76	5.87975928131909e-51	7.20270511961589e-49
ko.K10562	Week_and_Consortium	S2_w9w10	4.41206671234309	0.112065528935839	76	76	6.39220837767212e-51	7.63946854892522e-49
ko.K14059	Week_and_Consortium	S2_w9w10	-2.0012874680641	0.0521707507759742	76	20	1.38702956693784e-50	1.28234809018782e-48
