feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.6572	Week_and_Consortium	NS6_w5	1.40150544633901	0.0306063164945921	62	12	2.22288890688731e-48	6.82426894414405e-46
PWY.7332	Week_and_Consortium	NS6_w5	1.77290630648111	0.0576892086388395	62	12	5.0919826809216e-38	7.81619341521466e-36
PWY0.1415	Week_and_Consortium	NS6_w5	2.71586622075062	0.107390661101634	62	12	1.07051795794019e-33	1.09549671029213e-31
PWY.5920	Week_and_Consortium	NS6_w5	2.72450517229863	0.108809534927527	62	12	1.84835294036492e-33	1.31594020725572e-31
PWY0.1277	Week_and_Consortium	NS6_w5	2.67649985037683	0.107181275478213	62	12	2.14322509325035e-33	1.31594020725572e-31
PWY.4984	Week_and_Consortium	NS6_w5	-0.879526855484167	0.0375436828462271	62	62	1.32263222197731e-31	6.76746820245054e-30
ARGDEG.PWY	Week_and_Consortium	NS6_w5	3.12675362305215	0.137030631270877	62	12	2.88984719517259e-31	8.87183088917986e-30
ORNARGDEG.PWY	Week_and_Consortium	NS6_w5	3.12675362305215	0.137030631270877	62	12	2.88984719517259e-31	8.87183088917986e-30
ORNDEG.PWY	Week_and_Consortium	NS6_w5	2.89470526654647	0.12662075688155	62	12	2.60905339788242e-31	8.87183088917986e-30
PWY.5304	Week_and_Consortium	NS6_w5	2.32567204691795	0.101699625705535	62	62	2.56738358349183e-31	8.87183088917986e-30
P281.PWY	Week_and_Consortium	NS6_w5	3.00854323090143	0.132479271453095	62	12	3.73480797402268e-31	1.04235095274997e-29
HCAMHPDEG.PWY	Week_and_Consortium	NS6_w5	3.15366839765079	0.140696865215612	62	12	7.54281806707446e-31	1.78126549737835e-29
PWY.6690	Week_and_Consortium	NS6_w5	3.15366839765079	0.140696865215612	62	12	7.54281806707446e-31	1.78126549737835e-29
PWY.5179	Week_and_Consortium	NS6_w5	2.09471016352973	0.0947544317457018	62	12	1.58365509710535e-30	3.47272939150959e-29
PWY.7111	Week_and_Consortium	NS6_w5	-0.284381753486825	0.0132367152823206	62	62	7.27279762297388e-30	1.48849924683532e-28
PWY.6143	Week_and_Consortium	NS6_w5	-2.9867876978658	0.141857291186327	62	55	2.12423907819572e-29	4.07588373128803e-28
PWY.3781	Week_and_Consortium	NS6_w5	2.5135194290236	0.129095829350991	62	12	1.28779996393761e-27	2.32561522899322e-26
PWY0.1586	Week_and_Consortium	NS6_w5	0.180718484886631	0.00941702629414291	62	62	4.57632104859658e-27	7.80516978843972e-26
PWY.7328	Week_and_Consortium	NS6_w5	-0.942672544873151	0.0503526552524893	62	62	9.76344387844822e-27	1.57756698457032e-25
PWY.7220	Week_and_Consortium	NS6_w5	-0.571696303978651	0.0303310930767781	62	62	1.14345769707131e-26	1.6716262523852e-25
PWY.7222	Week_and_Consortium	NS6_w5	-0.571696303978651	0.0303310930767781	62	62	1.14345769707131e-26	1.6716262523852e-25
PWY.5419	Week_and_Consortium	NS6_w5	-2.85253283639504	0.157962930060926	62	62	1.03002116680272e-25	1.43734771912925e-24
PWY.7090	Week_and_Consortium	NS6_w5	2.66548142231132	0.149180163105154	62	62	1.70258829979013e-25	2.27258525232857e-24
PWY.6676	Week_and_Consortium	NS6_w5	-4.47481682528387	0.256567377946268	62	57	3.57605268368444e-25	4.57436739121301e-24
PWY.5420	Week_and_Consortium	NS6_w5	-1.71124331528658	0.0983569984526772	62	62	4.04614104463433e-25	4.96866120281095e-24
TEICHOICACID.PWY	Week_and_Consortium	NS6_w5	1.13288962817749	0.0684122099918396	62	62	4.74076040435986e-24	5.59774401591721e-23
PWY.5265	Week_and_Consortium	NS6_w5	4.2957703817116	0.265063184477171	62	11	2.11512825763599e-23	2.40497916701574e-22
GALACT.GLUCUROCAT.PWY	Week_and_Consortium	NS6_w5	0.76737518526489	0.0476519306428748	62	62	2.84213866049904e-23	3.11620203133287e-22
PWY.6125	Week_and_Consortium	NS6_w5	-0.398586602720541	0.0247801809085481	62	62	2.96146209050559e-23	3.13506504063868e-22
PWY.5177	Week_and_Consortium	NS6_w5	-1.71210243047186	0.106654179913711	62	62	3.33538328464952e-23	3.41320889462468e-22
PWY.7197	Week_and_Consortium	NS6_w5	-0.523586979457236	0.0327652822961825	62	62	4.07148430814096e-23	4.03208284709443e-22
PWY.7228	Week_and_Consortium	NS6_w5	-0.340663734528427	0.0213876321084563	62	62	4.7360726097047e-23	4.54366965993544e-22
PWY.6126	Week_and_Consortium	NS6_w5	-0.352745224350128	0.0224663831167589	62	62	6.41726644902878e-23	5.97000242379344e-22
GLUCUROCAT.PWY	Week_and_Consortium	NS6_w5	0.875943520773971	0.0557193943888823	62	62	8.99687422615403e-23	8.12364819832144e-22
CRNFORCAT.PWY	Week_and_Consortium	NS6_w5	-2.23285634530021	0.142287916274035	62	50	9.90280980222568e-23	8.68617888366652e-22
PWY.1622	Week_and_Consortium	NS6_w5	5.90890023200293	0.383089134336292	62	54	1.51392300666649e-22	1.2910398973517e-21
RUMP.PWY	Week_and_Consortium	NS6_w5	-2.27315996410465	0.148937689512722	62	62	3.72238425590969e-22	3.08857288260614e-21
PWY.1861	Week_and_Consortium	NS6_w5	-2.35629118920099	0.155781898642639	62	62	5.70105010271293e-22	4.60584837245492e-21
PWY.7229	Week_and_Consortium	NS6_w5	-0.271119604027934	0.0182087546000317	62	62	8.17004106427992e-22	6.43128873521522e-21
PWY.6148	Week_and_Consortium	NS6_w5	-2.34316456933045	0.156436808603887	62	50	8.91799250864062e-22	6.84455925038167e-21
PEPTIDOGLYCANSYN.PWY	Week_and_Consortium	NS6_w5	0.259045772646289	0.017654710329858	62	62	1.63359128242863e-21	1.22320127733071e-20
PWY.6385	Week_and_Consortium	NS6_w5	0.278675532562559	0.0191707146746995	62	62	2.53454393514901e-21	1.85263092402559e-20
PWY.7196	Week_and_Consortium	NS6_w5	-0.195930985528826	0.0135645121502928	62	62	3.41475006641011e-21	2.3995090388125e-20
PWY.2201	Week_and_Consortium	NS6_w5	-2.34909797088535	0.161450650518016	62	50	3.43903575595277e-21	2.3995090388125e-20
PWY.6387	Week_and_Consortium	NS6_w5	0.321542076525857	0.0229743072313754	62	62	1.48043370438805e-20	1.00998477166029e-19
PWY.6147	Week_and_Consortium	NS6_w5	0.596268021606946	0.0431004790484172	62	62	3.43091889318101e-20	2.28976543523168e-19
KETOGLUCONMET.PWY	Week_and_Consortium	NS6_w5	-2.46270498410694	0.179598819633699	62	50	5.15177815993341e-20	3.365097649148e-19
PYRIDNUCSAL.PWY	Week_and_Consortium	NS6_w5	0.275969704349731	0.0205528573856442	62	62	1.35049103279591e-19	8.63751556392384e-19
PWY.6731	Week_and_Consortium	NS6_w5	-0.874323430957931	0.066978292158943	62	62	3.49982175757189e-19	2.19274546851953e-18
FUCCAT.PWY	Week_and_Consortium	NS6_w5	-0.407552954209096	0.0313103522145526	62	62	3.97582406003094e-19	2.441155972859e-18
PWY.5188	Week_and_Consortium	NS6_w5	-0.728809684203421	0.0562566194879161	62	62	4.9080820182058e-19	2.95447290115526e-18
PWY.5189	Week_and_Consortium	NS6_w5	-0.762405565099149	0.0590440694961844	62	62	5.6813992798365e-19	3.3542107286727e-18
PWY.7242	Week_and_Consortium	NS6_w5	0.600702156646188	0.0476371645177437	62	62	1.61637284664996e-18	9.36276347021769e-18
PWY.6386	Week_and_Consortium	NS6_w5	0.419535123701718	0.0334451859609503	62	62	2.03356740106211e-18	1.15612072615939e-17
PWY.7539	Week_and_Consortium	NS6_w5	0.580461539627222	0.047585266577184	62	62	6.83096964739094e-18	3.81292305772549e-17
PWY.7211	Week_and_Consortium	NS6_w5	-0.451557332860692	0.0373152618111378	62	62	9.63088685424662e-18	5.27978975759591e-17
PWY.5097	Week_and_Consortium	NS6_w5	0.119076719341029	0.0098692932709977	62	62	1.09318559426096e-17	5.88785925330026e-17
NAD.BIOSYNTHESIS.II	Week_and_Consortium	NS6_w5	1.4065238038958	0.116286899680004	62	62	1.25053387894243e-17	6.61920518681599e-17
PWY.7373	Week_and_Consortium	NS6_w5	-1.75128510881881	0.144999384612572	62	62	1.36724716176169e-17	7.11431997730234e-17
PWY.841	Week_and_Consortium	NS6_w5	-0.207014827131588	0.0172586005710271	62	62	1.4039466328662e-17	7.1835269381654e-17
GLUCOSE1PMETAB.PWY	Week_and_Consortium	NS6_w5	0.568967605079328	0.0494038903744563	62	62	7.79061455615178e-17	3.92085027662065e-16
ASPASN.PWY	Week_and_Consortium	NS6_w5	0.567902776338217	0.0500454041086042	62	62	1.79029622306442e-16	8.86485387872222e-16
PWY.6612	Week_and_Consortium	NS6_w5	0.152783255271885	0.013560931131441	62	62	1.93133923140869e-16	9.41144673083281e-16
PWY0.162	Week_and_Consortium	NS6_w5	-0.242523016012966	0.0215800849844239	62	62	2.63937434629897e-16	1.26607488174029e-15
PWY.5154	Week_and_Consortium	NS6_w5	0.339040258630884	0.0309256276276691	62	62	5.86447123358967e-16	2.76983487494159e-15
PWY.5509	Week_and_Consortium	NS6_w5	0.265870456281512	0.024234473653319	62	62	7.02166838308007e-16	3.26613968728119e-15
GLUCARDEG.PWY	Week_and_Consortium	NS6_w5	1.25338585781136	0.115024315411446	62	62	7.48886143649769e-16	3.43146337463402e-15
PWY.6269	Week_and_Consortium	NS6_w5	0.273637736206129	0.0250780565567969	62	62	8.71285065083804e-16	3.93359580854012e-15
COLANSYN.PWY	Week_and_Consortium	NS6_w5	-0.446531462074985	0.0411628854326303	62	62	8.96611080084643e-16	3.98926958820269e-15
PWY.6507	Week_and_Consortium	NS6_w5	0.537164199494576	0.0502432912320739	62	62	1.6012489830904e-15	7.02262054012503e-15
HEXITOLDEGSUPER.PWY	Week_and_Consortium	NS6_w5	-0.887493869077218	0.0838124622513881	62	62	2.34127831951897e-15	9.9829506123934e-15
PWY.7399	Week_and_Consortium	NS6_w5	-1.7257051309183	0.162110890277125	62	62	2.33008946567879e-15	9.9829506123934e-15
PWY.5384	Week_and_Consortium	NS6_w5	-0.942777709083339	0.0894235287850434	62	62	2.78102736265428e-15	1.16955534292447e-14
PWY.3001	Week_and_Consortium	NS6_w5	0.153968289688377	0.0147056633997657	62	62	3.64963617901197e-15	1.51410582021172e-14
