feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
TEICHOICACID.PWY	Week_and_Consortium	S2_w9w10	-1.85948367502559	0.0504301184989611	76	76	5.75842423831747e-49	1.71601042301861e-46
PWY.5177	Week_and_Consortium	S2_w9w10	2.10035698197859	0.0650240639775233	76	56	5.4386794491949e-45	8.1036323793004e-43
REDCITCYC	Week_and_Consortium	S2_w9w10	-1.93703837707896	0.0646489302009775	76	76	9.19849087806041e-43	9.13716760554001e-41
PWY.7090	Week_and_Consortium	S2_w9w10	4.69457015336597	0.158429556571767	76	73	1.90937542137417e-42	1.42248468892376e-40
PWY.6148	Week_and_Consortium	S2_w9w10	2.46174185074205	0.0870255941330097	76	56	4.39252022819749e-41	2.6179420560057e-39
PWY.2201	Week_and_Consortium	S2_w9w10	2.52584525618193	0.0899020370002161	76	56	6.93346180845087e-41	3.44361936486393e-39
KETOGLUCONMET.PWY	Week_and_Consortium	S2_w9w10	2.53620676732926	0.0920198795576114	76	56	2.49760013337491e-40	1.0632640567796e-38
PWY.5345	Week_and_Consortium	S2_w9w10	-0.754356685116196	0.0281285974618338	76	76	1.49888086014744e-39	5.58333120404923e-38
PWY.4984	Week_and_Consortium	S2_w9w10	1.11452973774269	0.0455953163722178	76	76	6.84443102530065e-37	2.26626716171066e-35
PWY.6471	Week_and_Consortium	S2_w9w10	1.33589080605268	0.0615729506841763	76	76	1.4425102763854e-33	4.29868062362849e-32
PWY.7315	Week_and_Consortium	S2_w9w10	-0.459497083249118	0.0218279752987674	76	76	9.85245199286793e-33	2.66911881261331e-31
PWY0.1277	Week_and_Consortium	S2_w9w10	-2.0152033780348	0.0974717354322599	76	20	1.78999582231099e-32	4.44515629207229e-31
CRNFORCAT.PWY	Week_and_Consortium	S2_w9w10	2.04648430759474	0.103387986876193	76	56	2.75525809970694e-31	6.31589933625128e-30
PWY.6470	Week_and_Consortium	S2_w9w10	1.15432819390627	0.059856817553988	76	76	2.22805024203095e-30	4.74256408660873e-29
PWY490.3	Week_and_Consortium	S2_w9w10	2.28621230476343	0.121886284362645	76	76	1.21451054915522e-29	2.41282762432169e-28
HCAMHPDEG.PWY	Week_and_Consortium	S2_w9w10	-2.15342541149314	0.11944290590065	76	20	8.57050207425983e-29	1.50235859889966e-27
PWY.6690	Week_and_Consortium	S2_w9w10	-2.15342541149314	0.11944290590065	76	20	8.57050207425983e-29	1.50235859889966e-27
PWY.6353	Week_and_Consortium	S2_w9w10	1.05756926353443	0.0606411414799331	76	76	9.4921362157977e-28	1.49027878382282e-26
PWY.7210	Week_and_Consortium	S2_w9w10	1.12917194611824	0.0647615461647731	76	76	9.50177748074953e-28	1.49027878382282e-26
SALVADEHYPOX.PWY	Week_and_Consortium	S2_w9w10	1.4059050256191	0.0808021237683238	76	76	1.08293860868729e-27	1.61357852694406e-26
SO4ASSIM.PWY	Week_and_Consortium	S2_w9w10	-0.955168947258306	0.055732763391563	76	76	2.63636651154017e-27	3.74112962113796e-26
PWY.6545	Week_and_Consortium	S2_w9w10	1.18416389047194	0.0713620820968941	76	76	1.72959468684147e-26	2.34281462126708e-25
PWY.7198	Week_and_Consortium	S2_w9w10	1.26276116125116	0.0775652548390213	76	76	5.19830763964372e-26	6.73519859397317e-25
P164.PWY	Week_and_Consortium	S2_w9w10	0.916220813825418	0.0588619669601781	76	76	6.60272398269929e-25	8.19838227851828e-24
P221.PWY	Week_and_Consortium	S2_w9w10	2.32091460256249	0.149321904262643	76	76	7.27218671685684e-25	8.66844656649335e-24
FASYN.INITIAL.PWY	Week_and_Consortium	S2_w9w10	0.615439094491238	0.041227349425915	76	76	6.93094632325843e-24	7.94393078588851e-23
MET.SAM.PWY	Week_and_Consortium	S2_w9w10	-0.765196636226675	0.0538795421554577	76	76	1.04499941797624e-22	1.15336972798859e-21
PWY.6344	Week_and_Consortium	S2_w9w10	1.0412376358548	0.0750997619958653	76	76	2.89353093114943e-22	3.07954363386617e-21
HOMOSER.METSYN.PWY	Week_and_Consortium	S2_w9w10	-0.844060662340606	0.0650726154276081	76	76	1.22950976132157e-20	1.26342727197872e-19
PWY.7399	Week_and_Consortium	S2_w9w10	-1.30867513166117	0.103322746761734	76	76	3.2889643701867e-20	3.26703794105212e-19
NAD.BIOSYNTHESIS.II	Week_and_Consortium	S2_w9w10	-1.32996324435191	0.108414909128046	76	76	2.052202015601e-19	1.85320060802757e-18
P125.PWY	Week_and_Consortium	S2_w9w10	-1.41230743205094	0.11511773639109	76	76	2.04544035556828e-19	1.85320060802757e-18
PWY.5347	Week_and_Consortium	S2_w9w10	-0.571305369019871	0.0465361550501854	76	76	1.96622996331336e-19	1.85320060802757e-18
