ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Glycan pathways	Metabolite activation/inactivation/interconversion	Macromolecule modification	Detoxification	Transport	Bioluminescence/fluorescence/chromoprotein biosynthesis	Degradation/utilization/assimilation	Superpathways	Generation of precursor metabolites and energy	Metabolic clusters	nan	Biosynthesis
S_NS1_Af_002_v1v9_default_parsed_report.tsv	328	328	211	224	104	13	3	12	5	0	1	62	185	54	15	324	194
S_S2_Am_061_default_parsed_report.tsv	330	330	216	231	99	13	4	14	3	0	0	54	188	64	16	326	192
S_NS6_Cb_042_default_parsed_report.tsv	410	410	277	300	110	13	5	14	5	0	0	117	223	79	17	407	196
S_S2_Bs_063_default_parsed_report.tsv	454	454	334	316	138	17	8	16	5	0	1	128	225	78	22	451	224
S_NS1_Sw_027_default_parsed_report.tsv	358	358	224	248	110	10	7	13	6	0	0	92	194	53	18	354	190
S_NS1_Pm_023_default_parsed_report.tsv	386	386	272	270	116	19	5	11	7	0	1	91	205	71	17	382	205
S_NS1_El_014_default_parsed_report.tsv	342	342	224	243	99	7	3	13	5	0	0	75	184	63	16	338	190
S_S2_Cs_071_v1v9_default_parsed_report.tsv	381	381	247	280	101	12	3	15	5	0	1	101	213	69	14	377	192
S_NS1_Ba_008_default_parsed_report.tsv	335	335	197	235	100	15	4	13	3	0	0	79	183	63	14	332	174
S_S2_Fp_080_default_parsed_report.tsv	364	364	243	260	104	10	3	13	5	0	1	101	201	68	15	361	176
S_S2_Rg_085_default_parsed_report.tsv	353	353	232	256	97	13	2	14	7	0	0	89	203	56	15	350	186
S_NS1_Sw_027_v1v9_default_parsed_report.tsv	358	358	224	248	110	10	7	13	6	0	0	92	194	53	18	354	190
S_NS1_Et_015_default_parsed_report.tsv	405	405	274	295	110	17	4	15	7	0	1	117	220	68	18	402	199
S_NS1_Cb_011_v1v9_default_parsed_report.tsv	410	410	278	301	109	15	5	14	5	0	0	119	222	77	17	407	195
S_NS1_Pd_022_v1v9_default_parsed_report.tsv	386	386	276	274	112	19	5	11	7	0	1	88	203	74	19	382	206
S_NS6_Ef_051_default_parsed_report.tsv	507	507	383	374	133	18	7	15	9	0	1	153	245	88	21	502	245
S_S5_Rg_113_default_parsed_report.tsv	345	345	225	248	97	10	2	12	6	0	0	87	203	56	14	342	184
S_NS6_Cb_041_v1v9_default_parsed_report.tsv	412	412	282	303	109	15	4	14	5	0	0	122	221	79	17	409	193
S_NS1_Shsn_025_default_parsed_report.tsv	389	389	260	269	120	7	7	16	7	0	1	101	198	68	20	386	196
S_NS6_Bv_037_default_parsed_report.tsv	404	404	277	287	117	22	5	12	7	0	1	100	213	67	20	400	217
