	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	2
PWY-6708	Yes	Yes	8	1
PWY-5436	Yes	Yes	2	1
ARG-PRO-PWY	Yes	No	3	1
RIBOSYN2-PWY	Yes	No	9	2
ARGDEGRAD-PWY	Yes	Yes	1	1
PWY-1781	Yes	Yes	2	1
PWY-7227	Yes	Yes	2	2
PWY-6890	Yes	Yes	2	2
PWY-7174	Yes	Yes	4	2
COA-PWY	Yes	Yes	4	4
FASYN-ELONG-PWY	Yes	Yes	5	3
PWY-5344	Yes	Yes	2	1
PWY-6637	Yes	No	4	1
CYANCAT-PWY	Yes	Yes	1	1
ANAPHENOXI-PWY	Yes	No	3	1
P3-PWY	Yes	No	11	2
PWY-6121	Yes	Yes	5	5
PWY-6952	Yes	Yes	2	1
PWY-6823	Yes	Yes	6	3
PWY-7290	Yes	No	8	1
PWY-5686	Yes	Yes	6	5
PWY0-1296	Yes	No	4	1
PWY0-1312	Yes	Yes	2	1
PWY-5971	Yes	No	9	4
PWY-7308	Yes	Yes	2	1
P221-PWY	Yes	No	5	1
PWY-6910	Yes	Yes	2	2
PWY-7335	Yes	Yes	1	1
HOMOSERSYN-PWY	Yes	Yes	3	3
PWY-7385	Yes	No	9	4
P142-PWY	Yes	Yes	1	1
PWY-8187	Yes	Yes	4	3
PWY-8339	Yes	No	4	1
PWY-8595	Yes	Yes	6	3
FERMENTATION-PWY	Yes	Yes	16	10
PWY-6638	Yes	No	4	1
PWY-6587	Yes	Yes	3	2
PWY-8204	Yes	No	3	1
PWY-6983	Yes	Yes	3	2
PWY-7663	Yes	Yes	4	4
PWY-2942	Yes	Yes	7	6
PWY-6151	Yes	Yes	4	1
PWY-7457	Yes	Yes	1	1
PWY-622	Yes	No	7	1
PWY-1722	Yes	Yes	3	3
P161-PWY	Yes	Yes	5	3
PWY-7818	Yes	Yes	9	1
PWY-5384	Yes	No	4	1
PWY-7664	Yes	Yes	6	4
SO4ASSIM-PWY	Yes	Yes	2	1
CODH-PWY	Yes	No	12	3
