	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	3
PWY-6543	Yes	Yes	2	2
PWY-8062	Yes	No	3	1
PWY-5436	Yes	Yes	2	1
ARG-PRO-PWY	Yes	No	3	1
RIBOSYN2-PWY	Yes	Yes	9	3
PWY-8324	Yes	No	3	1
PWY-5951	Yes	Yes	1	1
PWY-7227	Yes	Yes	2	2
PWY-7174	Yes	Yes	4	1
COA-PWY	Yes	Yes	4	4
FASYN-ELONG-PWY	Yes	Yes	5	3
GLYCOGENSYNTH-PWY	Yes	Yes	4	4
PWY-5344	Yes	Yes	2	1
PWY-7165	Yes	Yes	6	1
PWY-6637	Yes	No	4	1
CYANCAT-PWY	Yes	Yes	1	1
ANAPHENOXI-PWY	Yes	Yes	3	1
P3-PWY	Yes	No	11	2
PWY-6121	Yes	Yes	5	5
PWY-922	Yes	Yes	7	5
PWY-2301	Yes	Yes	2	1
PWY-6823	Yes	No	6	1
PWY-7290	Yes	No	8	1
PWY-5686	Yes	Yes	6	6
PWY-8139	Yes	No	5	1
PWY0-1296	Yes	Yes	4	3
PWY0-1312	Yes	Yes	2	1
PWY-5971	Yes	Yes	9	5
PWY-5074	Yes	Yes	2	1
PWY-7308	Yes	Yes	2	1
HOMOSERSYN-PWY	Yes	Yes	3	3
PWY-7385	Yes	No	9	4
PWY-8187	Yes	Yes	4	2
PWY-7586	Yes	No	3	1
PWY-8595	Yes	Yes	6	3
FERMENTATION-PWY	Yes	Yes	16	9
PWY-6638	Yes	No	4	1
PWY-6587	Yes	Yes	3	2
PWY-8204	Yes	No	3	1
PWY-6983	Yes	Yes	3	2
PWY-7663	Yes	Yes	4	4
TOLUENE-DEG-DIOL-PWY	Yes	No	4	1
PWY-7717	Yes	Yes	6	1
PWY-7821	Yes	No	9	1
PWY-2942	Yes	Yes	7	5
PWY-6151	Yes	Yes	4	4
PWY-622	Yes	Yes	7	5
HEME-BIOSYNTHESIS-II-1	Yes	No	4	1
PWY-1722	Yes	Yes	3	3
P161-PWY	Yes	Yes	5	4
PWY-7818	Yes	No	9	1
PWY-5384	Yes	Yes	4	3
PWY-7664	Yes	Yes	6	5
CODH-PWY	Yes	No	12	3
PWY-7013	Yes	No	5	2
PWY-7440	Yes	No	6	2
GLUTDEG-PWY	Yes	Yes	2	1
PWY-7514	Yes	No	3	1
PWY-7181	Yes	Yes	3	1
PWY-5886	Yes	Yes	1	1
PWY-7205	Yes	Yes	2	1
PHESYN	Yes	No	3	1
PWY-5921	Yes	Yes	3	1
PWY-5661	Yes	Yes	3	2
PWY-8221	Yes	No	5	1
SERSYN-PWY	Yes	Yes	3	2
PWY-7193	Yes	Yes	3	2
PWY-6627	Yes	Yes	9	2
PWY-7905	Yes	No	7	1
PWY-6707	Yes	Yes	1	1
GLYCOLATEMET-PWY	Yes	No	4	1
PWY-3461	Yes	No	4	1
PWY0-1535	Yes	Yes	1	1
PWY-1281	Yes	Yes	2	1
PWY-8058	Yes	Yes	8	2
PWY-8425	Yes	No	4	1
PWY0-901	Yes	No	3	1
PWY-7221	Yes	Yes	4	4
PWY-6322	Yes	Yes	20	1
PWY-6336	Yes	No	4	1
PWY-8585	Yes	No	4	1
PWY8J2-29	Yes	Yes	3	2
PWY-6969	Yes	No	9	2
PWY-7814	Yes	Yes	6	3
P23-PWY	Yes	No	9	1
PWY-5386	Yes	Yes	3	2
PWY-7180	Yes	Yes	3	3
GLUTSYNIII-PWY	Yes	Yes	1	1
PWY-7401	Yes	No	12	1
PWY-6953	Yes	No	5	2
PWY-5108	Yes	No	3	1
PWY-6973	Yes	No	5	2
PWY-6907	Yes	Yes	3	2
PWY-7218	Yes	Yes	4	2
PWY-5523	Yes	No	3	1
PWY-7184	Yes	Yes	9	5
P183-PWY	Yes	Yes	2	1
PWY-5154	Yes	Yes	9	7
PWY-7948	Yes	No	6	1
PWY-7686	Yes	Yes	1	1
TCA	Yes	No	10	2
PWY-8561	Yes	No	3	1
THIOREDOX-PWY	Yes	Yes	2	1
PWY-5741	Yes	No	11	1
UDPNAGSYN-PWY	Yes	Yes	5	5
PWY-3161	Yes	Yes	2	1
PWY-7222	Yes	Yes	3	3
PWY-6605	Yes	Yes	2	1
PWY4FS-7	Yes	Yes	2	2
PWY-6559	Yes	Yes	4	2
PWY-6502	Yes	Yes	1	1
PWY-8231	Yes	No	8	1
PWY-5641	Yes	No	3	1
PWY-8271	Yes	Yes	4	1
PWY-7977	Yes	Yes	4	2
PWY0-1586	Yes	Yes	4	1
PWY-5645	Yes	No	7	1
PWY-5989	Yes	Yes	6	3
PWY1-2	Yes	Yes	1	1
PWY0-1337	Yes	No	13	1
PWY-8217	Yes	No	6	1
PWY-8175	Yes	No	11	5
PWY-7274	Yes	No	6	1
PWY-5481	Yes	Yes	1	1
PWY-7176	Yes	Yes	3	3
SUCSYN-PWY	Yes	Yes	7	4
PWY-6974	Yes	No	5	2
GLUCARDEG-PWY	Yes	No	4	1
PWY-7587	Yes	Yes	3	2
PWY-5743	Yes	No	13	3
PWY-1001	Yes	Yes	1	1
P162-PWY	Yes	No	10	1
PWY-8106	Yes	Yes	5	3
P163-PWY	Yes	No	10	3
HEME-BIOSYNTHESIS-II	Yes	No	4	1
PWY-5162	Yes	No	3	1
PWY-6754	Yes	Yes	2	1
PWY-6562	Yes	No	6	2
PWY-8488	Yes	Yes	3	1
P105-PWY	Yes	No	9	2
PWY-6282	Yes	Yes	6	4
PWY-8244	Yes	No	4	1
VALSYN-PWY	Yes	Yes	4	4
PWY-6886	Yes	Yes	5	3
TRNA-CHARGING-PWY	Yes	Yes	21	18
PWY-8427	Yes	Yes	2	2
GALACTITOLCAT-PWY	Yes	Yes	4	2
PWY-7344	Yes	Yes	1	1
PWY-8581	Yes	No	4	1
PWY-8136	Yes	Yes	2	2
PWY-7183	Yes	Yes	1	1
IDNCAT-PWY	Yes	Yes	3	1
P181-PWY	Yes	Yes	11	1
PWYG-321	Yes	No	24	5
PWY-8164	Yes	Yes	2	1
PWY-8230	Yes	No	6	1
PWY-2722	Yes	No	3	1
PWY-8010	Yes	Yes	3	2
PWY-7303	Yes	Yes	4	1
PWY-8226	Yes	No	5	1
PWY-7569	Yes	Yes	7	1
TEICHOICACID-PWY	Yes	Yes	11	2
PWY-7622	Yes	Yes	1	1
PWY-6608	Yes	Yes	4	2
PWY0-1479	Yes	Yes	5	1
PWY-7765	Yes	No	5	1
PWY-5695	Yes	Yes	4	3
PWY-7301	Yes	Yes	5	3
CHLOROPHYLL-SYN	Yes	No	6	1
PWY-5084	Yes	No	3	1
PWY-7734	Yes	No	7	1
PWY-5097	Yes	Yes	7	5
ALKANEMONOX-PWY	Yes	Yes	2	1
PWY-6386	Yes	Yes	8	8
PWY-7769	Yes	No	21	1
PWY-8203	Yes	Yes	4	3
PYRIDOXSYN-PWY	Yes	No	7	1
TRPSYN-PWY	Yes	Yes	6	4
PLPSAL-PWY	Yes	Yes	3	1
PWY-7480	Yes	No	5	1
PWY-7009	Yes	No	7	1
PWY-7199	Yes	Yes	5	3
FASYN-INITIAL-PWY	Yes	No	3	1
PWY-8452	Yes	Yes	1	1
PWY-7892	Yes	Yes	4	2
PANTO-PWY	Yes	Yes	4	2
PWY-7589	Yes	Yes	2	1
PWY-7560	Yes	No	8	1
PWY2DNV-5	Yes	No	6	1
PWY-7688	Yes	No	6	2
PWY-8296	Yes	No	7	2
PWY-6620	Yes	Yes	2	1
PWY-7413	Yes	Yes	4	2
PWY-8263	Yes	Yes	1	1
PWY-6545	Yes	No	9	4
PWY-6614	Yes	Yes	3	3
PWY-7870	Yes	Yes	2	1
PWY-8234	Yes	No	5	1
PWY2PN3-13	Yes	Yes	5	4
TYRSYN	Yes	No	3	1
PWY-5667	Yes	Yes	4	4
PWY-7779	Yes	No	10	1
ASPARAGINESYN-PWY	Yes	Yes	1	1
BSUBPOLYAMSYN-PWY	Yes	Yes	2	1
PWY-8325	Yes	Yes	4	2
PWY-I9	Yes	Yes	6	3
PWY-6808	Yes	No	5	2
PWY-7863	Yes	Yes	2	1
PWY-7179	Yes	Yes	2	2
SUCROSEUTIL2-PWY	Yes	No	4	1
PWY-5938	Yes	Yes	2	2
PWY-7343	Yes	Yes	2	1
PWY-6463	Yes	Yes	2	1
PWY-8402	Yes	Yes	3	1
LCYSDEG-PWY	Yes	Yes	1	1
PWY-6642	Yes	No	3	1
PWY-8179	Yes	No	15	2
PWY-8241	Yes	No	6	1
PWY-8183	Yes	Yes	2	1
PWY-8252	Yes	No	4	1
PWY-3641	Yes	No	3	1
CALVIN-PWY	Yes	Yes	11	6
PWY-1042	Yes	Yes	7	5
PWY-6863	Yes	No	9	1
PWY-6317	Yes	Yes	5	5
PWY-5177	Yes	No	4	1
PWY-7570	Yes	No	8	1
PWY-7153	Yes	No	5	2
PWY-701	Yes	Yes	1	1
PWY-6148	Yes	No	11	2
PWY-7124	Yes	Yes	8	4
PWY-6644	Yes	No	5	1
PWY-8511	Yes	Yes	5	4
PWY-7685	Yes	Yes	1	1
PWY-6466	Yes	Yes	1	1
PWY-8235	Yes	No	5	1
PWY-6942	Yes	No	6	2
PWY-7219	Yes	Yes	3	3
PWY-6871	Yes	Yes	3	2
PWY-5265	Yes	Yes	5	3
PWY-5497	Yes	No	17	6
PWY-8236	Yes	No	5	1
PWY-7316	Yes	Yes	4	2
PWY0-1300	Yes	Yes	2	1
PWY-5981	Yes	Yes	5	3
PWY-6876	Yes	No	5	1
PWY-7723	Yes	No	8	1
PWY-7185	Yes	No	5	2
PWY2PN3-7	Yes	No	4	1
P122-PWY	Yes	Yes	18	13
GLYSYN-PWY	Yes	Yes	1	1
PWY-8504	Yes	No	9	2
PWY-7790	Yes	Yes	6	6
PWY-7852	Yes	Yes	3	2
PWY0-1391	Yes	Yes	1	1
PWY-7807	Yes	Yes	7	2
PWY-5122	Yes	Yes	1	1
PWY-8237	Yes	No	5	1
PWY-6153	Yes	Yes	3	2
SAM-PWY	Yes	Yes	1	1
PWY0-862	Yes	Yes	6	5
PWY-5419	Yes	Yes	4	2
PWY-8125	Yes	No	8	3
PWY-8086	Yes	No	13	4
PWY-8131	Yes	No	4	1
PWY-8206	Yes	No	5	1
PWY-8242	Yes	No	5	1
PWY-3162	Yes	No	7	1
PWY-8015	Yes	Yes	2	1
PWY-3462	Yes	No	4	1
ASPASN-PWY	Yes	No	3	1
PWY-8303	Yes	No	9	4
PWY-7085	Yes	No	3	1
PWY-8362	Yes	Yes	10	3
PWY-5025	Yes	Yes	2	1
PWY-8257	Yes	No	4	1
ARGDEG-V-PWY	Yes	No	3	1
PWY-6387	Yes	Yes	8	8
PWY-5486	Yes	Yes	2	1
PWY-5659	Yes	Yes	4	2
PWY-6397	Yes	Yes	9	3
PWY-5939	Yes	Yes	2	2
PWY-621	Yes	Yes	4	2
PWY-8165	Yes	Yes	1	1
PWY-6679	Yes	Yes	3	1
PWY-6120	Yes	No	4	1
PWY0-1608	Yes	Yes	3	2
GLYCOCAT-PWY	Yes	Yes	7	4
PWY-5785	Yes	Yes	2	2
BGALACT-PWY	Yes	Yes	1	1
PWY-2161	Yes	Yes	3	3
ASPARTATE-DEG1-PWY	Yes	Yes	1	1
PWY-7206	Yes	No	3	1
PWY-5940	Yes	No	11	1
P101-PWY	Yes	No	5	2
PWY-8004	Yes	Yes	7	5
PWY-8016	Yes	No	5	1
PWY-7226	Yes	Yes	2	2
PWY-7104	Yes	No	6	2
GLYOXYLATE-BYPASS	Yes	No	6	1
PWY0-1587	Yes	Yes	3	2
PWY-7254	Yes	No	9	2
GLUCONEO-PWY	Yes	Yes	13	7
GLUCOSE1PMETAB-PWY	Yes	No	5	2
PROSYN-PWY	Yes	Yes	3	3
PWY1A0-6120	Yes	No	13	5
PWY-8174	Yes	No	12	5
TOLUENE-DEG-3-OH-PWY	Yes	No	5	1
PWY-6854	Yes	Yes	2	1
PWY0-321	Yes	Yes	9	1
PWY-7456	Yes	No	7	1
PWY-6383	Yes	No	5	2
PWY-8060	Yes	Yes	3	2
PWY-6344	Yes	No	6	1
PWY-7414	Yes	No	5	2
PWY-7819	Yes	No	7	1
PWY-101	Yes	No	4	1
PWY-6906	Yes	No	7	2
PWY-6964	Yes	Yes	2	1
PWY-4621-1	Yes	Yes	2	1
PWY0-166	Yes	Yes	10	6
PWY0-1319	Yes	Yes	4	4
PWY-7791	Yes	Yes	6	6
PWY-8132	Yes	No	5	1
PWY0-1433	Yes	No	3	1
PWY-2941	Yes	Yes	8	7
PWY-6756	Yes	Yes	1	1
DETOX1-PWY-1	Yes	Yes	4	2
PWY-7883	Yes	Yes	9	1
PWY-7094	Yes	No	6	1
PWY-7400	Yes	No	9	4
PWY-8220	Yes	No	6	1
PWY0-1021	Yes	Yes	1	1
PWY-7733	Yes	No	7	1
NONOXIPENT-PWY	Yes	Yes	4	3
PWY-8218	Yes	No	5	1
PWY-8211	Yes	No	5	1
PWY-8277	Yes	No	6	2
TREDEGLOW-PWY	Yes	Yes	2	1
PWY-8017	Yes	No	6	1
LACTOSECAT-PWY	Yes	Yes	5	5
PWY-8480	Yes	No	10	4
PWY-5103	Yes	Yes	6	4
PWY-6164	Yes	Yes	2	2
P164-PWY	Yes	No	13	2
PWY-7077	Yes	Yes	5	3
PWY-5653	Yes	No	3	1
PWY-8251	Yes	No	4	1
ALANINE-SYN2-PWY	Yes	Yes	1	1
COLANSYN-PWY	Yes	Yes	1	1
PWY4FS-8	Yes	Yes	2	2
PWY-8532	Yes	No	5	1
P124-PWY	Yes	Yes	15	10
PWY2DNV-11	Yes	Yes	3	2
PWY-7817	Yes	Yes	15	5
PWY-8289	Yes	Yes	5	3
PWY-7904	Yes	Yes	4	1
P21-PWY	Yes	Yes	2	2
PYRIDNUCSYN-PWY	Yes	No	6	2
PWY-7761	Yes	Yes	5	3
PWY-8178	Yes	Yes	5	4
PWY-8253	Yes	No	5	1
PWY-8314	Yes	No	3	1
PWY-6976	Yes	No	6	2
PWY-7909	Yes	Yes	3	2
ILEUSYN-PWY	Yes	Yes	5	5
NONMEVIPP-PWY	Yes	No	8	1
PWY-7816	Yes	No	13	1
PWY-8190	Yes	Yes	7	1
PWY66-366	Yes	Yes	2	2
PWY-1622	Yes	Yes	10	5
HSERMETANA-PWY	Yes	Yes	2	1
PWY-5480	Yes	Yes	3	3
PWY-8043	Yes	Yes	3	1
PWY-7902	Yes	Yes	5	3
PWY-8380	Yes	Yes	5	3
PWY-6214	Yes	Yes	2	1
PWY-7398	Yes	Yes	8	1
GLUTATHIONESYN-PWY	Yes	Yes	2	1
PWY-8250	Yes	No	7	1
PWY-7884	Yes	No	4	1
PWY-5744	Yes	No	13	3
PWY-6154	Yes	Yes	3	2
PWY-7858	Yes	Yes	6	4
PWY18C3-5	Yes	Yes	2	1
SUCUTIL-PWY	Yes	Yes	3	3
1CMET2-PWY	Yes	Yes	9	6
PWY-8438	Yes	No	8	1
PWY-8264	Yes	No	3	1
PWY-7766	Yes	Yes	3	2
OANTIGEN-PWY	Yes	Yes	1	1
QUINATEDEG-PWY	Yes	No	3	1
PWY-5041	Yes	Yes	3	2
PWY-6459	Yes	Yes	3	1
LEUSYN-PWY	Yes	Yes	3	2
PWY-6416	Yes	No	3	1
PWY-6898	Yes	Yes	1	1
PWY-5913	Yes	No	8	3
TRPCAT-PWY	Yes	No	3	1
PWY-6992	Yes	No	5	2
PWY-6131	Yes	Yes	2	1
KETOGLUCONMET-PWY	Yes	No	4	1
GLYCOLYSIS	Yes	Yes	13	9
PWY-7900	Yes	No	8	2
PWY-822	Yes	Yes	4	1
HOMOSER-THRESYN-PWY	Yes	Yes	2	2
ARGSYNBSUB-PWY	Yes	Yes	10	10
PWY-8205	Yes	No	4	1
PWY-6519	Yes	Yes	8	4
REDCITCYC	Yes	No	9	2
PWY-6123	Yes	Yes	6	6
P345-PWY	Yes	No	3	1
PWY0-1545	Yes	Yes	3	2
PWY-8523	Yes	No	11	1
PWY-8224	Yes	No	5	1
PWY8J2-27	Yes	Yes	3	2
PWY-8276	Yes	Yes	2	1
PWY-8454	Yes	Yes	2	1
GLYCEROLMETAB-PWY	Yes	Yes	2	2
PWY-8525	Yes	Yes	8	5
PWY-6609	Yes	Yes	3	3
PWY-7626	Yes	No	8	1
PWY-3801	Yes	Yes	5	4
PWY-8088	Yes	Yes	4	3
DTDPRHAMSYN-PWY	Yes	Yes	4	4
HEMESYN2-PWY	Yes	No	4	1
PWY-3661	Yes	No	6	2
PWY-7312	Yes	Yes	4	2
PWY-8189	Yes	Yes	2	1
PWY-6588	Yes	No	5	1
PWY-6722	Yes	No	5	1
PWY-6462	Yes	Yes	2	1
TRYPDEG-PWY	Yes	Yes	1	1
PYRUVDEHYD-PWY	Yes	Yes	3	3
PWY-7530	Yes	No	7	1
PWY0-1477	Yes	Yes	5	4
PWY-6471	Yes	Yes	5	3
PWY-7991	Yes	No	5	1
PWY-7003	Yes	Yes	6	5
PWY-6147	Yes	Yes	5	3
PWY-8279	Yes	No	9	3
PWY-4101	Yes	Yes	2	1
GLNSYN-PWY	Yes	Yes	1	1
PWY-5485	Yes	Yes	4	3
PWY-6661	Yes	Yes	2	1
PWY-5283	Yes	Yes	8	1
PWY-8209	Yes	No	4	1
PWY-6611	Yes	Yes	3	2
PWY1-3	Yes	No	3	1
PWY-8233	Yes	No	5	1
PWY-6390	Yes	Yes	1	1
PWY-8272	Yes	No	5	1
PWY-8212	Yes	No	6	1
PWY-7315	Yes	Yes	4	2
PWY-6892	Yes	No	6	1
PWY-8560	Yes	No	6	1
PWY-7197	Yes	Yes	4	2
PWY-6012	Yes	Yes	2	1
PWY-7391	Yes	Yes	8	5
PWY-7102	Yes	Yes	6	3
PWY-6389	Yes	Yes	2	2
PWY-6406	Yes	Yes	2	1
SALVPURINE2-PWY	Yes	Yes	2	2
PWY-8049	Yes	No	7	1
PWY-5057	Yes	Yes	3	2
PWY-5973	Yes	Yes	5	4
PWY-8047	Yes	No	7	1
VALDEG-PWY	Yes	No	8	1
PWY-6703	Yes	Yes	4	4
