Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
CPLX-9591		<i>Escherichia coli</i> O:55 antigen polymerase	RXN-22122	EC-2.4.99.27
MONOMER-16659		neocarratetraose 4-<i>O</i>-monosulfate &beta;-hydrolase	RXN-12435	EC-3.2.1
MONOMER-17355			DIACYLGLYKIN-RXN	EC-2.7.1.107
CPLX-9392		phytoceramide synthase LAG1/LIP1 // phytosphingosine <i>N</i>-acyltransferase	RXN-20399 // RXN-20398 // RXN3O-328	EC-2.3.1.297
MONOMER-21674		arsenite methyltransferase // ArsM	RXN-22330 // RXN-22329 // RXN-21028 // RXN-22336 // 2.1.1.137-RXN // RXN-22332 // RXN-22333 // RXN-22334 // RXN-22335	EC-2.1.1.137
CPLX-6914		5-aminolevulinate synthase 1 // 5-aminolevulinic acid synthase // ALA synthase // ALAS	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	EC-2.3.1.37
MONOMER-6603		PatA	RXN-4822	
AT5G11880-MONOMER			DIAMINOPIMDECARB-RXN	EC-4.1.1.20
MONOMER-9201		pyruvate decarboxylase // PDC	RXN-6161	EC-4.1.1.1
MONOMER-13972			RXN-7982	EC-1.14.11.25
HS04162-MONOMER	GO:0008152 // GO:0006491 // GO:0006487 // GO:0005975	mannosyl-oligosaccharide 1,2-&alpha;-mannosidase IC // &alpha;-1,2-mannosidase IC // HMIC // mannosidase &alpha; class 1C member 1 // processing &alpha;-1,2-mannosidase IC	RXN-18919 // RXN-18929 // RXN-18920 // RXN-18921 // RXN-18931 // RXN-18930 // RXN-18922 // RXN-18918 // RXN-18928 // RXN-18927 // RXN-18926	EC-3.2.1.113
MONOMER-18983		multifunctional aromatic <i>O</i>-prenyltransferase	RXN-15964 // RXN-15961	EC-2.5.1
CPLX0-8016			UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
MONOMER-124217		ribitol-5-phosphate 2-dehydrogenase // RtpD	RXN-23384	EC-1.1.1.137
MONOMER-15685		perillyl alcohol dehydrogenase	RXN-20140 // RXN-15824 // PERILLYL-ALCOHOL-DEHYDROGENASE-RXN	EC-1.1.1.144
MONOMER3O-102		guanylate kinase	GMKALT-RXN // GUANYL-KIN-RXN	EC-2.7.4.13 // EC-2.7.4.12 // EC-2.7.4.8
CPLX-7937		guanine deaminase	RXN-8016 // GUANINE-DEAMINASE-RXN	EC-3.5.4.45 // EC-3.5.4.3
MONOMER-8221		lysine <i>N</i><sup>6</sup>-acetyltransferase // acetyl-CoA:L-lysine <i>N</i>-acetyltransferase	LYSACET-RXN	EC-2.3.1.306
CPLX-3062		sulfoacetaldehyde acetyltransferase	RXN-2364	EC-2.3.3.15
MONOMER3O-4139	GO:0046495 // GO:0019363 // GO:0016310 // GO:0009435	ribosylnicotinamide kinase // nicotinamide riboside kinase // NRK	RXN-8443 // RIBOSYLNICOTINAMIDE-KINASE-RXN	EC-2.7.1.173 // EC-2.7.1.22
EG11470-MONOMER	GO:0006950	phosphosugar phosphatase YigL // YigL	3.1.3.74-RXN // RXN-15794 // RXNQT-4142 // RXN-23190 // RXN0-5186 // RXN-14938 // RXN-15312 // RXN0-7251 // SUCROSE-PHOSPHATASE-RXN // RXN-9936 // 3.1.3.68-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // RXN0-7249 // RXN-17725 // RXN4FS-9 // TREHALOSEPHOSPHA-RXN // F16BDEPHOS-RXN // GLUCOSE-1-PHOSPHAT-RXN // RXN0-7250 // RXN-17724 // RXN66-526 // RXN-17745 // RXN0-7362 // RXN-14475 // RXN-19383 // RXN-17330 // SUGAR-PHOSPHATASE-RXN	EC-3.1.3.74 // EC-3.1.3 // EC-3.1.3.93 // EC-3.1.3.94 // EC-3.1.3.58 // EC-3.1.3.9 // EC-3.1.3.24 // EC-3.1.3.79 // EC-3.1.3.68 // EC-3.1.3.37 // EC-3.1.3.12 // EC-3.1.3.11 // EC-3.1.3.10 // EC-3.1.3.90 // EC-3.1.3.23
MONOMER66-43216	GO:0035246 // GO:0032259 // GO:0031397 // GO:0019919 // GO:0006479 // GO:0006355	protein arginine <i>N</i>-methyltransferase 3 // heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3	RXN-17121 // RXN-16889 // RXN-16891	EC-2.1.1.319 // EC-2.1.1.321
MONOMER-17488			RXN-13523	EC-2.6.1
CPLX-7772		dimethylsulfoniopropionate demethylase	RXN-9736	EC-2.1.1.269
EG12044-MONOMER	GO:0009451 // GO:0006364 // GO:0001522 // GO:0000455	16S rRNA pseudouridine<sup>516</sup> synthase // YejD // RsuA	RXN-11833	EC-5.4.99.19
MONOMER-13761		1,4-&beta;-<small>D</small>-xylan synthase	RXN-9104	EC-2.4.2.24
CPLX-7844		sirohydrochlorin cobaltochelatase	SIROHEME-FERROCHELAT-RXN // 4.99.1.3-RXN	EC-4.99.1.4 // EC-4.99.1.3
MONOMER-17819			RXN-13908	EC-4.2.1.96
MONOMER-21586		UDP-Glc:&beta;-D-GlcA-(1&rarr;4)-&alpha;-D-Gal-(1&rarr;6)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &beta;-(1,6<sup>IV</sup>)-glucosyltranferase // WetY	RXN-22174	EC-2.4.1
CPLX0-8262		nucleotide 5'-monophosphate nucleosidase	RXN0-7352 // AMP-NUCLEOSID-RXN // INOSINATE-NUCLEOSIDASE-RXN // RXN-14065 // 3.2.2.10-RXN	EC-3.2.2 // EC-3.2.2.4 // EC-3.2.2.12 // EC-3.2.2.10
AT5G48180-MONOMER		nitrile-specifier protein NSP5	RXN-12025 // RXN-18225 // RXN-18228 // RXN-18223 // RXN-8136 // RXNQT-4351	EC-4.8.1.5
HS04504-MONOMER	GO:0018146 // GO:0001572 // GO:0006629 // GO:0006643 // GO:0005975	lactotriaosylceramide &beta;-1,4-galactosyltransferase // b4Gal-T4 // &beta;-1,4-GalTase 4 // &beta;4Gal-T4 // Nal synthetase // UDP-Gal:&beta;-GlcNAc &beta;-1,4-galactosyltransferase 4 // UDP-galactose:&beta;-<i>N</i>-acetylglucosamine &beta;1,4-galactosyltransferase 4 // &beta;-<i>N</i>-acetylglucosaminyl-glycolipid &beta;-1,4-galactosyltransferase	RXN-23976 // RXN-23982 // RXN-18306 // RXN-12229	EC-2.4.1.275
MONOMER-12611		ScrB	3.2.1.26-RXN	EC-3.2.1.26
UBIX-MONOMER	GO:0120232 // GO:0006744	flavin prenyltransferase // DedF // UbiX	RXN-16937	EC-2.5.1.129
MONOMER-21495		UDP-<em>N</em>-acetylglucosamine&mdash;undecaprenyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase // WecA	GLCNACPTRANS-RXN	EC-2.7.8.33
CPLX-8170		phosphite dehydrogenase	1.20.1.1-RXN	EC-1.20.1.1
CPLX-7994			GKI-RXN	EC-2.7.1.165
CPLX66-456			NAD-KIN-RXN	EC-2.7.1.M29 // EC-2.7.1.23
CPLX66-450		carnitine O-palmitoyltransferase 1, liver isoform	CARNITINE-O-PALMITOYLTRANSFERASE-RXN // RXN-22185 // RXN-9918 // RXN-23859	EC-2.3.1.21 // EC-2.3.1.M110
MONOMER-18110		cytochrome P450 302a1, mitochondrial // Dib // disembodied	RXN-14678	EC-1.14.15.44
MONOMER-18726		<i>L</i>-tryptophan:phenylpyruvate aminotransferase // TdiD	2.6.1.28-RXN	EC-2.6.1.28
MONOMER-21704		dTDP-viosamine (<i>S</i>)-3-hydroxybutanoyltransferase	RXN-22419	EC-2.3.1
MONOMER-17205		hydroxymethylglutaryl-CoA reductase	HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	EC-1.1.1.88
CPLX66-508		6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	6-PHOSPHOFRUCTO-2-KINASE-RXN // 3.1.3.46-RXN	EC-2.7.1.105 // EC-3.1.3.46
MONOMER-19464		enoyl reductase // TasC	RXN-16959	EC-2.3.1
MONOMER-124759		borneol dehydrogenase	RXN-24837 // RXN-24836 // --BORNEOL-DEHYDROGENASE-RXN // +-BORNEOL-DEHYDROGENASE-RXN	EC-1.1.1 // EC-1.1.1.227 // EC-1.1.1.198
CPLX0-8098			UGD-RXN	EC-1.1.1.22
MONOMER-10461		5-methylthioribose kinase	5-METHYLTHIORIBOSE-KINASE-RXN	EC-2.7.1.100
SCO5897-MONOMER		undecylprodigiosin cyclase // RedG	RXN1A0-6102	
MONOMER-14261		progesterone 5&beta;-reductase	RXN-9726	EC-1.3.1.3
MONOMER-20252		4,4'-dithiodibutanoate disulfide reductase // Nox<sub>MI2</sub> // 4,4'-disulfanediyldibutanoate disulfide reductase	RXN-15367	EC-1.8.1.20
CPLX-3422		malonate semialdehyde dehydrogenase	RXN-2902	EC-1.2.1.18
MONOMER-16070		[SoxY protein]-L-cysteine-<i>S</i>-sulfane:polymeric sulfur sulfurtransferase // SoxL	RXN-11955	
2-DEHYDROPANTOATE-REDUCT-MONOMER	GO:0015940	2-dehydropantoate 2-reductase // PanE // ApbA	2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
CPLX-8078		chlorite O<sub>2</sub>-lyase // chlorite dismutase	1.13.11.49-RXN	EC-1.13.11.49
HS00336-MONOMER	GO:0019370 // GO:0006691	arachidonate 5-lipoxygenase // 5-lipoxygenase // 5-LO // f-LOX // 5-LOX	RXN-23501 // RXN-20582 // RXN66-504 // RXN66-500 // RXN66-513 // RXN66-514 // RXN-20581 // RXN-20579 // RXN-20571 // RXN-20578 // RXN-20580 // RXN66-512 // RXN66-499 // RXN66-495 // RXN66-503 // RXN66-511 // RXN-8647 // ARACHIDONATE-5-LIPOXYGENASE-RXN // RXN-23007 // RXN-23478	EC-1.13.11.34
MONOMER-124624		3-hydroxybenzoate 6-hydroxylase // MhbM	3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN	EC-1.14.13.24
