"features"	"coefs"	"category"
"1"	"EC.2.4.1.80"	-2.94987377188431	"left"
"2"	"EC.2.5.1.76"	-2.3816227974183	"left"
"3"	"EC.1.1.1.67"	-2.3816227974183	"left"
"4"	"EC.4.2.1.151"	-2.3816227974183	"left"
"5"	"EC.3.4.21.26"	-2.3816227974183	"left"
"6"	"EC.3.2.2.26"	-2.3816227974183	"left"
"7"	"EC.1.14.13.22"	-2.3816227974183	"left"
"8"	"EC.2.5.1.120"	-2.3816227974183	"left"
"9"	"EC.1.21.98.1"	-2.3816227974183	"left"
"10"	"EC.2.3.2.5"	-2.3816227974183	"left"
"11"	"EC.1.3.1.74"	1.59872515399743	"right"
"12"	"EC.2.3.1.242"	1.59872515399743	"right"
"13"	"EC.1.10.3.10"	1.59872515399743	"right"
"14"	"EC.3.2.2.8"	1.59872515399743	"right"
"15"	"EC.3.4.23.49"	1.59872515399743	"right"
"16"	"EC.1.14.13.149"	1.59872515399743	"right"
"17"	"EC.3.1.1.45"	1.59872515399743	"right"
"18"	"EC.1.12.5.1"	1.59872515522604	"right"
"19"	"EC.2.1.1.265"	1.60097351304402	"right"
"20"	"EC.3.2.1.170"	1.60097351304402	"right"
