	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	PWY-7371	Week_and_consortia	NS1_w5w6	-2.35551616799378	0.14261033525814	85	85	5.795653942022929e-28	8.83837226158497e-26	PWY-7371	5,8-dihydroxy-2-naphthoate biosynthesis II // modified futalosine pathway // 1,4-dihydroxy-6-naphthoate biosynthesis II	Biosynthesis						
1	PWY-7374	Week_and_consortia	NS1_w5w6	-2.34120812307643	0.141527240138138	85	85	5.25561897650158e-28	8.83837226158497e-26	PWY-7374	5,8-dihydroxy-2-naphthoate biosynthesis I // futalosine pathway // 1,4-dihydroxy-6-naphthoate biosynthesis I	Biosynthesis						
2	PWY-5304	Week_and_consortia	NS1_w5w6	-0.869171741977394	0.0651888673247186	85	85	2.44805311754415e-22	2.48885400283655e-20	PWY-5304	superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>)	Degradation/utilization/assimilation	Superpathways					
3	AEROBACTINSYN-PWY	Week_and_consortia	NS1_w5w6	1.62442662906883	0.139987870472044	85	85	5.27398471183009e-19	1.12238231974428e-17	AEROBACTINSYN-PWY	aerobactin biosynthesis	Biosynthesis						
4	FAO-PWY	Week_and_consortia	NS1_w5w6	1.37502319206367	0.116445647893055	85	85	2.14751688553492e-19	1.12238231974428e-17	FAO-PWY	fatty acid &beta;-oxidation I (generic)	Degradation/utilization/assimilation						
5	GLYOXYLATE-BYPASS	Week_and_consortia	NS1_w5w6	1.58980615066764	0.137045357663544	85	85	5.34579631189634e-19	1.12238231974428e-17	GLYOXYLATE-BYPASS	glyoxylate cycle // glyoxylate bypass // glyoxylate shunt	Generation of precursor metabolites and energy						
6	HCAMHPDEG-PWY	Week_and_consortia	NS1_w5w6	1.62442662904472	0.139987870474914	85	85	5.27398472857826e-19	1.12238231974428e-17	HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate // 3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation to 2-oxopent-4-enoate	Degradation/utilization/assimilation						
7	LPSSYN-PWY	Week_and_consortia	NS1_w5w6	1.52361835123341	0.131221713652666	85	85	5.107732631131399e-19	1.12238231974428e-17	LPSSYN-PWY	superpathway of Kdo<sub>2</sub>-lipid A biosynthesis	Superpathways	Biosynthesis	Fatty acid and lipid biosynthesis				
8	PWY-5747	Week_and_consortia	NS1_w5w6	1.61351087244296	0.138845983255601	85	85	4.89120282721624e-19	1.12238231974428e-17	PWY-5747	2-methylcitrate cycle II	Degradation/utilization/assimilation						
9	PWY-6071	Week_and_consortia	NS1_w5w6	1.57367439005711	0.135886769122917	85	85	5.84425333229211e-19	1.12238231974428e-17	PWY-6071	superpathway of phenylethylamine degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Aromatic compound degradation	Superpathways			
10	PWY-6690	Week_and_consortia	NS1_w5w6	1.62442662904472	0.139987870474914	85	85	5.27398472857826e-19	1.12238231974428e-17	PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	Degradation/utilization/assimilation						
11	PWY-7094	Week_and_consortia	NS1_w5w6	1.49709410253194	0.128367257826724	85	85	4.0737255508469503e-19	1.12238231974428e-17	PWY-7094	fatty acid salvage // &beta;-oxidation degradation - de novo fatty acid biosynthesis shunt	Biosynthesis						
12	PWY-7315	Week_and_consortia	NS1_w5w6	-0.357389632672873	0.0308138490914694	85	85	4.761478585603551e-19	1.12238231974428e-17	PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis // dTDP-4-acetamido-&alpha;-D-fucose biosynthesis // dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-galactose biosynthesis	Biosynthesis						
13	PWY0-321	Week_and_consortia	NS1_w5w6	1.6004654408718	0.137943255981467	85	85	5.31520330381484e-19	1.12238231974428e-17	PWY0-321	phenylacetate degradation I (aerobic)	Degradation/utilization/assimilation						
14	PWY0-42	Week_and_consortia	NS1_w5w6	1.61621704189157	0.139128184233045	85	85	4.98235537774275e-19	1.12238231974428e-17	PWY0-42	2-methylcitrate cycle I	Degradation/utilization/assimilation						
15	TCA-GLYOX-BYPASS	Week_and_consortia	NS1_w5w6	1.57450669834075	0.135976094850642	85	85	5.887907251117521e-19	1.12238231974428e-17	TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	Superpathways						
16	PWY-7446	Week_and_consortia	NS1_w5w6	1.52383031932241	0.131922484339824	85	85	6.65540707615255e-19	1.12772175457029e-17	PWY-7446	sulfoquinovose degradation I // sulphoglycolysis // sulfoglycolysis // sulfo-EMP pathway	Degradation/utilization/assimilation						
17	PWY0-1533	Week_and_consortia	NS1_w5w6	1.4817713598763	0.12810629340748	85	85	6.286688358955261e-19	1.12772175457029e-17	PWY0-1533	methylphosphonate degradation I // carbon-phosphorus lyase pathway	Degradation/utilization/assimilation						
18	ARGDEG-PWY	Week_and_consortia	NS1_w5w6	1.51328383782219	0.131854237762818	85	85	9.1679197941187e-19	1.18138389432747e-17	ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // L-arginine utilization // ADC pathway	Degradation/utilization/assimilation	Superpathways					
19	AST-PWY	Week_and_consortia	NS1_w5w6	1.59102737875611	0.138276988047483	85	85	8.11513018968507e-19	1.18138389432747e-17	AST-PWY	L-arginine degradation II (AST pathway) // L-arginine succinyltransferase pathway // AST pathway // ammonia-producing L-arginine catabolic pathway // L-arginine catabolism	Degradation/utilization/assimilation						
20	CENTFERM-PWY	Week_and_consortia	NS1_w5w6	1.36041290261592	0.118577010601386	85	85	9.28154801190354e-19	1.18138389432747e-17	CENTFERM-PWY	pyruvate fermentation to butanoate // central fermentation pathway // acetobutylicum fermentation // pyruvate fermentation to butyrate // pyruvic acid fermentation to butanoic acid	Generation of precursor metabolites and energy						
21	GLYCOLYSIS-TCA-GLYOX-BYPASS	Week_and_consortia	NS1_w5w6	1.47025360820293	0.128120204846134	85	85	9.29613556192108e-19	1.18138389432747e-17	GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	Superpathways	Generation of precursor metabolites and energy					
22	ORNARGDEG-PWY	Week_and_consortia	NS1_w5w6	1.51328383782219	0.131854237762818	85	85	9.1679197941187e-19	1.18138389432747e-17	ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	Degradation/utilization/assimilation	Superpathways					
23	PWY-6590	Week_and_consortia	NS1_w5w6	1.3374322372213	0.11645199413193	85	85	8.77869630666504e-19	1.18138389432747e-17	PWY-6590	superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation // acetobutylicum acidogenic fermentation	Superpathways	Generation of precursor metabolites and energy					
24	PWY0-1338	Week_and_consortia	NS1_w5w6	1.4096150179134	0.123482373756107	85	85	1.2155269223782e-18	1.4829428453014e-17	PWY0-1338	polymyxin resistance // L-Ara4N-modified lipid A biosynthesis // 4-amino-4-deoxy-L-arabinose-modified lipid A biosynthesis	Detoxification	Glycan pathways		Biosynthesis	Cell structure biosynthesis		
25	GLUCUROCAT-PWY	Week_and_consortia	NS1_w5w6	0.430186763683208	0.0377464568840535	85	85	1.28958042218216e-18	1.48506332775103e-17	GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronides degradation (to pyruvate) // D-glucuronate catabolism // D-glucuronate degradation // glucuronic acid degradation // glucuronate degradation // &beta;-D-glucuronide degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways			
26	PWY-6629	Week_and_consortia	NS1_w5w6	1.43687033232672	0.126079152864873	85	85	1.3146462245664799e-18	1.48506332775103e-17	PWY-6629	superpathway of L-tryptophan biosynthesis	Superpathways	Biosynthesis	Amino acid biosynthesis				
27	KDO-NAGLIPASYN-PWY	Week_and_consortia	NS1_w5w6	1.35450200466077	0.118976770029496	85	85	1.3775604542177198e-18	1.50055692334431e-17	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis (<i>E. coli</i>)	Superpathways	Glycan pathways		Biosynthesis	Cell structure biosynthesis	Biosynthesis	Fatty acid and lipid biosynthesis
28	METHGLYUT-PWY	Week_and_consortia	NS1_w5w6	1.51725181063451	0.133538710122013	85	85	1.5218912130675899e-18	1.60060972408833e-17	METHGLYUT-PWY	superpathway of methylglyoxal degradation	Degradation/utilization/assimilation	Superpathways					
29	X3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	Week_and_consortia	NS1_w5w6	1.30843771754094	0.115366856935311	85	85	1.6715059228191098e-18	1.64454614987041e-17									
30	P105-PWY	Week_and_consortia	NS1_w5w6	1.42530796998564	0.125915271069682	85	85	1.6556233353568699e-18	1.64454614987041e-17	P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase) // citric acid cycle // tricarboxylic acid cycle // Szent-Gyorgyi-Krebs cycle // Krebs cycle	Generation of precursor metabolites and energy						
31	PWY0-1277	Week_and_consortia	NS1_w5w6	1.17918079085831	0.104836271060403	85	85	2.5508310648428e-18	2.43126085867829e-17	PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation // 3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation	Degradation/utilization/assimilation	Superpathways					
32	DTDPRHAMSYN-PWY	Week_and_consortia	NS1_w5w6	-0.0790895948948029	0.0070831148446032	85	85	3.7871697498724594e-18	3.39731404032676e-17	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis	Biosynthesis						
33	KETOGLUCONMET-PWY	Week_and_consortia	NS1_w5w6	1.50339843372609	0.134943423444004	85	85	3.69301646461404e-18	3.39731404032676e-17	KETOGLUCONMET-PWY	ketogluconate metabolism	Degradation/utilization/assimilation	Superpathways					
34	ECASYN-PWY	Week_and_consortia	NS1_w5w6	1.28026510178537	0.115535980667942	85	85	5.494709158138169e-18	4.56350579648408e-17	ECASYN-PWY	enterobacterial common antigen biosynthesis // ECA biosynthesis	Glycan pathways	Biosynthesis	Carboxylic acid biosynthesis				
35	GLYCOL-GLYOXDEG-PWY	Week_and_consortia	NS1_w5w6	1.39858674220495	0.12619806176356	85	85	5.35757708411813e-18	4.56350579648408e-17	GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	Degradation/utilization/assimilation	Superpathways					
36	ORNDEG-PWY	Week_and_consortia	NS1_w5w6	1.48463696794191	0.134084303635067	85	85	5.53605621212823e-18	4.56350579648408e-17	ORNDEG-PWY	superpathway of ornithine degradation	Degradation/utilization/assimilation	Superpathways					
37	ENTBACSYN-PWY	Week_and_consortia	NS1_w5w6	1.27200373736513	0.118094975670466	85	85	2.17403239858622e-17	1.7449470567599899e-16	ENTBACSYN-PWY	enterobactin biosynthesis	Superpathways	Biosynthesis	Secondary metabolite biosynthesis				
38	X1CMET2-PWY	Week_and_consortia	NS1_w5w6	-0.0530871915630398	0.004947634905907	85	85	2.3646872640899e-17	1.8493067065318399e-16									
39	PWY-7373	Week_and_consortia	NS1_w5w6	-1.56742479414107	0.146619992787022	85	85	3.18578968051788e-17	2.42916463139488e-16	PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II // superpathway of demethylmenaquinone-6 biosynthesis II	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
40	PWY-7090	Week_and_consortia	NS1_w5w6	-0.914459442381152	0.089234161210968	85	85	2.36920176880075e-16	1.7624549743517801e-15	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis // UDP-ManNAc(3NAc)A biosynthesis // Wbp pathway	Biosynthesis						
41	PWY-6891	Week_and_consortia	NS1_w5w6	1.02028171906011	0.0997934481152802	85	85	2.54809907047955e-16	1.8504052773720603e-15	PWY-6891	thiazole component of thiamine diphosphate biosynthesis II // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis	Biosynthesis						
