feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7316	Week_and_consortia	NS1_w9w10	7.20479135997112	0.0634834706084327	108	108	1.64713125184315e-112	5.08963556819534e-110
PWY.5920	Week_and_consortia	NS1_w9w10	6.02531272650972	0.0814177359018617	108	54	4.47401320733469e-93	6.91235040533209e-91
PWY0.1415	Week_and_consortia	NS1_w9w10	5.79910646894156	0.0814995669263601	108	54	2.64943898928162e-91	2.72892215896007e-89
PWY.6572	Week_and_consortia	NS1_w9w10	1.34639301569885	0.0224447292989137	108	52	1.23973247078876e-83	9.57693333684317e-82
TEICHOICACID.PWY	Week_and_consortia	NS1_w9w10	1.90400825532887	0.0342248478455084	108	108	6.55282354647058e-80	4.04964495171882e-78
PWY.7332	Week_and_consortia	NS1_w9w10	1.65738396933731	0.0327330546979659	108	52	1.03340620816652e-75	5.32204197205756e-74
PWY.4984	Week_and_consortia	NS1_w9w10	-1.87901566856496	0.042434546855713	108	108	3.39200425557281e-70	1.310161643715e-68
PWY.7210	Week_and_consortia	NS1_w9w10	-2.27701298069419	0.051036592850512	108	108	3.0962213424185e-70	1.310161643715e-68
PWY.6148	Week_and_consortia	NS1_w9w10	-2.45761687915843	0.0552187065106073	108	56	5.24924928808874e-70	1.80224225557713e-68
PWY.2201	Week_and_consortia	NS1_w9w10	-2.51956042332697	0.0569182134386221	108	56	9.03863827456696e-70	2.79293922684119e-68
PWY.6676	Week_and_consortia	NS1_w9w10	-2.12966446386198	0.0483033558641874	108	56	1.050561854318e-69	2.95112375440238e-68
PWY.6545	Week_and_consortia	NS1_w9w10	-2.30601150310044	0.0555058117962458	108	108	3.96102526666362e-67	1.01996400616588e-65
PWY.7198	Week_and_consortia	NS1_w9w10	-2.44814572284627	0.059058094277522	108	108	4.99363128722938e-67	1.18694774442606e-65
P221.PWY	Week_and_consortia	NS1_w9w10	-4.46915242158159	0.118386774035943	108	106	5.73965240401944e-63	1.26682328060143e-61
PWY.6478	Week_and_consortia	NS1_w9w10	-1.74449999034078	0.0489282865187045	108	108	7.57347166210859e-61	1.56013516239437e-59
CRNFORCAT.PWY	Week_and_consortia	NS1_w9w10	-2.03892764516517	0.0645316620207152	108	56	9.27890447097352e-56	1.79198842595676e-54
PWY.6471	Week_and_consortia	NS1_w9w10	1.07303503980128	0.0338691731930995	108	108	1.31740866156891e-55	2.39458397896937e-54
PWY0.1277	Week_and_consortia	NS1_w9w10	2.04734540190519	0.0683000946996444	108	52	1.40879331921248e-53	2.41842853131476e-52
MET.SAM.PWY	Week_and_consortia	NS1_w9w10	1.02072196247241	0.0341230633915704	108	108	2.807531262996e-53	4.56593242245138e-52
X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY	Week_and_consortia	NS1_w9w10	2.15165475677088	0.0740111838879599	108	52	2.5506122404954e-52	3.94069591156539e-51
PWY.6612	Week_and_consortia	NS1_w9w10	0.249965520243808	0.00879489794254033	108	108	2.14218051252017e-51	3.15206561127968e-50
HOMOSER.METSYN.PWY	Week_and_consortia	NS1_w9w10	1.19031284565206	0.0424352659062872	108	108	1.17316080786664e-50	1.64775768013997e-49
ORNDEG.PWY	Week_and_consortia	NS1_w9w10	2.4291544374356	0.0876152650449987	108	52	2.18135746969374e-50	2.93060633971899e-49
PWY.5705	Week_and_consortia	NS1_w9w10	1.56774941865476	0.0563915911142053	108	108	3.00290026152629e-50	3.8662340867151e-49
NAD.BIOSYNTHESIS.II	Week_and_consortia	NS1_w9w10	2.05562795085661	0.0740910931599787	108	108	3.37642636146713e-50	4.17326298277338e-49
PWY.5347	Week_and_consortia	NS1_w9w10	0.815392121418196	0.0298651126560173	108	108	1.44616475928442e-49	1.71871119468802e-48
PWY.5179	Week_and_consortia	NS1_w9w10	2.20300946475711	0.0818446762342705	108	52	4.55459386547673e-49	5.21247964604559e-48
ARGDEG.PWY	Week_and_consortia	NS1_w9w10	2.30033778094968	0.0861487592802967	108	52	7.1635731889757e-49	7.63291074273618e-48
ORNARGDEG.PWY	Week_and_consortia	NS1_w9w10	2.30033778094968	0.0861487592802967	108	52	7.1635731889757e-49	7.63291074273618e-48
FOLSYN.PWY	Week_and_consortia	NS1_w9w10	0.214398954958837	0.00806918103317865	108	108	1.13141557168197e-48	1.16535803883242e-47
PWY.5265	Week_and_consortia	NS1_w9w10	4.15647396239613	0.157190045033037	108	52	1.76474019321977e-48	1.75904748291906e-47
PWY.6071	Week_and_consortia	NS1_w9w10	2.30861108997749	0.088843853290165	108	52	8.77915795378126e-48	8.47737439912003e-47
PWY0.321	Week_and_consortia	NS1_w9w10	2.31846517042612	0.0898040601337128	108	52	1.59166305159997e-47	1.49037540286179e-46
HCAMHPDEG.PWY	Week_and_consortia	NS1_w9w10	2.34569720319874	0.0910683251512507	108	52	1.96522534806266e-47	1.73501323586104e-46
PWY.6690	Week_and_consortia	NS1_w9w10	2.34569720319874	0.0910683251512507	108	52	1.96522534806266e-47	1.73501323586104e-46
