	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	PWY-6572	Week_and_consortia	NS1_w9w10	11.5668817890531	0.150378291302894	72	62	2.2792313033705698e-69	6.97444778831395e-67	PWY-6572	chondroitin sulfate degradation I (bacterial)	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
1	PWY-6471	Week_and_consortia	NS1_w9w10	2.65647960970434	0.0417614025805554	72	72	1.1271527438770401e-63	1.7245436981318702e-61	PWY-6471	peptidoglycan biosynthesis IV (<i>Enterococcus faecium</i>)	Detoxification	Superpathways		Biosynthesis	Cell structure biosynthesis		
2	PWY-6470	Week_and_consortia	NS1_w9w10	2.17148469906873	0.0524301767351538	72	72	5.68139625557026e-51	5.795024180681669e-49	PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance) // penicillin resistance // &beta;-lactam resistance	Detoxification	Superpathways		Biosynthesis	Cell structure biosynthesis		
3	PWY-7090	Week_and_consortia	NS1_w9w10	5.77038958743061	0.168451361744875	72	69	1.80556944901581e-45	1.3812606284970898e-43	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis // UDP-ManNAc(3NAc)A biosynthesis // Wbp pathway	Biosynthesis						
4	REDCITCYC	Week_and_consortia	NS1_w9w10	-1.99726026884523	0.0597943395105347	72	72	2.45021736328493e-44	1.4995330263303798e-42	REDCITCYC	TCA cycle VI (Helicobacter) // Krebs cycle // tricarboxylic acid cycle // TCA cycle // citric acid cycle	Generation of precursor metabolites and energy						
5	PWY-6478	Week_and_consortia	NS1_w9w10	-2.18084979379089	0.0672067219409627	72	72	6.40664607338185e-44	3.2673894974247397e-42	PWY-6478	GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose biosynthesis	Biosynthesis						
6	PWY-7316	Week_and_consortia	NS1_w9w10	1.28740595144449	0.0427598970763067	72	52	8.58535915760366e-42	3.75302843175246e-40	PWY-7316	dTDP-<i>N</i>-acetylviosamine biosynthesis // dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-glucose biosynthesis	Biosynthesis						
7	PWY-7332	Week_and_consortia	NS1_w9w10	1.65821625297694	0.0547899767035135	72	52	1.43679335970045e-41	5.49573460085422e-40	PWY-7332	superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis	Superpathways	Biosynthesis	Carbohydrate biosynthesis				
8	PWY-6151	Week_and_consortia	NS1_w9w10	0.795731101397352	0.0309559407192788	72	72	2.21490220698192e-37	7.53066750373853e-36	PWY-6151	<i>S</i>-adenosyl-L-methionine salvage I // SAM cycle // activated methyl cycle // AMC // <i>S</i>-adenosyl-L-methionine cycle I	Biosynthesis						
9	PWY-7315	Week_and_consortia	NS1_w9w10	-0.699432281406821	0.0279422599113304	72	72	1.1881522037533799e-36	3.63574574348535e-35	PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis // dTDP-4-acetamido-&alpha;-D-fucose biosynthesis // dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-galactose biosynthesis	Biosynthesis						
10	DTDPRHAMSYN-PWY	Week_and_consortia	NS1_w9w10	-0.321785547544997	0.0131542843030833	72	72	5.0477140512053794e-36	1.40418227242622e-34	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis	Biosynthesis						
11	PWY-7294	Week_and_consortia	NS1_w9w10	-1.76914614298324	0.0728752855705443	72	72	1.5833453412955302e-35	4.0375306203036e-34	PWY-7294	D-xylose degradation IV // Dahms pathway	Degradation/utilization/assimilation						
12	PWY-5177	Week_and_consortia	NS1_w9w10	1.83805372086591	0.0766940140050419	72	52	1.82272658800402e-35	4.29041796868639e-34	PWY-5177	glutaryl-CoA degradation	Degradation/utilization/assimilation						
13	PWY-6612	Week_and_consortia	NS1_w9w10	0.123685946961141	0.005336999432841	72	72	1.47317555941345e-34	3.2199408655751196e-33	PWY-6612	superpathway of tetrahydrofolate biosynthesis // folic acid biosynthesis // folate biosynthesis // THF biosynthesis	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
14	PWY-6676	Week_and_consortia	NS1_w9w10	-2.47834053920196	0.11024798600669	72	19	9.69045190455535e-34	1.97685218852929e-32	PWY-6676	superpathway of sulfide oxidation (phototrophic sulfur bacteria)	Degradation/utilization/assimilation	Superpathways					
15	P4-PWY	Week_and_consortia	NS1_w9w10	-0.917209117488252	0.0438287916702173	72	72	1.33069608713124e-31	2.5449562666384897e-30	P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	Superpathways	Biosynthesis	Amino acid biosynthesis				
16	FOLSYN-PWY	Week_and_consortia	NS1_w9w10	0.11825351270321	0.0057085906430238	72	72	1.4164035177895102e-31	2.5495263320211196e-30	FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
17	P42-PWY	Week_and_consortia	NS1_w9w10	0.223991189312379	0.0110207472833162	72	72	7.566705699464299e-31	1.28633996890893e-29	P42-PWY	incomplete reductive TCA cycle // citric acid cycle variant // tricarboxylic acid cycle variant // TCA cycle variation I // incomplete reductive tricarboxylic acid cycle	Degradation/utilization/assimilation						
18	PWY0-845	Week_and_consortia	NS1_w9w10	0.340743836500133	0.0182809936786824	72	72	7.49570849954554e-29	1.20720357940049e-27	PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage // vitamin B<sub>6</sub> biosynthesis and salvage	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
19	MET-SAM-PWY	Week_and_consortia	NS1_w9w10	0.25959215329873	0.0141258737096221	72	72	1.7115390234457899e-28	2.61865470587206e-27	MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis from L-aspartate	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
20	P164-PWY	Week_and_consortia	NS1_w9w10	1.35037328980305	0.0755411058205691	72	72	8.476114359524779e-28	1.2350909495307499e-26	P164-PWY	purine nucleobases degradation I (anaerobic) // purine fermentation	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
