feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7090	Week_and_consortia	S5_w5w6	-1.96542720881293	0.290232957327924	32	17	1.64934832830745e-07	4.76661666880853e-05
PWY.6263	Week_and_consortia	S5_w5w6	-0.833276392651874	0.147932915084287	32	32	3.90636169220791e-06	0.000353080657220684
PWY.7371	Week_and_consortia	S5_w5w6	-1.05381956558596	0.189765578951516	32	32	4.88692951170497e-06	0.000353080657220684
PWY.7374	Week_and_consortia	S5_w5w6	-1.0158974102103	0.179213976918629	32	32	3.53173793159282e-06	0.000353080657220684
PWY.7234	Week_and_consortia	S5_w5w6	-0.392429375759454	0.0751171773986798	32	32	1.36013414242328e-05	0.000786157534320658
UBISYN.PWY	Week_and_consortia	S5_w5w6	-0.359692399435831	0.0717717371907293	32	32	2.25449708525787e-05	0.00108591609606588
P4.PWY	Week_and_consortia	S5_w5w6	-0.27445328273524	0.0554561534647815	32	32	2.92283809288077e-05	0.00115370359377792
PWY.5855	Week_and_consortia	S5_w5w6	-0.399492344904949	0.083658250342146	32	32	4.39125935347999e-05	0.00115370359377792
PWY.5856	Week_and_consortia	S5_w5w6	-0.399492344904949	0.083658250342146	32	32	4.39125935347999e-05	0.00115370359377792
PWY.5857	Week_and_consortia	S5_w5w6	-0.399492344904949	0.083658250342146	32	32	4.39125935347999e-05	0.00115370359377792
PWY.6708	Week_and_consortia	S5_w5w6	-0.399492344904949	0.083658250342146	32	32	4.39125935347999e-05	0.00115370359377792
GALLATE.DEGRADATION.II.PWY	Week_and_consortia	S5_w5w6	-1.57193563453359	0.465970168196171	32	17	0.00206248578048327	0.0496715325466387
PWY.7373	Week_and_consortia	S5_w5w6	-0.34613911596711	0.122513304709562	32	32	0.00846095083768433	0.188093445545444
ARG.POLYAMINE.SYN	Week_and_consortia	S5_w5w6	0.517465346666262	0.195118691507679	32	32	0.0128351185970644	0.247628223490994
POLYAMSYN.PWY	Week_and_consortia	S5_w5w6	0.555902863364692	0.209657733335688	32	32	0.0128526759597402	0.247628223490994
