pathway	Plate1_1030R_0_M_NS1_week10_S77_L001	Plate1_1030R_R_M_NS1_week10_S78_L001	Plate1_2472R_0_F_NS1_week10_S73_L001	Plate1_2472R_R_F_NS1_week10_S74_L001	Plate1_3874R_0_F_NS1_week10_S75_L001	Plate1_3874R_L_F_NS1_week10_S76_L001	Plate1_3974R_0_M_NS1_week10_S79_L001	Plate1_3974R_L_M_NS1_week10_S80_L001	Plate2_036R_R_M_NS1_week5_S18_L001	Plate2_036R_R_M_NS1_week9_S21_L001	Plate2_1030R_L_M_NS1_week5_S22_L001	Plate2_1030R_L_M_NS1_week9_S25_L001	Plate2_1121R_0_M_NS1_week5_S26_L001	Plate2_1121R_0_M_NS1_week9_S29_L001	Plate2_1151R_R_M_NS1_week5_S30_L001	Plate2_1151R_R_M_NS1_week9_S33_L001	Plate2_1193R_R_F_NS1_week5_S1_L001	Plate2_1193R_R_F_NS1_week9_S4_L001	Plate2_2529R_R_F_NS1_week5_S5_L001	Plate2_2529R_R_F_NS1_week9_S8_L001	Plate2_3861R_R_M_NS1_week9_S34_L001	Plate2_3971R_L_F_NS1_week5_S9_L001	Plate2_3971R_L_F_NS1_week9_S12_L001	Plate2_3975R_0_F_NS1_week9_S13_L001	Plate2_3975R_R_F_NS1_week5_S14_L001	Plate2_3975R_R_F_NS1_week9_S17_L001	Plate4_036R_0_M_NS1_S62_L001	Plate4_036R_0_M_NS1_week5_S41_L001	Plate4_036R_L_M_NS1_S63_L001	Plate4_036R_L_M_NS1_week5_S42_L001	Plate4_036R_RL_M_NS1_S64_L001	Plate4_036R_RL_M_NS1_week5_S43_L001	Plate4_036R_RR_M_NS1_S65_L001	Plate4_036R_RR_M_NS1_week5_S44_L001	Plate4_1030R_RR_M_NS1_week5_S45_L001	Plate4_1030R_RR_M_NS1_week9_S66_L001	Plate4_1121R_L_M_NS1_week5_S46_L001	Plate4_1121R_L_M_NS1_week9_S67_L001	Plate4_1121R_RL_M_NS1_week5_S48_L001	Plate4_1121R_RL_M_NS1_week9_S69_L001	Plate4_1121R_RR_M_NS1_week5_S49_L001	Plate4_1121R_RR_M_NS1_week9_S70_L001	Plate4_1121R_R_M_NS1_week5_S47_L001	Plate4_1121R_R_M_NS1_week9_S68_L001	Plate4_1151R_0_M_NS1_week5_S50_L001	Plate4_1151R_0_M_NS1_week9_S71_L001	Plate4_1193R_0_F_NS1_week5_S51_L001	Plate4_1193R_0_F_NS1_week9_S72_L001	Plate4_1193R_L_F_NS1_week5_S52_L001	Plate4_1193R_L_F_NS1_week9_S73_L001	Plate4_2529R_0_F_NS1_week5_S53_L001	Plate4_2529R_0_F_NS1_week9_S74_L001	Plate4_2529R_L_F_NS1_week5_S54_L001	Plate4_2529R_L_F_NS1_week9_S75_L001	Plate4_2529R_RL_F_NS1_week5_S55_L001	Plate4_2529R_RL_F_NS1_week9_S76_L001	Plate4_3861R_0_M_NS1_week5_S56_L001	Plate4_3861R_0_M_NS1_week9_S77_L001	Plate4_3861R_L_M_NS1_week5_S57_L001	Plate4_3861R_L_M_NS1_week9_S78_L001	Plate4_3861R_R_M_NS1_week5_S58_L001	Plate4_3971R_0_F_NS1_week5_S59_L001	Plate4_3971R_0_F_NS1_week9_S79_L001	Plate4_3971R_RL_F_NS1_week9_S81_L001	Plate4_3971R_R_F_NS1_week9_S80_L001	Plate4_3975R_0_F_NS1_week5_S60_L001	Plate4_3975R_L_F_NS1_week5_S61_L001	Plate4_3975R_L_F_NS1_week9_S82_L001	Plate4_3975R_RL_F_NS1_week9_S83_L001	Plate5_2808_NS1_0_Female_week5_S37_L001	Plate5_2808_NS1_0_Female_week9_S49_L001	Plate5_2808_NS1_L_Female_week5_S38_L001	Plate5_2808_NS1_L_Female_week9_S50_L001	Plate5_2808_NS1_RR_Female_week5_S40_L001	Plate5_2808_NS1_RR_Female_week9_S52_L001	Plate5_2808_NS1_R_Female_week5_S39_L001	Plate5_2808_NS1_R_Female_week9_S51_L001	Plate5_2824_NS1_0_Male_week5_S43_L001	Plate5_2824_NS1_0_Male_week9_S55_L001	Plate5_2824_NS1_L_Male_week5_S44_L001	Plate5_2824_NS1_L_Male_week9_S56_L001	Plate5_2824_NS1_R_Male_week5_S45_L001	Plate5_2824_NS1_R_Male_week9_S57_L001	Plate5_2864_NS1_R_Male_week5_S46_L001	Plate5_2864_NS1_R_Male_week9_S58_L001	Plate5_2893_NS1_0_Male_week5_S47_L001	Plate5_2893_NS1_0_Male_week9_S59_L001	Plate5_2893_NS1_R_Male_week5_S48_L001	Plate5_2893_NS1_R_Male_week9_S60_L001	Plate5_2999_NS1_0_Female_week5_S41_L001	Plate5_2999_NS1_0_Female_week9_S53_L001	Plate5_2999_NS1_R_Female_week5_S42_L001	Plate5_2999_NS1_R_Female_week9_S54_L001
1CMET2-PWY	18568.302408202435	16355.68922602016	20807.669250707415	18619.26832761466	17885.121970326225	16286.026368128192	18824.859238027395	19476.835926428972	19455.19235480309	17614.499437650637	25426.243112339263	19620.420892473114	19754.543058943884	17820.811590317433	19151.249205971162	19044.270725511615	18209.98062823481	16004.15793951662	16149.744541105189	16269.434157281314	16855.866352931167	19641.159895821216	18901.687390397376	21693.9492678476	18577.79200545748	24114.36130098029	12574.090380218537	13007.152060554612	11744.65777667494	13962.53280323016	9959.687623481781	13985.472597607257	15255.19696630534	18629.46208819817	18020.251068738846	12868.242294719428	16410.948770928564	14543.01634848287	16373.287894214445	18305.019447912586	11269.905610073569	17368.4717141178	12868.810611510165	15182.242988202519	13509.056708589089	15851.079196378041	14507.378141918069	14050.581730138001	14371.01815240956	12020.24821209351	15993.215567585217	14312.611910365244	13394.492066779854	13361.884421705628	14784.762000652998	13551.392533237562	13898.29325910931	11516.973540028734	9848.480183840495	11539.693710690555	13434.659403726439	13254.108027687083	16184.094493796525	13684.636873057332	12673.280820861086	10532.654931565887	12399.514924034649	15235.316302424793	13375.040932480086	43581.539393757346	22627.3679616473	22358.56620956858	18014.621710373947	9368.144398807191	21113.59185464281	23458.376679334815	18776.105010883293	16971.457205171737	28036.782883505293	22320.615872447866	15815.341291454442	20371.76324069479	18898.31511614644	15153.208474903136	22058.89662147926	17020.766850898963	23962.51513991554	16631.63223298942	29515.39120769666	14379.507902529278	15908.862799878108	35721.39805158678	25833.077659091905
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	185.01	154.82833333333335	248.66333333333333	152.33166666666668	258.33500000000004	299.8333333333333	129.33666666666667	183.66833333333335	432.00500000000005	218.00333333333336	840.8400000000001	87.17333333333335	667.9983333333333	107.49666666666667	409.67500000000007	134.505	497.665	60.32833333333334	228.32833333333335	206.01000000000002	78.34166666666667	486.1616666666667	93.66	65.99833333333333	549.8383333333334	141.49333333333334	47.67000000000001	325.5	48.66166666666667	329.16333333333336	75.50666666666667	244.66166666666666	76.51	518.5016666666667	296.66	46.66666666666667	308.3266666666667	104.16	392.3266666666667	117.67	286.4983333333334	121.49666666666666	366.5083333333334	58.67166666666667	215.1566666666667	201.33166666666668	482.33500000000004	47.16833333333334	380.0066666666667	56.0	339.675	156.17000000000002	191.00666666666666	126.84	474.83333333333337	132.17166666666668	323.66833333333335	65.00666666666667	238.66500000000002	42.0	294.33833333333337	290.3366666666667	98.82833333333333	85.16666666666667	34.836666666666666	554.4933333333333	988.8316666666667	62.83666666666667	71.49333333333334	547.33	212.83499999999998	450.83500000000004	334.67	116.50333333333336	167.67333333333335	372.995	151.00166666666667	465.5	260.8316666666667	623.8283333333334	88.00166666666667	430.6633333333334	211.995	294.50166666666667	134.83166666666668	217.84	228.16500000000002	191.17	347.165	338.15833333333336	207.32833333333332	974.1666666666667	254.17000000000002
AEROBACTINSYN-PWY	158.57999999999998	132.70999999999998	213.14	130.57	221.43	257.0	110.86	157.43	370.29	186.85999999999999	720.72	74.72	572.5699999999999	92.14000000000001	351.15000000000003	115.28999999999999	426.57	51.71	195.71	176.57999999999998	67.15	416.71	80.28	56.57	471.29	121.28	40.86	279.0	41.71	282.14	64.72	209.71	65.58	444.43	254.28	40.0	264.28000000000003	89.28	336.28	100.85999999999999	245.57000000000002	104.13999999999999	314.15000000000003	50.29	184.42000000000002	172.57	413.43	40.43	325.72	48.0	291.15	133.86	163.72	108.72	407.0	113.28999999999999	277.43	55.72	204.57	36.0	252.29	248.85999999999999	84.71	73.0	29.86	475.28	847.5699999999999	53.86	61.28	469.14	182.42999999999998	386.43	286.86	99.86000000000001	143.72	319.71	129.43	399.0	223.57	534.71	75.43	369.14	181.71	252.43	115.57	186.72	195.57	163.85999999999999	297.57	289.85	177.70999999999998	835.0	217.85999999999999
ALL-CHORISMATE-PWY	184.61552238805967	154.49820895522384	248.13313432835818	152.00686567164178	257.7841791044776	299.19402985074623	129.06089552238805	183.27671641791042	431.08388059701485	217.5385074626865	839.0471641791042	86.98746268656714	666.5740298507462	107.26746268656716	408.8014925373134	134.21820895522387	496.60388059701484	60.19970149253731	227.8414925373134	205.57074626865668	78.17462686567163	485.12507462686557	93.46029850746267	65.8576119402985	548.6659701492537	141.19164179104473	47.56835820895522	324.80597014925365	48.55791044776119	328.46149253731335	75.34567164179103	244.13999999999996	76.34686567164178	517.396119402985	296.0274626865671	46.567164179104466	307.66925373134325	103.93791044776117	391.49014925373126	117.41910447761191	285.8874626865671	121.23761194029848	365.72686567164175	58.546567164179095	214.69791044776116	200.90238805970145	481.306567164179	47.06776119402984	379.19641791044774	55.880597014925364	338.95074626865664	155.8370149253731	190.59940298507462	126.56955223880595	473.82089552238796	131.88985074626865	322.97820895522386	64.86805970149253	238.15611940298504	41.91044776119402	293.7107462686567	289.71761194029847	98.61761194029849	84.98507462686565	34.762388059701486	553.3110447761193	986.7232835820893	62.702686567164164	71.34089552238805	546.1629850746268	212.3811940298507	449.8737313432835	333.95641791044767	116.25492537313433	167.31582089552236	372.1997014925372	150.67970149253728	464.50746268656707	260.2755223880597	622.4982089552237	87.81402985074625	429.7450746268656	211.54298507462687	293.87373134328357	134.5441791044776	217.37552238805966	227.67850746268653	190.76238805970144	346.4247761194029	337.43731343283577	206.88626865671637	972.0895522388059	253.62805970149248
ANAEROFRUCAT-PWY	1796.4203344806033	1797.3231124388437	1809.4984155178445	1511.8531292083426	1733.2847110506577	2449.5836126660765	1876.4788405293837	2024.0932462600147	2866.115919578329	2467.6293071886194	4557.996569930764	2402.658860655116	2330.40684228733	2289.5261372922314	3445.2084691934742	2959.919016676699	2633.6060932007777	2836.346470099208	1658.86551629232	2313.53967213919	3926.6697010521357	2780.9043825915946	3648.944638374321	2435.8430174948917	2536.1259913194103	3261.7145022657287	2183.187062783979	1639.485225127402	1404.0435750580466	2156.662265303048	1268.5764535493004	1986.3452956512288	1962.2172290531194	2236.723622115371	1521.379667937797	2035.981002268024	1800.3525474147355	1265.5402451739942	1750.7804600578315	1607.1345259986956	1162.8495558634963	1935.2379546218422	1534.726679162301	1942.0260850488382	1986.9407098772313	1677.9623277528112	2323.128163245776	2386.3397835282694	1723.6962304290223	2394.1230223227203	1839.169884499198	1376.4212165912531	1407.1404231526035	1553.6954278723524	2421.8602531308497	1422.3227112145628	2379.523497835843	1436.238257996935	2200.6223518343054	1687.2926506273354	2290.3462722733025	2052.5192001730793	1960.0276025150042	2247.1972982045345	2972.1966951935133	2093.071425796275	2458.566754395557	2209.7168652821115	2214.9130799455534	5314.8367277001635	4026.4157814540563	2613.6900790938626	3472.455046152029	1540.1193717791307	3048.7669820915967	2651.252477536713	2671.40714490478	2270.22112812647	4451.862373177261	3268.3113265199017	2874.14889649683	3212.9209460819193	3206.5761143643895	2383.34762010793	2934.472361644417	2005.0776687924833	3111.0304225649897	2369.9761707433377	4628.359707894838	1930.045488841497	1622.4106068360475	4825.2094681603685	2493.983440093698
ANAGLYCOLYSIS-PWY	24362.502703682378	21597.159591394706	27193.87807119591	24350.14988089442	23178.81164292502	21071.070321973966	24606.738017682754	25398.39524481765	26131.137186637072	23068.949459045278	35857.602184653726	25436.172372567587	26526.747745317367	23325.28487965898	27087.338047137775	24523.94299208407	27240.2254647034	20202.023170455966	23665.30759125119	21039.806241047263	20763.19514361566	27429.75485365038	25268.00411420255	28501.613124603722	24735.48007453063	31468.073666453034	17036.743547886294	18598.782825744016	15862.547401888649	19679.125343117837	13131.96270027313	19477.807798919384	20505.034813728525	26736.79378263742	25873.655385016733	16589.27895682642	22989.584480749327	18789.441553618948	22897.13202798166	24313.38104309181	15955.774955813193	22611.69464395103	18106.44255338693	20234.26434025645	19795.786101518162	20848.42750549216	20457.59067296481	18711.906403241435	20665.62222126612	15703.063519009072	22870.554617440182	18505.534536149695	18698.27301547715	17383.568277930262	21048.087941286743	17788.83371054493	19659.474205248815	15387.033703145755	13288.399765485497	14994.646735619077	18484.412210260172	17989.80264239113	21253.032765566804	17951.59214567174	16966.96623725827	14269.819026997882	17097.466978808832	19815.875766615958	17652.87074885069	59795.33892782328	29848.93091289662	30212.144693949358	23610.93692718805	12715.296105756186	27695.734994520295	32297.928454805016	24495.54562225087	23978.162718532087	37650.577376061614	32429.269307231727	20359.187601960617	29838.231118781394	24905.551803471983	20817.925671931964	28494.772245933556	23857.745465039865	31403.889243147383	23607.79085555129	38679.747633124796	20320.503876106814	20225.278447494282	49463.77082873517	33606.409146324295
ARG+POLYAMINE-SYN	187.17639344262292	156.64131147540985	251.57508196721312	154.11540983606557	261.36	303.34426229508193	130.85114754098362	185.8190163934426	437.06360655737706	220.55606557377047	850.6859016393444	88.19409836065573	675.8203278688525	108.75540983606558	414.472131147541	136.08	503.49245901639347	61.03475409836066	231.00196721311477	208.4222950819672	79.25901639344262	491.85442622950814	94.7567213114754	66.7711475409836	556.2767213114754	143.15016393442622	48.22819672131148	329.311475409836	49.231475409836065	333.0177049180328	76.39081967213114	247.5265573770492	77.40590163934426	524.5731147540984	300.13377049180326	47.213114754098356	311.9370491803279	105.37967213114754	396.9206557377049	119.047868852459	289.8531147540984	122.91934426229507	370.8	59.358688524590164	217.6760655737705	203.68918032786885	487.98295081967217	47.72065573770492	384.456393442623	56.65573770491803	343.65245901639344	157.99868852459016	193.24327868852458	128.32524590163933	480.39344262295083	133.7193442622951	327.4583606557377	65.767868852459	241.45967213114756	42.49180327868852	297.7849180327869	293.73639344262295	99.9855737704918	86.1639344262295	35.244590163934426	560.9862295081966	1000.4104918032785	63.57245901639344	72.33049180327869	553.7390163934426	215.32721311475407	456.1140983606557	338.5888524590164	117.86754098360656	169.6367213114754	377.3626229508196	152.76983606557377	470.9508196721311	263.88590163934424	631.1331147540983	89.03213114754098	435.7062295081967	214.47737704918035	297.95016393442626	136.4104918032787	220.39081967213113	230.8367213114754	193.40852459016392	351.2301639344262	342.11803278688524	209.75606557377046	985.5737704918033	257.1462295081967
ARGDEG-PWY	211.43999999999997	176.94666666666666	284.18666666666667	174.09333333333333	295.24	342.66666666666663	147.81333333333333	209.90666666666664	493.71999999999997	249.14666666666665	960.9599999999999	99.62666666666665	763.4266666666666	122.85333333333334	468.20000000000005	153.72	568.76	68.94666666666666	260.94666666666666	235.43999999999997	89.53333333333333	555.6133333333333	107.03999999999999	75.42666666666666	628.3866666666667	161.70666666666665	54.48	372.0	55.61333333333333	376.1866666666666	86.29333333333334	279.61333333333334	87.44	592.5733333333333	339.03999999999996	53.33333333333333	352.37333333333333	119.03999999999999	448.37333333333333	134.48	327.4266666666667	138.85333333333332	418.8666666666667	67.05333333333333	245.89333333333332	230.09333333333333	551.24	53.906666666666666	434.2933333333333	64.0	388.2	178.48	218.29333333333335	144.96	542.6666666666667	151.0533333333333	369.9066666666667	74.29333333333334	272.76	47.99999999999999	336.38666666666666	331.8133333333333	112.94666666666664	97.33333333333333	39.81333333333333	633.7066666666666	1130.0933333333332	71.81333333333333	81.70666666666666	625.5199999999999	243.23999999999998	515.24	382.48	133.14666666666668	191.62666666666667	426.28	172.57333333333332	532.0	298.0933333333333	712.9466666666666	100.57333333333332	492.1866666666666	242.27999999999997	336.5733333333333	154.09333333333333	248.95999999999998	260.76	218.48	396.75999999999993	386.46666666666664	236.94666666666663	1113.3333333333335	290.48
ARGORNPROST-PWY	79.27741935483873	104.36129032258067	54.81290322580646	0.0	0.0	87.63870967741937	82.68387096774194	134.70967741935485	56.980645161290326	90.42580645161291	79.8967741935484	87.63870967741937	51.09677419354839	94.76129032258066	102.81290322580647	125.4193548387097	74.63225806451614	156.07741935483872	47.38064516129033	205.93548387096777	253.93548387096777	59.76774193548388	157.93548387096777	89.80645161290323	70.60645161290324	189.52258064516133	81.13548387096775	52.95483870967743	55.1225806451613	39.01935483870968	65.03225806451614	54.81290322580646	98.16774193548387	45.83225806451614	36.23225806451613	86.70967741935485	58.52903225806452	58.83870967741936	37.16129032258065	65.65161290322581	25.393548387096775	113.96129032258065	52.645161290322584	88.87741935483872	65.65161290322581	49.238709677419365	30.038709677419355	69.67741935483872	34.68387096774194	117.05806451612904	41.80645161290323	51.09677419354839	61.6258064516129	64.41290322580646	50.78709677419355	130.99354838709678	37.47096774193549	138.4258064516129	43.664516129032265	340.95483870967746	41.187096774193556	36.23225806451613	64.72258064516129	220.18064516129033	75.25161290322582	71.53548387096775	43.9741935483871	163.2935483870968	99.0967741935484	117.05806451612904	112.41290322580646	76.18064516129033	93.5225806451613	30.658064516129038	83.9225806451613	60.38709677419356	58.83870967741936	42.73548387096775	264.77419354838713	50.167741935483875	141.21290322580649	43.35483870967742	101.26451612903227	40.56774193548387	110.2451612903226	32.825806451612905	66.58064516129033	51.71612903225807	121.08387096774196	32.825806451612905	84.85161290322581	94.76129032258066	115.81935483870969
ARGSYN-PWY	9798.106989439213	8136.174429916325	11306.70690435119	9681.492363163432	9486.529099519857	8413.999072206054	10038.484872283816	10063.619293676671	10065.798210096396	8604.12568707743	9356.084267222548	11236.037884218953	12635.556127003581	9059.231835342465	6675.835916473476	9730.973100952393	4516.625498342407	6774.252419492019	4856.117778303447	9724.8873815755	8659.280058803133	8968.19058323888	8199.57816877718	8326.792990487733	9416.782270925383	12509.315044027926	4366.901049977094	3975.5766834596307	4746.891772172929	4810.3389370805	4269.433940146108	4794.256281071981	5677.997774752122	6904.442931624369	6156.785935713568	5827.767575736471	7098.71671791727	7440.626301082846	7831.231164840224	8416.879475475534	5234.0860850547515	8396.44465141058	6052.610616589722	6485.988866642816	4107.728070905989	8288.190458219506	5766.310057637118	5526.106733602252	4797.948394477896	4800.3211220860885	5907.420358416951	7026.926465063336	4943.291869327317	6430.968430430107	5375.385219689165	6933.409811462581	5206.283380608742	4415.70130132346	4450.760816429208	4578.225199385398	6581.379150999794	6574.187883631113	8177.376995815041	7015.443455921759	5202.3378533975465	4931.938980503588	5967.686874230088	7374.276522660921	5958.842315267188	20275.28814299505	11234.50991177681	11759.134307269864	9460.687290417143	4767.272405686509	12179.102057844279	10664.871694078518	10519.747967891672	7008.431807768083	13951.89404801556	9434.152989475351	8971.966059692593	7927.6941252644365	10061.122927291823	7001.1283715073505	10496.894543273957	8113.232301434481	13276.618049352239	6763.517787326125	16450.316947998803	6526.944057916988	8965.464283507745	18871.727152697622	13736.778833876891
