pathway	Plate1_1174R_0_M_S2_week9_S56_L001	Plate1_160R_0_F_S2_week10_S49_L001	Plate1_160R_L_F_S2_week10_S50_L001	Plate1_2446R_0_F_S2_week9_S55_L001	Plate1_3795R_R_F_S2_week10_S51_L001	Plate1_3896R_0_M_S2_week10_S52_L001	Plate1_3896R_L_M_S2_week10_S53_L001	Plate1_3909R_R_M_S2_week10_S54_L001	Plate2_073R_0_M_S2_week5_S52_L001	Plate2_073R_0_M_S2_week9_S55_L001	Plate2_1067R_R_M_S2_week5_S56_L001	Plate2_1067R_R_M_S2_week9_S59_L001	Plate2_1152R_0_M_S2_week9_S60_L001	Plate2_2404R_R_F_S2_week5_S35_L001	Plate2_2404R_R_F_S2_week9_S38_L001	Plate2_2446R_L_F_S2_week5_S39_L001	Plate2_2446R_L_F_S2_week9_S42_L001	Plate2_3795R_0_F_S2_week5_S43_L001	Plate2_3795R_0_F_S2_week9_S46_L001	Plate2_3909R_0_M_S2_week5_S61_L001	Plate2_3909R_0_M_S2_week9_S64_L001	Plate2_3918R_R_M_S2_week5_S65_L001	Plate2_3918R_R_M_S2_week9_S68_L001	Plate2_3969R_0_F_S2_week5_S47_L001	Plate2_3969R_0_F_S2_week9_S50_L001	Plate2_3980R_0_F_S2_week9_S51_L001	Plate3_073R_R_M_S2_Pellet_week9_S61_L001	Plate3_073R_R_M_S2_week5_S33_L001	Plate3_1067R_0_M_S2_week5_S34_L001	Plate3_1067R_0_M_S2_week9_S62_L001	Plate3_1067R_L_M_S2_week5_S35_L001	Plate3_1067R_L_M_S2_week9_S63_L001	Plate3_1152R_0_M_S2_week5_S36_L001	Plate3_1152R_L_M_S2_week5_S37_L001	Plate3_1152R_L_M_S2_week9_S64_L001	Plate3_1152R_R_M_S2_week5_S38_L001	Plate3_1152R_R_M_S2_week9_S65_L001	Plate3_1174R_0_M_S2_week5_S39_L001	Plate3_2404R_0_F_S2_week5_S40_L001	Plate3_2404R_0_F_S2_week9_S66_L001	Plate3_2404R_L_F_S2_week5_S41_L001	Plate3_2404R_L_F_S2_week9_S67_L001	Plate3_2446R_0_F_S2_week5_S42_L001	Plate3_2446R_RL_F_S2_Pellet_week9_S69_L001	Plate3_2446R_RL_F_S2_week5_S44_L001	Plate3_2446R_R_F_S2_Pellet_week9_S68_L001	Plate3_2446R_R_F_S2_week5_S43_L001	Plate3_2453R_0_F_S2_Pellet_week9_S70_L001	Plate3_2453R_0_F_S2_week5_S45_L001	Plate3_2453R_L_F_S2_Pellet_week9_S71_L001	Plate3_2453R_L_F_S2_week5_S46_L001	Plate3_2453R_R_F_S2_Pellet_week9_S72_L001	Plate3_2453R_R_F_S2_week5_S47_L001	Plate3_3795R_L_F_S2_week5_S48_L001	Plate3_3795R_L_F_S2_week9_S73_L001	Plate3_3880R_0_F_S2_week5_S49_L001	Plate3_3880R_0_F_S2_week9_S74_L001	Plate3_3880R_L_F_S2_week5_S50_L001	Plate3_3880R_L_F_S2_week9_S75_L001	Plate3_3880R_R_F_S2_week5_S51_L001	Plate3_3880R_R_F_S2_week9_S76_L001	Plate3_3909R_L_M_S2_week5_S52_L001	Plate3_3909R_L_M_S2_week9_S77_L001	Plate3_3918R_0_M_S2_week5_S53_L001	Plate3_3918R_0_M_S2_week9_S78_L001	Plate3_3918R_L_M_S2_week5_S54_L001	Plate3_3918R_L_M_S2_week9_S79_L001	Plate3_3918R_RL_M_S2_week5_S55_L001	Plate3_3918R_RL_M_S2_week9_S80_L001	Plate3_3918R_RR_M_S2_week5_S56_L001	Plate3_3918R_RR_M_S2_week9_S81_L001	Plate3_3969R_R_F_S2_Pellet_week9_S82_L001	Plate3_3969R_R_F_S2_week5_S57_L001	Plate3_3980R_0_F_S2_week5_S58_L001	Plate3_3980R_L_F_S2_Pellet_week9_S83_L001	Plate3_3980R_L_F_S2_week5_S59_L001	Plate3_3980R_R_F_S2_Pellet_week9_S84_L001	Plate3_3980R_R_F_S2_week5_S60_L001	Plate5_048R_S2_R_Female_week5_S61_L001	Plate5_048R_S2_R_Female_week9_S75_L001	Plate5_1050R_S2_L_Male_week5_S68_L001	Plate5_1050R_S2_L_Male_week9_S82_L001	Plate5_1050R_S2_RR_Male_week5_S70_L001	Plate5_1050R_S2_RR_Male_week9_S84_L001	Plate5_1050R_S2_R_Male_week5_S69_L001	Plate5_1050R_S2_R_Male_week9_S83_L001	Plate5_1127R_S2_0_Female_week5_S62_L001	Plate5_1127R_S2_0_Female_week9_S76_L001	Plate5_1127R_S2_R_Female_week5_S63_L001	Plate5_1127R_S2_R_Female_week9_S77_L001	Plate5_2514R_S2_L_Male_week5_S71_L001	Plate5_2514R_S2_L_Male_week9_S85_L001	Plate5_2514R_S2_R_Male_week5_S72_L001	Plate5_2514R_S2_R_Male_week9_S86_L001	Plate5_3995R_S2_0_Female_week5_S64_L001	Plate5_3995R_S2_0_Female_week9_S78_L001	Plate5_3995R_S2_L_Female_week5_S65_L001	Plate5_3995R_S2_L_Female_week9_S79_L001	Plate5_3995R_S2_RR_Female_week5_S67_L001	Plate5_3995R_S2_RR_Female_week9_S81_L001	Plate5_3995R_S2_R_Female_week5_S66_L001	Plate5_3995R_S2_R_Female_week9_S80_L001	Plate5_3997R_S2_L_Male_week5_S73_L001	Plate5_3997R_S2_L_Male_week9_S87_L001	Plate5_3997R_S2_R_Male_week5_S74_L001	Plate5_3997R_S2_R_Male_week9_S88_L001
1CMET2-PWY	16270.249235167581	18423.629450654767	19601.60034222589	18579.61478348994	19505.350050499535	17092.869017389094	22097.609257758188	20385.00649182849	22183.312260059152	25428.40509169385	21285.47815674021	19131.553870142514	24689.207693897617	15715.630487842735	15185.854804159288	16658.992581521787	16750.495194110623	20435.291906135255	21920.599934179285	25213.603560633608	22108.88386693241	18329.781046918128	16803.143238329587	18161.632844430947	16816.304929383863	24088.774259287682	21499.425092255406	18407.135021775357	20748.480891087413	18626.572159187166	15546.785080219202	20669.392791727914	20488.763709913062	20393.31602243318	19062.6669566042	14956.463764181368	15143.39971024208	15640.960856531814	18335.746589266517	17618.52835582776	18013.943219471577	19514.847346521678	17410.772356888734	20550.31636921847	18698.97688098675	17576.14018701546	18371.45037828236	17640.97675802746	15521.665010253422	17608.51561050187	18392.11522755957	15351.2851184697	13370.866548273869	19674.14718063668	18805.29792399877	20429.135256720758	23711.260558501286	16653.612323634512	26126.463377574553	19913.79436997107	17363.243673158177	16087.915305440853	19000.501240619422	17136.83988551282	15585.521376710323	16099.789330947237	19857.28958718567	17054.978235633524	19199.976091712924	18996.25230995789	15420.79308934371	19123.351545059537	22121.63044820233	20281.357741935906	18942.072847893865	22234.89067687662	20260.141070609396	23188.184862201768	19754.998545980376	15882.95190659053	28417.287680479985	22240.684458178705	22446.09243834757	26285.673825964448	19097.852543198496	20674.839445849087	23204.178311069325	21376.514303746688	19541.38168964668	35812.74612344174	13172.99117408623	31623.372358923738	19075.24244176725	32808.3017081227	26819.21759247564	20644.55163646206	17962.194624597276	19608.799928822962	17030.709337486132	33022.31390668234	16873.39509841091	29834.35940641152	14923.191035038659	26494.097640848602	26277.698446763785	17297.693214813986
AEROBACTINSYN-PWY	142.29	190.14	295.0	148.57	147.71	129.86	165.86	178.14	185.57000000000002	133.43	513.0	154.14	193.57	300.86	109.43	107.86	182.43	291.29	205.0	744.14	171.29	408.86	101.0	174.71	140.0	301.43	159.0	223.29	722.86	214.14000000000001	752.57	223.0	642.0	431.28999999999996	114.86	370.14	106.14	414.57	395.43	198.14000000000001	481.29	252.57	214.57	236.0	201.71	190.14	274.14	274.0	199.43	224.29000000000002	223.14000000000001	137.86	216.0	375.43	187.43	650.43	239.70999999999998	461.0	254.70999999999998	676.0	148.86	379.43	171.71	544.71	150.0	523.0	159.0	477.0	175.29	812.71	147.43	240.86000000000004	377.0	262.0	359.57	320.14	327.57	310.86	310.29	137.14	345.14	238.85999999999999	340.29	365.71	268.57	245.57	433.13999999999993	273.43	372.57	111.57000000000001	130.71	273.57	406.7099999999999	347.0	1151.29	293.71	712.43	279.86	454.29	598.14	417.71	401.14000000000004	174.29	276.29	427.57	135.0
ALL-CHORISMATE-PWY	4826.937405901932	5511.777347867361	7024.0319841158125	5140.184686267795	5286.904492535735	4698.082810130263	5899.741027891711	6026.330458483049	5805.778085599553	5724.928629071655	8143.186964261857	5213.247241560451	6763.686333917767	5502.315874334826	3898.5380491670862	3950.5332362081454	4998.488916107391	6833.214271336069	6384.144788053794	9740.290975305223	5994.407505239311	6618.507988058144	3948.0837650755816	4867.2135876661005	4718.906199187583	7790.504715537529	5897.2597232983835	5607.660504848909	8747.26789074737	6025.441758600195	6867.4442882184385	6655.065153868153	8371.668521058697	7169.414610352153	4668.287634301973	5686.505571653369	3967.6108841767036	6240.829556148667	6868.93980982692	5608.7996209056155	6891.712720302203	6969.776819537808	5528.053865629225	6694.576967803026	5515.160501658	5528.970517359354	6398.757883585531	6478.880238394428	5252.684156990833	5974.676139725063	5663.613169224654	4570.505411725996	4626.590217351549	7257.520494315241	5276.737894293038	7737.170914984913	6407.11436165763	6250.941238900338	7799.469237900199	8687.765974520256	4967.581754514092	5983.604787089199	5598.104289670557	7078.719813205139	4694.497711251685	6692.491558125387	5507.521285732324	6659.977829024079	5713.534221394632	8307.703313371998	4621.4550701926855	6509.564683123857	7431.01254649296	6236.560005834263	7363.88834432703	7354.658023099549	7432.00174070095	7507.321786233563	6255.481998046815	4466.168238974648	8549.409995307444	6851.807228861731	7410.5636997316205	8661.06047013553	6504.56585186922	6610.470649296949	8246.452370857283	7046.670228449427	7229.026456264627	5289.743391491658	3706.343826633239	8877.356392249758	6768.581962422306	9618.852182778686	11670.591821789925	7112.282220245355	7559.643127112995	6583.762759566748	6837.0631459486785	12220.284025380137	6477.238808217253	9779.69437758113	4449.016295431608	7898.57564479564	8994.815008943488	4838.673969880282
ANAEROFRUCAT-PWY	13452.56418867316	11196.041956835617	10947.908040669103	14822.559786572536	16074.412797024715	12218.436549110123	15228.131841927363	13829.609142208808	15704.594838704495	18726.44446672233	17754.153860194427	17300.608974635088	19475.253452685563	14819.355841764243	13052.973538852631	10249.96875062967	10927.091188412433	13296.901147231138	15964.77175707773	20055.3939296928	18462.40933809464	16277.69435376844	14778.77378963264	12085.48558808089	14055.86924901488	14410.339828299158	16326.078438000372	13718.081787453906	16961.803921572184	16208.308969315944	13482.514844101319	15560.604161513225	17511.77719160209	18605.620111389602	14036.86920128787	12809.446225740236	10988.579674875506	14832.717615590866	15083.363557784563	13412.47438841533	17701.089749399704	14523.729106549989	15486.17877260621	18074.746514735278	15977.599055948322	11131.68862297952	14555.63786833526	12496.812994448048	11071.224007692188	16778.051337746972	15971.330779219976	12325.793827752626	12573.6872078926	14905.431853032778	12089.675991497956	16199.414418653521	11655.546671036287	12993.802788346797	17822.594521531024	15632.822759591329	15879.207677177941	13140.773463987183	15618.34096851283	14395.166938719629	13326.007209749492	13992.427354666399	17760.939027443204	14665.328623252366	14653.444276079308	16164.962611821476	14167.080375118156	15299.72708153731	18467.424523825874	15675.921396133142	15508.888525662209	20359.849729426343	16070.50086723958	21640.836588194707	15245.952196983626	12324.002839218525	22277.878646233108	19724.749990066593	17124.045109547664	24932.123053313786	15152.995443166892	16838.161486383608	17880.585798145406	17982.178826756935	16908.863796118472	29562.675619806923	11285.175645381656	27320.18713547887	14291.679216823339	33812.52163740959	23366.34622813563	16578.64757529951	16162.737938813241	19751.043850585633	14594.967793293265	28802.677207758734	14294.063381369999	26365.807186449256	13171.733515342159	26529.270100438232	21790.653134597072	13907.317531606997
ANAGLYCOLYSIS-PWY	22189.868187931526	24239.010888236644	26072.534600039155	25123.286924891778	26511.347400257066	22759.930041498894	29439.87273260402	27268.261361498928	29436.22421033193	33913.43434453126	28919.67865043194	26206.620792362868	33350.42530984583	21514.000995890587	20718.7756697509	22071.864703623913	22104.417535166926	27166.76880437207	29387.02958908466	33567.36007988456	30364.040851333488	24669.588874356476	23129.568122567624	24067.543837898287	22963.90019987918	31756.558043952256	28962.135930847868	24647.99609935218	28199.091509737893	25575.39037959849	21068.556741736553	27850.05681715448	27733.900122246054	27819.858731966564	25538.702105351582	20435.290846068157	20296.061377970243	21664.385272148767	24996.867797350515	23748.039148606276	24807.865207076222	26876.49286182467	23831.418840673603	28041.784092748483	25511.02836480224	23331.41419425442	25146.760745678923	23627.549867914386	20814.212594231147	24625.618110825366	24942.136391628872	20895.481664938085	18425.318420594624	26415.90920078009	25045.700458768693	27584.965092914164	31182.40818403235	22419.43703101333	34986.057310457545	26951.547021168357	24119.09526251676	21738.183486499373	25985.354965263043	23253.6919739543	21514.753495428096	21872.874305841313	27433.910896181613	22949.853351205627	26138.416554945557	25769.44511081861	21339.50124212507	25860.523897345847	30005.563168791832	27363.242409859995	26021.218426004547	30603.362550703823	27307.086429082923	32121.756927431557	26234.4024783755	21395.925524778973	38189.57871384608	30664.645081041712	30162.427257030744	36856.10925664662	25884.132248512335	28176.678889665727	31184.966741570475	29288.482979760298	26533.140214036288	49435.16146951431	17962.7876482456	43137.80512718378	25699.724497545347	45855.30215914848	36375.54621780166	27897.375840268396	24545.468855593997	27398.023833869942	23074.419821388336	45139.88534646371	22731.37521345872	41204.165054310586	20096.937381942254	37072.254179493604	35589.80875377506	23427.91887097749
ARG+POLYAMINE-SYN	770.7496143601135	887.1752395968103	1216.6145684197822	846.2707988735104	774.8741107743567	735.5074651278176	915.7293199461341	984.8306242262354	1047.5575513206484	852.9310831380598	2193.5741119637696	930.2230356410952	1064.7786691061287	1310.603694435518	616.5656363342866	600.1455164821178	952.9238835172237	1231.916715538887	1115.0095696437309	3091.8730626513097	1063.0131592893101	1674.7278399164245	671.7464235111922	935.4601893848829	804.4059331813589	1339.0623994183827	882.0295677236975	1070.381903920988	2689.3815923606485	1123.7668035080067	2698.1719979755376	1221.309872570135	2522.2328748437403	1958.5248263833535	667.7780594931314	1643.6112674734322	609.6062923199844	1640.623547845093	1650.8114562421483	1066.2304659227634	2380.2357733795657	1173.7426079534534	1103.7367064539983	1250.7099061755475	1157.7326730324367	907.6250422672964	1165.6860557919451	1221.336965145536	900.0934465547459	1202.2319569046142	1083.6767769179012	757.4104964113136	983.2873912203034	1551.7905545937556	978.0225750587307	2355.620206631171	1111.2251331612288	1751.2733922342466	1420.4766353287957	2301.20738047746	875.3964942638157	1597.3226117184174	1017.1342412730974	1907.2916982217614	804.0705923148945	2054.8966638476113	947.9189347365592	1985.5829892450793	947.524052278627	2909.9814307674364	831.9008704207472	1298.4684094130796	1824.0256626447886	1435.6873259123624	1463.8983770257028	1686.6174488861855	1463.9522232872023	1514.3174758932357	1520.2623181080305	836.0450646602577	1872.2285366076535	1351.3805744581227	1664.4056157095401	1932.3868005800925	1312.84647918981	1294.791724902145	1999.4544455578632	1499.7524700999318	1791.6272790813348	940.9580052277448	801.2758541701971	1594.3065988809321	1997.0609389031779	2051.709993263797	4083.790821785304	1551.541115400389	2633.5025734198084	1526.534612064809	1848.762146244924	2830.874468790491	1762.1064935826532	2221.1229839906878	879.0438511671244	1552.9337147276676	2173.797901449453	815.7689232185849
ARGORNPROST-PWY	423.85063438923555	663.3305278397678	529.2576112239533	935.2603846056624	798.8075266419482	638.5568489594275	781.5816766211891	832.632076837978	1024.7209310137223	1216.3307692164476	813.6622114414733	1201.319679353806	660.8104207140276	1175.932608701643	756.2132112028137	515.6202152000872	506.89886022314096	973.9414066257156	1035.0625825614602	1598.9503912361613	1410.5208406551126	470.75201005061393	990.849638544411	965.9277231634397	558.2452596688986	680.7607720158852	746.068308894711	1225.019247597009	657.6142752865736	903.3361468701229	398.53303735547547	890.6203035796225	1495.0114919384491	1338.6176867166737	681.3379603772216	1026.8897644093572	522.0709133632771	1336.2312623119492	1288.3352447349605	829.4883106618468	1863.3332493643197	714.5553042864013	1178.5847853837747	1098.8801537015263	1381.9015243279587	413.26897857183366	1037.3848378149198	923.4186463261148	791.2197972426949	838.6193715329067	1005.906530430466	569.7195267431615	943.6951593253821	995.0742698551825	695.0471468866544	2653.999988397313	766.6967397639941	1575.7926502967143	1295.5677959593595	1836.7787447285687	1201.4437621056518	905.3138007274647	1117.762699902736	477.8797081274259	391.4280024153468	627.8049265642691	987.4290608410977	706.7572727180728	701.4550046775571	968.1002186105857	726.8803335553845	1118.7319433732368	1907.318482153739	1534.9275077569237	515.6148673605658	1739.9112937926611	627.0561047223653	1492.7621529730438	868.5705490559582	806.8367340688604	1510.3842806440102	1237.6776624785496	1179.3516133105193	1556.7940702146504	1069.260564963024	1075.831065171245	1605.1491176315362	916.2502498407981	1659.2635832195688	784.3852312265766	942.4618876689075	3074.238974871995	1303.9825217300536	3585.744002175932	2611.523288413746	1528.731875117296	1793.8121259601373	1384.949717609762	1281.7732646981253	3201.919543795186	1048.3919880356968	2076.9100704407965	648.9898722054605	1644.8742955918829	1568.0701244452787	914.3279792644133
ARGSYN-PWY	13327.625848761207	15568.841091291451	18015.54468915881	15585.507926434719	15775.697138468126	14573.776284683405	18661.580897175696	17277.0041489932	19896.342348383172	21729.92158598388	17985.960478506462	15906.310537637779	20721.533615257344	12922.54720994272	12353.545438315083	14652.407927511576	14777.515081785234	17378.277506751307	18747.75532357267	23040.975990518724	19271.461440219708	15266.792573381592	14011.394705231902	16249.391238116676	13277.232523862534	21465.83827765456	17161.27762455263	16327.953188607366	17905.653420862014	15107.629824156786	12924.59063796746	17624.272492812055	17399.0347354832	16407.83412475978	16103.960957756475	13072.49964031778	12718.191184953168	12674.288193143218	15632.847963546148	15175.881103738826	14536.829271727347	17226.598760050732	14055.323957345681	16702.548547807728	16971.407411638887	15668.111241998631	14869.935390003591	15268.01809742433	13016.914079033975	14460.554530398873	14768.775621055767	12977.029202068561	11292.279371574381	16750.804472369142	17554.360254015628	19270.86249517936	23267.052730922005	15446.154436352987	24219.309479560816	17783.394878938896	15141.462199588324	14350.602093335609	16268.179215609205	14257.600427031832	12672.114682595851	13613.666050432023	16227.063371074664	15000.486778448321	16650.751820417394	17253.673899753667	12309.739436667096	16490.82358620526	19607.043538872567	18300.42293822833	16635.82672061497	18795.705450630765	17416.672433017797	18772.69843359453	17670.05641838665	13102.959125309879	24398.570725110345	19178.18179462839	19579.25481216762	22138.432936441157	16349.457037218419	18261.01657569608	20903.638093681602	18423.11981078907	16401.476779067016	32481.80399302744	11514.832413495089	27711.825339762396	16632.665682584746	26600.29120113309	23474.642880029594	18401.175458924798	15988.658468805617	15966.24788324666	14528.48694994117	28603.57403557884	14966.12869854216	26138.63591464599	11812.542748568116	21310.737468483894	22160.763858165625	14833.432334247182
ARGSYNBSUB-PWY	14685.911970266217	17237.81470251583	20182.340810588496	17225.192370001438	15591.14024270353	16111.721366013106	20634.6017978121	19102.52225689415	22155.547623876846	24072.215218602603	19907.883791541168	17548.06831774083	22927.064173947314	12523.557880631313	11970.9806903326	16278.839516188285	16464.202083743414	19219.45265795328	20786.986353053206	25682.45462595095	21429.567687940853	16847.432813735417	15518.380175581648	18114.568987031435	14087.692790736362	23942.092542355527	18782.867071334662	18175.16218082824	19904.517743910743	14943.384606510062	14317.244544973897	19503.86740964783	19216.237948035345	18011.07738940847	17808.470460188735	14532.411988841826	14062.945628875359	13916.482434101832	17265.6648277271	16858.601890161506	15889.650675193092	19166.396718050153	15410.49596357645	18343.323267714954	18905.140137481616	17475.65354786371	16262.090696701936	16930.37170838258	14366.802726405152	15916.403123420354	16178.811758811582	14347.128153842561	12400.478555300471	18530.98492267878	19729.22036347227	21607.094127247405	26289.101950067045	17297.530058454933	27127.416425422718	19810.95408822046	16804.4214640552	15984.992418302754	18035.741076771083	15747.638565547273	14013.267555560435	15049.830090121151	17911.10223848012	16672.528388960614	18539.933060623294	19284.768711648474	13227.172005782171	18271.599224171616	21817.399938531904	20423.69369323679	18541.69683811272	20773.660053613483	19323.79210737665	20554.503986661395	19666.43370358314	14435.266606709596	27056.68024341451	21320.11386201362	21753.408375125673	24523.53701049266	18125.116131413	20382.501000162127	23338.546928617736	20440.63749341066	18107.27994916782	36411.4114608153	12777.362125179903	30821.281068360528	18443.291092323343	29295.45666314064	26063.329567686193	20530.72290059518	17818.679939039102	17555.3629768761	16061.504394991463	31769.85728564888	16650.884620201537	29156.271649224564	12859.172889191479	23418.495699603336	24426.197694099756	16461.162032537635
ARO-PWY	15947.480853015892	17909.629329176107	20087.588115759103	18338.11842086494	18023.3660162797	16843.469224593024	21656.188337594765	20070.59635607733	22347.79357878283	25071.828334001693	21206.85556368879	19031.108976317897	24351.900457638454	14632.098431847058	14020.66850894304	16535.930933263033	16702.44214194435	20008.30423071018	21737.856941848233	25796.95945983209	22615.80402561746	18027.508316974145	16905.994128353494	18310.236637585444	15885.065224253858	24133.748835206086	20464.574432915375	18637.82993036524	20973.930707922882	17422.33164973818	15457.395824921277	20543.896738671414	20437.74618955588	20009.350655768783	18748.180210094026	15246.363757594603	14860.201340332907	15487.609396233132	18363.317103319405	17688.146105946504	17827.481233063718	20001.12825658935	16999.532601730793	20044.334068833046	19401.71335818935	17674.00026570812	17625.19932467045	17553.128996479867	15204.71267517582	17590.162217203393	17738.14219042702	15209.45188067075	13221.261108460898	19481.546542956865	19558.660849996842	21694.230034691373	25160.813334738625	17418.091181936372	27107.197960841833	20523.08327420587	17811.352192675553	16464.98550747007	19247.95671573647	16952.390205153362	15483.581490658962	16050.310517697659	19764.491807189333	17315.253715213385	19485.35662190238	19765.433260754206	15036.859880830756	19187.080968201066	22687.559972478542	20850.07584584674	19353.324385329888	22418.023355604062	20246.017386995987	22833.88144226269	19893.96027170825	15508.468138698116	28428.360217648515	22734.420967105445	22657.69696397913	26931.145313824476	19199.558278728466	21239.239071365748	23871.89016717302	21711.621004072942	19499.496068168977	37770.21298349589	13386.576892400664	32378.44610500436	19255.722081035183	33028.664153045946	27342.486658626454	21202.036209288577	18658.93783832074	19507.656505352315	17042.86501979991	33652.698836644886	17125.994246137212	30856.417099288617	14114.702928326507	26290.150127770557	25879.525516483536	17346.21776324427
