pathway	Plate1_1174R_0_M_S2_week9_S56_L001	Plate1_160R_0_F_S2_week10_S49_L001	Plate1_160R_L_F_S2_week10_S50_L001	Plate1_2446R_0_F_S2_week9_S55_L001	Plate1_3795R_R_F_S2_week10_S51_L001	Plate1_3896R_0_M_S2_week10_S52_L001	Plate1_3896R_L_M_S2_week10_S53_L001	Plate1_3909R_R_M_S2_week10_S54_L001	Plate2_073R_0_M_S2_week5_S52_L001	Plate2_073R_0_M_S2_week9_S55_L001	Plate2_1067R_R_M_S2_week5_S56_L001	Plate2_1067R_R_M_S2_week9_S59_L001	Plate2_1152R_0_M_S2_week9_S60_L001	Plate2_2404R_R_F_S2_week5_S35_L001	Plate2_2404R_R_F_S2_week9_S38_L001	Plate2_2446R_L_F_S2_week5_S39_L001	Plate2_2446R_L_F_S2_week9_S42_L001	Plate2_3795R_0_F_S2_week5_S43_L001	Plate2_3795R_0_F_S2_week9_S46_L001	Plate2_3909R_0_M_S2_week5_S61_L001	Plate2_3909R_0_M_S2_week9_S64_L001	Plate2_3918R_R_M_S2_week5_S65_L001	Plate2_3918R_R_M_S2_week9_S68_L001	Plate2_3969R_0_F_S2_week5_S47_L001	Plate2_3969R_0_F_S2_week9_S50_L001	Plate2_3980R_0_F_S2_week9_S51_L001	Plate3_073R_R_M_S2_Pellet_week9_S61_L001	Plate3_073R_R_M_S2_week5_S33_L001	Plate3_1067R_0_M_S2_week5_S34_L001	Plate3_1067R_0_M_S2_week9_S62_L001	Plate3_1067R_L_M_S2_week5_S35_L001	Plate3_1067R_L_M_S2_week9_S63_L001	Plate3_1152R_0_M_S2_week5_S36_L001	Plate3_1152R_L_M_S2_week5_S37_L001	Plate3_1152R_L_M_S2_week9_S64_L001	Plate3_1152R_R_M_S2_week5_S38_L001	Plate3_1152R_R_M_S2_week9_S65_L001	Plate3_1174R_0_M_S2_week5_S39_L001	Plate3_2404R_0_F_S2_week5_S40_L001	Plate3_2404R_0_F_S2_week9_S66_L001	Plate3_2404R_L_F_S2_week5_S41_L001	Plate3_2404R_L_F_S2_week9_S67_L001	Plate3_2446R_0_F_S2_week5_S42_L001	Plate3_2446R_RL_F_S2_Pellet_week9_S69_L001	Plate3_2446R_RL_F_S2_week5_S44_L001	Plate3_2446R_R_F_S2_Pellet_week9_S68_L001	Plate3_2446R_R_F_S2_week5_S43_L001	Plate3_2453R_0_F_S2_Pellet_week9_S70_L001	Plate3_2453R_0_F_S2_week5_S45_L001	Plate3_2453R_L_F_S2_Pellet_week9_S71_L001	Plate3_2453R_L_F_S2_week5_S46_L001	Plate3_2453R_R_F_S2_Pellet_week9_S72_L001	Plate3_2453R_R_F_S2_week5_S47_L001	Plate3_3795R_L_F_S2_week5_S48_L001	Plate3_3795R_L_F_S2_week9_S73_L001	Plate3_3880R_0_F_S2_week5_S49_L001	Plate3_3880R_0_F_S2_week9_S74_L001	Plate3_3880R_L_F_S2_week5_S50_L001	Plate3_3880R_L_F_S2_week9_S75_L001	Plate3_3880R_R_F_S2_week5_S51_L001	Plate3_3880R_R_F_S2_week9_S76_L001	Plate3_3909R_L_M_S2_week5_S52_L001	Plate3_3909R_L_M_S2_week9_S77_L001	Plate3_3918R_0_M_S2_week5_S53_L001	Plate3_3918R_0_M_S2_week9_S78_L001	Plate3_3918R_L_M_S2_week5_S54_L001	Plate3_3918R_L_M_S2_week9_S79_L001	Plate3_3918R_RL_M_S2_week5_S55_L001	Plate3_3918R_RL_M_S2_week9_S80_L001	Plate3_3918R_RR_M_S2_week5_S56_L001	Plate3_3918R_RR_M_S2_week9_S81_L001	Plate3_3969R_R_F_S2_Pellet_week9_S82_L001	Plate3_3969R_R_F_S2_week5_S57_L001	Plate3_3980R_0_F_S2_week5_S58_L001	Plate3_3980R_L_F_S2_Pellet_week9_S83_L001	Plate3_3980R_L_F_S2_week5_S59_L001	Plate3_3980R_R_F_S2_Pellet_week9_S84_L001	Plate3_3980R_R_F_S2_week5_S60_L001	Plate5_048R_S2_R_Female_week5_S61_L001	Plate5_048R_S2_R_Female_week9_S75_L001	Plate5_1050R_S2_L_Male_week5_S68_L001	Plate5_1050R_S2_L_Male_week9_S82_L001	Plate5_1050R_S2_RR_Male_week5_S70_L001	Plate5_1050R_S2_RR_Male_week9_S84_L001	Plate5_1050R_S2_R_Male_week5_S69_L001	Plate5_1050R_S2_R_Male_week9_S83_L001	Plate5_1127R_S2_0_Female_week5_S62_L001	Plate5_1127R_S2_0_Female_week9_S76_L001	Plate5_1127R_S2_R_Female_week5_S63_L001	Plate5_1127R_S2_R_Female_week9_S77_L001	Plate5_2514R_S2_L_Male_week5_S71_L001	Plate5_2514R_S2_L_Male_week9_S85_L001	Plate5_2514R_S2_R_Male_week5_S72_L001	Plate5_2514R_S2_R_Male_week9_S86_L001	Plate5_3995R_S2_0_Female_week5_S64_L001	Plate5_3995R_S2_0_Female_week9_S78_L001	Plate5_3995R_S2_L_Female_week5_S65_L001	Plate5_3995R_S2_L_Female_week9_S79_L001	Plate5_3995R_S2_RR_Female_week5_S67_L001	Plate5_3995R_S2_RR_Female_week9_S81_L001	Plate5_3995R_S2_R_Female_week5_S66_L001	Plate5_3995R_S2_R_Female_week9_S80_L001	Plate5_3997R_S2_L_Male_week5_S73_L001	Plate5_3997R_S2_L_Male_week9_S87_L001	Plate5_3997R_S2_R_Male_week5_S74_L001	Plate5_3997R_S2_R_Male_week9_S88_L001
1CMET2-PWY	15909.812799315925	18055.86954934502	19194.603594722877	18129.54653035855	19151.382796279493	16630.808890519565	21583.22391451441	19858.932252710692	21641.68931564405	24738.766861388383	20708.626817360044	18606.308195664056	24167.477333507835	15277.13472362604	14916.247961154542	16338.191183495044	16325.101136662943	19977.57112241146	21401.974179178887	24294.059245392986	21529.12212673926	17901.33717248941	16418.44824887733	17717.610204726836	16401.403716692257	23575.103167847505	20977.22675231513	17987.11286989274	20199.66027296524	18136.138142328633	15182.946834333847	20108.1319280504	19866.34824249035	19818.469994881092	18636.375917120393	14538.560952365166	14801.12093845107	15262.34733216995	17944.732362516872	17178.92310418121	17321.179371928658	19123.57786423868	17048.258001256454	20000.18810961422	18318.593429504628	17179.1130689248	17995.7572842908	17191.508753443624	15187.089523448041	17139.086779695423	17978.182103244682	14976.71568820094	13111.7184727186	19198.510444401785	18398.29143049351	19918.155842041273	23302.447900955143	16208.966666707389	25459.429864727295	19466.65050813207	16957.477670023032	15665.904240495136	18490.28301230862	16772.9187157441	15335.664415037925	15631.1258175171	19399.326156952393	16595.28581720299	18799.1569278119	18469.88144117921	15090.199201853275	18519.214731321837	21513.801478901987	19712.866121184084	18569.513814230537	21694.099072118297	19762.761110987016	22902.783844501835	19176.32888438852	15407.338715482341	27579.58746327191	21709.599162734416	21859.595493694454	25978.35171272512	18666.888944442504	20188.064707844704	22522.3637222358	20690.51385667667	18990.918814236356	35174.4953706373	12847.519742048258	30824.662212399362	18527.982367071512	32095.611001448407	26029.10716936571	20091.010960229647	17452.790025321097	19177.35659081972	16599.975781929126	32112.841234567684	16419.653478244683	29086.13685636838	14562.19004217855	25959.926177747922	25532.25726423984	16853.883857182744
AEROBACTINSYN-PWY	142.29	190.14	295.0	148.57	147.71	129.86	165.86	178.14	185.57	133.43	513.0	154.14	193.57	300.86	109.43	107.86	182.43	291.29	205.0	744.14	171.29	408.86	101.0	174.71	140.0	301.43	159.0	223.29	722.86	214.14	752.57	223.0	642.0	431.29	114.86	370.14	106.14	414.57	395.43	198.14	481.29	252.57	214.57	236.0	201.71	190.14	274.14	274.0	199.43	224.29	223.14	137.86	216.0	375.43	187.43	650.43	239.71	461.0	254.71	676.0	148.86	379.43	171.71	544.71	150.0	523.0	159.0	477.0	175.29	812.71	147.43	240.86	377.0	262.0	359.57	320.14	327.57	310.86	310.29	137.14	345.14	238.86	340.29	365.71	268.57	245.57	433.14	273.43	372.57	111.57	130.71	273.57	406.71	347.0	1151.29	293.71	712.43	279.86	454.29	598.14	417.71	401.14	174.29	276.29	427.57	135.0
ALL-CHORISMATE-PWY	165.03524163568773	220.534126394052	342.15613382899625	172.31910780669145	171.32163568773234	150.6182899628253	192.37293680297398	206.6159107806691	215.23360594795537	154.7589591078067	595.003717472119	178.77947955390331	224.5124163568773	348.9528624535316	126.92252788104089	125.10156133828995	211.59167286245352	337.85308550185874	237.76951672862452	863.0917472118958	198.67092936802973	474.2168029739777	117.1449814126394	202.63762081784387	162.37918215613382	349.6139776951673	184.4163568773234	258.9831970260223	838.4101115241635	248.3705576208178	872.8692936802975	258.64684014869886	744.6245353159851	500.23226765799257	133.22052044609666	429.3073605947955	123.10661710037175	480.8395539033457	458.64	229.81293680297395	558.2248327137546	292.9436431226766	248.86929368029737	273.724907063197	233.9536059479554	220.534126394052	317.9616356877323	317.7992565055762	231.30914498141263	260.14304832713754	258.809219330855	159.89710037174723	250.5278810408922	435.44297397769515	217.39092936802973	754.4020817843865	278.02795539033457	534.6914498141264	295.42572490706317	784.0594795539033	172.65546468401487	440.0823791821561	199.15806691449814	631.7826022304832	173.97769516728624	606.6022304832713	184.4163568773234	553.2490706319702	203.3103345724907	942.6227509293681	170.99687732342008	279.3617843866171	437.26394052044606	303.8810408921933	417.0477323420074	371.3147955390334	379.9324907063197	360.55137546468404	359.89026022304836	159.0620074349442	400.3110780669145	277.0420817843866	394.68579925650556	424.16921933085496	311.5012639405204	284.8246840148699	502.3779925650557	317.1381412639405	432.12579925650556	129.4046096654275	151.60416356877323	317.30052044609664	471.72312267657986	402.46840148698885	1335.3252044609665	340.65992565055757	826.3128624535315	324.5959851301115	526.9088475836431	693.7534572490706	484.48148698884756	465.262750929368	202.15048327137544	320.45531598513014	495.91762081784384	156.5799256505576
ANAEROFRUCAT-PWY	4359.578833684214	2426.2009625093087	2870.5017160955763	4307.777647216597	4291.661582999859	3195.2323667764545	3786.083532190196	3367.2933738263832	4104.552488157083	5148.739032476742	5784.132587250324	5758.779053502774	5939.595406644965	4384.215356308443	3521.2817489324107	2342.1262675474195	2911.190236453794	2890.4156567339314	4266.861227275096	6301.7432142707985	6126.375078056406	5545.186374494707	5165.113407323294	2901.9946268472336	3937.583577119159	3533.545694555023	4235.260902898451	3647.7699536825917	5786.685650920503	4578.109950157114	4840.46438117754	4337.265109342104	5282.402318022344	6146.694626437385	3882.606444779844	4271.520762813149	2950.871755706361	4861.034501800554	4195.435490190003	4011.9265575291884	6096.565737174696	4619.261044981272	4702.092950831564	5659.546827758576	5349.028594091439	3001.9318347578987	3591.151473794645	3237.723873778235	2716.978058994992	6494.57097038445	4718.651815875559	3809.1998182389616	4033.9297704251267	4054.425175709423	3735.986528946822	4358.285506014277	3315.7115590667813	3859.706485569328	5291.164735176342	4281.00344023512	5772.258216107106	4255.06941953014	5007.745156103997	4546.06635442132	4693.576804893573	4700.929538352092	6323.208959299761	4805.100487524998	4768.09511726819	5726.274327293644	4908.884022569984	4633.190062040603	5593.382307825917	4580.987033884156	5430.25005557988	6873.239597530207	5271.368731599081	7036.318036262524	4514.546094610455	3267.5601466388084	6574.081130293203	7580.550284736142	5125.541965280736	10148.370249826768	4594.742936881529	6147.649074442676	5413.996614811739	6302.839130668092	5058.825133874524	12901.0925960898	3756.6439354808535	8648.301954440149	3899.7868912631316	13195.28026500834	7304.18795166784	5456.9724167746845	5625.416207698227	7769.744460920505	4448.048359865583	9108.378782708725	4643.28096001498	10624.690870390166	3870.234180958543	10167.315410960256	6207.1947530233565	4514.328522814717
ANAGLYCOLYSIS-PWY	20828.936846603945	22965.20624515447	24530.63569739629	23545.723344998085	25004.876339194936	21444.402384141136	27774.379920147527	25664.649820920502	27787.010869260495	31880.25713406514	27218.47479873103	24495.796591229828	31314.702102223484	20247.41498723967	19538.1900493859	20940.168875028325	20919.901249872102	25660.10455480687	27586.896472182456	31543.12213381591	28217.652207246043	23281.005089550723	21540.08482303305	22721.6830239842	21658.74355183348	30102.515188397407	27278.471876434454	23132.59991611486	26493.47647739093	24068.585805048235	19898.79076552408	26128.8711728088	26040.669212544664	26092.627978384142	24022.13378876057	19129.799335458847	19098.88461212578	20232.768812215534	23467.088492150237	22206.780909712248	23069.21362424474	24974.32891735818	22295.503423255304	26240.282090841334	23795.05396715947	22008.615013447958	23686.052522459613	22214.943320087743	19609.267326543173	22942.023023604062	23486.990370785697	19576.15805691756	17295.638822429526	24857.00966930465	23497.095973918636	25618.488555477623	29459.934247703153	20916.080297901066	32751.14702917402	25161.929017686893	22381.97386230597	20376.09073203864	24172.57976910267	21915.455398346036	20119.613493946646	20579.8968353678	25579.156437952104	21630.68081204866	24372.561403483283	24173.150568409183	19959.442156737645	24206.105734761102	27985.39277267596	25570.48667707553	24335.014391316847	28500.83275891527	25612.676811837497	30072.648901154418	24757.098754520706	20081.79090755736	35846.39932590499	28546.046999525886	28285.585572081793	34291.70124469354	24240.93786332202	26243.822643432664	29157.94379614847	27337.786718292602	24768.598207832423	45994.07669994156	16771.365026225627	40024.339795989166	24102.65249593963	42706.93290415178	33916.70882760098	25995.52656192218	22815.93676221127	25569.743987249185	21610.082976909252	41954.79566210924	21305.96215415725	38261.83036803498	18978.012762592636	34670.387627583994	33419.25405119245	21902.402963059943
ARG+POLYAMINE-SYN	167.9488524590164	224.42754098360655	348.1967213114754	175.36131147540982	174.34622950819673	153.27737704918033	195.76918032786887	210.26360655737702	219.03344262295082	157.4911475409836	605.5081967213115	181.935737704918	228.47606557377048	355.11344262295086	129.1632786885246	127.31016393442623	215.3272131147541	343.8177049180328	241.9672131147541	878.3291803278688	202.1783606557377	482.5888524590164	119.21311475409836	206.2150819672131	165.24590163934425	355.7862295081967	187.67213114754097	263.55540983606556	853.2118032786885	252.75540983606555	888.2793442622951	263.21311475409834	757.7704918032787	509.06360655737706	135.57245901639345	436.88655737704914	125.28	489.3285245901639	466.73704918032786	233.87016393442622	568.08	298.11540983606557	253.2629508196721	278.55737704918033	238.08393442622952	224.42754098360655	323.57508196721307	323.40983606557376	235.3927868852459	264.735737704918	263.3783606557377	162.72000000000003	254.95081967213113	443.1304918032787	221.2288524590164	767.7206557377049	282.93639344262294	544.1311475409836	300.64131147540985	797.9016393442623	175.70360655737707	447.8518032786885	202.67409836065573	642.936393442623	177.04918032786884	617.311475409836	187.67213114754097	563.016393442623	206.89967213114753	959.264262295082	174.01573770491802	284.2937704918033	444.983606557377	309.24590163934425	424.41049180327866	377.8701639344262	386.64	366.91672131147544	366.24393442622954	161.87016393442622	407.3783606557377	281.93311475409837	401.6537704918033	431.6577049180328	317.0006557377049	289.8531147540983	511.24721311475406	322.73704918032786	439.75475409836065	131.68918032786885	154.28065573770493	322.9022950819672	480.05114754098355	409.57377049180326	1358.8996721311476	346.6740983606557	840.9009836065572	330.3265573770492	536.2111475409836	706.0013114754098	493.0347540983606	473.4767213114754	205.71934426229507	326.1127868852459	504.6727868852459	159.34426229508196
ARGORNPROST-PWY	26.33	150.82999999999998	84.5	186.82999999999998	155.5	134.5	163.17000000000002	196.82999999999998	209.0	184.32999999999998	58.83	254.0	83.5	258.0	169.67000000000002	89.5	48.5	229.0	204.5	246.34000000000003	344.49	41.17	213.67000000000002	210.32999999999998	68.5	102.83	121.0	296.66	32.0	156.0	22.0	165.32999999999998	312.84	216.17	115.67	179.17000000000002	85.33	312.16999999999996	277.66	162.5	415.16	70.33	255.5	180.32999999999998	289.0	45.34	208.32999999999998	186.66	162.5	72.33	196.66	78.5	207.34	203.67000000000002	125.5	840.4999999999999	79.17	411.66999999999996	254.51	502.16999999999996	288.0	132.82999999999998	278.33	50.16	58.34	47.17	169.34	74.49	120.5	135.84	125.84	174.5	456.66999999999996	334.33	52.17	381.33000000000004	62.33	335.16999999999996	171.66	133.32999999999998	195.5	192.34	210.32999999999998	295.0	203.5	173.32999999999998	321.0	137.34	381.34	66.66	161.5	923.17	227.32999999999998	885.5	643.51	317.34	429.00000000000006	266.84	288.33000000000004	807.8299999999999	205.16	357.33000000000004	108.66	284.16999999999996	282.34	138.16
ARGSYN-PWY	9545.137760523075	11732.66478282377	15124.871938464457	11565.384755307632	9271.994896265403	10802.373904160415	13878.78606762637	12969.272491629896	15611.030494258532	16436.754524204625	13159.029945568534	11598.960171161176	15382.167929301846	7019.110864091285	7090.726236805288	11304.189088992145	11620.743863118603	13017.52680267305	14366.330526456128	18066.53289333094	15235.741293713856	10716.431879890186	10722.483192061034	12965.32652138238	8524.861491390393	17108.112921540913	11779.630403300887	12852.362126617822	13565.53248009005	8820.546767996228	9265.818173468944	13230.133860730324	12595.485161698185	11385.045705377233	11976.64439676303	10023.800009276154	9471.366475333434	8858.685731636871	11479.47344406575	11834.688227336545	10076.125396346375	13767.848233012734	9800.39748802911	11818.819660793324	13451.418135582975	12500.36157369447	10084.261385968737	11636.6080915862	9546.236473248635	10392.746951332752	10032.033484337475	9613.39278519272	7715.699988621422	12424.508756319748	15071.891652446124	16448.06078616241	21198.210092153546	12833.882398926517	20272.064863732176	14150.635354822374	11653.793107826974	11234.329518914714	12589.031260479354	10201.070628926107	9448.704086738086	9803.13766470995	12033.68847869319	11353.654069709202	13232.106441349968	13709.585255805358	8472.872777181241	12476.567035266105	15468.962946409694	14832.948538633611	13034.892872281469	13999.83753667341	13150.972821511432	12803.84136980672	13597.666623288897	9591.893407713482	18579.541852198887	14850.08416347961	15124.03193145978	16686.784243465125	12411.62008185177	14684.548473528866	16881.93923111618	14015.971521561267	12140.263150388118	26859.620392912675	8829.934100051938	22008.159464328917	12835.632020307141	19456.941601261868	18022.12525703841	14832.495127804392	12655.997792603597	11318.488298499798	10696.363132116137	22344.537142827132	11511.81298313945	20957.906130491046	7571.374950828726	15088.0738054589	15976.88497033268	11380.246182240218
ARGSYNBSUB-PWY	10893.01263825233	13352.632194881622	17211.686205103153	13167.69470693914	10536.29829784012	12317.844468359026	15812.711822609246	14754.108761103782	17804.596008398246	18722.700989493384	15025.442160839251	13209.457907746144	17538.748676606163	7999.1297523296535	8048.481842237506	12889.633341419703	13251.360262593129	14805.126745927215	16338.317106835788	20608.310957308666	17312.59335250527	12274.308587085063	12179.962554217698	14764.525982319225	9711.486076663728	19502.440638844768	13417.710807426776	14636.524437547549	15481.883655770682	10025.377034901256	10600.197875901877	15063.705227819954	14356.644760408783	12971.31515782172	13652.885229608783	11427.625534706243	10788.002962630393	10076.861217977154	13067.989755015755	13456.835408375611	11406.369448257297	15635.024218525195	11150.472416458757	13439.565347413769	15323.53907003201	14251.218672862096	11482.237983423027	13249.630588318423	10872.219835185975	11826.710387641302	11453.254964200194	10955.574860190622	8826.122503845756	14155.581378194009	17172.186081680007	18666.307634327462	24138.810020777426	14602.886730933698	23084.994024955256	16083.908272325274	13265.917752776131	12806.892435071002	14298.960123295246	11646.690622875216	10754.375135730194	11196.685900274611	13676.08785402587	12967.894539055222	15054.450501092058	15650.57423997395	9628.038300251017	14208.931308128222	17590.425033738313	16869.609956621764	14871.938688851364	15917.171091035632	15007.472324909162	14598.131409898759	15535.802936678532	10890.813831665979	21152.7083228118	16925.7461765483	17228.507344884165	19000.845416640695	14138.196100088338	16729.223268652902	19217.918780131487	15976.764842889057	13791.632003528079	30664.90792216643	10052.548398010646	24997.330500031843	14569.963735166291	22083.425895192675	20470.822015190624	16880.949677125736	14391.478866073076	12881.187068669535	12181.121579011398	25371.536881724838	13134.406029169506	23850.709243263358	8659.86236698731	17167.834127319813	18192.10786456422	12964.006224177401
ARO-PWY	10224.900410598457	12337.152622263604	15828.33382512415	12318.848633525895	9958.174354603729	11481.61359854819	14711.11389801865	13790.808517862575	16307.126279264214	17339.216908457478	14006.398250557411	12581.137834004763	16356.90064539627	7602.836366803485	7666.725796835411	11777.382473206142	12159.716958485351	13630.88922842556	15182.487098472178	18908.47099483126	16417.474020256912	11408.285865625317	11636.884392913247	13553.772762820512	9179.952816458901	17866.771295049148	12481.708687037602	13504.529248277087	14424.237477196715	9590.398446716326	9925.82204564457	14104.338673875036	13402.723505282765	12314.195958485354	12660.550370857402	10654.483137972533	10032.896741803486	9570.401575694232	12149.25863372859	12594.373287473398	11005.766773234012	14637.652203633326	10481.551347864091	12639.035280683085	14219.970623289752	13095.229450858922	10576.467479743085	12238.554547000098	10045.133029669603	11314.192006638288	10676.683631764974	10192.734352893483	8142.875366347422	13096.565420074492	15792.789716859226	17282.645146954495	21989.73324141077	13482.219826809061	21326.994039627036	14963.744518774702	12571.177448629269	11855.926940065372	13599.126164246984	10851.178356288638	10287.27390110976	10417.707659610314	13097.493466580521	12007.83254982517	14152.58613262643	14512.365253281134	9276.591024475523	13282.342254421304	16408.93374529999	15597.431995680043	13885.659842391302	15042.042161193876	13940.928389467415	13771.774335334958	14260.058256080876	10237.526061695551	19688.542771105705	16063.17597975575	16031.87036220482	18282.203368235023	13203.32157127293	15710.49841588122	17864.70196747998	15245.378170771262	12994.992560023307	29266.12171457889	9366.938412004662	23495.707343531463	13533.222583624707	21507.15007721445	19081.25797465035	15740.992938811187	13473.17530885781	12346.906267773891	11323.117637529138	23901.1765754662	12094.123904137528	22609.49273368298	7964.078958041957	16521.57386305361	16808.431681526803	12119.837635198131
