"","Plate1_T1D_NS6_defined_mouse_inocula_S82_L001","Plate3_NS6_defined_inocula_S86_L001","Plate4_NS6_defined_inocula_S86_L001"
"ASVp1_2",1292,0,0
"ASVp1_3",396,0,0
"ASVp1_5",6228,0,0
"ASVp1_6",2107,0,0
"ASVp1_8",4692,0,0
"ASVp1_9",3937,0,0
"ASVp1_10",531,0,0
"ASVp1_11",2280,0,0
"ASVp1_12",5316,0,0
"ASVp1_13",4406,0,0
"ASVp1_14",386,0,0
"ASVp1_15",3009,0,0
"ASVp1_16",330,0,0
"ASVp1_18",1824,0,0
"ASVp1_20",955,0,0
"ASVp1_21",850,0,0
"ASVp1_22",343,0,0
"ASVp1_23",1926,0,0
"ASVp1_24",2119,0,0
"ASVp1_26",1473,0,0
"ASVp1_27",4253,0,0
"ASVp1_28",1482,0,0
"ASVp1_33",2693,0,0
"ASVp1_38",1063,0,0
"ASVp1_42",3751,0,0
"ASVp1_46",820,0,0
"ASVp1_47",379,0,0
"ASVp1_55",651,0,0
"ASVp1_66",873,0,0
"ASVp1_67",155,0,0
"ASVp1_68",936,0,0
"ASVp1_75",69,0,0
"ASVp1_80",148,0,0
"ASVp1_81",655,0,0
"ASVp1_82",963,0,0
"ASVp1_88",68,0,0
"ASVp1_90",261,0,0
"ASVp1_93",139,0,0
"ASVp1_94",349,0,0
"ASVp1_101",447,0,0
"ASVp1_102",597,0,0
"ASVp1_104",93,0,0
"ASVp1_105",938,0,0
"ASVp1_107",914,0,0
"ASVp1_110",243,0,0
"ASVp1_113",70,0,0
"ASVp1_114",67,0,0
"ASVp1_120",135,0,0
"ASVp1_138",132,0,0
"ASVp1_140",233,0,0
"ASVp1_142",129,0,0
"ASVp1_144",170,0,0
"ASVp1_149",143,0,0
"ASVp3_3",0,3145,0
"ASVp3_4",0,1902,0
"ASVp3_5",0,520,0
"ASVp3_6",0,322,0
"ASVp3_7",0,3322,0
"ASVp3_10",0,1264,0
"ASVp3_11",0,744,0
"ASVp3_12",0,1735,0
"ASVp3_13",0,261,0
"ASVp3_14",0,167,0
"ASVp3_15",0,2392,0
"ASVp3_21",0,4427,0
"ASVp3_23",0,13588,0
"ASVp3_25",0,5660,0
"ASVp3_26",0,1225,0
"ASVp3_28",0,7399,0
"ASVp3_31",0,8595,0
"ASVp3_34",0,511,0
"ASVp3_36",0,2827,0
"ASVp3_42",0,3544,0
"ASVp3_43",0,7793,0
"ASVp3_47",0,4134,0
"ASVp3_53",0,4292,0
"ASVp3_56",0,3205,0
"ASVp3_57",0,968,0
"ASVp3_60",0,1876,0
"ASVp3_62",0,2970,0
"ASVp3_67",0,33,0
"ASVp3_68",0,9,0
"ASVp3_69",0,2058,0
"ASVp3_71",0,1691,0
"ASVp3_72",0,526,0
"ASVp3_76",0,529,0
"ASVp3_78",0,44,0
"ASVp3_91",0,1016,0
"ASVp3_94",0,953,0
"ASVp3_96",0,230,0
"ASVp3_97",0,228,0
"ASVp3_98",0,886,0
"ASVp3_99",0,280,0
"ASVp3_100",0,217,0
"ASVp3_101",0,451,0
"ASVp3_104",0,314,0
"ASVp3_112",0,295,0
"ASVp3_113",0,532,0
"ASVp3_118",0,424,0
"ASVp3_129",0,279,0
"ASVp3_134",0,225,0
"ASVp3_144",0,160,0
"ASVp3_148",0,130,0
"ASVp3_150",0,110,0
"ASVp3_170",0,5,0
"ASVp4_1",0,0,653
"ASVp4_2",0,0,543
"ASVp4_3",0,0,1566
"ASVp4_4",0,0,3764
"ASVp4_5",0,0,231
"ASVp4_6",0,0,405
"ASVp4_7",0,0,673
"ASVp4_8",0,0,4651
"ASVp4_9",0,0,1576
"ASVp4_10",0,0,2324
"ASVp4_11",0,0,7922
"ASVp4_12",0,0,2608
"ASVp4_13",0,0,285
"ASVp4_14",0,0,827
"ASVp4_15",0,0,939
"ASVp4_16",0,0,69
"ASVp4_17",0,0,897
"ASVp4_18",0,0,54
"ASVp4_19",0,0,2730
"ASVp4_20",0,0,5575
"ASVp4_21",0,0,2226
"ASVp4_22",0,0,199
"ASVp4_23",0,0,1531
"ASVp4_24",0,0,1818
"ASVp4_26",0,0,53
"ASVp4_27",0,0,688
"ASVp4_28",0,0,1031
"ASVp4_31",0,0,11
"ASVp4_32",0,0,5803
"ASVp4_35",0,0,591
"ASVp4_39",0,0,164
"ASVp4_41",0,0,247
"ASVp4_43",0,0,2144
"ASVp4_47",0,0,2340
"ASVp4_49",0,0,27
"ASVp4_50",0,0,48
"ASVp4_51",0,0,1174
"ASVp4_54",0,0,38
"ASVp4_55",0,0,48
"ASVp4_56",0,0,330
"ASVp4_57",0,0,347
"ASVp4_58",0,0,23
"ASVp4_61",0,0,25
"ASVp4_62",0,0,309
"ASVp4_64",0,0,110
"ASVp4_66",0,0,1348
"ASVp4_67",0,0,939
"ASVp4_68",0,0,12
"ASVp4_69",0,0,17
"ASVp4_70",0,0,1934
"ASVp4_71",0,0,158
"ASVp4_73",0,0,9
"ASVp4_75",0,0,30
"ASVp4_76",0,0,197
"ASVp4_77",0,0,18
"ASVp4_78",0,0,20
"ASVp4_79",0,0,526
"ASVp4_80",0,0,19
"ASVp4_81",0,0,37
"ASVp4_84",0,0,29
"ASVp4_85",0,0,89
"ASVp4_88",0,0,244
"ASVp4_91",0,0,22
"ASVp4_94",0,0,13
"ASVp4_97",0,0,10
"ASVp4_98",0,0,13
"ASVp4_100",0,0,61
"ASVp4_103",0,0,28
"ASVp4_104",0,0,10
"ASVp4_105",0,0,8
"ASVp4_106",0,0,655
"ASVp4_111",0,0,303
"ASVp4_122",0,0,7
"ASVp4_124",0,0,11
"ASVp4_134",0,0,620
"ASVp4_136",0,0,12
"ASVp4_139",0,0,12
"ASVp4_169",0,0,22
"ASVp4_176",0,0,231
"ASVp4_191",0,0,153
"ASVp4_204",0,0,75
"ASVp4_222",0,0,27
"ASVp4_253",0,0,5
"ASVp4_273",0,0,2
