"","Plate1_T1D_NS6_defined_mouse_inocula_S82_L001","Plate3_NS6_defined_inocula_S86_L001","Plate4_NS6_defined_inocula_S86_L001"
"Phocaeicola_vulgatus",2624,3593,2935
"Bacteroides_uniformis",7166,8630,6279
"Bacteroides_xylanisolvens",2262,4427,2608
"Akkermansia_massiliensis",4692,1225,939
"Escherichia_coli",4849,4050,2760
"Eisenbergiella_tayi",679,744,726
"Bacteroides_stercoris",5316,13588,7922
"Parabacteroides_merdae",4406,7399,4651
"Enterocloster_bolteae/clostridioformis",3009,2392,1576
"Bacteroides_thetaiotaomicron",330,520,247
"Parabacteroides_distasonis",1408,2057,1547
"Sarcina_perfringens",1764,2217,1320
"Eisenbergiella_porci",343,261,199
"Sutterella_wadsworthensis",2275,8325,5908
"Flavonifractor_plautii",2119,2827,1585
"Akkermansia_muciniphila",1473,3205,2879
"Alistipes_finegoldii",6077,4414,3785
"Bacillus_subtilis",1715,3968,2375
"Enterocloster_sp005845215",2693,8595,5803
"Salmonella_diarizonae/houtenae/enterica",1063,1282,609
"Hungatella_effluvii",7506,8553,4881
"Faecalibacterium_longum",511,529,347
"Enterococcus_B_durans",0,526,330
"CHH4-2_sp018378255",873,1876,1174
"Collinsella_sp902362275/sp902472315",0,0,23
"Hungatella_hathewayi",69,33,47
"Staphylococcus_capitis",1133,2218,1423
"Enterocloster_alcoholdehydrogenati",68,0,0
"Staphylococcus_epidermidis",139,0,0
"Phocaeicola_dorei",447,1016,655
"Bifidobacterium_pseudocatenulatum",597,451,244
"Agathobacter_faecis",93,0,69
"Enterocloster_citroniae",243,44,50
"Staphylococcus_hominis",70,0,21
"Limosilactobacillus_fermentum",135,130,118
"Hydrogeniiclostridium_mannosilyticum",129,0,0
"Enterococcus_faecalis",143,0,0
"Enterococcus_A_avium",0,176,835
"Paucibacter_A_oligotrophus_A/sp001477625",0,0,48
"Bifidobacterium_adolescentis",0,228,61
"Bifidobacterium_longum",0,295,48
"Phocaeicola_NA",0,284,0
"Cytobacillus_NA",0,225,215
"Akkermansia_NA",0,110,0
"Escherichia_NA",0,0,164
"Eggerthella_lenta",0,0,12
"Enterococcus_E_cecorum_A/cecorum",0,0,37
"Cytobacillus_S5_Bg_092)",0,0,22
"Kocuria_palustris/sp025149945",0,0,13
"Streptococcus_sp001556435",0,0,13
"Rothia_amarae",0,0,28
"Villigracilis_sp016866215",0,0,10
"Sutterella_NA",0,0,2
