"","Plate1_T1D_S5_defined_mouse_inocula_S84_L001","Plate3_S5_defined_inocula_S87_L001","Plate4_S5_defined_inocula_S87_L001"
"Akkermansia_muciniphila",377,1328,936
"Phocaeicola_vulgatus",8510,8068,8607
"Escherichia_coli",14711,28410,18228
"Eisenbergiella_tayi",1355,2678,1444
"Hungatella_effluvii",2172,4790,2466
"Parabacteroides_merdae",0,0,5
"Enterocloster_bolteae/clostridioformis",1981,3888,2386
"Bacteroides_thetaiotaomicron",0,15,0
"Parabacteroides_distasonis",5976,8919,5153
"Eisenbergiella_porci",1033,1773,1063
"Flavonifractor_plautii",1363,2702,1516
"Alistipes_finegoldii",2072,1775,2038
"Enterococcus_faecalis",2793,4137,2339
"Alistipes_onderdonkii",396,889,511
"Bifidobacterium_longum",8020,8365,5144
"Staphylococcus_hominis",161,558,331
"Bacteroides_stercoris",607,1527,891
"Enterocloster_citroniae",933,1756,949
"Enterococcus_A_avium",2185,5133,619
"Phocaeicola_dorei",1073,2347,1384
"Collinsella_sp902362275/sp902472315",1240,2796,1536
"Bacillus_subtilis",94,204,128
"Bacteroides_uniformis",3036,6852,3211
"Hungatella_hathewayi",176,154,83
"Enterocloster_alcoholdehydrogenati",59,0,0
"Staphylococcus_epidermidis",414,0,0
"Pseudoflavonifractor_A_sp022772585",1049,2003,1258
"Cytobacillus_S5_Bg_092)",960,632,407
"Limosilactobacillus_fermentum",8,0,5
"Eggerthella_lenta",275,143,110
"Enterocloster_sp005845215",370,860,492
"Alitiscatomonas_sp900066535",187,381,222
"Escherichia_NA",71,0,0
"Eisenbergiella_NA",40,0,0
"Parabacteroides_NA",83,285,0
"Hungatella_NA",0,115,0
"Rothia_amarae",0,0,38
"Cytobacillus_NA",0,0,6
"Enterocloster_NA",0,0,5
