"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","S5_PPV","S5_TP","S5_FP","S5_Total_ASVs","S5_Unique_taxa","S5_Taxa_with_no_species_before_filtering","S5_Taxa_with_no_species_after_filtering"
0,0,0,36,0,63.5514018691589,340,195,535,95,36,36
100,200,0.001,36,1,82.2222222222222,74,16,90,33,36,0
100,200,0.005,36,1,82.2222222222222,74,16,90,33,36,0
100,200,0.01,36,1,82.2222222222222,74,16,90,33,36,0
100,200,0.05,36,2,87.6712328767123,64,9,73,32,36,0
100,200,0.1,36,4,89.6551724137931,52,6,58,27,36,0
100,200,0.15,36,6,88.4615384615385,46,6,52,24,36,0
100,200,0.2,36,8,91.6666666666667,44,4,48,22,36,0
100,250,0.001,36,1,82.2222222222222,74,16,90,33,36,0
100,250,0.005,36,1,82.2222222222222,74,16,90,33,36,0
100,250,0.01,36,1,82.2222222222222,74,16,90,33,36,0
100,250,0.05,36,2,87.6712328767123,64,9,73,32,36,0
100,250,0.1,36,4,89.6551724137931,52,6,58,27,36,0
100,250,0.15,36,6,88.4615384615385,46,6,52,24,36,0
100,250,0.2,36,8,91.6666666666667,44,4,48,22,36,0
100,300,0.001,36,1,82.2222222222222,74,16,90,33,36,0
100,300,0.005,36,1,82.2222222222222,74,16,90,33,36,0
100,300,0.01,36,1,82.2222222222222,74,16,90,33,36,0
100,300,0.05,36,2,87.6712328767123,64,9,73,32,36,0
100,300,0.1,36,4,89.6551724137931,52,6,58,27,36,0
100,300,0.15,36,6,88.4615384615385,46,6,52,24,36,0
100,300,0.2,36,8,91.6666666666667,44,4,48,22,36,0
100,350,0.001,36,1,82.2222222222222,74,16,90,33,36,0
100,350,0.005,36,1,82.2222222222222,74,16,90,33,36,0
100,350,0.01,36,1,82.2222222222222,74,16,90,33,36,0
100,350,0.05,36,2,87.6712328767123,64,9,73,32,36,0
100,350,0.1,36,4,89.6551724137931,52,6,58,27,36,0
100,350,0.15,36,6,88.4615384615385,46,6,52,24,36,0
100,350,0.2,36,8,91.6666666666667,44,4,48,22,36,0
100,400,0.001,36,1,82.2222222222222,74,16,90,33,36,0
100,400,0.005,36,1,82.2222222222222,74,16,90,33,36,0
100,400,0.01,36,1,82.2222222222222,74,16,90,33,36,0
100,400,0.05,36,2,87.6712328767123,64,9,73,32,36,0
100,400,0.1,36,4,89.6551724137931,52,6,58,27,36,0
100,400,0.15,36,6,88.4615384615385,46,6,52,24,36,0
100,400,0.2,36,8,91.6666666666667,44,4,48,22,36,0
150,200,0.001,36,1,84.5238095238095,71,13,84,31,36,0
150,200,0.005,36,1,84.5238095238095,71,13,84,31,36,0
150,200,0.01,36,1,84.5238095238095,71,13,84,31,36,0
150,200,0.05,36,2,88.7323943661972,63,8,71,31,36,0
150,200,0.1,36,4,91.2280701754386,52,5,57,26,36,0
150,200,0.15,36,6,90.1960784313726,46,5,51,23,36,0
150,200,0.2,36,8,93.6170212765958,44,3,47,21,36,0
150,250,0.001,36,1,84.5238095238095,71,13,84,31,36,0
150,250,0.005,36,1,84.5238095238095,71,13,84,31,36,0
150,250,0.01,36,1,84.5238095238095,71,13,84,31,36,0
150,250,0.05,36,2,88.7323943661972,63,8,71,31,36,0
150,250,0.1,36,4,91.2280701754386,52,5,57,26,36,0
150,250,0.15,36,6,90.1960784313726,46,5,51,23,36,0
150,250,0.2,36,8,93.6170212765958,44,3,47,21,36,0
150,300,0.001,36,1,84.5238095238095,71,13,84,31,36,0
150,300,0.005,36,1,84.5238095238095,71,13,84,31,36,0
150,300,0.01,36,1,84.5238095238095,71,13,84,31,36,0
150,300,0.05,36,2,88.7323943661972,63,8,71,31,36,0
150,300,0.1,36,4,91.2280701754386,52,5,57,26,36,0
150,300,0.15,36,6,90.1960784313726,46,5,51,23,36,0
150,300,0.2,36,8,93.6170212765958,44,3,47,21,36,0
150,350,0.001,36,1,84.5238095238095,71,13,84,31,36,0
150,350,0.005,36,1,84.5238095238095,71,13,84,31,36,0
150,350,0.01,36,1,84.5238095238095,71,13,84,31,36,0
