S_S5_Ca_088_1	NADH-DEHYDROG-A-RXN
S_S5_Ca_088_2	RXN-11135
S_S5_Ca_088_3	RXN-11135
S_S5_Ca_088_4	RXN-11135
S_S5_Ca_088_5	RXN-11135
S_S5_Ca_088_6	RXN-11135
S_S5_Ca_088_7	RXN-11135
S_S5_Ca_088_8	RXN-11135
S_S5_Ca_088_9	RXN-11135
S_S5_Ca_088_10	RXN-11135
S_S5_Ca_088_11	RXN-11135
S_S5_Ca_088_12	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_Ca_088_13	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_Ca_088_14	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_Ca_088_15	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_Ca_088_16	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_Ca_088_17	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_Ca_088_18	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_Ca_088_19	2.1.1.72-RXN
S_S5_Ca_088_20	2.1.1.72-RXN
S_S5_Ca_088_21	2.1.1.72-RXN
S_S5_Ca_088_22	2.1.1.72-RXN
S_S5_Ca_088_23	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_Ca_088_24	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_Ca_088_25	2.7.13.3-RXN
S_S5_Ca_088_26	2.7.13.3-RXN
S_S5_Ca_088_27	2.7.13.3-RXN
S_S5_Ca_088_28	2.7.13.3-RXN
S_S5_Ca_088_29	GPH-RXN
S_S5_Ca_088_30	GPH-RXN
S_S5_Ca_088_31	INORGPYROPHOSPHAT-RXN
S_S5_Ca_088_32	PROTEIN-KINASE-RXN
S_S5_Ca_088_33	PROTEIN-KINASE-RXN
S_S5_Ca_088_34	PROTEIN-KINASE-RXN
S_S5_Ca_088_35	PROTEIN-KINASE-RXN
S_S5_Ca_088_36	RXN-11065
S_S5_Ca_088_36	3.4.16.4-RXN
S_S5_Ca_088_36	RXN-16649
S_S5_Ca_088_36	RXN-11351
S_S5_Ca_088_36	RXN-16659
S_S5_Ca_088_36	RXN-11302
S_S5_Ca_088_37	RXN-11065
S_S5_Ca_088_37	3.4.16.4-RXN
S_S5_Ca_088_37	RXN-16649
S_S5_Ca_088_37	RXN-11351
S_S5_Ca_088_37	RXN-16659
S_S5_Ca_088_37	RXN-11302
S_S5_Ca_088_38	RXN-11065
S_S5_Ca_088_38	3.4.16.4-RXN
S_S5_Ca_088_38	RXN-16649
S_S5_Ca_088_38	RXN-11351
S_S5_Ca_088_38	RXN-16659
S_S5_Ca_088_38	RXN-11302
S_S5_Ca_088_39	RXN-11065
S_S5_Ca_088_39	3.4.16.4-RXN
S_S5_Ca_088_39	RXN-16649
S_S5_Ca_088_39	RXN-11351
S_S5_Ca_088_39	RXN-16659
S_S5_Ca_088_39	RXN-11302
S_S5_Ca_088_40	RXN-11065
S_S5_Ca_088_40	3.4.16.4-RXN
S_S5_Ca_088_40	RXN-16649
S_S5_Ca_088_40	RXN-11351
S_S5_Ca_088_40	RXN-16659
S_S5_Ca_088_40	RXN-11302
S_S5_Ca_088_41	RXN-11109
S_S5_Ca_088_42	RXN-13202
S_S5_Ca_088_42	CARBPSYN-RXN
S_S5_Ca_088_43	RXN-13202
S_S5_Ca_088_43	CARBPSYN-RXN
S_S5_Ca_088_44	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_Ca_088_45	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_Ca_088_46	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_Ca_088_47	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_Ca_088_48	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_Ca_088_49	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_Ca_088_50	6.3.5.6-RXN
S_S5_Ca_088_51	6.3.5.6-RXN
S_S5_Ca_088_52	6.3.5.6-RXN
S_S5_Ca_088_53	6.3.5.7-RXN
S_S5_Ca_088_54	6.3.5.7-RXN
S_S5_Ca_088_55	6.3.5.7-RXN
S_S5_Ca_088_56	6PFRUCTPHOS-RXN
S_S5_Ca_088_57	RXN0-2584
S_S5_Ca_088_58	RXN0-2584
S_S5_Ca_088_59	RXN-11591
S_S5_Ca_088_60	ATPSYN-RXN
S_S5_Ca_088_61	ATPSYN-RXN
S_S5_Ca_088_63	RXN-12104
S_S5_Ca_088_64	1.5.1.20-RXN
S_S5_Ca_088_65	FGAMSYN-RXN
S_S5_Ca_088_66	3.1.26.4-RXN
S_S5_Ca_088_67	3.1.26.4-RXN
S_S5_Ca_088_68	3.1.3.16-RXN
S_S5_Ca_088_69	3.1.3.16-RXN
S_S5_Ca_088_70	RXN-16024
S_S5_Ca_088_70	RXN-16117
S_S5_Ca_088_70	RXN-10462
S_S5_Ca_088_70	RXN-13805
S_S5_Ca_088_70	RXN-1381
S_S5_Ca_088_70	RXN-15045
S_S5_Ca_088_71	RXN-16024
S_S5_Ca_088_71	RXN-16117
S_S5_Ca_088_71	RXN-10462
S_S5_Ca_088_71	RXN-13805
S_S5_Ca_088_71	RXN-1381
S_S5_Ca_088_71	RXN-15045
S_S5_Ca_088_72	HISTONE-ACETYLTRANSFERASE-RXN
S_S5_Ca_088_73	PHENYLALANINE--TRNA-LIGASE-RXN
S_S5_Ca_088_74	PHENYLALANINE--TRNA-LIGASE-RXN
S_S5_Ca_088_75	DALADALALIG-RXN
S_S5_Ca_088_76	5.99.1.3-RXN
S_S5_Ca_088_77	5.99.1.3-RXN
S_S5_Ca_088_78	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S5_Ca_088_78	ACETYLHOMOSER-CYS-RXN
S_S5_Ca_088_79	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S5_Ca_088_79	ACETYLHOMOSER-CYS-RXN
S_S5_Ca_088_80	SULFOCYS-RXN
S_S5_Ca_088_80	RXN-12726
S_S5_Ca_088_80	ACSERLY-RXN
S_S5_Ca_088_81	OHMETPYRKIN-RXN
S_S5_Ca_088_82	PYRIMSYN3-RXN
S_S5_Ca_088_83	PYRIMSYN1-RXN
S_S5_Ca_088_84	GLUTAMINESYN-RXN
S_S5_Ca_088_85	GLUTAMINESYN-RXN
S_S5_Ca_088_86	ADENPRIBOSYLTRAN-RXN
S_S5_Ca_088_86	RXN-14270
S_S5_Ca_088_87	ADENYL-KIN-RXN
S_S5_Ca_088_88	3.4.21.89-RXN
S_S5_Ca_088_89	3.4.21.89-RXN
S_S5_Ca_088_90	3.4.21.89-RXN
S_S5_Ca_088_91	RXN-15881
S_S5_Ca_088_91	RXN-14384
S_S5_Ca_088_91	RXN-14385
S_S5_Ca_088_91	RXN-14386
S_S5_Ca_088_91	RXN-12587
S_S5_Ca_088_91	RXN-9787
S_S5_Ca_088_91	RXN-12588
S_S5_Ca_088_91	RXN0-308
S_S5_Ca_088_92	RXN-15881
S_S5_Ca_088_92	RXN-14384
S_S5_Ca_088_92	RXN-14385
S_S5_Ca_088_92	RXN-14386
S_S5_Ca_088_92	RXN-12587
S_S5_Ca_088_92	RXN-9787
S_S5_Ca_088_92	RXN-12588
S_S5_Ca_088_92	RXN0-308
S_S5_Ca_088_93	ABC-27-RXN
S_S5_Ca_088_94	ABC-27-RXN
S_S5_Ca_088_95	RXN0-6948
S_S5_Ca_088_95	N-ACETYLTRANSFER-RXN
S_S5_Ca_088_96	RXN-11837
S_S5_Ca_088_97	RXN-11837
S_S5_Ca_088_98	UDPGLUCEPIM-RXN
S_S5_Ca_088_99	UDPGLUCEPIM-RXN
S_S5_Ca_088_100	2PGADEHYDRAT-RXN
S_S5_Ca_088_102	DIHYDROOROT-RXN
S_S5_Ca_088_103	RXN-11396
S_S5_Ca_088_104	GLUCOKIN-RXN
S_S5_Ca_088_104	RXN66-521
S_S5_Ca_088_104	RXN-1685
S_S5_Ca_088_105	GLUCOKIN-RXN
S_S5_Ca_088_105	RXN66-521
S_S5_Ca_088_105	RXN-1685
S_S5_Ca_088_106	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S5_Ca_088_107	3-DEHYDROQUINATE-SYNTHASE-RXN
