assembly	16S_rRNA_Count
S_NS1_Af_002_v1v9	2
S_NS1_Am_001_v1v9	3
S_NS1_Ao_003_v1v9	2
S_NS1_Ba_008_v1v9	4
S_NS1_Bp_010_v1v9	5
S_NS1_Bs_004_v1v9	5
S_NS1_Bt_005_v1v9	5
S_NS1_Bu_006_v1v9	4
S_NS1_Bv_007_v1v9	7
S_NS1_Ca_028_v1v9	5
S_NS6_Ca_028_v1v9	5
S_NS1_Cb_011_v1v9	5
S_NS1_Cc_012_v1v9	5
S_NS1_Cp_013_v1v9	10
S_NS1_Eh_016_v1v9	6
S_NS1_El_014_v1v9	3
S_NS1_Em_017_v1v9	7
S_NS1_Em_018_v1v9	7
S_NS1_Et_015_v1v9	4
S_NS1_Fp_019_v1v9	3
S_NS1_Fp_020_v1v9	3
S_NS1_He_021_v1v9	4
S_NS1_Ig_115_v1v9	2
S_NS1_Pd_022_v1v9	7
S_NS1_Pm_023_v1v9	6
S_NS1_Shsn_025_v1v9	6
S_NS1_Ss_026_v1v9	6
S_NS1_Sw_027_v1v9	6
S_NS1_Af_002	2
S_NS1_Am_001	3
S_NS1_Ao_003	2
S_NS1_Ba_008	4
S_NS1_Bp_010	5
S_NS1_Bs_004	5
S_NS1_Bt_005	5
S_NS1_Bu_006	4
S_NS1_Bv_007	7
S_NS1_Ca_028	5
S_NS6_Ca_028	5
S_NS1_Cb_011	5
S_NS1_Cc_012	5
S_NS1_Cp_013	10
S_NS1_Eh_016	6
S_NS1_El_014	3
S_NS1_Em_017	7
S_NS1_Et_015	4
S_NS1_Fp_019	3
S_NS1_Fp_020	3
S_NS1_He_021	4
S_NS1_Ig_115	2
S_NS1_Pd_022	7
S_NS1_Pm_023	6
S_NS1_Shsn_025	6
S_NS1_Ss_026	6
S_NS1_Sw_027	6
S_NS6_Af_030_v1v9	2
S_NS6_Am_029_v1v9	3
S_NS6_Ao_031_v1v9	2
S_NS6_Ba_039_v1v9	4
S_NS6_Blss_040_v1v9	4
S_NS6_Bs_032_v1v9	5
S_NS6_Bs_033_v1v9	5
S_NS6_Bu_034_v1v9	4
S_NS6_Bu_036_v1v9	4
S_NS6_Bv_037_v1v9	7
S_NS6_Cb_041_v1v9	5
S_NS6_Cb_042_v1v9	5
S_NS6_Cp_043_v1v9	10
S_NS6_Ef_050_v1v9	4
S_NS6_Ef_051_v1v9	7
S_NS6_El_044_v1v9	3
S_NS6_El_045_v1v9	3
S_NS6_Em_046_v1v9	4
S_NS6_Em_047_v1v9	4
S_NS6_He_053_v1v9	4
S_NS6_Hh_054_v1v9	4
S_NS6_Pd_055_v1v9	7
S_NS6_Pm_056_v1v9	6
S_NS6_Pp_057_v1v9	3
S_NS6_Sh_058_v1v9	6
S_NS6_Ss_059_v1v9	6
S_NS6_Af_030	2
S_NS6_Am_029	3
S_NS6_Ao_031	2
S_NS6_Ba_039	4
S_NS6_Blss_040	4
S_NS6_Bs_032	5
S_NS6_Bu_034	4
S_NS6_Bv_037	7
S_NS6_Bx_038	5
S_NS6_Bx_038_2	5
S_NS6_Cb_041	5
S_NS6_Cb_042	5
S_NS6_Cp_043	10
S_NS6_Ef_049	4
S_NS6_Ef_051	7
S_NS6_El_044	3
S_NS6_El_045	3
S_NS6_Em_046	4
S_NS6_Et_048	4
S_NS6_Fp_052	3
S_NS6_He_053	4
S_NS6_Hh_054	4
S_NS6_Pd_055	7
S_NS6_Pm_056	6
S_NS6_Pp_057	3
S_NS6_Sh_058	6
S_NS6_Ss_059	6
S_NS6_Sw_060	6
S_S2_Af_119_v1v9	2
S_S2_Am_061_v1v9	3
S_S2_Bd_064_v1v9	7
S_S2_Bd_066_v1v9	4
S_S2_Blss_067_v1v9	4
S_S2_Bs_063_v1v9	10
S_S2_Bv_065_v1v9	7
S_S2_Ca_088_v1v9	5
S_S5_Ca_088_v1v9	5
S_S2_Cc_069_v1v9	6
S_S2_Cc_070_v1v9	5
S_S2_Cs_071_v1v9	4
S_S2_Ea_076_v1v9	6
S_S2_Ea_077_v1v9	6
S_S2_Ef_078_v1v9	7
S_S2_El_072_v1v9	3
S_S2_El_073_v1v9	3
S_S2_Et_074_v1v9	4
S_S2_Et_075_v1v9	4
S_S2_Fp_079_v1v9	6
S_S2_Fp_080_v1v9	3
S_S2_He_082	4
S_S2_He_082_v1v9	4
S_S2_Hf_081_v1v9	4
S_S2_Pd_083_v1v9	7
S_S2_Rf_084_v1v9	4
S_S2_Rf_118_v1v9	4
S_S2_Rg_085_v1v9	5
S_S2_Shsn_087_v1v9	6
S_S2_Af_119	2
S_S2_Am_061	3
S_S2_Bd_064	7
S_S2_Bd_066	4
S_S2_Blss_067	4
S_S2_Bs_063	10
S_S2_Bv_065	7
S_S2_Ca_088	5
S_S5_Ca_088	5
S_S2_Cb_068	5
S_S2_Cc_069	6
S_S2_Cc_070	5
S_S2_Cs_071	4
S_S2_Ea_076	6
S_S2_Ef_078	7
S_S2_El_072	3
S_S2_Et_074	4
S_S2_Et_075	4
S_S2_Fp_079	6
S_S2_Fp_080	3
S_S2_Hf_081	4
S_S2_Pd_083	7
S_S2_Rf_084	4
S_S2_Rf_118	4
S_S2_Rg_085	5
S_S2_Shsn_087	6
S_S5_Af_090_v1v9	2
S_S5_Am_089_v1v9	3
S_S5_Blss_094_v1v9	4
S_S5_Bp_095_v1v9	5
S_S5_Bv_093_v1v9	7
S_S5_Cb_096_v1v9	5
S_S5_Cc_097_v1v9	5
S_S5_Cc_098_v1v9	5
S_S5_Dg_099_v1v9	5
S_S5_Ea_103_v1v9	6
S_S5_Ef_104_v1v9	7
S_S5_El_100_v1v9	3
S_S5_Em_101_v1v9	4
S_S5_Et_102_v1v9	4
S_S5_Fp_105_v1v9	6
S_S5_Fp_106_v1v9	3
S_S5_He_108_v1v9	4
S_S5_Hf_107_v1v9	4
S_S5_Lp_109_v1v9	6
S_S5_Pd_110_v1v9	7
S_S5_Pd_111_v1v9	7
S_S5_Rf_112_v1v9	4
S_S5_Rg_113_v1v9	5
S_S5_Sc_120_v1v9	6
S_S5_Af_090	2
S_S5_Am_089	3
S_S5_Bg_092	12
S_S5_Blss_094	4
S_S5_Bp_095	5
S_S5_Bv_093	7
S_S5_Cb_096	5
S_S5_Cc_097	5
S_S5_Cc_098	5
S_S5_Dg_099	5
S_S5_Ea_103	6
S_S5_Ef_104	7
S_S5_Em_101	4
S_S5_Et_102	4
S_S5_Fp_105	6
S_S5_Fp_106	3
S_S5_He_108	4
S_S5_Hf_107	4
S_S5_Lp_109	6
S_S5_Pd_110	7
S_S5_Pd_111	7
S_S5_Rf_112	4
S_S5_Rg_113	5
S_S5_Sc_120	6
S_NS1_Blss_009	4
S_NS1_Em_018	7
S_NS6_Bs_033	5
S_NS6_Bu_036	4
S_NS6_Ef_050	4
S_NS6_Em_047	4
S_S2_Ea_077	6
S_S2_Sc_086	6
S_S2_Sc_086_v1v9	6
S_S5_Af_091	2
