"","kingdom_final","phylum_final","class_final","order_final","family_final","genus_final","species_final"
"ASVp1_1","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"ASVp1_2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp1_3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp1_4","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","dorei"
"ASVp1_5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp1_6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"ASVp1_7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp1_8","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","massiliensis"
"ASVp1_9","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp1_10","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp1_11","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp1_12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp1_13","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"ASVp1_14","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp1_15","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp1_16","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron"
"ASVp1_17","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp1_18","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp1_19","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp1_20","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp1_21","Bacteria","Bacillota_A","Clostridia","Clostridiales","Clostridiaceae","Sarcina","perfringens"
