S_NS1_Pm_023_1	1.6.5.3
S_NS1_Pm_023_2	3.6.4.12
S_NS1_Pm_023_3	3.6.4.12
S_NS1_Pm_023_4	3.6.4.12
S_NS1_Pm_023_5	3.6.4.12
S_NS1_Pm_023_6	3.6.4.12
S_NS1_Pm_023_7	3.6.4.12
S_NS1_Pm_023_8	3.6.4.12
S_NS1_Pm_023_9	3.6.4.12
S_NS1_Pm_023_10	3.6.4.12
S_NS1_Pm_023_11	3.6.4.12
S_NS1_Pm_023_12	3.6.4.12
S_NS1_Pm_023_13	3.6.4.12
S_NS1_Pm_023_14	3.6.4.12
S_NS1_Pm_023_15	3.6.4.12
S_NS1_Pm_023_16	3.6.4.12
S_NS1_Pm_023_17	3.6.4.12
S_NS1_Pm_023_18	3.2.1.23
S_NS1_Pm_023_19	3.2.1.23
S_NS1_Pm_023_20	3.2.1.23
S_NS1_Pm_023_21	3.2.1.23
S_NS1_Pm_023_22	3.2.1.23
S_NS1_Pm_023_23	3.2.1.23
S_NS1_Pm_023_24	3.2.1.23
S_NS1_Pm_023_25	3.2.1.23
S_NS1_Pm_023_26	3.2.1.23
S_NS1_Pm_023_27	3.2.1.23
S_NS1_Pm_023_28	3.2.1.23
S_NS1_Pm_023_29	3.2.1.23
S_NS1_Pm_023_30	3.2.1.52
S_NS1_Pm_023_31	3.2.1.52
S_NS1_Pm_023_32	3.2.1.52
S_NS1_Pm_023_33	3.2.1.52
S_NS1_Pm_023_34	3.2.1.52
S_NS1_Pm_023_35	3.2.1.52
S_NS1_Pm_023_36	3.2.1.52
S_NS1_Pm_023_37	3.2.1.52
S_NS1_Pm_023_38	3.2.1.52
S_NS1_Pm_023_39	3.2.1.52
S_NS1_Pm_023_40	2.7.7.7
S_NS1_Pm_023_41	2.7.7.7
S_NS1_Pm_023_42	2.7.7.7
S_NS1_Pm_023_43	2.7.7.7
S_NS1_Pm_023_44	2.7.7.7
S_NS1_Pm_023_45	2.7.7.7
S_NS1_Pm_023_46	2.7.7.7
S_NS1_Pm_023_47	2.7.7.7
S_NS1_Pm_023_48	2.7.7.7
S_NS1_Pm_023_49	2.7.7.7
S_NS1_Pm_023_50	2.1.1.72
S_NS1_Pm_023_51	2.1.1.72
S_NS1_Pm_023_52	2.1.1.72
S_NS1_Pm_023_53	3.6.3.12
S_NS1_Pm_023_54	3.6.3.12
S_NS1_Pm_023_55	3.6.3.12
S_NS1_Pm_023_56	5.2.1.8
S_NS1_Pm_023_57	5.2.1.8
S_NS1_Pm_023_58	5.2.1.8
S_NS1_Pm_023_59	5.2.1.8
S_NS1_Pm_023_60	5.2.1.8
S_NS1_Pm_023_61	5.2.1.8
