feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1CMET2.PWY	Sex_and_consortia	Female_S5	0.0138127204676404	0.0217951293273003	30	30	0.531385728424967	0.96910929242902
AEROBACTINSYN.PWY	Sex_and_consortia	Female_S5	-0.371198316211209	0.352638733838981	30	30	0.301510078411522	0.96910929242902
ALL.CHORISMATE.PWY	Sex_and_consortia	Female_S5	-0.124171382925805	0.1143227932653	30	30	0.286676544970997	0.96910929242902
ANAGLYCOLYSIS.PWY	Sex_and_consortia	Female_S5	0.0181856937050938	0.0169929679106359	30	30	0.293673069032296	0.96910929242902
ARG.POLYAMINE.SYN	Sex_and_consortia	Female_S5	-0.265388057324482	0.217122820251758	30	30	0.231786157677017	0.96910929242902
ARGORNPROST.PWY	Sex_and_consortia	Female_S5	-0.17096438301156	0.152397710968163	30	30	0.271463282562631	0.96910929242902
AST.PWY	Sex_and_consortia	Female_S5	-0.37119831621121	0.352638733838981	30	30	0.30151007841152	0.96910929242902
BIOTIN.BIOSYNTHESIS.PWY	Sex_and_consortia	Female_S5	0.0559251516619756	0.0831749760230242	30	30	0.506853229350301	0.96910929242902
BRANCHED.CHAIN.AA.SYN.PWY	Sex_and_consortia	Female_S5	0.0158845793063526	0.0221147627561648	30	30	0.478536168259753	0.96910929242902
CENTFERM.PWY	Sex_and_consortia	Female_S5	-0.298797900656439	0.291479633230359	30	30	0.314087766954205	0.96910929242902
COA.PWY	Sex_and_consortia	Female_S5	0.0120577471134943	0.0238384636733581	30	30	0.616948779818534	0.96910929242902
COBALSYN.PWY	Sex_and_consortia	Female_S5	-0.00759906894196676	0.0140433802376959	30	30	0.592708553003121	0.96910929242902
DAPLYSINESYN.PWY	Sex_and_consortia	Female_S5	0.01784982205147	0.0370382508893142	30	30	0.633601813896765	0.96910929242902
DTDPRHAMSYN.PWY	Sex_and_consortia	Female_S5	0.0389812320489774	0.0296535618734418	30	30	0.199326128957836	0.96910929242902
ECASYN.PWY	Sex_and_consortia	Female_S5	-0.315812991178193	0.285569648736614	30	30	0.278179344836194	0.96910929242902
ENTBACSYN.PWY	Sex_and_consortia	Female_S5	-0.302581110059705	0.291928941670767	30	30	0.308843065309822	0.96910929242902
FAO.PWY	Sex_and_consortia	Female_S5	-0.287750422091652	0.283104788632727	30	30	0.318137129849848	0.96910929242902
FASYN.ELONG.PWY	Sex_and_consortia	Female_S5	0.0295343589624024	0.0301512252714661	30	30	0.335701043788154	0.96910929242902
FERMENTATION.PWY	Sex_and_consortia	Female_S5	-0.0442475101964739	0.0684059258730546	30	30	0.523004827545408	0.96910929242902
FOLSYN.PWY	Sex_and_consortia	Female_S5	0.0186408099649029	0.0137273542995976	30	30	0.185328281121441	0.96910929242902
GALACT.GLUCUROCAT.PWY	Sex_and_consortia	Female_S5	-0.0178574579206766	0.0410573333046717	30	30	0.66694033043526	0.96910929242902
GALACTUROCAT.PWY	Sex_and_consortia	Female_S5	0.0273281784330853	0.0578933174310315	30	30	0.640553739757132	0.96910929242902
GALLATE.DEGRADATION.II.PWY	Sex_and_consortia	Female_S5	0.268128256216771	0.515129281761119	30	16	0.606802269880421	0.96910929242902
GLUCARDEG.PWY	Sex_and_consortia	Female_S5	-0.19729561992525	0.219509139871307	30	30	0.376421937757956	0.96910929242902
GLUCONEO.PWY	Sex_and_consortia	Female_S5	0.0112189550955598	0.0105398667804849	30	30	0.296227426788388	0.96910929242902
GLUCUROCAT.PWY	Sex_and_consortia	Female_S5	-0.0471502617916217	0.0540913674922979	30	30	0.39079719703626	0.96910929242902
GLYCOCAT.PWY	Sex_and_consortia	Female_S5	0.00735715816655114	0.0150110891813402	30	30	0.627871170819412	0.96910929242902
GLYCOL.GLYOXDEG.PWY	Sex_and_consortia	Female_S5	-0.325249695780743	0.31844530171259	30	30	0.315824473611917	0.96910929242902
GLYCOLYSIS	Sex_and_consortia	Female_S5	0.00634284746337987	0.0135771169302502	30	30	0.643992112997164	0.96910929242902
GLYCOLYSIS.TCA.GLYOX.BYPASS	Sex_and_consortia	Female_S5	-0.331125293267266	0.317578661167879	30	30	0.306026876793842	0.96910929242902
GLYOXYLATE.BYPASS	Sex_and_consortia	Female_S5	-0.355310196389964	0.340404843552484	30	30	0.30551229462011	0.96910929242902
GOLPDLCAT.PWY	Sex_and_consortia	Female_S5	0.0394592473542633	0.0980074858662226	30	30	0.690289202218889	0.96910929242902
HCAMHPDEG.PWY	Sex_and_consortia	Female_S5	-0.371198316211209	0.352638733838981	30	30	0.301510078411522	0.96910929242902
HEME.BIOSYNTHESIS.II	Sex_and_consortia	Female_S5	-0.360251213899234	0.34225440274426	30	30	0.301531451038571	0.96910929242902
HEMESYN2.PWY	Sex_and_consortia	Female_S5	-0.351895648923987	0.312602326227631	30	30	0.269850229141553	0.96910929242902
HEXITOLDEGSUPER.PWY	Sex_and_consortia	Female_S5	-0.192796515042961	0.131021286687474	30	30	0.152309526667036	0.96910929242902
HISDEG.PWY	Sex_and_consortia	Female_S5	0.0754729778683754	0.140777350880682	30	30	0.596112262890399	0.96910929242902
HISTSYN.PWY	Sex_and_consortia	Female_S5	0.0137148589541191	0.0229473353860341	30	30	0.554865748668295	0.96910929242902
HOMOSER.METSYN.PWY	Sex_and_consortia	Female_S5	-0.0288335736926359	0.0436529146585349	30	30	0.514318810276104	0.96910929242902
ILEUSYN.PWY	Sex_and_consortia	Female_S5	0.01719772339515	0.020877616117054	30	30	0.41704896006321	0.96910929242902
KDO.NAGLIPASYN.PWY	Sex_and_consortia	Female_S5	-0.263780984664998	0.267200878184601	30	30	0.331998627939249	0.96910929242902
LACTOSECAT.PWY	Sex_and_consortia	Female_S5	-0.346913860584156	0.232236876116624	30	30	0.146414290382702	0.96910929242902
LPSSYN.PWY	Sex_and_consortia	Female_S5	-0.334130627382241	0.322404543673623	30	30	0.308897214071319	0.96910929242902
MET.SAM.PWY	Sex_and_consortia	Female_S5	-0.0183205283090226	0.0198498955716871	30	30	0.363916931768747	0.96910929242902
METHGLYUT.PWY	Sex_and_consortia	Female_S5	-0.354439317943579	0.33175582898071	30	30	0.294476566156508	0.96910929242902
NAGLIPASYN.PWY	Sex_and_consortia	Female_S5	0.0309981932669316	0.0352896753706119	30	30	0.387206412992171	0.96910929242902
OANTIGEN.PWY	Sex_and_consortia	Female_S5	-0.24022640599349	0.164562976734719	30	30	0.155479078484309	0.96910929242902
P105.PWY	Sex_and_consortia	Female_S5	-0.287744922474933	0.278495211056956	30	30	0.310346245880307	0.96910929242902
P108.PWY	Sex_and_consortia	Female_S5	0.0307075559455353	0.0247084988528944	30	30	0.224251297947111	0.96910929242902
P122.PWY	Sex_and_consortia	Female_S5	-0.238392932243894	0.162297600490953	30	30	0.153016291509081	0.96910929242902
P124.PWY	Sex_and_consortia	Female_S5	-0.253906524167945	0.171656918833034	30	30	0.150263392003581	0.96910929242902
P161.PWY	Sex_and_consortia	Female_S5	-0.0702792751619379	0.101625222996675	30	30	0.494912441665403	0.96910929242902
P163.PWY	Sex_and_consortia	Female_S5	0.0850656569070748	0.110878252648484	30	30	0.449384569939321	0.96910929242902
P164.PWY	Sex_and_consortia	Female_S5	-0.116619349575475	0.111846528888654	30	30	0.306019159357412	0.96910929242902
P221.PWY	Sex_and_consortia	Female_S5	-0.492689033475602	0.668655236162676	30	30	0.467351785434122	0.96910929242902
P23.PWY	Sex_and_consortia	Female_S5	-0.265983377942747	0.258484127289091	30	30	0.312281348366447	0.96910929242902
P4.PWY	Sex_and_consortia	Female_S5	-0.139346658901464	0.0753995441850493	30	30	0.0751749446006022	0.96910929242902
P42.PWY	Sex_and_consortia	Female_S5	0.053010669583837	0.0198301709454445	30	30	0.0123896203499261	0.96910929242902
P441.PWY	Sex_and_consortia	Female_S5	-0.0321583973976579	0.0644009519044839	30	30	0.62143632880001	0.96910929242902
P461.PWY	Sex_and_consortia	Female_S5	-0.0405512047231051	0.079315606559056	30	30	0.613174560022804	0.96910929242902
P562.PWY	Sex_and_consortia	Female_S5	0.0956880714473518	0.165903217773152	30	30	0.568702973832206	0.96910929242902
PANTO.PWY	Sex_and_consortia	Female_S5	0.0180276829995016	0.0213321534714625	30	30	0.40522185244923	0.96910929242902
PANTOSYN.PWY	Sex_and_consortia	Female_S5	0.0176152830907756	0.0239973853035041	30	30	0.46902092957569	0.96910929242902
POLYAMINSYN3.PWY	Sex_and_consortia	Female_S5	-0.369545860494424	0.253852207944076	30	30	0.156582949010156	0.96910929242902
POLYAMSYN.PWY	Sex_and_consortia	Female_S5	-0.285732426691143	0.233388181299425	30	30	0.231048276765749	0.96910929242902
POLYISOPRENSYN.PWY	Sex_and_consortia	Female_S5	0.0160521844275583	0.0231090276824013	30	30	0.493012402642623	0.96910929242902
PPGPPMET.PWY	Sex_and_consortia	Female_S5	0.033689311402859	0.08445806528152	30	30	0.693001633672308	0.96910929242902
PWY.1269	Sex_and_consortia	Female_S5	0.0234077942360573	0.0304712933099939	30	30	0.448804055467949	0.96910929242902
PWY.1861	Sex_and_consortia	Female_S5	-0.324420781733536	0.206843522177394	30	30	0.128012707511519	0.96910929242902
PWY.2941	Sex_and_consortia	Female_S5	-0.344709961241857	0.232688800551074	30	30	0.149661542156163	0.96910929242902
PWY.2942	Sex_and_consortia	Female_S5	0.0168137237348852	0.0117827264269357	30	30	0.164642616875326	0.96910929242902
PWY.4984	Sex_and_consortia	Female_S5	0.0576417595138575	0.121816632967063	30	30	0.639749709611822	0.96910929242902
PWY.5097	Sex_and_consortia	Female_S5	0.0252844321514525	0.0135570043916703	30	30	0.072687285991124	0.96910929242902
PWY.5101	Sex_and_consortia	Female_S5	0.0169275177976119	0.0205823050676535	30	30	0.417780966984221	0.96910929242902
PWY.5103	Sex_and_consortia	Female_S5	0.0166429230925454	0.0202925148114839	30	30	0.419057559663347	0.96910929242902
PWY.5104	Sex_and_consortia	Female_S5	0.0178653771300512	0.0226299272893132	30	30	0.436478953222154	0.96910929242902
PWY.5180	Sex_and_consortia	Female_S5	-0.267097251675459	0.20797015207599	30	30	0.209560137124004	0.96910929242902
PWY.5182	Sex_and_consortia	Female_S5	-0.267097251675459	0.20797015207599	30	30	0.209560137124004	0.96910929242902
PWY.5304	Sex_and_consortia	Female_S5	0.0825939086603305	0.165671058155649	30	30	0.621996273932986	0.96910929242902
PWY.5347	Sex_and_consortia	Female_S5	-0.0116781931305965	0.026355291180672	30	30	0.661093676444406	0.96910929242902
PWY.5415	Sex_and_consortia	Female_S5	-0.257832990453029	0.212412434747352	30	30	0.234951579180765	0.96910929242902
PWY.5419	Sex_and_consortia	Female_S5	-0.248982342852601	0.211860970434715	30	30	0.249805625455334	0.96910929242902
PWY.5420	Sex_and_consortia	Female_S5	-0.215747240938859	0.198278649942297	30	30	0.285828052395485	0.96910929242902
