Enzyme	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Catalyzes
<i>Escherichia coli</i> O:55 antigen polymerase	wzy<sub>O55</sub>	wzy<sub>O55</sub>			<i>Escherichia coli</i> O:55 antigen polymerase
neocarratetraose 4-<i>O</i>-monosulfate &beta;-hydrolase					neocarratetraose 4-<i>O</i>-monosulfate &beta;-hydrolase
diacylglycerol kinase					diacylglycerol kinase
phytoceramide synthase LAG1/LIP1	LAG1 // LIP1				ceramide synthase
arsenite methyltransferase	arsM	arsM			arsenite methyltransferase // arsenite methyltransferase // arsenite methyltransferase
5-aminolevulinate synthase 1	hemA	hemA	1674752	1675975	5-aminolevulinate synthase
acetyl-diaminopimelate aminotransferase	patA	patA			acetyl-diaminopimelate aminotransferase
diaminopimelate decarboxylase	AT5G11880	AT5G11880			diaminopimelate decarboxylase
pyruvate decarboxylase					pyruvate decarboxylase
mugineic-acid 3-dioxygenase	ids-2	ids-2			mugineic-acid 3-dioxygenase
mannosyl-oligosaccharide 1,2-&alpha;-mannosidase IC	MAN1C1	MAN1C1	24964188	25131174	Man<sub>8</sub>GlcNAc<sub>2</sub> isomer 8A<sub>1,2,3</sub>B<sub>1,2</sub> 1,2-&alpha;-mannosidase // Man<sub>7</sub>GlcNAc<sub>2</sub> isomer 7A<sub>1,2,3</sub>B<sub>1</sub> 1,2-&alpha;-mannosidase // Man<sub>7</sub>GlcNAc<sub>2</sub> isomer 7A<sub>1,2,3</sub>B<sub>2</sub> 1,2-&alpha;-mannosidase // Man<sub>6</sub>GlcNAc<sub>2</sub> isomer 6A<sub>1,2</sub>B<sub>2</sub> 1,2-&alpha;-mannosidase // Man<sub>7</sub>GlcNAc<sub>2</sub> isomer 7A<sub>1,2</sub>B<sub>1,2</sub> 1,2-&alpha;-mannosidase // Man<sub>8</sub>GlcNAc<sub>2</sub> isomer 8A<sub>1,2,3</sub>B<sub>1,2</sub> 1,2-&alpha;-mannosidase // Man<sub>9</sub>GlcNAc<sub>2</sub> 1,2-&alpha;-mannosidase // Man<sub>6</sub>GlcNAc<sub>2</sub> isomer 6A<sub>1,2,3</sub> 1,2-&alpha;-mannosidase // Man<sub>6</sub>GlcNAc<sub>2</sub> isomer 6A<sub>1,2</sub>B<sub>1</sub> 1,2-&alpha;-mannosidase // Man<sub>7</sub>GlcNAc<sub>2</sub> isomer 7A<sub>1,2,3</sub>B<sub>1</sub> 1,2-&alpha;-mannosidase // Man<sub>8</sub>GlcNAc<sub>2</sub> isomer 8A<sub>1,2,3</sub>B<sub>1,3</sub> 1,2-&alpha;-mannosidase
multifunctional aromatic <i>O</i>-prenyltransferase	LtmF	LtmF			lolitrol <i>O</i>-prenyltransferase // terpendole I <i>O</i>-prenyltransferase
UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	lpxD	b0179	200971	201996	UDP-3-<i>O</i>-(3-hydroxymyristoyl)glucosamine <i>N</i>-acyltransferase
ribitol-5-phosphate 2-dehydrogenase	rtpD	rtpD			ribitol-5-phosphate 2-dehydrogenase
perillyl alcohol dehydrogenase					(4<i>R</i>)-perillyl alcohol dehydrogenase // perillyl alcohol dehydrogenase
guanylate kinase	GUK1	GUK1	1366264	1366827	dGMP kinase // GMP kinase
guanine deaminase	GDA	GDA	74764293	74867140	ammeline deaminase // guanine deaminase
lysine <i>N</i><sup>6</sup>-acetyltransferase					lysine <i>N</i><sup>6</sup>-acetyltransferase
sulfoacetaldehyde acetyltransferase	xsc	xsc			sulfoacetaldehyde acetyltransferase
ribosylnicotinamide kinase	NRK1	S000005073			nicotinate riboside kinase // nicotinamide riboside kinase
phosphosugar phosphatase YigL	yigL	b3826	4010200	4011000	pyridoxal phosphatase // phosphosugar phosphatase
protein arginine <i>N</i>-methyltransferase 3	PRMT3	PRMT3			type I protein arginine methyltransferase
L-alanine:5-ketooctanal aminotransferase A					L-alanine:5-ketooctanal aminotransferase A
dimethylsulfoniopropionate demethylase	dmdA	dmdA			dimethylsulfoniopropionate demethylase
16S rRNA pseudouridine<sup>516</sup> synthase	rsuA	b2183	2279788	2280483	16S rRNA pseudouridine<sup>516</sup> synthase
1,4-&beta;-<small>D</small>-xylan synthase					xylosyltransferase
sirohydrochlorin cobaltochelatase	cbiX	cbiX			sirohydrochlorin ferrochelatase // sirohydrochlorin cobaltochelatase
pterin-4alpha-carbinolamine dehydratase	Pp-1	Pp-1			pterin-4alpha-carbinolamine dehydratase
UDP-Glc:&beta;-D-GlcA-(1&rarr;4)-&alpha;-D-Gal-(1&rarr;6)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &beta;-(1,6<sup>IV</sup>)-glucosyltranferase	wetY	wetY			UDP-Glc:&beta;-D-GlcA-(1&rarr;4)-&alpha;-D-Gal-(1&rarr;6)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &beta;-(1,6<sup>IV</sup>)-glucosyltranferase
nucleotide 5'-monophosphate nucleosidase	ppnN	b2795	2926308	2927672	GMP nucleosidase // AMP nucleosidase // inosinate nucleosidase // pyrimidine-5'-nucleotide nucleosidase
nitrile-specifier protein NSP5	NSP5	At5g48180			phenylacetonitrile-specifier protein // 3-butenylnitrile-specifier protein // nitrile-specifier protein // indole-3-acetonitrile-specifier protein
lactotriaosylceramide &beta;-1,4-galactosyltransferase	B4GALT4	B4GALT4	118559400	118588536	&beta;-D-GlcNAc-(1->3)-&beta;-D-Gal-(1->4)-D-Glc 3''-galactosyltransferase // &beta;-D-Gal-(1->3)-&beta;-D-GlcNAc-(1->3)-[&beta;-D-GlcNAc-(1->6)-]&beta;-D-Gal-(1->4)-D-Glc 3''''-galactosyltransferase // neolactopentaosylceramide &beta;-1,4-galactosyltransferase // lactotriaosylceramide &beta;-1,4-galactosyltransferase
sucrose hydrolase	scrB	scrB			sucrose hydrolase
flavin prenyltransferase	ubiX	b2311	2428057	2428626	flavin prenyltransferase
UDP-<em>N</em>-acetylglucosamine&mdash;undecaprenyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase	wecA	wecA			UDP-<em>N</em>-acetylglucosamine&mdash;undecaprenyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase
phosphite dehydrogenase	ptxD	ptxD			phosphite dehydrogenase
glycerate 2-kinase monomer	ST2037	ST2037			glycerate 2-kinase
putative inorganic polyphosphate/ATP-NAD kinase	NADK	NADK	1487421	1516258	NAD kinase
carnitine O-palmitoyltransferase 1, liver isoform	CPT1A	CPT1A	70218676	70279279	carnitine <i>O</i>-palmitoyltransferase // carnitine:fatty acyl CoA acyltransferase // x
cytochrome P450 302a1, mitochondrial	CYP302A1	CYP302A1			2,22-dideoxyecdysone 22-hydroxylase
<i>L</i>-tryptophan:phenylpyruvate aminotransferase	tdiD	tdiD			<i>L</i>-tryptophan:phenylpyruvate aminotransferase
dTDP-viosamine (<i>S</i>)-3-hydroxybutanoyltransferase	D9E73_16825	D9E73_16825			dTDP-viosamine (<i>S</i>)-3-hydroxybutanoyltransferase
hydroxymethylglutaryl-CoA reductase	Daci_0287	Daci_0287			hydroxymethylglutaryl-CoA reductase
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	PFKFB3	PFKFB3	6209204	6241784	fructose-6P, 2 kinase // fructose-2,6-bisphosphatase
enoyl reductase	tasC	tasC			enoyl reductase
borneol dehydrogenase	BDH3	BDH3			(+)-menthol dehydrogenase // (-)-menthol dehydrogenase // (-)-borneol dehydrogenase // (+)-borneol dehydrogenase
UDP-glucose 6-dehydrogenase	ugd	b2028	2098447	2099613	UDP-glucose 6-dehydrogenase
MTR kinase					MTR kinase
undecylprodigiosin cyclase	redG	SCO5897	6462296	6463483	undecylprodigiosin cyclase
progesterone 5&beta;-reductase	P5BR	P5BR			progesterone 5&beta;-reductase
4,4'-dithiodibutanoate disulfide reductase	Nox	RERY_03780			4,4'-dithiodibutanoate disulfide reductase
malonate semialdehyde dehydrogenase					malonate semialdehyde dehydrogenase
[SoxY protein]-L-cysteine-<i>S</i>-sulfane:polymeric sulfur sulfurtransferase	soxL	soxL			[SoxY protein]-L-cyteine-<i>S</i>-sulfane:polymeric sulfur sulfurtransferase
2-dehydropantoate 2-reductase	panE	b0425	443604	444515	2-dehydropantoate 2-reductase
chlorite O<sub>2</sub>-lyase	cld	cld			chlorite O<sub>2</sub>-lyase
arachidonate 5-lipoxygenase	ALOX5	ALOX5	45338144	45410034	5-lipoxygenase // (18<i>R</i>)-hydroxyicosapentaenoate 5-lipoxygenase // (17<i>R</i>)-hydroxydocosahexaenoate 4-lipoxygenase // (17<i>R</i>)-hydroxydocosahexaenoate 7-lipoxygenase // (17<i>S</i>)-hydroxydocosahexaenoate 4-lipoxygenase // (17<i>S</i>)-hydroxydocosahexaenoate 7-lipoxygenase // (15<i>R</i>)-hydroxyarachidonate 5-lipoxygenase // (15<i>S</i>)-hydroxyarachidonate 5-lipoxygenase // anandamide 5-lipoxygenase // arachidonate 5-lipoxygenase // (15<i>S</i>)-hydroxyarachidonate 5-lipoxygenase // (15<i>R</i>)-hydroxyicosapentaenoate 5-lipoxygenase // (17<i>S</i>)-hydroxydocosahexaenoate 4-lipoxygenase // (17<i>R</i>)-hydroxydocosahexaenoate 7-lipoxygenase // (18<i>R</i>)-hydroxyicosapentaenoate 5-lipoxygenase // (17<i>R</i>)-hydroxydocosahexaenoate 4-lipoxygenase // (17<i>S</i>)-hydroxydocosahexaenoate 7-lipoxygenase // arachidonate 5-lipoxygenase // arachidonate (5S)-lipoxygenase // 5-lipoxygenase // 5-lipoxygenase
3-hydroxybenzoate 6-hydroxylase	mhbM	mhbM			3-hydroxybenzoate 6-hydroxylase
cytosyl-4'-dehydro-&beta;-D-glucuronate transaminase	blsH	blsH			cytosyl-4'-dehydro-&beta;-D-glucuronate transaminase
