S_NS6_Ca_028_v1v9_1	NADH-DEHYDROG-A-RXN
S_NS6_Ca_028_v1v9_2	RXN-11135
S_NS6_Ca_028_v1v9_3	RXN-11135
S_NS6_Ca_028_v1v9_4	RXN-11135
S_NS6_Ca_028_v1v9_5	RXN-11135
S_NS6_Ca_028_v1v9_6	RXN-11135
S_NS6_Ca_028_v1v9_7	RXN-11135
S_NS6_Ca_028_v1v9_8	RXN-11135
S_NS6_Ca_028_v1v9_9	RXN-11135
S_NS6_Ca_028_v1v9_10	RXN-11135
S_NS6_Ca_028_v1v9_11	RXN-11135
S_NS6_Ca_028_v1v9_12	RXN-11135
S_NS6_Ca_028_v1v9_13	3.2.1.23-RXN
S_NS6_Ca_028_v1v9_13	RXN-12400
S_NS6_Ca_028_v1v9_13	RXN-12399
S_NS6_Ca_028_v1v9_13	RXN-12398
S_NS6_Ca_028_v1v9_13	BETAGALACTOSID-RXN
S_NS6_Ca_028_v1v9_13	KETOLACTOSE-RXN
S_NS6_Ca_028_v1v9_14	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_15	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_16	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_17	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_18	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_19	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_20	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Ca_028_v1v9_21	2.1.1.72-RXN
S_NS6_Ca_028_v1v9_22	2.1.1.72-RXN
S_NS6_Ca_028_v1v9_23	2.1.1.72-RXN
S_NS6_Ca_028_v1v9_24	2.1.1.72-RXN
S_NS6_Ca_028_v1v9_25	TRANS-RXN-2
S_NS6_Ca_028_v1v9_25	3.6.3.12-RXN
S_NS6_Ca_028_v1v9_26	TRANS-RXN-2
S_NS6_Ca_028_v1v9_26	3.6.3.12-RXN
S_NS6_Ca_028_v1v9_27	TRANS-RXN-2
S_NS6_Ca_028_v1v9_27	3.6.3.12-RXN
S_NS6_Ca_028_v1v9_28	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Ca_028_v1v9_29	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Ca_028_v1v9_30	2.7.13.3-RXN
S_NS6_Ca_028_v1v9_31	2.7.13.3-RXN
S_NS6_Ca_028_v1v9_32	2.7.13.3-RXN
S_NS6_Ca_028_v1v9_33	2.7.13.3-RXN
S_NS6_Ca_028_v1v9_34	2.7.13.3-RXN
S_NS6_Ca_028_v1v9_35	2.7.13.3-RXN
S_NS6_Ca_028_v1v9_36	GPH-RXN
S_NS6_Ca_028_v1v9_37	GPH-RXN
S_NS6_Ca_028_v1v9_38	INORGPYROPHOSPHAT-RXN
S_NS6_Ca_028_v1v9_39	PROTEIN-KINASE-RXN
S_NS6_Ca_028_v1v9_40	PROTEIN-KINASE-RXN
S_NS6_Ca_028_v1v9_41	PROTEIN-KINASE-RXN
