S_S2_Ca_088_v1v9_1	1.6.5.3
S_S2_Ca_088_v1v9_2	3.6.4.12
S_S2_Ca_088_v1v9_3	3.6.4.12
S_S2_Ca_088_v1v9_4	3.6.4.12
S_S2_Ca_088_v1v9_5	3.6.4.12
S_S2_Ca_088_v1v9_6	3.6.4.12
S_S2_Ca_088_v1v9_7	3.6.4.12
S_S2_Ca_088_v1v9_8	3.6.4.12
S_S2_Ca_088_v1v9_9	3.6.4.12
S_S2_Ca_088_v1v9_10	3.6.4.12
S_S2_Ca_088_v1v9_11	3.6.4.12
S_S2_Ca_088_v1v9_12	2.7.7.7
S_S2_Ca_088_v1v9_13	2.7.7.7
S_S2_Ca_088_v1v9_14	2.7.7.7
S_S2_Ca_088_v1v9_15	2.7.7.7
S_S2_Ca_088_v1v9_16	2.7.7.7
S_S2_Ca_088_v1v9_17	2.7.7.7
S_S2_Ca_088_v1v9_18	2.7.7.7
S_S2_Ca_088_v1v9_19	2.1.1.72
S_S2_Ca_088_v1v9_20	2.1.1.72
S_S2_Ca_088_v1v9_21	2.1.1.72
S_S2_Ca_088_v1v9_22	2.1.1.72
S_S2_Ca_088_v1v9_23	5.2.1.8
S_S2_Ca_088_v1v9_24	5.2.1.8
S_S2_Ca_088_v1v9_25	2.7.13.3
S_S2_Ca_088_v1v9_26	2.7.13.3
S_S2_Ca_088_v1v9_27	2.7.13.3
S_S2_Ca_088_v1v9_28	2.7.13.3
S_S2_Ca_088_v1v9_29	3.1.3.18
S_S2_Ca_088_v1v9_30	3.1.3.18
S_S2_Ca_088_v1v9_31	3.6.1.1
S_S2_Ca_088_v1v9_32	2.7.11.1
S_S2_Ca_088_v1v9_33	2.7.11.1
S_S2_Ca_088_v1v9_34	2.7.11.1
S_S2_Ca_088_v1v9_35	2.7.11.1
S_S2_Ca_088_v1v9_36	3.4.16.4
S_S2_Ca_088_v1v9_37	3.4.16.4
S_S2_Ca_088_v1v9_38	3.4.16.4
S_S2_Ca_088_v1v9_39	3.4.16.4
S_S2_Ca_088_v1v9_40	3.4.16.4
S_S2_Ca_088_v1v9_41	3.6.4.13
S_S2_Ca_088_v1v9_42	6.3.5.5
S_S2_Ca_088_v1v9_43	6.3.5.5
S_S2_Ca_088_v1v9_44	3.1.3.48
S_S2_Ca_088_v1v9_45	3.1.3.48
S_S2_Ca_088_v1v9_46	2.7.7.6
S_S2_Ca_088_v1v9_47	2.7.7.6
S_S2_Ca_088_v1v9_48	2.7.7.6
S_S2_Ca_088_v1v9_49	2.7.7.6
S_S2_Ca_088_v1v9_50	6.3.5.6
S_S2_Ca_088_v1v9_51	6.3.5.6
S_S2_Ca_088_v1v9_52	6.3.5.6
S_S2_Ca_088_v1v9_53	6.3.5.7
S_S2_Ca_088_v1v9_54	6.3.5.7
S_S2_Ca_088_v1v9_55	6.3.5.7
S_S2_Ca_088_v1v9_56	2.7.1.11
S_S2_Ca_088_v1v9_57	3.2.2.27
S_S2_Ca_088_v1v9_58	3.2.2.27
S_S2_Ca_088_v1v9_59	2.1.1.176
S_S2_Ca_088_v1v9_60	3.6.3.14
S_S2_Ca_088_v1v9_61	3.6.3.14
S_S2_Ca_088_v1v9_62	3.6.1.66
S_S2_Ca_088_v1v9_63	1.17.99.6
S_S2_Ca_088_v1v9_64	1.5.1.20
S_S2_Ca_088_v1v9_65	6.3.5.3
S_S2_Ca_088_v1v9_66	3.1.26.4
S_S2_Ca_088_v1v9_67	3.1.26.4
S_S2_Ca_088_v1v9_68	3.1.3.16
S_S2_Ca_088_v1v9_69	3.1.3.16
S_S2_Ca_088_v1v9_70	2.3.1.15
S_S2_Ca_088_v1v9_71	2.3.1.15
S_S2_Ca_088_v1v9_72	2.3.1.48
S_S2_Ca_088_v1v9_73	6.1.1.20
S_S2_Ca_088_v1v9_74	6.1.1.20
S_S2_Ca_088_v1v9_75	6.3.2.4
S_S2_Ca_088_v1v9_76	5.99.1.3
S_S2_Ca_088_v1v9_77	5.99.1.3
S_S2_Ca_088_v1v9_78	2.5.1.49
S_S2_Ca_088_v1v9_79	2.5.1.49
S_S2_Ca_088_v1v9_80	2.5.1.47
S_S2_Ca_088_v1v9_81	2.7.1.49
S_S2_Ca_088_v1v9_82	2.7.4.7
S_S2_Ca_088_v1v9_83	4.1.99.17
S_S2_Ca_088_v1v9_84	6.3.1.2
S_S2_Ca_088_v1v9_85	6.3.1.2
S_S2_Ca_088_v1v9_86	2.4.2.7
S_S2_Ca_088_v1v9_87	2.7.4.3
S_S2_Ca_088_v1v9_88	3.4.21.89
S_S2_Ca_088_v1v9_89	3.4.21.89
S_S2_Ca_088_v1v9_90	3.4.21.89
S_S2_Ca_088_v1v9_91	2.8.1.7
S_S2_Ca_088_v1v9_92	2.8.1.7
S_S2_Ca_088_v1v9_93	3.6.3.27
S_S2_Ca_088_v1v9_94	3.6.3.27
S_S2_Ca_088_v1v9_95	2.3.1.1
S_S2_Ca_088_v1v9_96	5.4.99.23
S_S2_Ca_088_v1v9_97	5.4.99.23
S_S2_Ca_088_v1v9_98	5.1.3.2
S_S2_Ca_088_v1v9_99	5.1.3.2
S_S2_Ca_088_v1v9_100	4.2.1.11
S_S2_Ca_088_v1v9_101	1.1.98.6
S_S2_Ca_088_v1v9_102	3.5.2.3
S_S2_Ca_088_v1v9_103	3.6.1.55
S_S2_Ca_088_v1v9_104	2.7.1.2
S_S2_Ca_088_v1v9_105	2.7.1.2
S_S2_Ca_088_v1v9_106	4.2.3.4
S_S2_Ca_088_v1v9_107	4.2.3.4
S_S2_Ca_088_v1v9_108	3.5.1.88
S_S2_Ca_088_v1v9_109	3.5.1.88
S_S2_Ca_088_v1v9_110	3.5.1.88
S_S2_Ca_088_v1v9_111	1.97.1.4
S_S2_Ca_088_v1v9_112	1.97.1.4
S_S2_Ca_088_v1v9_113	1.97.1.4
S_S2_Ca_088_v1v9_114	1.97.1.4
S_S2_Ca_088_v1v9_115	3.2.1.20
S_S2_Ca_088_v1v9_116	5.4.99.22
S_S2_Ca_088_v1v9_117	2.7.1.90
S_S2_Ca_088_v1v9_118	5.1.1.1
S_S2_Ca_088_v1v9_119	3.1.11.6
S_S2_Ca_088_v1v9_120	3.1.11.6
S_S2_Ca_088_v1v9_121	2.1.1.63
S_S2_Ca_088_v1v9_122	3.4.23.43
S_S2_Ca_088_v1v9_123	6.1.1.10
S_S2_Ca_088_v1v9_124	6.1.1.10
S_S2_Ca_088_v1v9_125	1.2.7.3
S_S2_Ca_088_v1v9_126	1.1.1.133
S_S2_Ca_088_v1v9_127	1.1.1.133
S_S2_Ca_088_v1v9_128	3.5.99.6
S_S2_Ca_088_v1v9_129	2.1.1.227
S_S2_Ca_088_v1v9_130	2.1.1.226
S_S2_Ca_088_v1v9_131	3.2.2.10
S_S2_Ca_088_v1v9_132	3.2.2.10
S_S2_Ca_088_v1v9_133	2.4.2.10
S_S2_Ca_088_v1v9_134	3.6.1.27
S_S2_Ca_088_v1v9_135	4.1.1.23
S_S2_Ca_088_v1v9_136	6.1.1.12
S_S2_Ca_088_v1v9_137	1.8.1.9
S_S2_Ca_088_v1v9_138	4.3.1.17
S_S2_Ca_088_v1v9_139	1.2.1.11
S_S2_Ca_088_v1v9_140	2.5.1.29
S_S2_Ca_088_v1v9_141	2.5.1.10
S_S2_Ca_088_v1v9_142	2.5.1.1
S_S2_Ca_088_v1v9_143	2.4.2.19
S_S2_Ca_088_v1v9_144	3.1.26.5
S_S2_Ca_088_v1v9_145	4.2.1.136
S_S2_Ca_088_v1v9_146	1.4.1.14
S_S2_Ca_088_v1v9_147	1.4.1.13
S_S2_Ca_088_v1v9_148	5.3.1.8
S_S2_Ca_088_v1v9_149	4.6.1.12
S_S2_Ca_088_v1v9_150	2.1.1.177
S_S2_Ca_088_v1v9_151	5.1.99.6
S_S2_Ca_088_v1v9_152	3.6.1.40
S_S2_Ca_088_v1v9_153	3.4.23.36
S_S2_Ca_088_v1v9_154	6.1.1.5
S_S2_Ca_088_v1v9_155	2.7.1.33
S_S2_Ca_088_v1v9_156	2.7.1.33
S_S2_Ca_088_v1v9_157	2.1.2.9
